frequency,raw,smoothed,error,equalization
20.0000,-24.5700,-23.4543,-23.4543,18.0000
20.1998,-24.3403,-23.3002,-23.3002,18.0000
20.4015,-24.0983,-23.1284,-23.1284,18.0000
20.6053,-23.8751,-22.9431,-22.9431,18.0000
20.8112,-23.4976,-22.7459,-22.7459,18.0000
21.0190,-23.0720,-22.5401,-22.5401,18.0000
21.2290,-22.5824,-22.3284,-22.3284,18.0000
21.4410,-22.0478,-22.1139,-22.1139,18.0000
21.6552,-21.5902,-21.8999,-21.8999,18.0000
21.8715,-21.1583,-21.6881,-21.6881,18.0000
22.0900,-20.9100,-21.4801,-21.4801,18.0000
22.3106,-20.7397,-21.2752,-21.2752,18.0000
22.5335,-20.6331,-21.0810,-21.0810,18.0000
22.7586,-20.5803,-20.9129,-20.9129,18.0000
22.9859,-20.5309,-20.7694,-20.7694,18.0000
23.2155,-20.4712,-20.6489,-20.6489,18.0000
23.4474,-20.4107,-20.5491,-20.5491,18.0000
23.6816,-20.3424,-20.4667,-20.4667,18.0000
23.9182,-20.2904,-20.3979,-20.3979,18.0000
24.1571,-20.2505,-20.3382,-20.3382,18.0000
24.3984,-20.2401,-20.2830,-20.2830,18.0000
24.6421,-20.2594,-20.2278,-20.2278,18.0000
24.8882,-20.2898,-20.1682,-20.1682,18.0000
25.1368,-20.2999,-20.1006,-20.1006,18.0000
25.3879,-20.3000,-20.0224,-20.0224,18.0000
25.6415,-20.2226,-19.9315,-19.9315,18.0000
25.8976,-20.1152,-19.8271,-19.8271,18.0000
26.1563,-19.9524,-19.7092,-19.7092,18.0000
26.4176,-19.7687,-19.5785,-19.5785,18.0000
26.6815,-19.5569,-19.4361,-19.4361,18.0000
26.9480,-19.3589,-19.2840,-19.2840,18.0000
27.2172,-19.1595,-19.1241,-19.1241,18.0000
27.4890,-18.9773,-18.9585,-18.9585,18.0000
27.7636,-18.7845,-18.7893,-18.7893,18.0000
28.0409,-18.5865,-18.6184,-18.6184,18.0000
28.3210,-18.3864,-18.4477,-18.4477,18.0000
28.6039,-18.1911,-18.2789,-18.2789,18.0000
28.8896,-17.9970,-18.1134,-18.1134,18.0000
29.1782,-17.8173,-17.9521,-17.9521,17.9521
29.4697,-17.6557,-17.7956,-17.7956,17.7956
29.7640,-17.5364,-17.6442,-17.6442,17.6442
30.0613,-17.4362,-17.4974,-17.4974,17.4974
30.3616,-17.3549,-17.3544,-17.3544,17.3544
30.6649,-17.2740,-17.2138,-17.2138,17.2138
30.9712,-17.1667,-17.0743,-17.0743,17.0743
31.2806,-17.0194,-16.9349,-16.9349,16.9349
31.5930,-16.8493,-16.7953,-16.7953,16.7953
31.9086,-16.6627,-16.6555,-16.6555,16.6555
32.2273,-16.4774,-16.5157,-16.5157,16.5157
32.5492,-16.3201,-16.3758,-16.3758,16.3758
32.8744,-16.1864,-16.2357,-16.2357,16.2357
33.2027,-16.0758,-16.0946,-16.0946,16.0946
33.5344,-15.9747,-15.9518,-15.9518,15.9518
33.8694,-15.8479,-15.8068,-15.8068,15.8068
34.2077,-15.6999,-15.6599,-15.6599,15.6599
34.5494,-15.5397,-15.5118,-15.5118,15.5118
34.8945,-15.3909,-15.3632,-15.3632,15.3632
35.2430,-15.2508,-15.2147,-15.2147,15.2147
35.5951,-15.1007,-15.0663,-15.0663,15.0663
35.9506,-14.9483,-14.9180,-14.9180,14.9180
36.3097,-14.7701,-14.7692,-14.7692,14.7692
36.6724,-14.6027,-14.6197,-14.6197,14.6197
37.0387,-14.4206,-14.4694,-14.4694,14.4694
37.4087,-14.2498,-14.3184,-14.3184,14.3184
37.7824,-14.1102,-14.1673,-14.1673,14.1673
38.1598,-13.9711,-14.0162,-14.0162,14.0162
38.5409,-13.8584,-13.8653,-13.8653,13.8653
38.9259,-13.7470,-13.7141,-13.7141,13.7141
39.3147,-13.6465,-13.5619,-13.5619,13.5619
39.7074,-13.5206,-13.4079,-13.4079,13.4079
40.1041,-13.3644,-13.2519,-13.2519,13.2519
40.5046,-13.1677,-13.0939,-13.0939,13.0939
40.9092,-12.9469,-12.9346,-12.9346,12.9346
41.3179,-12.7365,-12.7748,-12.7748,12.7748
41.7306,-12.5343,-12.6153,-12.6153,12.6153
42.1474,-12.3909,-12.4565,-12.4565,12.4565
42.5684,-12.2505,-12.2983,-12.2983,12.2983
42.9936,-12.1210,-12.1405,-12.1405,12.1405
43.4231,-11.9729,-11.9829,-11.9829,11.9829
43.8568,-11.8247,-11.8259,-11.8259,11.8259
44.2949,-11.6631,-11.6698,-11.6698,11.6698
44.7374,-11.5052,-11.5147,-11.5147,11.5147
45.1842,-11.3642,-11.3605,-11.3605,11.3605
45.6356,-11.2148,-11.2067,-11.2067,11.2067
46.0914,-11.0720,-11.0531,-11.0531,11.0531
46.5518,-10.9164,-10.9001,-10.9001,10.9001
47.0168,-10.7550,-10.7485,-10.7485,10.7485
47.4864,-10.5948,-10.5986,-10.5986,10.5986
47.9608,-10.4454,-10.4499,-10.4499,10.4499
48.4398,-10.2957,-10.3014,-10.3014,10.3014
