frequency,raw,smoothed,error,equalization
20.0000,-37.3500,-37.6879,-37.6879,18.0000
20.1998,-38.5487,-37.5196,-37.5196,18.0000
20.4015,-39.7581,-37.3370,-37.3370,18.0000
20.6053,-40.8256,-37.1208,-37.1208,18.0000
20.8112,-38.4410,-36.8537,-36.8537,18.0000
21.0190,-36.8176,-36.5698,-36.5698,18.0000
21.2290,-35.7651,-36.2765,-36.2765,18.0000
21.4410,-34.9976,-35.9714,-35.9714,18.0000
21.6552,-34.5109,-35.6520,-35.6520,18.0000
21.8715,-34.1197,-35.3161,-35.3161,18.0000
22.0900,-34.0700,-34.9637,-34.9637,18.0000
22.3106,-34.1909,-34.5927,-34.5927,18.0000
22.5335,-34.5204,-34.2085,-34.2085,18.0000
22.7586,-35.0367,-33.8271,-33.8271,18.0000
22.9859,-35.6195,-33.4537,-33.4537,18.0000
23.2155,-35.2868,-33.0907,-33.0907,18.0000
23.4474,-33.6585,-32.7427,-32.7427,18.0000
23.6816,-31.7099,-32.4184,-32.4184,18.0000
23.9182,-30.1718,-32.1346,-32.1346,18.0000
24.1571,-29.3105,-31.9052,-31.9052,18.0000
24.3984,-29.1014,-31.7364,-31.7364,18.0000
24.6421,-29.3808,-31.6273,-31.6273,18.0000
24.8882,-30.1742,-31.5719,-31.5719,18.0000
25.1368,-31.0587,-31.5587,-31.5587,18.0000
25.3879,-31.9427,-31.5759,-31.5759,18.0000
25.6415,-32.3079,-31.6122,-31.6122,18.0000
25.8976,-32.5772,-31.6638,-31.6638,18.0000
26.1563,-32.7378,-31.7250,-31.7250,18.0000
26.4176,-32.6541,-31.7830,-31.7830,18.0000
26.6815,-32.3985,-31.8218,-31.8218,18.0000
26.9480,-32.1129,-31.8283,-31.8283,18.0000
27.2172,-31.9476,-31.7947,-31.7947,18.0000
27.4890,-31.9112,-31.7178,-31.7178,18.0000
27.7636,-31.9295,-31.5978,-31.5978,18.0000
28.0409,-31.9590,-31.4390,-31.4390,18.0000
28.3210,-31.8826,-31.2479,-31.2479,18.0000
28.6039,-31.6816,-31.0331,-31.0331,18.0000
28.8896,-31.2848,-30.8023,-30.8023,18.0000
29.1782,-30.7519,-30.5629,-30.5629,18.0000
29.4697,-30.1321,-30.3225,-30.3225,18.0000
29.7640,-29.5893,-30.0891,-30.0891,18.0000
30.0613,-29.1192,-29.8683,-29.8683,18.0000
30.3616,-28.8459,-29.6644,-29.6644,18.0000
30.6649,-28.7635,-29.4791,-29.4791,18.0000
30.9712,-28.8258,-29.3122,-29.3122,18.0000
31.2806,-28.9612,-29.1612,-29.1612,18.0000
31.5930,-29.1023,-29.0222,-29.0222,18.0000
31.9086,-29.1940,-28.8907,-28.8907,18.0000
32.2273,-29.0945,-28.7626,-28.7626,18.0000
32.5492,-28.9120,-28.6363,-28.6363,18.0000
32.8744,-28.6337,-28.5107,-28.5107,18.0000
33.2027,-28.4210,-28.3853,-28.3853,18.0000
33.5344,-28.2671,-28.2584,-28.2584,18.0000
33.8694,-28.2130,-28.1274,-28.1274,18.0000
34.2077,-28.1446,-27.9888,-27.9888,18.0000
34.5494,-28.0367,-27.8404,-27.8404,18.0000
34.8945,-27.7890,-27.6818,-27.6818,18.0000
35.2430,-27.4839,-27.5157,-27.5157,18.0000
35.5951,-27.1907,-27.3460,-27.3460,18.0000
35.9506,-26.9527,-27.1768,-27.1768,18.0000
36.3097,-26.8551,-27.0105,-27.0105,18.0000
36.6724,-26.8130,-26.8469,-26.8469,18.0000
37.0387,-26.7724,-26.6845,-26.6845,18.0000
37.4087,-26.6758,-26.5211,-26.5211,18.0000
37.7824,-26.5031,-26.3558,-26.3558,18.0000
38.1598,-26.2967,-26.1891,-26.1891,18.0000
38.5409,-26.0584,-26.0221,-26.0221,18.0000
38.9259,-25.8246,-25.8564,-25.8564,18.0000
39.3147,-25.5949,-25.6933,-25.6933,18.0000
39.7074,-25.3963,-25.5332,-25.5332,18.0000
40.1041,-25.2344,-25.3758,-25.3758,18.0000
40.5046,-25.1106,-25.2207,-25.2207,18.0000
40.9092,-25.0169,-25.0669,-25.0669,18.0000
41.3179,-24.9363,-24.9138,-24.9138,18.0000
41.7306,-24.8279,-24.7610,-24.7610,18.0000
42.1474,-24.6724,-24.6084,-24.6084,18.0000
42.5684,-24.4935,-24.4562,-24.4562,18.0000
42.9936,-24.2969,-24.3046,-24.3046,18.0000
43.4231,-24.1337,-24.1537,-24.1537,18.0000
43.8568,-23.9937,-24.0034,-24.0034,18.0000
44.2949,-23.8790,-23.8535,-23.8535,18.0000
44.7374,-23.7523,-23.7035,-23.7035,18.0000
45.1842,-23.6053,-23.5532,-23.5532,18.0000
45.6356,-23.4188,-23.4023,-23.4023,18.0000
46.0914,-23.2172,-23.2511,-23.2511,18.0000
46.5518,-23.0474,-23.1004,-23.1004,18.0000
47.0168,-22.8850,-22.9509,-22.9509,18.0000
47.4864,-22.7339,-22.8027,-22.8027,18.0000
47.9608,-22.5764,-22.6559,-22.6559,18.0000
48.4398,-22.4346,-22.5103,-22.5103,18.0000
48.9237,-22.3387,-22.3652,-22.3652,18.0000
49.4124,-22.2758,-22.2196,-22.2196,18.0000
49.9059,-22.2165,-22.0721,-22.0721,18.0000
