frequency,raw,smoothed,error,equalization
20.0000,-23.6400,-23.2447,-23.2447,18.0000
20.1998,-23.5101,-23.2110,-23.2110,18.0000
20.4015,-23.3690,-23.1723,-23.1723,18.0000
20.6053,-23.2429,-23.1303,-23.1303,18.0000
20.8112,-23.1195,-23.0853,-23.0853,18.0000
21.0190,-23.0304,-23.0376,-23.0376,18.0000
21.2290,-22.9603,-22.9863,-22.9863,18.0000
21.4410,-22.9199,-22.9305,-22.9305,18.0000
21.6552,-22.9004,-22.8689,-22.8689,18.0000
21.8715,-22.8798,-22.7998,-22.7998,18.0000
22.0900,-22.8500,-22.7212,-22.7212,18.0000
22.3106,-22.7998,-22.6314,-22.6314,18.0000
22.5335,-22.7223,-22.5315,-22.5315,18.0000
22.7586,-22.6107,-22.4261,-22.4261,18.0000
22.9859,-22.4627,-22.3151,-22.3151,18.0000
23.2155,-22.2933,-22.1991,-22.1991,18.0000
23.4474,-22.1120,-22.0785,-22.0785,18.0000
23.6816,-21.9459,-21.9544,-21.9544,18.0000
23.9182,-21.7813,-21.8276,-21.8276,18.0000
24.1571,-21.6318,-21.6994,-21.6994,18.0000
24.3984,-21.4810,-21.5712,-21.5712,18.0000
24.6421,-21.3541,-21.4447,-21.4447,18.0000
24.8882,-21.2309,-21.3212,-21.3212,18.0000
25.1368,-21.1411,-21.2017,-21.2017,18.0000
25.3879,-21.0706,-21.0866,-21.0866,18.0000
25.6415,-20.9829,-20.9757,-20.9757,18.0000
25.8976,-20.8752,-20.8690,-20.8690,18.0000
26.1563,-20.7321,-20.7663,-20.7663,18.0000
26.4176,-20.5964,-20.6679,-20.6679,18.0000
26.6815,-20.4836,-20.5737,-20.5737,18.0000
26.9480,-20.3940,-20.4835,-20.4835,18.0000
27.2172,-20.3329,-20.3967,-20.3967,18.0000
27.4890,-20.2820,-20.3122,-20.3122,18.0000
27.7636,-20.2117,-20.2288,-20.2288,18.0000
28.0409,-20.1519,-20.1458,-20.1458,18.0000
28.3210,-20.0822,-20.0626,-20.0626,18.0000
28.6039,-20.0139,-19.9790,-19.9790,18.0000
28.8896,-19.9426,-19.8946,-19.8946,18.0000
29.1782,-19.8633,-19.8090,-19.8090,18.0000
29.4697,-19.7828,-19.7215,-19.7215,18.0000
29.7640,-19.6853,-19.6312,-19.6312,18.0000
30.0613,-19.5862,-19.5375,-19.5375,18.0000
30.3616,-19.4767,-19.4401,-19.4401,18.0000
30.6649,-19.3560,-19.3391,-19.3391,18.0000
30.9712,-19.2373,-19.2351,-19.2351,18.0000
31.2806,-19.1363,-19.1288,-19.1288,18.0000
31.5930,-19.0449,-19.0204,-19.0204,18.0000
31.9086,-18.9560,-18.9102,-18.9102,18.0000
