frequency,raw,smoothed,error,equalization
20.0000,-27.1400,-26.7418,-26.7418,18.0000
20.1998,-27.0301,-26.6942,-26.6942,18.0000
20.4015,-26.9091,-26.6385,-26.6385,18.0000
20.6053,-26.7927,-26.5761,-26.5761,18.0000
20.8112,-26.6794,-26.5079,-26.5079,18.0000
21.0190,-26.5705,-26.4344,-26.4344,18.0000
21.2290,-26.4705,-26.3555,-26.3555,18.0000
21.4410,-26.3695,-26.2708,-26.2708,18.0000
21.6552,-26.2722,-26.1798,-26.1798,18.0000
21.8715,-26.1691,-26.0813,-26.0813,18.0000
22.0900,-26.0400,-25.9742,-25.9742,18.0000
22.3106,-25.8796,-25.8574,-25.8574,18.0000
22.5335,-25.7342,-25.7336,-25.7336,18.0000
22.7586,-25.5810,-25.6094,-25.6094,18.0000
22.9859,-25.4228,-25.4851,-25.4851,18.0000
23.2155,-25.3220,-25.3616,-25.3616,18.0000
23.4474,-25.2112,-25.2386,-25.2386,18.0000
23.6816,-25.1135,-25.1160,-25.1160,18.0000
23.9182,-25.0108,-24.9935,-24.9935,18.0000
24.1571,-24.8915,-24.8711,-24.8711,18.0000
24.3984,-24.7609,-24.7491,-24.7491,18.0000
24.6421,-24.6244,-24.6278,-24.6278,18.0000
24.8882,-24.4910,-24.5076,-24.5076,18.0000
25.1368,-24.3715,-24.3887,-24.3887,18.0000
25.3879,-24.2510,-24.2709,-24.2709,18.0000
25.6415,-24.1436,-24.1539,-24.1539,18.0000
25.8976,-24.0352,-24.0371,-24.0371,18.0000
26.1563,-23.9118,-23.9201,-23.9201,18.0000
26.4176,-23.7955,-23.8027,-23.8027,18.0000
26.6815,-23.6739,-23.6848,-23.6848,18.0000
26.9480,-23.5553,-23.5662,-23.5662,18.0000
27.2172,-23.4548,-23.4472,-23.4472,18.0000
27.4890,-23.3445,-23.3274,-23.3274,18.0000
27.7636,-23.2424,-23.2069,-23.2069,18.0000
28.0409,-23.1432,-23.0852,-23.0852,18.0000
28.3210,-23.0142,-22.9621,-22.9621,18.0000
28.6039,-22.8872,-22.8377,-22.8377,18.0000
28.8896,-22.7452,-22.7120,-22.7120,18.0000
29.1782,-22.5961,-22.5854,-22.5854,18.0000
29.4697,-22.4357,-22.4582,-22.4582,18.0000
29.7640,-22.2785,-22.3308,-22.3308,18.0000
30.0613,-22.1387,-22.2038,-22.2038,18.0000
30.3616,-22.0361,-22.0776,-22.0776,18.0000
30.6649,-21.9350,-21.9518,-21.9518,18.0000
30.9712,-21.8361,-21.8262,-21.8262,18.0000
31.2806,-21.7175,-21.7005,-21.7005,18.0000
31.5930,-21.5966,-21.5747,-21.5747,18.0000
31.9086,-21.4780,-21.4487,-21.4487,18.0000
32.2273,-21.3453,-21.3222,-21.3222,18.0000
32.5492,-21.2088,-21.1957,-21.1957,18.0000
32.8744,-21.0668,-21.0694,-21.0694,18.0000
33.2027,-20.9368,-20.9440,-20.9440,18.0000
33.5344,-20.8157,-20.8192,-20.8192,18.0000
33.8694,-20.6973,-20.6944,-20.6944,18.0000
34.2077,-20.5685,-20.5692,-20.5692,18.0000
34.5494,-20.4379,-20.4435,-20.4435,18.0000
34.8945,-20.3002,-20.3174,-20.3174,18.0000
35.2430,-20.1608,-20.1912,-20.1912,18.0000
35.5951,-20.0200,-20.0652,-20.0652,18.0000
35.9506,-19.8778,-19.9401,-19.9401,18.0000
36.3097,-19.8134,-19.8163,-19.8163,18.0000
36.6724,-19.7545,-19.6931,-19.6931,18.0000
37.0387,-19.6841,-19.5696,-19.5696,18.0000
37.4087,-19.5104,-19.4444,-19.4444,18.0000
37.7824,-19.3424,-19.3182,-19.3182,18.0000
38.1598,-19.1735,-19.1915,-19.1915,18.0000
38.5409,-19.0215,-19.0651,-19.0651,18.0000
38.9259,-18.8601,-18.9393,-18.9393,18.0000
39.3147,-18.7471,-18.8143,-18.8143,18.0000
39.7074,-18.6573,-18.6899,-18.6899,18.0000
40.1041,-18.5590,-18.5655,-18.5655,18.0000
40.5046,-18.4771,-18.4409,-18.4409,18.0000
40.9092,-18.3869,-18.3155,-18.3155,18.0000
41.3179,-18.2418,-18.1893,-18.1893,18.0000
41.7306,-18.0722,-18.0630,-18.0630,18.0000
42.1474,-17.9309,-17.9373,-17.9373,17.9373
42.5684,-17.8090,-17.8121,-17.8121,17.8121
42.9936,-17.6902,-17.6870,-17.6870,17.6870
43.4231,-17.5429,-17.5618,-17.5618,17.5618
43.8568,-17.3947,-17.4366,-17.4366,17.4366
44.2949,-17.2790,-17.3118,-17.3118,17.3118
44.7374,-17.1795,-17.1876,-17.1876,17.1876
45.1842,-17.0712,-17.0639,-17.0639,17.0639
45.6356,-16.9519,-16.9406,-16.9406,16.9406
46.0914,-16.8303,-16.8177,-16.8177,16.8177
46.5518,-16.6944,-16.6953,-16.6953,16.6953
47.0168,-16.5531,-16.5729,-16.5729,16.5729
47.4864,-16.4311,-16.4502,-16.4502,16.4502
47.9608,-16.3123,-16.3270,-16.3270,16.3270
48.4398,-16.2015,-16.2038,-16.2038,16.2038
48.9237,-16.0906,-16.0805,-16.0805,16.0805
49.4124,-15.9897,-15.9567,-15.9567,15.9567
49.9059,-15.8819,-15.8320,-15.8320,15.8320
50.4044,-15.7544,-15.7063,-15.7063,15.7063
50.9079,-15.6146,-15.5796,-15.5796,15.5796
51.4164,-15.4747,-15.4524,-15.4524,15.4524
51.9300,-15.3273,-15.3249,-15.3249,15.3249
52.4487,-15.1512,-15.1972,-15.1972,15.1972
52.9726,-14.9699,-15.0701,-15.0701,15.0701
53.5018,-14.8966,-14.9441,-14.9441,14.9441
54.0362,-14.8283,-14.8188,-14.8188,14.8188
54.5759,-14.7054,-14.6936,-14.6936,14.6936
55.1211,-14.5831,-14.5686,-14.5686,14.5686
55.6717,-14.4559,-14.4441,-14.4441,14.4441
56.2278,-14.3336,-14.3205,-14.3205,14.3205
56.7894,-14.2061,-14.1978,-14.1978,14.1978
57.3567,-14.0747,-14.0759,-14.0759,14.0759
57.9296,-13.9458,-13.9548,-13.9548,13.9548
58.5082,-13.8161,-13.8347,-13.8347,13.8347
59.0927,-13.6763,-13.7156,-13.7156,13.7156
59.6829,-13.5467,-13.5971,-13.5971,13.5971
60.2791,-13.4508,-13.4792,-13.4792,13.4792
60.8812,-13.3703,-13.3619,-13.3619,13.3619
61.4893,-13.2472,-13.2452,-13.2452,13.2452
62.1035,-13.1250,-13.1291,-13.1291,13.1291
62.7239,-13.0486,-13.0138,-13.0138,13.0138
63.3504,-12.9177,-12.8983,-12.8983,12.8983
63.9832,-12.7531,-12.7827,-12.7827,12.7827
64.6223,-12.6610,-12.6676,-12.6676,12.6676
65.2678,-12.5716,-12.5525,-12.5525,12.5525
65.9198,-12.4564,-12.4369,-12.4369,12.4369
66.5782,-12.3109,-12.3208,-12.3208,12.3208
67.2433,-12.1771,-12.2048,-12.2048,12.2048
67.9149,-12.0740,-12.0897,-12.0897,12.0897
68.5933,-12.0000,-11.9751,-11.9751,11.9751
