frequency,raw,smoothed,error,equalization
20.0000,-25.1700,-24.5335,-24.5335,18.0000
20.1998,-25.0701,-24.4236,-24.4236,18.0000
20.4015,-24.9693,-24.3093,-24.3093,18.0000
20.6053,-24.8820,-24.1933,-24.1933,18.0000
20.8112,-24.7792,-24.0733,-24.0733,18.0000
21.0190,-24.6406,-23.9449,-23.9449,18.0000
21.2290,-24.0927,-23.8049,-23.8049,18.0000
21.4410,-23.5474,-23.6566,-23.6566,18.0000
21.6552,-23.0120,-23.5036,-23.5036,18.0000
21.8715,-22.4587,-23.3505,-23.3505,18.0000
22.0900,-22.2700,-23.2020,-23.2020,18.0000
22.3106,-22.5808,-23.0573,-23.0573,18.0000
22.5335,-22.8715,-22.9158,-22.9158,18.0000
22.7586,-23.1880,-22.7841,-22.7841,18.0000
22.9859,-23.4945,-22.6594,-22.6594,18.0000
23.2155,-23.0882,-22.5392,-22.5392,18.0000
23.4474,-22.6252,-22.4299,-22.4299,18.0000
23.6816,-22.1761,-22.3371,-22.3371,18.0000
23.9182,-21.7136,-22.2644,-22.2644,18.0000
24.1571,-21.5519,-22.2135,-22.2135,18.0000
24.3984,-21.5401,-22.1818,-22.1818,18.0000
24.6421,-21.5303,-22.1648,-22.1648,18.0000
24.8882,-21.5201,-22.1588,-22.1588,18.0000
25.1368,-21.7175,-22.1632,-22.1632,18.0000
25.3879,-22.0770,-22.1766,-22.1766,18.0000
25.6415,-22.4283,-22.1952,-22.1952,18.0000
25.8976,-22.7829,-22.2151,-22.2151,18.0000
26.1563,-22.8394,-22.2308,-22.2308,18.0000
26.4176,-22.7160,-22.2370,-22.2370,18.0000
26.6815,-22.5746,-22.2314,-22.2314,18.0000
26.9480,-22.4362,-22.2114,-22.2114,18.0000
27.2172,-22.3252,-22.1758,-22.1758,18.0000
27.4890,-22.2241,-22.1244,-22.1244,18.0000
27.7636,-22.1224,-22.0578,-22.0578,18.0000
28.0409,-22.0232,-21.9766,-21.9766,18.0000
28.3210,-21.9232,-21.8819,-21.8819,18.0000
28.6039,-21.8161,-21.7763,-21.7763,18.0000
28.8896,-21.7137,-21.6631,-21.6631,18.0000
29.1782,-21.5853,-21.5456,-21.5456,18.0000
29.4697,-21.4450,-21.4267,-21.4267,18.0000
29.7640,-21.3074,-21.3064,-21.3064,18.0000
30.0613,-21.1687,-21.1826,-21.1826,18.0000
30.3616,-21.0474,-21.0530,-21.0530,18.0000
30.6649,-20.9260,-20.9154,-20.9154,18.0000
30.9712,-20.8073,-20.7684,-20.7684,18.0000
31.2806,-20.6969,-20.6107,-20.6107,18.0000
31.5930,-20.5860,-20.4420,-20.4420,18.0000
31.9086,-20.4774,-20.2637,-20.2637,18.0000
32.2273,-20.3549,-20.0769,-20.0769,18.0000
32.5492,-20.2376,-19.8827,-19.8827,18.0000
32.8744,-20.1254,-19.6813,-19.6813,18.0000
33.2027,-19.7788,-19.4730,-19.4730,18.0000
33.5344,-19.3122,-19.2626,-19.2626,18.0000
33.8694,-18.8485,-19.0576,-19.0576,18.0000
34.2077,-18.4836,-18.8647,-18.8647,18.0000
34.5494,-18.1688,-18.6880,-18.6880,18.0000
34.8945,-17.8626,-18.5305,-18.5305,18.0000
35.2430,-17.8215,-18.3940,-18.3940,18.0000
35.5951,-17.8943,-18.2755,-18.2755,18.0000
35.9506,-17.9661,-18.1700,-18.1700,18.0000
36.3097,-17.8945,-18.0725,-18.0725,18.0000
36.6724,-17.8067,-17.9796,-17.9796,17.9796
37.0387,-17.7624,-17.8917,-17.8917,17.8917
37.4087,-17.9579,-17.8109,-17.8109,17.8109
37.7824,-18.1740,-17.7335,-17.7335,17.7335
38.1598,-18.2360,-17.6534,-17.6534,17.6534
38.5409,-18.1292,-17.5657,-17.5657,17.5657
38.9259,-18.0076,-17.4687,-17.4687,17.4687
39.3147,-17.6633,-17.3608,-17.3608,17.3608
39.7074,-17.2726,-17.2449,-17.2449,17.2449
40.1041,-16.8577,-17.1254,-17.1254,17.1254
40.5046,-16.4007,-17.0080,-17.0080,17.0080
40.9092,-15.9354,-16.8988,-16.8988,16.8988
41.3179,-16.1949,-16.8032,-16.8032,16.8032
41.7306,-16.6470,-16.7161,-16.7161,16.7161
42.1474,-16.8829,-16.6302,-16.6302,16.6302
42.5684,-16.7983,-16.5425,-16.5425,16.5425
42.9936,-16.6985,-16.4543,-16.4543,16.4543
