frequency,raw,smoothed,error,equalization
20.0000,-3.5400,-3.2822,-3.2822,3.2822
20.1998,-3.4601,-3.2546,-3.2546,3.2546
20.4015,-3.3794,-3.2227,-3.2227,3.2227
20.6053,-3.3018,-3.1875,-3.1875,3.1875
20.8112,-3.2297,-3.1496,-3.1496,3.1496
21.0190,-3.1703,-3.1091,-3.1091,3.1091
21.2290,-3.1103,-3.0658,-3.0658,3.0658
21.4410,-3.0498,-3.0198,-3.0198,3.0198
21.6552,-3.0011,-2.9706,-2.9706,2.9706
21.8715,-2.9496,-2.9177,-2.9177,2.9177
22.0900,-2.8900,-2.8606,-2.8606,2.8606
22.3106,-2.8298,-2.7984,-2.7984,2.7984
22.5335,-2.7523,-2.7322,-2.7322,2.7322
22.7586,-2.6705,-2.6656,-2.6656,2.6656
22.9859,-2.5914,-2.5984,-2.5984,2.5984
23.2155,-2.5116,-2.5306,-2.5306,2.5306
23.4474,-2.4408,-2.4623,-2.4623,2.4623
23.6816,-2.3821,-2.3936,-2.3936,2.3936
23.9182,-2.3304,-2.3246,-2.3246,2.3246
24.1571,-2.2707,-2.2553,-2.2553,2.2553
24.3984,-2.2203,-2.1859,-2.1859,2.1859
24.6421,-2.1522,-2.1165,-2.1165,2.1165
24.8882,-2.0706,-2.0470,-2.0470,2.0470
25.1368,-1.9811,-1.9779,-1.9779,1.9779
25.3879,-1.8907,-1.9094,-1.9094,1.9094
25.6415,-1.8029,-1.8417,-1.8417,1.8417
25.8976,-1.7238,-1.7752,-1.7752,1.7752
26.1563,-1.6510,-1.7100,-1.7100,1.7100
26.4176,-1.6023,-1.6462,-1.6462,1.6462
26.6815,-1.5613,-1.5836,-1.5836,1.5836
26.9480,-1.5218,-1.5220,-1.5220,1.5220
27.2172,-1.4819,-1.4611,-1.4611,1.4611
27.4890,-1.4224,-1.4006,-1.4006,1.4006
27.7636,-1.3614,-1.3405,-1.3405,1.3405
28.0409,-1.2826,-1.2807,-1.2807,1.2807
28.3210,-1.2219,-1.2214,-1.2214,1.2214
28.6039,-1.1539,-1.1624,-1.1624,1.1624
28.8896,-1.0922,-1.1035,-1.1035,1.1035
29.1782,-1.0420,-1.0447,-1.0447,1.0447
29.4697,-0.9918,-0.9857,-0.9857,0.9857
29.7640,-0.9332,-0.9264,-0.9264,0.9264
30.0613,-0.8644,-0.8669,-0.8669,0.8669
30.3616,-0.8037,-0.8073,-0.8073,0.8073
30.6649,-0.7430,-0.7479,-0.7479,0.7479
30.9712,-0.6836,-0.6889,-0.6889,0.6889
31.2806,-0.6238,-0.6303,-0.6303,0.6303
31.5930,-0.5727,-0.5721,-0.5721,0.5721
31.9086,-0.5140,-0.5142,-0.5142,0.5142
32.2273,-0.4525,-0.4566,-0.4566,0.4566
32.5492,-0.3938,-0.3993,-0.3993,0.3993
32.8744,-0.3424,-0.3424,-0.3424,0.3424
33.2027,-0.2831,-0.2858,-0.2858,0.2858
33.5344,-0.2228,-0.2297,-0.2297,0.2297
33.8694,-0.1636,-0.1740,-0.1740,0.1740
34.2077,-0.1039,-0.1189,-0.1189,0.1189
34.5494,-0.0530,-0.0643,-0.0643,0.0643
34.8945,-0.0036,-0.0104,-0.0104,0.0104
35.2430,0.0461,0.0431,0.0431,-0.0431
35.5951,0.0964,0.0962,0.0962,-0.0962
35.9506,0.1472,0.1490,0.1490,-0.1490
36.3097,0.1972,0.2015,0.2015,-0.2015
36.6724,0.2555,0.2538,0.2538,-0.2538
37.0387,0.3165,0.3059,0.3059,-0.3059
37.4087,0.3671,0.3575,0.3575,-0.3575
37.7824,0.4164,0.4087,0.4087,-0.4087
38.1598,0.4568,0.4595,0.4595,-0.4595
38.5409,0.5062,0.5099,0.5099,-0.5099
38.9259,0.5568,0.5601,0.5601,-0.5601
39.3147,0.6161,0.6100,0.6100,-0.6100
39.7074,0.6659,0.6594,0.6594,-0.6594
40.1041,0.7155,0.7084,0.7084,-0.7084
40.5046,0.7656,0.7568,0.7568,-0.7568
40.9092,0.8162,0.8045,0.8045,-0.8045
41.3179,0.8661,0.8514,0.8514,-0.8514
41.7306,0.9164,0.8976,0.8976,-0.8976
42.1474,0.9569,0.9428,0.9428,-0.9428
42.5684,0.9877,0.9873,0.9873,-0.9873
42.9936,1.0266,1.0314,1.0314,-1.0314
43.4231,1.0757,1.0751,1.0751,-1.0751
43.8568,1.1251,1.1185,1.1185,-1.1185
44.2949,1.1759,1.1615,1.1615,-1.1615
44.7374,1.2162,1.2041,1.2041,-1.2041
45.1842,1.2559,1.2462,1.2462,-1.2462
45.6356,1.2870,1.2880,1.2880,-1.2880
46.0914,1.3174,1.3296,1.3296,-1.3296
46.5518,1.3559,1.3712,1.3712,-1.3712
47.0168,1.3962,1.4129,1.4129,-1.4129
47.4864,1.4454,1.4545,1.4545,-1.4545
47.9608,1.5038,1.4960,1.4960,-1.4960
48.4398,1.5548,1.5369,1.5369,-1.5369
48.9237,1.5961,1.5770,1.5770,-1.5770
49.4124,1.6361,1.6164,1.6164,-1.6164
49.9059,1.6668,1.6551,1.6551,-1.6551
50.4044,1.7056,1.6931,1.6931,-1.6931
50.9079,1.7458,1.7304,1.7304,-1.7304
51.4164,1.7768,1.7669,1.7669,-1.7669
51.9300,1.8065,1.8025,1.8025,-1.8025
52.4487,1.8453,1.8372,1.8372,-1.8372
52.9726,1.8767,1.8710,1.8710,-1.8710
53.5018,1.9067,1.9037,1.9037,-1.9037
54.0362,1.9453,1.9356,1.9356,-1.9356
54.5759,1.9764,1.9665,1.9665,-1.9665
55.1211,2.0067,1.9966,1.9966,-1.9966
55.6717,2.0363,2.0257,2.0257,-2.0257
56.2278,2.0666,2.0540,2.0540,-2.0540
56.7894,2.0963,2.0814,2.0814,-2.0814
57.3567,2.1266,2.1079,2.1079,-2.1079
57.9296,2.1476,2.1335,2.1335,-2.1335
58.5082,2.1675,2.1584,2.1584,-2.1584
59.0927,2.1877,2.1827,2.1827,-2.1827
59.6829,2.2161,2.2065,2.2065,-2.2065
60.2791,2.2376,2.2297,2.2297,-2.2297
60.8812,2.2487,2.2524,2.2524,-2.2524
61.4893,2.2674,2.2749,2.2749,-2.2749
62.1035,2.2875,2.2973,2.2973,-2.2973
62.7239,2.3163,2.3198,2.3198,-2.3198
63.3504,2.3375,2.3424,2.3424,-2.3424
63.9832,2.3659,2.3651,2.3651,-2.3651
64.6223,2.3873,2.3881,2.3881,-2.3881
65.2678,2.4161,2.4113,2.4113,-2.4113
65.9198,2.4373,2.4348,2.4348,-2.4348
66.5782,2.4572,2.4585,2.4585,-2.4585
67.2433,2.4774,2.4826,2.4826,-2.4826
67.9149,2.4972,2.5072,2.5072,-2.5072
68.5933,2.5172,2.5322,2.5322,-2.5322
69.2785,2.5460,2.5579,2.5579,-2.5579
69.9705,2.5757,2.5840,2.5840,-2.5840
70.6694,2.6057,2.6104,2.6104,-2.6104
71.3753,2.6356,2.6372,2.6372,-2.6372
72.0883,2.6657,2.6643,2.6643,-2.6643
72.8083,2.6872,2.6914,2.6914,-2.6914
73.5356,2.7157,2.7188,2.7188,-2.7188
74.2701,2.7455,2.7462,2.7462,-2.7462
75.0120,2.7756,2.7734,2.7734,-2.7734
75.7613,2.8057,2.8003,2.8003,-2.8003
76.5180,2.8356,2.8265,2.8265,-2.8265
77.2824,2.8654,2.8520,2.8520,-2.8520
78.0543,2.8870,2.8764,2.8764,-2.8764
78.8340,2.9155,2.8997,2.8997,-2.8997
79.6214,2.9370,2.9217,2.9217,-2.9217
80.4168,2.9654,2.9424,2.9424,-2.9424
81.2200,2.9868,2.9615,2.9615,-2.9615
82.0313,3.0068,2.9790,2.9790,-2.9790
82.8507,3.0184,2.9946,2.9946,-2.9946
83.6783,3.0284,3.0085,3.0085,-3.0085
84.5141,3.0384,3.0207,3.0207,-3.0207
85.3583,3.0483,3.0315,3.0315,-3.0315
86.2109,3.0584,3.0409,3.0409,-3.0409
87.0721,3.0683,3.0490,3.0490,-3.0490
87.9418,3.0700,3.0561,3.0561,-3.0561
88.8203,3.0700,3.0623,3.0623,-3.0623
89.7075,3.0783,3.0680,3.0680,-3.0680
90.6035,3.0717,3.0735,3.0735,-3.0735
91.5085,3.0700,3.0792,3.0792,-3.0792
92.4226,3.0700,3.0854,3.0854,-3.0854
93.3458,3.0782,3.0924,3.0924,-3.0924
94.2782,3.0800,3.1004,3.1004,-3.1004
95.2199,3.0882,3.1094,3.1094,-3.1094
96.1711,3.0982,3.1195,3.1195,-3.1195
97.1317,3.1082,3.1307,3.1307,-3.1307
98.1019,3.1182,3.1429,3.1429,-3.1429
99.0818,3.1364,3.1561,3.1561,-3.1561
100.0715,3.1564,3.1698,3.1698,-3.1698
101.0711,3.1846,3.1838,3.1838,-3.1838
102.0807,3.2063,3.1977,3.1977,-3.1977
103.1004,3.2263,3.2112,3.2112,-3.2112
104.1302,3.2463,3.2237,3.2237,-3.2237
105.1703,3.2662,3.2351,3.2351,-3.2351
106.2209,3.2781,3.2451,3.2451,-3.2451
107.2819,3.2881,3.2535,3.2535,-3.2535
108.3535,3.2900,3.2602,3.2602,-3.2602
109.4358,3.2900,3.2651,3.2651,-3.2651
110.5289,3.2900,3.2683,3.2683,-3.2683
111.6330,3.2820,3.2696,3.2696,-3.2696
112.7481,3.2800,3.2692,3.2692,-3.2692
113.8743,3.2800,3.2671,3.2671,-3.2671
115.0118,3.2720,3.2635,3.2635,-3.2635
116.1606,3.2620,3.2585,3.2585,-3.2585
117.3209,3.2600,3.2522,3.2522,-3.2522
118.4928,3.2600,3.2445,3.2445,-3.2445
119.6764,3.2600,3.2354,3.2354,-3.2354
120.8718,3.2521,3.2248,3.2248,-3.2248
122.0792,3.2341,3.2124,3.2124,-3.2124
123.2986,3.2141,3.1983,3.1983,-3.1983
124.5302,3.2021,3.1824,3.1824,-3.1824
125.7741,3.1841,3.1647,3.1647,-3.1647
127.0304,3.1641,3.1449,3.1449,-3.1449
128.2993,3.1521,3.1229,3.1229,-3.1229
129.5808,3.1263,3.0986,3.0986,-3.0986
130.8752,3.1042,3.0720,3.0720,-3.0720
132.1825,3.0764,3.0428,3.0428,-3.0428
133.5028,3.0465,3.0112,3.0112,-3.0112
134.8363,3.0085,2.9774,2.9774,-2.9774
136.1832,2.9687,2.9415,2.9415,-2.9415
137.5435,2.9287,2.9041,2.9041,-2.9041
138.9174,2.8888,2.8654,2.8654,-2.8654
140.3050,2.8410,2.8261,2.8261,-2.8261
141.7065,2.7911,2.7868,2.7868,-2.7868
143.1220,2.7412,2.7483,2.7483,-2.7483
144.5516,2.6911,2.7116,2.7116,-2.7116
145.9955,2.6412,2.6776,2.6776,-2.6776
147.4538,2.5912,2.6473,2.6473,-2.6473
148.9267,2.5490,2.6216,2.6216,-2.6216
150.4143,2.5090,2.6012,2.6012,-2.6012
151.9167,2.4845,2.5869,2.5869,-2.5869
153.4342,2.4723,2.5789,2.5789,-2.5789
154.9668,2.4623,2.5774,2.5774,-2.5774
156.5147,2.4753,2.5822,2.5822,-2.5822
158.0781,2.5030,2.5929,2.5929,-2.5929
159.6571,2.5330,2.6088,2.6088,-2.6088
161.2519,2.5782,2.6290,2.6290,-2.6290
162.8626,2.6283,2.6524,2.6524,-2.6524
164.4894,2.6781,2.6780,2.6780,-2.6780
166.1324,2.7280,2.7044,2.7044,-2.7044
167.7919,2.7780,2.7306,2.7306,-2.7306
169.4679,2.8204,2.7554,2.7554,-2.7554
171.1607,2.8452,2.7778,2.7778,-2.7778
172.8704,2.8651,2.7970,2.7970,-2.7970
174.5972,2.8776,2.8127,2.8127,-2.8127
176.3412,2.8800,2.8244,2.8244,-2.8244
178.1026,2.8800,2.8321,2.8321,-2.8321
179.8816,2.8800,2.8357,2.8357,-2.8357
181.6784,2.8725,2.8355,2.8355,-2.8355
183.4932,2.8625,2.8317,2.8317,-2.8317
185.3261,2.8525,2.8250,2.8250,-2.8250
187.1772,2.8425,2.8158,2.8158,-2.8158
189.0469,2.8251,2.8047,2.8047,-2.8047
190.9352,2.8051,2.7927,2.7927,-2.7927
192.8425,2.7851,2.7804,2.7804,-2.7804
194.7687,2.7652,2.7688,2.7688,-2.7688
196.7142,2.7452,2.7584,2.7584,-2.7584
198.6792,2.7178,2.7501,2.7501,-2.7501
200.6637,2.6952,2.7445,2.7445,-2.7445
202.6681,2.6752,2.7422,2.7422,-2.7422
204.6925,2.6700,2.7437,2.7437,-2.7437
206.7371,2.6700,2.7493,2.7493,-2.7493
208.8022,2.6774,2.7590,2.7590,-2.7590
210.8879,2.7021,2.7729,2.7729,-2.7729
212.9944,2.7320,2.7905,2.7905,-2.7905
215.1219,2.7693,2.8113,2.8113,-2.8113
217.2707,2.8093,2.8346,2.8346,-2.8346
219.4410,2.8565,2.8596,2.8596,-2.8596
221.6329,2.8991,2.8854,2.8854,-2.8854
223.8468,2.9391,2.9112,2.9112,-2.9112
226.0827,2.9718,2.9360,2.9360,-2.9360
228.3410,3.0018,2.9591,2.9591,-2.9591
230.6219,3.0318,2.9797,2.9797,-2.9797
232.9255,3.0544,2.9974,2.9974,-2.9974
235.2521,3.0672,3.0115,3.0115,-3.0115
237.6020,3.0772,3.0217,3.0217,-3.0217
239.9754,3.0800,3.0280,3.0280,-3.0280
242.3724,3.0800,3.0303,3.0303,-3.0303
244.7934,3.0728,3.0285,3.0285,-3.0285
247.2386,3.0628,3.0231,3.0231,-3.0231
249.7082,3.0457,3.0140,3.0140,-3.0140
252.2025,3.0329,3.0017,3.0017,-3.0017
254.7217,3.0158,2.9863,2.9863,-2.9863
257.2661,2.9958,2.9681,2.9681,-2.9681
259.8358,2.9758,2.9472,2.9472,-2.9472
262.4313,2.9487,2.9239,2.9239,-2.9239
265.0527,2.9188,2.8983,2.8983,-2.8983
267.7002,2.8888,2.8707,2.8707,-2.8707
270.3742,2.8588,2.8412,2.8412,-2.8412
273.0749,2.8288,2.8101,2.8101,-2.8101
275.8026,2.7918,2.7773,2.7773,-2.7773
278.5575,2.7589,2.7431,2.7431,-2.7431
281.3400,2.7219,2.7074,2.7074,-2.7074
284.1502,2.6889,2.6704,2.6704,-2.6704
286.9885,2.6449,2.6321,2.6321,-2.6321
289.8552,2.6020,2.5927,2.5927,-2.5927
292.7505,2.5621,2.5521,2.5521,-2.5521
295.6747,2.5222,2.5106,2.5106,-2.5106
298.6281,2.4752,2.4679,2.4679,-2.4679
301.6111,2.4323,2.4242,2.4242,-2.4242
304.6238,2.3923,2.3794,2.3794,-2.3794
307.6666,2.3454,2.3335,2.3335,-2.3335
310.7398,2.2954,2.2865,2.2865,-2.2865
313.8437,2.2524,2.2385,2.2385,-2.2385
316.9786,2.2056,2.1893,2.1893,-2.1893
320.1449,2.1556,2.1390,2.1390,-2.1390
323.3427,2.1057,2.0876,2.0876,-2.0876
326.5725,2.0488,2.0349,2.0349,-2.0349
329.8346,1.9958,1.9811,1.9811,-1.9811
333.1292,1.9390,1.9261,1.9261,-1.9261
336.4568,1.8791,1.8701,1.8701,-1.8701
339.8176,1.8192,1.8130,1.8130,-1.8130
343.2119,1.7660,1.7549,1.7549,-1.7549
346.6402,1.7093,1.6959,1.6959,-1.6959
350.1027,1.6494,1.6357,1.6357,-1.6357
353.5998,1.5827,1.5743,1.5743,-1.5743
357.1318,1.5195,1.5119,1.5119,-1.5119
360.6991,1.4596,1.4484,1.4484,-1.4484
364.3021,1.3930,1.3837,1.3837,-1.3837
367.9410,1.3297,1.3178,1.3178,-1.3178
371.6163,1.2697,1.2506,1.2506,-1.2506
375.3283,1.2031,1.1821,1.1821,-1.1821
379.0774,1.1333,1.1123,1.1123,-1.1123
382.8639,1.0633,1.0413,1.0413,-1.0413
386.6882,0.9867,0.9693,0.9693,-0.9693
390.5508,0.9134,0.8966,0.8966,-0.8966
394.4519,0.8369,0.8236,0.8236,-0.8236
398.3920,0.7570,0.7505,0.7505,-0.7505
402.3714,0.6704,0.6779,0.6779,-0.6779
406.3906,0.5871,0.6061,0.6061,-0.6061
410.4500,0.5073,0.5359,0.5359,-0.5359
414.5498,0.4340,0.4676,0.4676,-0.4676
418.6907,0.3575,0.4017,0.4017,-0.4017
422.8729,0.2907,0.3387,0.3387,-0.3387
427.0969,0.2242,0.2789,0.2789,-0.2789
431.3631,0.1673,0.2229,0.2229,-0.2229
435.6718,0.1174,0.1707,0.1707,-0.1707
440.0237,0.0740,0.1226,0.1226,-0.1226
444.4190,0.0340,0.0785,0.0785,-0.0785
448.8582,-0.0060,0.0383,0.0383,-0.0383
453.3417,-0.0459,0.0021,0.0021,-0.0021
457.8700,-0.0729,-0.0301,-0.0301,0.0301
