frequency,raw,smoothed,error,equalization
20.0000,0.9600,1.1282,1.1282,-1.1282
20.1998,0.9900,1.1504,1.1504,-1.1504
20.4015,1.0305,1.1762,1.1762,-1.1762
20.6053,1.0984,1.2053,1.2053,-1.2053
20.8112,1.1602,1.2368,1.2368,-1.2368
21.0190,1.1998,1.2705,1.2705,-1.2705
21.2290,1.2498,1.3067,1.3067,-1.3067
21.4410,1.3003,1.3454,1.3454,-1.3454
21.6552,1.3587,1.3871,1.3871,-1.3871
21.8715,1.4204,1.4319,1.4319,-1.4319
22.0900,1.4800,1.4801,1.4801,-1.4801
22.3106,1.5302,1.5322,1.5322,-1.5322
22.5335,1.5883,1.5873,1.5873,-1.5873
22.7586,1.6496,1.6424,1.6424,-1.6424
22.9859,1.6991,1.6972,1.6972,-1.6972
23.2155,1.7588,1.7519,1.7519,-1.7519
23.4474,1.8094,1.8064,1.8064,-1.8064
23.6816,1.8583,1.8607,1.8607,-1.8607
23.9182,1.9195,1.9149,1.9149,-1.9149
24.1571,1.9694,1.9686,1.9686,-1.9686
24.3984,2.0296,2.0221,2.0221,-2.0221
24.6421,2.0784,2.0752,2.0752,-2.0752
24.8882,2.1396,2.1280,2.1280,-2.1280
25.1368,2.1894,2.1803,2.1803,-2.1803
25.3879,2.2297,2.2323,2.2323,-2.2323
25.6415,2.2784,2.2839,2.2839,-2.2839
25.8976,2.3371,2.3354,2.3354,-2.3354
26.1563,2.3991,2.3866,2.3866,-2.3866
26.4176,2.4382,2.4374,2.4374,-2.4374
26.6815,2.4884,2.4879,2.4879,-2.4879
26.9480,2.5378,2.5381,2.5381,-2.5381
27.2172,2.5971,2.5881,2.5881,-2.5881
27.4890,2.6480,2.6379,2.6379,-2.6379
27.7636,2.6891,2.6873,2.6873,-2.6873
28.0409,2.7384,2.7366,2.7366,-2.7366
28.3210,2.7884,2.7857,2.7857,-2.7857
28.6039,2.8278,2.8346,2.8346,-2.8346
28.8896,2.8782,2.8834,2.8834,-2.8834
29.1782,2.9376,2.9321,2.9321,-2.9321
29.4697,2.9882,2.9805,2.9805,-2.9805
29.7640,3.0184,3.0287,3.0287,-3.0287
30.0613,3.0856,3.0768,3.0768,-3.0768
30.3616,3.1275,3.1246,3.1246,-3.1246
30.6649,3.1775,3.1720,3.1720,-3.1720
30.9712,3.2270,3.2192,3.2192,-3.2192
31.2806,3.2675,3.2660,3.2660,-3.2660
31.5930,3.3173,3.3125,3.3125,-3.3125
31.9086,3.3667,3.3587,3.3587,-3.3587
32.2273,3.4084,3.4045,3.4045,-3.4045
32.5492,3.4569,3.4500,3.4500,-3.4500
32.8744,3.4980,3.4951,3.4951,-3.4951
33.2027,3.5474,3.5400,3.5400,-3.5400
33.5344,3.5786,3.5844,3.5844,-3.5844
33.8694,3.6364,3.6286,3.6286,-3.6286
34.2077,3.6680,3.6725,3.6725,-3.6725
34.5494,3.7170,3.7161,3.7161,-3.7161
34.8945,3.7571,3.7596,3.7596,-3.7596
35.2430,3.8061,3.8028,3.8028,-3.8028
35.5951,3.8564,3.8458,3.8458,-3.8458
35.9506,3.8883,3.8883,3.8883,-3.8883
36.3097,3.9466,3.9307,3.9307,-3.9307
36.6724,3.9778,3.9725,3.9725,-3.9725
37.0387,4.0176,4.0141,4.0141,-4.0141
37.4087,4.0577,4.0554,4.0554,-4.0554
37.7824,4.0878,4.0964,4.0964,-4.0964
38.1598,4.1452,4.1373,4.1373,-4.1373
38.5409,4.1777,4.1778,4.1778,-4.1778
38.9259,4.2268,4.2181,4.2181,-4.2181
39.3147,4.2581,4.2580,4.2580,-4.2580
39.7074,4.2967,4.2977,4.2977,-4.2977
40.1041,4.3455,4.3373,4.3373,-4.3373
40.5046,4.3773,4.3766,4.3766,-4.3766
40.9092,4.4169,4.4158,4.4158,-4.4158
41.3179,4.4569,4.4549,4.4549,-4.4549
41.7306,4.4971,4.4940,4.4940,-4.4940
42.1474,4.5277,4.5332,4.5332,-4.5332
42.5684,4.5762,4.5729,4.5729,-4.5729
42.9936,4.6075,4.6132,4.6132,-4.6132
43.4231,4.6466,4.6546,4.6546,-4.6546
43.8568,4.6951,4.6971,4.6971,-4.6971
44.2949,4.7276,4.7407,4.7407,-4.7407
44.7374,4.7572,4.7852,4.7852,-4.7852
45.1842,4.8049,4.8304,4.8304,-4.8304
45.6356,4.8460,4.8757,4.8757,-4.8757
46.0914,4.8774,4.9204,4.9204,-4.9204
46.5518,4.9338,4.9641,4.9641,-4.9641
47.0168,5.0034,5.0061,5.0061,-5.0061
47.4864,5.0826,5.0453,5.0453,-5.0453
47.9608,5.1618,5.0812,5.0812,-5.0812
48.4398,5.2237,5.1131,5.1131,-5.1131
48.9237,5.2661,5.1406,5.1406,-5.1406
49.4124,5.3151,5.1636,5.1636,-5.1636
49.9059,5.3022,5.1819,5.1819,-5.1819
50.4044,5.2822,5.1963,5.1963,-5.1963
50.9079,5.2531,5.2074,5.2074,-5.2074
51.4164,5.2142,5.2163,5.2163,-5.2163
51.9300,5.1658,5.2241,5.2241,-5.2241
52.4487,5.1424,5.2319,5.2319,-5.2319
52.9726,5.1400,5.2406,5.2406,-5.2406
53.5018,5.1756,5.2512,5.2512,-5.2512
54.0362,5.2065,5.2637,5.2637,-5.2637
54.5759,5.2364,5.2786,5.2786,-5.2786
55.1211,5.2756,5.2958,5.2958,-5.2958
55.6717,5.3063,5.3153,5.3153,-5.3153
56.2278,5.3366,5.3371,5.3371,-5.3371
56.7894,5.3663,5.3606,5.3606,-5.3606
57.3567,5.3966,5.3854,5.3854,-5.3854
57.9296,5.4176,5.4109,5.4109,-5.4109
58.5082,5.4551,5.4368,5.4368,-5.4368
59.0927,5.4600,5.4622,5.4622,-5.4622
59.6829,5.5036,5.4872,5.4872,-5.4872
60.2791,5.5100,5.5113,5.5113,-5.5113
