frequency,raw,smoothed,error,equalization
20.0000,7.5700,7.7080,7.7080,-7.7080
20.1998,7.6100,7.7236,7.7236,-7.7236
20.4015,7.6503,7.7413,7.7413,-7.7413
20.6053,7.6891,7.7607,7.7607,-7.7607
20.8112,7.7302,7.7815,7.7815,-7.7815
21.0190,7.7698,7.8033,7.8033,-7.8033
21.2290,7.7999,7.8261,7.8261,-7.8261
21.4410,7.8401,7.8501,7.8501,-7.8501
21.6552,7.8693,7.8753,7.8753,-7.8753
21.8715,7.9102,7.9019,7.9019,-7.9019
22.0900,7.9400,7.9300,7.9300,-7.9300
22.3106,7.9701,7.9599,7.9599,-7.9599
22.5335,7.9992,7.9909,7.9909,-7.9909
22.7586,8.0298,8.0210,8.0210,-8.0210
22.9859,8.0595,8.0502,8.0502,-8.0502
23.2155,8.0894,8.0787,8.0787,-8.0787
23.4474,8.1098,8.1063,8.1063,-8.1063
23.6816,8.1390,8.1332,8.1332,-8.1332
23.9182,8.1698,8.1594,8.1594,-8.1594
24.1571,8.1898,8.1849,8.1849,-8.1849
24.3984,8.2198,8.2097,8.2097,-8.2097
24.6421,8.2394,8.2337,8.2337,-8.2337
24.8882,8.2698,8.2570,8.2570,-8.2570
25.1368,8.2897,8.2796,8.2796,-8.2796
25.3879,8.3098,8.3014,8.3014,-8.3014
25.6415,8.3293,8.3224,8.3224,-8.3224
25.8976,8.3490,8.3428,8.3428,-8.3428
26.1563,8.3697,8.3626,8.3626,-8.3626
26.4176,8.3891,8.3816,8.3816,-8.3816
26.6815,8.4093,8.3998,8.3998,-8.3998
26.9480,8.4291,8.4173,8.4173,-8.4173
27.2172,8.4395,8.4340,8.4340,-8.4340
27.4890,8.4592,8.4501,8.4501,-8.4501
27.7636,8.4698,8.4654,8.4654,-8.4654
28.0409,8.4894,8.4801,8.4801,-8.4801
28.3210,8.4997,8.4941,8.4941,-8.4941
28.6039,8.5189,8.5073,8.5073,-8.5073
28.8896,8.5296,8.5199,8.5199,-8.5199
29.1782,8.5396,8.5316,8.5316,-8.5316
29.4697,8.5496,8.5427,8.5427,-8.5427
29.7640,8.5595,8.5530,8.5530,-8.5530
30.0613,8.5694,8.5627,8.5627,-8.5627
30.3616,8.5794,8.5717,8.5717,-8.5717
30.6649,8.5895,8.5800,8.5800,-8.5800
30.9712,8.5994,8.5875,8.5875,-8.5875
31.2806,8.6000,8.5943,8.5943,-8.5943
31.5930,8.6095,8.6004,8.6004,-8.6004
31.9086,8.6100,8.6057,8.6057,-8.6057
32.2273,8.6196,8.6105,8.6105,-8.6105
32.5492,8.6200,8.6146,8.6146,-8.6146
32.8744,8.6295,8.6181,8.6181,-8.6181
33.2027,8.6300,8.6209,8.6209,-8.6209
33.5344,8.6300,8.6230,8.6230,-8.6230
33.8694,8.6300,8.6245,8.6245,-8.6245
34.2077,8.6300,8.6253,8.6253,-8.6253
34.5494,8.6300,8.6256,8.6256,-8.6256
34.8945,8.6300,8.6254,8.6254,-8.6254
35.2430,8.6300,8.6246,8.6246,-8.6246
35.5951,8.6300,8.6232,8.6232,-8.6232
35.9506,8.6300,8.6212,8.6212,-8.6212
36.3097,8.6300,8.6185,8.6185,-8.6185
36.6724,8.6207,8.6152,8.6152,-8.6152
37.0387,8.6200,8.6114,8.6114,-8.6114
37.4087,8.6106,8.6069,8.6069,-8.6069
37.7824,8.6100,8.6019,8.6019,-8.6019
38.1598,8.6008,8.5962,8.5962,-8.5962
38.5409,8.6000,8.5900,8.5900,-8.5900
38.9259,8.5906,8.5832,8.5832,-8.5832
39.3147,8.5806,8.5757,8.5757,-8.5757
39.7074,8.5708,8.5677,8.5677,-8.5677
40.1041,8.5609,8.5591,8.5591,-8.5591
40.5046,8.5600,8.5501,8.5501,-8.5501
40.9092,8.5508,8.5404,8.5404,-8.5404
41.3179,8.5408,8.5302,8.5302,-8.5302
41.7306,8.5214,8.5194,8.5194,-8.5194
42.1474,8.5108,8.5080,8.5080,-8.5080
42.5684,8.5008,8.4962,8.4962,-8.4962
42.9936,8.4908,8.4837,8.4837,-8.4837
43.4231,8.4809,8.4707,8.4707,-8.4707
43.8568,8.4620,8.4571,8.4571,-8.4571
44.2949,8.4508,8.4428,8.4428,-8.4428
44.7374,8.4319,8.4280,8.4280,-8.4280
45.1842,8.4210,8.4125,8.4125,-8.4125
45.6356,8.4020,8.3965,8.3965,-8.3965
46.0914,8.3909,8.3800,8.3800,-8.3800
46.5518,8.3721,8.3629,8.3629,-8.3629
47.0168,8.3519,8.3452,8.3452,-8.3452
47.4864,8.3319,8.3270,8.3270,-8.3270
47.9608,8.3121,8.3082,8.3082,-8.3082
48.4398,8.2921,8.2890,8.2890,-8.2890
48.9237,8.2719,8.2693,8.2693,-8.2693
49.4124,8.2519,8.2492,8.2492,-8.2492
49.9059,8.2322,8.2288,8.2288,-8.2288
50.4044,8.2122,8.2078,8.2078,-8.2078
50.9079,8.1921,8.1865,8.1865,-8.1865
51.4164,8.1721,8.1648,8.1648,-8.1648
51.9300,8.1523,8.1426,8.1426,-8.1426
52.4487,8.1235,8.1199,8.1199,-8.1199
52.9726,8.1022,8.0969,8.0969,-8.0969
53.5018,8.0733,8.0735,8.0735,-8.0735
54.0362,8.0524,8.0498,8.0498,-8.0498
54.5759,8.0324,8.0256,8.0256,-8.0256
55.1211,8.0033,8.0010,8.0010,-8.0010
55.6717,7.9824,7.9759,7.9759,-7.9759
56.2278,7.9534,7.9504,7.9504,-7.9504
56.7894,7.9325,7.9244,7.9244,-7.9244
57.3567,7.9034,7.8980,7.8980,-7.8980
57.9296,7.8736,7.8711,7.8711,-7.8711
58.5082,7.8525,7.8438,7.8438,-7.8438
59.0927,7.8235,7.8161,7.8161,-7.8161
59.6829,7.7939,7.7878,7.7878,-7.7878
60.2791,7.7636,7.7591,7.7591,-7.7591
60.8812,7.7339,7.7300,7.7300,-7.7300
61.4893,7.7040,7.7005,7.7005,-7.7005
62.1035,7.6738,7.6707,7.6707,-7.6707
62.7239,7.6437,7.6404,7.6404,-7.6404
63.3504,7.6138,7.6099,7.6099,-7.6099
63.9832,7.5841,7.5790,7.5790,-7.5790
64.6223,7.5541,7.5477,7.5477,-7.5477
65.2678,7.5151,7.5161,7.5161,-7.5161
65.9198,7.4841,7.4843,7.4843,-7.4843
66.5782,7.4542,7.4522,7.4522,-7.4522
67.2433,7.4239,7.4198,7.4198,-7.4198
67.9149,7.3942,7.3872,7.3872,-7.3872
68.5933,7.3557,7.3542,7.3542,-7.3542
69.2785,7.3240,7.3210,7.3210,-7.3210
69.9705,7.2943,7.2874,7.2874,-7.2874
70.6694,7.2557,7.2535,7.2535,-7.2535
71.3753,7.2244,7.2194,7.2194,-7.2194
72.0883,7.1857,7.1849,7.1849,-7.1849
72.8083,7.1542,7.1502,7.1502,-7.1502
73.5356,7.1157,7.1151,7.1151,-7.1151
74.2701,7.0845,7.0799,7.0799,-7.0799
75.0120,7.0458,7.0442,7.0442,-7.0442
75.7613,7.0143,7.0084,7.0084,-7.0084
76.5180,6.9759,6.9722,6.9722,-6.9722
77.2824,6.9361,6.9358,6.9358,-6.9358
78.0543,6.9045,6.8992,6.8992,-6.8992
78.8340,6.8659,6.8623,6.8623,-6.8623
79.6214,6.8260,6.8252,6.8252,-6.8252
80.4168,6.7862,6.7879,6.7879,-6.7879
81.2200,6.7548,6.7505,6.7505,-6.7505
82.0313,6.7164,6.7128,6.7128,-6.7128
82.8507,6.6763,6.6749,6.6749,-6.6749
83.6783,6.6363,6.6368,6.6368,-6.6368
84.5141,6.5965,6.5986,6.5986,-6.5986
85.3583,6.5650,6.5602,6.5602,-6.5602
86.2109,6.5265,6.5216,6.5216,-6.5216
87.0721,6.4868,6.4828,6.4828,-6.4828
87.9418,6.4468,6.4438,6.4438,-6.4438
88.8203,6.4068,6.4046,6.4046,-6.4046
89.7075,6.3669,6.3653,6.3653,-6.3653
90.6035,6.3270,6.3258,6.3258,-6.3258
91.5085,6.2867,6.2862,6.2862,-6.2862
92.4226,6.2468,6.2465,6.2465,-6.2465
93.3458,6.2071,6.2068,6.2068,-6.2068
94.2782,6.1670,6.1670,6.1670,-6.1670
95.2199,6.1272,6.1271,6.1271,-6.1271
96.1711,6.0871,6.0871,6.0871,-6.0871
97.1317,6.0470,6.0471,6.0471,-6.0471
