frequency,raw,smoothed,error,equalization
20.0000,8.2400,8.3546,8.3546,-8.3546
20.1998,8.2800,8.3674,8.3674,-8.3674
20.4015,8.3102,8.3819,8.3819,-8.3819
20.6053,8.3393,8.3977,8.3977,-8.3977
20.8112,8.3702,8.4147,8.4147,-8.4147
21.0190,8.3999,8.4326,8.4326,-8.4326
21.2290,8.4299,8.4516,8.4516,-8.4516
21.4410,8.4601,8.4715,8.4715,-8.4715
21.6552,8.4893,8.4925,8.4925,-8.4925
21.8715,8.5201,8.5147,8.5147,-8.5147
22.0900,8.5400,8.5382,8.5382,-8.5382
22.3106,8.5701,8.5632,8.5632,-8.5632
22.5335,8.5992,8.5892,8.5892,-8.5892
22.7586,8.6199,8.6144,8.6144,-8.6144
22.9859,8.6495,8.6390,8.6390,-8.6390
23.2155,8.6696,8.6628,8.6628,-8.6628
23.4474,8.6898,8.6860,8.6860,-8.6860
23.6816,8.7190,8.7086,8.7086,-8.7086
23.9182,8.7398,8.7304,8.7304,-8.7304
24.1571,8.7598,8.7514,8.7514,-8.7514
24.3984,8.7799,8.7717,8.7717,-8.7717
24.6421,8.7994,8.7914,8.7914,-8.7914
24.8882,8.8199,8.8103,8.8103,-8.8103
25.1368,8.8397,8.8285,8.8285,-8.8285
25.3879,8.8499,8.8459,8.8459,-8.8459
25.6415,8.8693,8.8627,8.8627,-8.8627
25.8976,8.8890,8.8787,8.8787,-8.8787
26.1563,8.8999,8.8939,8.8939,-8.8939
26.4176,8.9191,8.9084,8.9084,-8.9084
26.6815,8.9297,8.9221,8.9221,-8.9221
26.9480,8.9396,8.9350,8.9350,-8.9350
27.2172,8.9590,8.9474,8.9474,-8.9474
27.4890,8.9696,8.9589,8.9589,-8.9589
27.7636,8.9798,8.9697,8.9697,-8.9697
28.0409,8.9897,8.9797,8.9797,-8.9797
28.3210,8.9997,8.9890,8.9890,-8.9890
28.6039,9.0000,8.9976,8.9976,-8.9976
28.8896,9.0096,9.0056,9.0056,-9.0056
