frequency,raw,smoothed,error,equalization
20.0000,-0.3200,-0.1632,-0.1632,0.1632
20.1998,-0.3000,-0.1368,-0.1368,0.1368
20.4015,-0.2699,-0.1061,-0.1061,0.1061
20.6053,-0.2504,-0.0714,-0.0714,0.0714
20.8112,-0.1796,-0.0325,-0.0325,0.0325
21.0190,-0.1103,0.0100,0.0100,-0.0100
21.2290,-0.0304,0.0561,0.0561,-0.0561
21.4410,0.0504,0.1055,0.1055,-0.1055
21.6552,0.1283,0.1583,0.1583,-0.1583
21.8715,0.2106,0.2149,0.2149,-0.2149
22.0900,0.2900,0.2756,0.2756,-0.2756
22.3106,0.3602,0.3408,0.3408,-0.3408
22.5335,0.4280,0.4096,0.4096,-0.4096
22.7586,0.4995,0.4789,0.4789,-0.4789
22.9859,0.5589,0.5483,0.5483,-0.5483
23.2155,0.6188,0.6178,0.6178,-0.6178
23.4474,0.6793,0.6874,0.6874,-0.6874
23.6816,0.7379,0.7574,0.7574,-0.7574
23.9182,0.8094,0.8280,0.8280,-0.8280
24.1571,0.8791,0.8992,0.8992,-0.8992
24.3984,0.9495,0.9711,0.9711,-0.9711
24.6421,1.0178,1.0437,1.0437,-1.0437
24.8882,1.0994,1.1170,1.1170,-1.1170
25.1368,1.1790,1.1907,1.1907,-1.1907
25.3879,1.2593,1.2645,1.2645,-1.2645
25.6415,1.3374,1.3380,1.3380,-1.3380
25.8976,1.4257,1.4109,1.4109,-1.4109
26.1563,1.5088,1.4829,1.4829,-1.4829
26.4176,1.5863,1.5533,1.5533,-1.5533
26.6815,1.6674,1.6221,1.6221,-1.6221
26.9480,1.7369,1.6887,1.6887,-1.6887
27.2172,1.7971,1.7532,1.7532,-1.7532
27.4890,1.8480,1.8156,1.8156,-1.8156
27.7636,1.9086,1.8762,1.8762,-1.8762
28.0409,1.9584,1.9350,1.9350,-1.9350
28.3210,1.9987,1.9925,1.9925,-1.9925
28.6039,2.0472,2.0489,2.0489,-2.0489
28.8896,2.0982,2.1046,2.1046,-2.1046
29.1782,2.1480,2.1599,2.1599,-2.1599
29.4697,2.1982,2.2150,2.2150,-2.2150
29.7640,2.2568,2.2702,2.2702,-2.2702
30.0613,2.3069,2.3257,2.3257,-2.3257
30.3616,2.3663,2.3816,2.3816,-2.3816
30.6649,2.4365,2.4380,2.4380,-2.4380
30.9712,2.4964,2.4948,2.4948,-2.4948
31.2806,2.5562,2.5518,2.5518,-2.5518
31.5930,2.6167,2.6089,2.6089,-2.6089
31.9086,2.6760,2.6661,2.6661,-2.6661
32.2273,2.7280,2.7230,2.7230,-2.7230
32.5492,2.7862,2.7797,2.7797,-2.7797
32.8744,2.8376,2.8361,2.8361,-2.8361
33.2027,2.8969,2.8922,2.8922,-2.8922
33.5344,2.9476,2.9479,2.9479,-2.9479
33.8694,3.0064,3.0032,3.0032,-3.0032
34.2077,3.0661,3.0580,3.0580,-3.0580
34.5494,3.1170,3.1123,3.1123,-3.1123
34.8945,3.1756,3.1662,3.1662,-3.1662
35.2430,3.2261,3.2196,3.2196,-3.2196
35.5951,3.2764,3.2727,3.2727,-3.2727
35.9506,3.3272,3.3255,3.3255,-3.3255
36.3097,3.3772,3.3781,3.3781,-3.3781
36.6724,3.4355,3.4306,3.4306,-3.4306
37.0387,3.4870,3.4827,3.4827,-3.4827
37.4087,3.5371,3.5346,3.5346,-3.5346
37.7824,3.5864,3.5861,3.5861,-3.5861
38.1598,3.6360,3.6374,3.6374,-3.6374
38.5409,3.6862,3.6884,3.6884,-3.6884
38.9259,3.7368,3.7391,3.7391,-3.7391
39.3147,3.7961,3.7897,3.7897,-3.7897
39.7074,3.8459,3.8399,3.8399,-3.8399
