frequency,raw,smoothed,error,equalization
20.0000,3.7700,4.0681,4.0681,-4.0681
20.1998,3.8499,4.1034,4.1034,-4.1034
20.4015,3.9406,4.1439,4.1439,-4.1439
20.6053,4.0182,4.1884,4.1884,-4.1884
20.8112,4.1104,4.2363,4.2363,-4.2363
21.0190,4.1896,4.2872,4.2872,-4.2872
21.2290,4.2796,4.3413,4.3413,-4.3413
21.4410,4.3604,4.3984,4.3984,-4.3984
21.6552,4.4383,4.4589,4.4589,-4.4589
21.8715,4.5206,4.5232,4.5232,-4.5232
22.0900,4.6000,4.5917,4.5917,-4.5917
22.3106,4.6802,4.6651,4.6651,-4.6651
22.5335,4.7577,4.7415,4.7415,-4.7415
22.7586,4.8295,4.8168,4.8168,-4.8168
22.9859,4.9086,4.8910,4.8910,-4.8910
23.2155,4.9786,4.9638,4.9638,-4.9638
23.4474,5.0492,5.0354,5.0354,-5.0354
23.6816,5.1176,5.1058,5.1058,-5.1058
23.9182,5.1894,5.1751,5.1751,-5.1751
24.1571,5.2591,5.2432,5.2432,-5.2432
24.3984,5.3196,5.3101,5.3101,-5.3101
24.6421,5.3878,5.3760,5.3760,-5.3760
24.8882,5.4496,5.4407,5.4407,-5.4407
25.1368,5.5191,5.5045,5.5045,-5.5045
25.3879,5.5795,5.5671,5.5671,-5.5671
25.6415,5.6380,5.6287,5.6287,-5.6287
25.8976,5.6971,5.6893,5.6893,-5.6893
26.1563,5.7591,5.7489,5.7489,-5.7489
26.4176,5.8172,5.8075,5.8075,-5.8075
26.6815,5.8780,5.8651,5.8651,-5.8651
26.9480,5.9373,5.9216,5.9216,-5.9216
27.2172,5.9876,5.9771,5.9771,-5.9771
27.4890,6.0476,6.0315,6.0315,-6.0315
27.7636,6.0988,6.0849,6.0849,-6.0849
28.0409,6.1484,6.1372,6.1372,-6.1372
28.3210,6.1984,6.1885,6.1885,-6.1885
28.6039,6.2472,6.2388,6.2388,-6.2388
28.8896,6.2982,6.2881,6.2881,-6.2881
29.1782,6.3480,6.3365,6.3365,-6.3365
29.4697,6.3982,6.3838,6.3838,-6.3838
29.7640,6.4379,6.4301,6.4301,-6.4301
30.0613,6.4869,6.4755,6.4755,-6.4755
30.3616,6.5275,6.5198,6.5198,-6.5198
30.6649,6.5775,6.5633,6.5633,-6.5633
30.9712,6.6176,6.6060,6.6060,-6.6060
31.2806,6.6575,6.6477,6.6477,-6.6477
31.5930,6.6978,6.6887,6.6887,-6.6887
31.9086,6.7373,6.7288,6.7288,-6.7288
32.2273,6.7784,6.7681,6.7681,-6.7681
32.5492,6.8175,6.8064,6.8064,-6.8064
32.8744,6.8485,6.8439,6.8439,-6.8439
33.2027,6.8879,6.8804,6.8804,-6.8804
33.5344,6.9186,6.9160,6.9160,-6.9160
33.8694,6.9576,6.9507,6.9507,-6.9507
34.2077,6.9974,6.9843,6.9843,-6.9843
34.5494,7.0376,7.0168,7.0168,-7.0168
34.8945,7.0678,7.0480,7.0480,-7.0480
35.2430,7.0977,7.0780,7.0780,-7.0780
35.5951,7.1279,7.1066,7.1066,-7.1066
35.9506,7.1489,7.1339,7.1339,-7.1339
36.3097,7.1783,7.1599,7.1599,-7.1599
36.6724,7.1985,7.1846,7.1846,-7.1846
37.0387,7.2188,7.2082,7.2082,-7.2082
37.4087,7.2483,7.2306,7.2306,-7.2306
37.7824,7.2593,7.2517,7.2517,-7.2517
38.1598,7.2784,7.2718,7.2718,-7.2718
38.5409,7.2985,7.2910,7.2910,-7.2910
38.9259,7.3187,7.3091,7.3091,-7.3091
39.3147,7.3387,7.3264,7.3264,-7.3264
39.7074,7.3492,7.3427,7.3427,-7.3427
40.1041,7.3682,7.3582,7.3582,-7.3582
40.5046,7.3791,7.3727,7.3727,-7.3727
40.9092,7.3985,7.3865,7.3865,-7.3865
41.3179,7.4092,7.3993,7.3993,-7.3993
41.7306,7.4193,7.4113,7.4113,-7.4113
42.1474,7.4384,7.4223,7.4223,-7.4223
42.5684,7.4492,7.4324,7.4324,-7.4324
42.9936,7.4500,7.4414,7.4414,-7.4414
