frequency,raw,smoothed,error,equalization
20.0000,7.4400,7.4076,7.4076,-7.4076
20.1998,7.4400,7.4016,7.4016,-7.4016
20.4015,7.4300,7.3947,7.3947,-7.3947
20.6053,7.4300,7.3869,7.3869,-7.3869
20.8112,7.4099,7.3782,7.3782,-7.3782
21.0190,7.4000,7.3689,7.3689,-7.3689
21.2290,7.3801,7.3590,7.3590,-7.3590
21.4410,7.3599,7.3486,7.3486,-7.3486
21.6552,7.3404,7.3378,7.3378,-7.3378
21.8715,7.3199,7.3267,7.3267,-7.3267
22.0900,7.3000,7.3152,7.3152,-7.3152
22.3106,7.2899,7.3034,7.3034,-7.3034
22.5335,7.2706,7.2915,7.2915,-7.2915
22.7586,7.2601,7.2802,7.2802,-7.2802
22.9859,7.2502,7.2693,7.2693,-7.2693
23.2155,7.2500,7.2588,7.2588,-7.2588
23.4474,7.2401,7.2482,7.2482,-7.2482
23.6816,7.2400,7.2374,7.2374,-7.2374
23.9182,7.2400,7.2255,7.2255,-7.2255
24.1571,7.2301,7.2120,7.2120,-7.2120
24.3984,7.2300,7.1964,7.1964,-7.1964
24.6421,7.2203,7.1777,7.1777,-7.1777
24.8882,7.2101,7.1555,7.1555,-7.1555
25.1368,7.1903,7.1291,7.1291,-7.1291
25.3879,7.1702,7.0984,7.0984,-7.0984
25.6415,7.1410,7.0631,7.0631,-7.0631
25.8976,7.1019,7.0232,7.0232,-7.0232
26.1563,7.0606,6.9790,6.9790,-6.9790
26.4176,7.0028,6.9312,6.9312,-6.9312
26.6815,6.9323,6.8806,6.8806,-6.8806
26.9480,6.8631,6.8281,6.8281,-6.8281
27.2172,6.7743,6.7748,6.7748,-6.7748
27.4890,6.6932,6.7219,6.7219,-6.7219
27.7636,6.6119,6.6704,6.6704,-6.6704
28.0409,6.5423,6.6212,6.6212,-6.6212
28.3210,6.4819,6.5752,6.5752,-6.5752
28.6039,6.4328,6.5328,6.5328,-6.5328
28.8896,6.3915,6.4948,6.4948,-6.4948
29.1782,6.3804,6.4616,6.4616,-6.4616
29.4697,6.3704,6.4332,6.4332,-6.4332
29.7640,6.3795,6.4099,6.4099,-6.4099
30.0613,6.3800,6.3912,6.3912,-6.3912
30.3616,6.3800,6.3765,6.3765,-6.3765
30.6649,6.3705,6.3654,6.3654,-6.3654
30.9712,6.3418,6.3572,6.3572,-6.3572
31.2806,6.3119,6.3516,6.3516,-6.3516
31.5930,6.2911,6.3485,6.3485,-6.3485
31.9086,6.2807,6.3477,6.3477,-6.3477
32.2273,6.2896,6.3487,6.3487,-6.3487
32.5492,6.3181,6.3512,6.3512,-6.3512
32.8744,6.3580,6.3543,6.3543,-6.3543
33.2027,6.3884,6.3571,6.3571,-6.3571
33.5344,6.4091,6.3588,6.3588,-6.3588
33.8694,6.4100,6.3586,6.3586,-6.3586
34.2077,6.4007,6.3563,6.3563,-6.3563
34.5494,6.3906,6.3514,6.3514,-6.3514
34.8945,6.3715,6.3435,6.3435,-6.3435
35.2430,6.3700,6.3324,6.3324,-6.3324
35.5951,6.3607,6.3176,6.3176,-6.3176
35.9506,6.3600,6.2988,6.2988,-6.2988
36.3097,6.3506,6.2758,6.2758,-6.2758
36.6724,6.3222,6.2484,6.2484,-6.2484
37.0387,6.2824,6.2172,6.2172,-6.2172
37.4087,6.2329,6.1828,6.1828,-6.1828
37.7824,6.1744,6.1456,6.1456,-6.1456
38.1598,6.1148,6.1064,6.1064,-6.1064
38.5409,6.0546,6.0657,6.0657,-6.0657
38.9259,6.0032,6.0239,6.0239,-6.0239
39.3147,5.9626,5.9815,5.9815,-5.9815
39.7074,5.9141,5.9387,5.9387,-5.9387
40.1041,5.8827,5.8959,5.8959,-5.8959
40.5046,5.8435,5.8535,5.8535,-5.8535
40.9092,5.8123,5.8118,5.8118,-5.8118
41.3179,5.7731,5.7710,5.7710,-5.7710
41.7306,5.7329,5.7313,5.7313,-5.7313
42.1474,5.6931,5.6927,5.6927,-5.6927
