frequency,raw,smoothed,error,equalization
20.0000,9.0500,9.0491,9.0491,-9.0491
20.1998,9.0500,9.0483,9.0483,-9.0483
20.4015,9.0501,9.0475,9.0475,-9.0475
20.6053,9.0598,9.0466,9.0466,-9.0466
20.8112,9.0500,9.0453,9.0453,-9.0453
21.0190,9.0500,9.0438,9.0438,-9.0438
21.2290,9.0500,9.0422,9.0422,-9.0422
21.4410,9.0400,9.0405,9.0405,-9.0405
21.6552,9.0400,9.0386,9.0386,-9.0386
21.8715,9.0399,9.0367,9.0367,-9.0367
22.0900,9.0300,9.0344,9.0344,-9.0344
22.3106,9.0300,9.0320,9.0320,-9.0320
22.5335,9.0300,9.0294,9.0294,-9.0294
22.7586,9.0300,9.0266,9.0266,-9.0266
22.9859,9.0202,9.0235,9.0235,-9.0235
23.2155,9.0200,9.0204,9.0204,-9.0204
23.4474,9.0200,9.0171,9.0171,-9.0171
23.6816,9.0200,9.0137,9.0137,-9.0137
23.9182,9.0200,9.0100,9.0100,-9.0100
24.1571,9.0101,9.0061,9.0061,-9.0061
24.3984,9.0100,9.0019,9.0019,-9.0019
24.6421,9.0003,8.9975,8.9975,-8.9975
24.8882,8.9901,8.9928,8.9928,-8.9928
25.1368,8.9900,8.9878,8.9878,-8.9878
25.3879,8.9801,8.9825,8.9825,-8.9825
25.6415,8.9800,8.9769,8.9769,-8.9769
25.8976,8.9705,8.9708,8.9708,-8.9708
26.1563,8.9700,8.9643,8.9643,-8.9643
26.4176,8.9605,8.9574,8.9574,-8.9574
26.6815,8.9600,8.9500,8.9500,-8.9500
26.9480,8.9504,8.9421,8.9421,-8.9421
27.2172,8.9500,8.9338,8.9338,-8.9338
27.4890,8.9404,8.9249,8.9249,-8.9249
27.7636,8.9205,8.9155,8.9155,-8.9155
28.0409,8.9103,8.9057,8.9057,-8.9057
28.3210,8.9003,8.8955,8.8955,-8.8955
28.6039,8.8811,8.8849,8.8849,-8.8849
28.8896,8.8704,8.8741,8.8741,-8.8741
29.1782,8.8604,8.8630,8.8630,-8.8630
29.4697,8.8504,8.8516,8.8516,-8.8516
29.7640,8.8405,8.8400,8.8400,-8.8400
30.0613,8.8306,8.8281,8.8281,-8.8281
30.3616,8.8206,8.8159,8.8159,-8.8159
30.6649,8.8105,8.8035,8.8035,-8.8035
30.9712,8.8006,8.7908,8.7908,-8.7908
31.2806,8.7813,8.7777,8.7777,-8.7777
31.5930,8.7705,8.7643,8.7643,-8.7643
31.9086,8.7607,8.7506,8.7506,-8.7506
32.2273,8.7408,8.7365,8.7365,-8.7365
32.5492,8.7213,8.7219,8.7219,-8.7219
32.8744,8.7105,8.7070,8.7070,-8.7070
33.2027,8.6910,8.6917,8.6917,-8.6917
