frequency,raw,smoothed,error,equalization
20.0000,5.7600,5.7675,5.7675,-5.7675
20.1998,5.7600,5.7689,5.7689,-5.7689
20.4015,5.7601,5.7706,5.7706,-5.7706
20.6053,5.7698,5.7725,5.7725,-5.7725
20.8112,5.7700,5.7746,5.7746,-5.7746
21.0190,5.7700,5.7767,5.7767,-5.7767
21.2290,5.7700,5.7791,5.7791,-5.7791
21.4410,5.7700,5.7816,5.7816,-5.7816
21.6552,5.7798,5.7845,5.7845,-5.7845
21.8715,5.7900,5.7875,5.7875,-5.7875
22.0900,5.7900,5.7906,5.7906,-5.7906
22.3106,5.8000,5.7939,5.7939,-5.7939
22.5335,5.8000,5.7971,5.7971,-5.7971
22.7586,5.8099,5.8001,5.8001,-5.8001
22.9859,5.8100,5.8027,5.8027,-5.8027
23.2155,5.8100,5.8049,5.8049,-5.8049
23.4474,5.8100,5.8069,5.8069,-5.8069
23.6816,5.8100,5.8085,5.8085,-5.8085
23.9182,5.8100,5.8099,5.8099,-5.8099
24.1571,5.8199,5.8110,5.8110,-5.8110
24.3984,5.8200,5.8116,5.8116,-5.8116
24.6421,5.8200,5.8119,5.8119,-5.8119
24.8882,5.8101,5.8118,5.8118,-5.8118
25.1368,5.8100,5.8113,5.8113,-5.8113
25.3879,5.8100,5.8107,5.8107,-5.8107
25.6415,5.8100,5.8097,5.8097,-5.8097
25.8976,5.8100,5.8084,5.8084,-5.8084
26.1563,5.8100,5.8067,5.8067,-5.8067
26.4176,5.8100,5.8046,5.8046,-5.8046
26.6815,5.8100,5.8020,5.8020,-5.8020
26.9480,5.8100,5.7990,5.7990,-5.7990
27.2172,5.8100,5.7954,5.7954,-5.7954
27.4890,5.8004,5.7914,5.7914,-5.7914
27.7636,5.7902,5.7870,5.7870,-5.7870
28.0409,5.7900,5.7820,5.7820,-5.7820
28.3210,5.7803,5.7766,5.7766,-5.7766
28.6039,5.7706,5.7706,5.7706,-5.7706
28.8896,5.7604,5.7642,5.7642,-5.7642
29.1782,5.7600,5.7576,5.7576,-5.7576
29.4697,5.7504,5.7505,5.7505,-5.7505
29.7640,5.7500,5.7432,5.7432,-5.7432
30.0613,5.7406,5.7356,5.7356,-5.7356
30.3616,5.7400,5.7277,5.7277,-5.7277
30.6649,5.7305,5.7194,5.7194,-5.7194
30.9712,5.7112,5.7108,5.7108,-5.7108
31.2806,5.7006,5.7019,5.7019,-5.7019
31.5930,5.6905,5.6928,5.6928,-5.6928
31.9086,5.6807,5.6836,5.6836,-5.6836
32.2273,5.6704,5.6742,5.6742,-5.6742
32.5492,5.6700,5.6647,5.6647,-5.6647
32.8744,5.6605,5.6548,5.6548,-5.6548
33.2027,5.6505,5.6445,5.6445,-5.6445
33.5344,5.6405,5.6339,5.6339,-5.6339
33.8694,5.6306,5.6230,5.6230,-5.6230
34.2077,5.6113,5.6117,5.6117,-5.6117
34.5494,5.6006,5.6003,5.6003,-5.6003
34.8945,5.5907,5.5887,5.5887,-5.5887
35.2430,5.5808,5.5767,5.5767,-5.5767
35.5951,5.5707,5.5644,5.5644,-5.5644
35.9506,5.5606,5.5516,5.5516,-5.5516
36.3097,5.5411,5.5384,5.5384,-5.5384
36.6724,5.5307,5.5248,5.5248,-5.5248
37.0387,5.5112,5.5109,5.5109,-5.5109
37.4087,5.5006,5.4967,5.4967,-5.4967
37.7824,5.4815,5.4822,5.4822,-5.4822
38.1598,5.4708,5.4675,5.4675,-5.4675
38.5409,5.4608,5.4525,5.4525,-5.4525
38.9259,5.4413,5.4370,5.4370,-5.4370
39.3147,5.4213,5.4211,5.4211,-5.4211
39.7074,5.4108,5.4048,5.4048,-5.4048
40.1041,5.3918,5.3882,5.3882,-5.3882
40.5046,5.3718,5.3713,5.3713,-5.3713
40.9092,5.3608,5.3542,5.3542,-5.3542
41.3179,5.3416,5.3367,5.3367,-5.3367
41.7306,5.3214,5.3188,5.3188,-5.3188
42.1474,5.3108,5.3006,5.3006,-5.3006
42.5684,5.2915,5.2819,5.2819,-5.2819
42.9936,5.2625,5.2628,5.2628,-5.2628
43.4231,5.2417,5.2434,5.2434,-5.2434
43.8568,5.2220,5.2238,5.2238,-5.2238
44.2949,5.2016,5.2038,5.2038,-5.2038
44.7374,5.1909,5.1836,5.1836,-5.1836
45.1842,5.1720,5.1630,5.1630,-5.1630
45.6356,5.1520,5.1419,5.1419,-5.1419
46.0914,5.1226,5.1205,5.1205,-5.1205
46.5518,5.1021,5.0987,5.0987,-5.0987
47.0168,5.0819,5.0766,5.0766,-5.0766
47.4864,5.0619,5.0543,5.0543,-5.0543
47.9608,5.0331,5.0317,5.0317,-5.0317
48.4398,5.0121,5.0088,5.0088,-5.0088
48.9237,4.9829,4.9855,4.9855,-4.9855
49.4124,4.9619,4.9620,4.9620,-4.9620
49.9059,4.9422,4.9382,4.9382,-4.9382
50.4044,4.9133,4.9143,4.9143,-4.9143
50.9079,4.8921,4.8901,4.8901,-4.8901
51.4164,4.8721,4.8659,4.8659,-4.8659
51.9300,4.8435,4.8415,4.8415,-4.8415
52.4487,4.8224,4.8169,4.8169,-4.8169
52.9726,4.8022,4.7920,4.7920,-4.7920
53.5018,4.7644,4.7668,4.7668,-4.7668
54.0362,4.7335,4.7413,4.7413,-4.7413
54.5759,4.7124,4.7158,4.7158,-4.7158
55.1211,4.6922,4.6902,4.6902,-4.6902
55.6717,4.6724,4.6642,4.6642,-4.6642
56.2278,4.6434,4.6379,4.6379,-4.6379
56.7894,4.6137,4.6111,4.6111,-4.6111
57.3567,4.5923,4.5841,4.5841,-4.5841
57.9296,4.5724,4.5566,4.5566,-4.5566
58.5082,4.5349,4.5286,4.5286,-4.5286
59.0927,4.5035,4.5003,4.5003,-4.5003
59.6829,4.4651,4.4716,4.4716,-4.4716
60.2791,4.4424,4.4428,4.4428,-4.4428
60.8812,4.4226,4.4136,4.4136,-4.4136
61.4893,4.3940,4.3839,4.3839,-4.3839
62.1035,4.3550,4.3538,4.3538,-4.3538
62.7239,4.3237,4.3235,4.3235,-4.3235
63.3504,4.2938,4.2929,4.2929,-4.2929
63.9832,4.2641,4.2621,4.2621,-4.2621
64.6223,4.2341,4.2311,4.2311,-4.2311
65.2678,4.2039,4.1998,4.1998,-4.1998
65.9198,4.1741,4.1684,4.1684,-4.1684
66.5782,4.1356,4.1366,4.1366,-4.1366
67.2433,4.1039,4.1047,4.1047,-4.1047
67.9149,4.0742,4.0724,4.0724,-4.0724
68.5933,4.0443,4.0400,4.0400,-4.0400
69.2785,4.0140,4.0073,4.0073,-4.0073
69.9705,3.9757,3.9743,3.9743,-3.9743
70.6694,3.9443,3.9410,3.9410,-3.9410
71.3753,3.9144,3.9075,3.9075,-3.9075
72.0883,3.8757,3.8736,3.8736,-3.8736
72.8083,3.8442,3.8394,3.8394,-3.8394
73.5356,3.8057,3.8050,3.8050,-3.8050
74.2701,3.7745,3.7703,3.7703,-3.7703
75.0120,3.7358,3.7354,3.7354,-3.7354
75.7613,3.7043,3.7002,3.7002,-3.7002
76.5180,3.6659,3.6648,3.6648,-3.6648
77.2824,3.6346,3.6292,3.6292,-3.6292
78.0543,3.5960,3.5933,3.5933,-3.5933
78.8340,3.5559,3.5572,3.5572,-3.5572
79.6214,3.5245,3.5209,3.5209,-3.5209
80.4168,3.4862,3.4843,3.4843,-3.4843
81.2200,3.4464,3.4476,3.4476,-3.4476
82.0313,3.4148,3.4107,3.4107,-3.4107
82.8507,3.3763,3.3736,3.3736,-3.3736
83.6783,3.3363,3.3362,3.3362,-3.3362
84.5141,3.3049,3.2986,3.2986,-3.2986
85.3583,3.2667,3.2607,3.2607,-3.2607
86.2109,3.2265,3.2225,3.2225,-3.2225
87.0721,3.1868,3.1841,3.1841,-3.1841
87.9418,3.1468,3.1454,3.1454,-3.1454
88.8203,3.1068,3.1065,3.1065,-3.1065
89.7075,3.0669,3.0674,3.0674,-3.0674
90.6035,3.0352,3.0282,3.0282,-3.0282
91.5085,2.9967,2.9887,2.9887,-2.9887
92.4226,2.9486,2.9489,2.9489,-2.9489
93.3458,2.9071,2.9090,2.9090,-2.9090
94.2782,2.8670,2.8690,2.8690,-2.8690
95.2199,2.8354,2.8290,2.8290,-2.8290
96.1711,2.7889,2.7888,2.7888,-2.7888
97.1317,2.7470,2.7486,2.7486,-2.7486
98.1019,2.7073,2.7085,2.7085,-2.7085
99.0818,2.6673,2.6683,2.6683,-2.6683
100.0715,2.6272,2.6281,2.6281,-2.6281
101.0711,2.5872,2.5879,2.5879,-2.5879
102.0807,2.5474,2.5478,2.5478,-2.5478
103.1004,2.5074,2.5077,2.5077,-2.5077
104.1302,2.4674,2.4675,2.4675,-2.4675
105.1703,2.4276,2.4273,2.4273,-2.4273
106.2209,2.3876,2.3870,2.3870,-2.3870
107.2819,2.3475,2.3467,2.3467,-2.3467
108.3535,2.3076,2.3062,2.3062,-2.3062
109.4358,2.2676,2.2656,2.2656,-2.2656
110.5289,2.2277,2.2248,2.2248,-2.2248
111.6330,2.1878,2.1839,2.1839,-2.1839
112.7481,2.1479,2.1429,2.1429,-2.1429
113.8743,2.1080,2.1016,2.1016,-2.1016
115.0118,2.0600,2.0600,2.0600,-2.0600
116.1606,2.0180,2.0183,2.0183,-2.0183
117.3209,1.9779,1.9764,1.9764,-1.9764
118.4928,1.9380,1.9344,1.9344,-1.9344
119.6764,1.8902,1.8922,1.8922,-1.8922
120.8718,1.8483,1.8498,1.8498,-1.8498
122.0792,1.8083,1.8075,1.8075,-1.8075
123.2986,1.7682,1.7650,1.7650,-1.7650
124.5302,1.7284,1.7224,1.7224,-1.7224
125.7741,1.6803,1.6797,1.6797,-1.6797
127.0304,1.6382,1.6369,1.6369,-1.6369
128.2993,1.5906,1.5942,1.5942,-1.5942
129.5808,1.5484,1.5515,1.5515,-1.5515
130.8752,1.5085,1.5088,1.5088,-1.5088
132.1825,1.4685,1.4662,1.4662,-1.4662
133.5028,1.4208,1.4235,1.4235,-1.4235
134.8363,1.3785,1.3809,1.3809,-1.3809
136.1832,1.3387,1.3383,1.3383,-1.3383
137.5435,1.2987,1.2957,1.2957,-1.2957
138.9174,1.2510,1.2531,1.2531,-1.2531
140.3050,1.2088,1.2106,1.2106,-1.2106
