frequency,raw,smoothed,error,equalization
20.0000,6.6500,6.7969,6.7969,-6.7969
20.1998,6.6800,6.8174,6.8174,-6.8174
20.4015,6.7004,6.8410,6.8410,-6.8410
20.6053,6.7489,6.8675,6.8675,-6.8675
20.8112,6.8003,6.8966,6.8966,-6.8966
21.0190,6.8597,6.9280,6.9280,-6.9280
21.2290,6.9197,6.9615,6.9615,-6.9615
21.4410,6.9802,6.9971,6.9971,-6.9971
21.6552,7.0289,7.0347,7.0347,-7.0347
21.8715,7.0703,7.0747,7.0747,-7.0747
22.0900,7.1200,7.1175,7.1175,-7.1175
22.3106,7.1701,7.1635,7.1635,-7.1635
22.5335,7.2186,7.2116,7.2116,-7.2116
22.7586,7.2597,7.2594,7.2594,-7.2594
22.9859,7.3189,7.3068,7.3068,-7.3068
23.2155,7.3592,7.3532,7.3532,-7.3532
23.4474,7.3995,7.3988,7.3988,-7.3988
23.6816,7.4579,7.4436,7.4436,-7.4436
23.9182,7.4997,7.4876,7.4876,-7.4876
24.1571,7.5395,7.5307,7.5307,-7.5307
24.3984,7.5897,7.5731,7.5731,-7.5731
24.6421,7.6287,7.6146,7.6146,-7.6146
24.8882,7.6598,7.6552,7.6552,-7.6552
25.1368,7.7094,7.6950,7.6950,-7.6950
25.3879,7.7497,7.7340,7.7340,-7.7340
25.6415,7.7790,7.7720,7.7720,-7.7720
25.8976,7.8086,7.8090,7.8090,-7.8090
26.1563,7.8494,7.8452,7.8452,-7.8452
26.4176,7.8882,7.8805,7.8805,-7.8805
26.6815,7.9287,7.9147,7.9147,-7.9147
26.9480,7.9587,7.9479,7.9479,-7.9479
27.2172,7.9886,7.9799,7.9799,-7.9799
27.4890,8.0284,8.0110,8.0110,-8.0110
27.7636,8.0691,8.0410,8.0410,-8.0410
28.0409,8.0797,8.0696,8.0696,-8.0696
28.3210,8.1284,8.0971,8.0971,-8.0971
28.6039,8.1300,8.1233,8.1233,-8.1233
28.8896,8.1685,8.1486,8.1486,-8.1486
29.1782,8.1700,8.1726,8.1726,-8.1726
29.4697,8.2086,8.1959,8.1959,-8.1959
29.7640,8.2195,8.2181,8.2181,-8.2181
30.0613,8.2481,8.2394,8.2394,-8.2394
30.3616,8.2688,8.2596,8.2596,-8.2596
30.6649,8.2890,8.2787,8.2787,-8.2787
30.9712,8.3088,8.2968,8.2968,-8.2968
31.2806,8.3100,8.3140,8.3140,-8.3140
31.5930,8.3573,8.3304,8.3304,-8.3304
31.9086,8.3600,8.3454,8.3454,-8.3454
32.2273,8.3600,8.3590,8.3590,-8.3590
32.5492,8.4069,8.3714,8.3714,-8.3714
32.8744,8.4100,8.3821,8.3821,-8.3821
33.2027,8.4100,8.3911,8.3911,-8.3911
33.5344,8.4100,8.3984,8.3984,-8.3984
33.8694,8.4100,8.4040,8.4040,-8.4040
34.2077,8.4287,8.4081,8.4081,-8.4081
34.5494,8.4488,8.4106,8.4106,-8.4106
34.8945,8.4500,8.4111,8.4111,-8.4111
35.2430,8.4315,8.4096,8.4096,-8.4096
35.5951,8.4114,8.4062,8.4062,-8.4062
35.9506,8.4100,8.4013,8.4013,-8.4013
36.3097,8.4100,8.3948,8.3948,-8.3948
36.6724,8.4100,8.3866,8.3866,-8.3866
37.0387,8.4100,8.3768,8.3768,-8.3768
37.4087,8.3629,8.3652,8.3652,-8.3652
37.7824,8.3600,8.3524,8.3524,-8.3524
38.1598,8.3600,8.3380,8.3380,-8.3380
38.5409,8.3600,8.3219,8.3219,-8.3219
38.9259,8.3132,8.3041,8.3041,-8.3041
39.3147,8.3100,8.2850,8.2850,-8.2850
39.7074,8.2733,8.2646,8.2646,-8.2646
40.1041,8.2609,8.2429,8.2429,-8.2429
40.5046,8.2235,8.2197,8.2197,-8.2197
40.9092,8.2200,8.1954,8.1954,-8.1954
41.3179,8.1739,8.1696,8.1696,-8.1696
41.7306,8.1607,8.1428,8.1428,-8.1428
42.1474,8.1323,8.1146,8.1146,-8.1146
42.5684,8.0838,8.0850,8.0850,-8.0850
42.9936,8.0708,8.0543,8.0543,-8.0543
43.4231,8.0334,8.0225,8.0225,-8.0225
43.8568,8.0029,7.9895,7.9895,-7.9895
44.2949,7.9724,7.9553,7.9553,-7.9553
44.7374,7.9428,7.9199,7.9199,-7.9199
45.1842,7.8951,7.8831,7.8831,-7.8831
45.6356,7.8630,7.8452,7.8452,-7.8452
46.0914,7.8234,7.8061,7.8061,-7.8061
46.5518,7.7751,7.7659,7.7659,-7.7659
47.0168,7.7338,7.7246,7.7246,-7.7246
47.4864,7.6937,7.6824,7.6824,-7.6824
47.9608,7.6451,7.6392,7.6392,-7.6392
48.4398,7.6042,7.5950,7.5950,-7.5950
48.9237,7.5548,7.5497,7.5497,-7.5497
49.4124,7.5139,7.5036,7.5036,-7.5036
49.9059,7.4654,7.4566,7.4566,-7.4566
50.4044,7.4156,7.4087,7.4087,-7.4087
50.9079,7.3742,7.3601,7.3601,-7.3601
51.4164,7.3253,7.3108,7.3108,-7.3108
51.9300,7.2669,7.2609,7.2609,-7.2609
52.4487,7.2247,7.2103,7.2103,-7.2103
52.9726,7.1755,7.1589,7.1589,-7.1589
53.5018,7.1077,7.1069,7.1069,-7.1069
54.0362,7.0559,7.0544,7.0544,-7.0544
54.5759,6.9971,7.0013,7.0013,-7.0013
55.1211,6.9455,6.9478,6.9478,-6.9478
55.6717,6.8873,6.8940,6.8940,-6.8940
56.2278,6.8357,6.8399,6.8399,-6.8399
56.7894,6.8037,6.7856,6.7856,-6.7856
57.3567,6.7468,6.7307,6.7307,-6.7307
57.9296,6.6873,6.6754,6.6754,-6.6754
58.5082,6.6187,6.6197,6.6197,-6.6197
59.0927,6.5658,6.5638,6.5638,-6.5638
59.6829,6.5251,6.5078,6.5078,-6.5078
60.2791,6.4408,6.4514,6.4514,-6.4514
60.8812,6.3865,6.3951,6.3951,-6.3951
61.4893,6.3366,6.3389,6.3389,-6.3389
62.1035,6.2863,6.2829,6.2829,-6.2829
62.7239,6.2274,6.2268,6.2268,-6.2268
63.3504,6.1676,6.1709,6.1709,-6.1709
63.9832,6.1081,6.1152,6.1152,-6.1152
64.6223,6.0569,6.0598,6.0598,-6.0598
65.2678,5.9977,6.0046,6.0046,-6.0046
65.9198,5.9382,5.9495,5.9495,-5.9495
66.5782,5.8870,5.8945,5.8945,-5.8945
67.2433,5.8366,5.8396,5.8396,-5.8396
67.9149,5.7784,5.7847,5.7847,-5.7847
68.5933,5.7443,5.7297,5.7297,-5.7297
69.2785,5.6881,5.6742,5.6742,-5.6742
69.9705,5.6371,5.6182,5.6182,-5.6182
70.6694,5.5786,5.5618,5.5618,-5.5618
71.3753,5.5188,5.5050,5.5050,-5.5050
72.0883,5.4500,5.4476,5.4476,-5.4476
72.8083,5.3885,5.3900,5.3900,-5.3900
73.5356,5.3286,5.3321,5.3321,-5.3321
74.2701,5.2689,5.2740,5.2740,-5.2740
75.0120,5.2173,5.2157,5.2157,-5.2157
