frequency,raw,smoothed,error,equalization
20.0000,3.9300,4.1806,4.1806,-4.1806
20.1998,3.9799,4.2151,4.2151,-4.2151
20.4015,4.0505,4.2555,4.2555,-4.2555
20.6053,4.1184,4.3011,4.3011,-4.3011
20.8112,4.2004,4.3519,4.3519,-4.3519
21.0190,4.2796,4.4078,4.4078,-4.4078
21.2290,4.3596,4.4691,4.4691,-4.4691
21.4410,4.4504,4.5364,4.5364,-4.5364
21.6552,4.5380,4.6103,4.6103,-4.6103
21.8715,4.6307,4.6914,4.6914,-4.6914
22.0900,4.7300,4.7808,4.7808,-4.7808
22.3106,4.8303,4.8795,4.8795,-4.8795
22.5335,4.9272,4.9860,4.9860,-4.9860
22.7586,5.0492,5.0960,5.0960,-5.0960
22.9859,5.1580,5.2089,5.2089,-5.2089
23.2155,5.2875,5.3245,5.3245,-5.3245
23.4474,5.4185,5.4422,5.4422,-5.4422
23.6816,5.5551,5.5617,5.5617,-5.5617
23.9182,5.6890,5.6825,5.6825,-5.6825
24.1571,5.8184,5.8040,5.8040,-5.8040
24.3984,5.9491,5.9261,5.9261,-5.9261
24.6421,6.0662,6.0483,6.0483,-6.0483
24.8882,6.1891,6.1704,6.1704,-6.1704
25.1368,6.2986,6.2922,6.2922,-6.2922
25.3879,6.4190,6.4135,6.4135,-6.4135
25.6415,6.5264,6.5341,6.5341,-6.5341
25.8976,6.6443,6.6540,6.6540,-6.6540
26.1563,6.7682,6.7730,6.7730,-6.7730
26.4176,6.8940,6.8910,6.8910,-6.8910
26.6815,7.0161,7.0078,7.0078,-7.0078
26.9480,7.1442,7.1232,7.1232,-7.1232
27.2172,7.2643,7.2371,7.2371,-7.2371
27.4890,7.3851,7.3494,7.3494,-7.3494
27.7636,7.4974,7.4601,7.4601,-7.4601
28.0409,7.6064,7.5691,7.5691,-7.5691
28.3210,7.7068,7.6764,7.6764,-7.6764
28.6039,7.8045,7.7821,7.7821,-7.7821
28.8896,7.9063,7.8863,7.8863,-7.8863
29.1782,7.9963,7.9887,7.9887,-7.9887
29.4697,8.0964,8.0894,8.0894,-8.0894
29.7640,8.1852,8.1884,8.1884,-8.1884
30.0613,8.2838,8.2857,8.2857,-8.2857
30.3616,8.3839,8.3814,8.3814,-8.3814
30.6649,8.4850,8.4755,8.4755,-8.4755
30.9712,8.5933,8.5679,8.5679,-8.5679
31.2806,8.6937,8.6584,8.6584,-8.6584
31.5930,8.7945,8.7471,8.7471,-8.7471
31.9086,8.8840,8.8336,8.8336,-8.8336
32.2273,8.9667,8.9179,8.9179,-8.9179
32.5492,9.0356,9.0000,9.0000,-9.0000
32.8744,9.0971,9.0799,9.0799,-9.0799
33.2027,9.1663,9.1579,9.1579,-9.1579
33.5344,9.2367,9.2340,9.2340,-9.2340
33.8694,9.3058,9.3084,9.3084,-9.3084
34.2077,9.3847,9.3814,9.3814,-9.3814
34.5494,9.4651,9.4529,9.4529,-9.4529
34.8945,9.5442,9.5229,9.5229,-9.5229
35.2430,9.6146,9.5915,9.5915,-9.5915
35.5951,9.6850,9.6586,9.6586,-9.6586
35.9506,9.7467,9.7240,9.7240,-9.7240
36.3097,9.8066,9.7876,9.7876,-9.7876
36.6724,9.8655,9.8493,9.8493,-9.8493
37.0387,9.9170,9.9087,9.9087,-9.9087
37.4087,9.9765,9.9658,9.9658,-9.9658
37.7824,10.0449,10.0205,10.0205,-10.0205
38.1598,10.1144,10.0724,10.0724,-10.0724
38.5409,10.1754,10.1214,10.1214,-10.1214
38.9259,10.2268,10.1674,10.1674,-10.1674
39.3147,10.2768,10.2106,10.2106,-10.2106
39.7074,10.3076,10.2508,10.2508,-10.2508
40.1041,10.3282,10.2885,10.2885,-10.2885
40.5046,10.3391,10.3238,10.3238,-10.3238
40.9092,10.3585,10.3573,10.3573,-10.3573
41.3179,10.3784,10.3892,10.3892,-10.3892
41.7306,10.4078,10.4196,10.4196,-10.4196
42.1474,10.4377,10.4486,10.4486,-10.4486
42.5684,10.4770,10.4763,10.4763,-10.4763
42.9936,10.5075,10.5027,10.5027,-10.5027
43.4231,10.5466,10.5281,10.5281,-10.5281
43.8568,10.5771,10.5523,10.5523,-10.5523
44.2949,10.6076,10.5753,10.5753,-10.5753
44.7374,10.6281,10.5970,10.5970,-10.5970
45.1842,10.6480,10.6174,10.6174,-10.6174
45.6356,10.6590,10.6363,10.6363,-10.6363
46.0914,10.6691,10.6537,10.6537,-10.6537
46.5518,10.6790,10.6695,10.6695,-10.6695
47.0168,10.6891,10.6838,10.6838,-10.6838
47.4864,10.7081,10.6968,10.6968,-10.6968
47.9608,10.7190,10.7084,10.7084,-10.7084
48.4398,10.7290,10.7189,10.7189,-10.7189
48.9237,10.7481,10.7283,10.7283,-10.7283
49.4124,10.7500,10.7366,10.7366,-10.7366
49.9059,10.7589,10.7438,10.7438,-10.7438
50.4044,10.7600,10.7501,10.7501,-10.7501
50.9079,10.7600,10.7553,10.7553,-10.7553
51.4164,10.7600,10.7596,10.7596,-10.7596
51.9300,10.7688,10.7627,10.7627,-10.7627
52.4487,10.7700,10.7645,10.7645,-10.7645
52.9726,10.7789,10.7650,10.7650,-10.7650
53.5018,10.7889,10.7638,10.7638,-10.7638
54.0362,10.7900,10.7609,10.7609,-10.7609
54.5759,10.7900,10.7558,10.7558,-10.7558
55.1211,10.7811,10.7487,10.7487,-10.7487
55.6717,10.7712,10.7394,10.7394,-10.7394
56.2278,10.7611,10.7278,10.7278,-10.7278
56.7894,10.7425,10.7139,10.7139,-10.7139
57.3567,10.7223,10.6976,10.6976,-10.6976
57.9296,10.7024,10.6792,10.6792,-10.6792
58.5082,10.6825,10.6587,10.6587,-10.6587
59.0927,10.6623,10.6361,10.6361,-10.6361
59.6829,10.6339,10.6116,10.6116,-10.6116
60.2791,10.6036,10.5854,10.5854,-10.5854
60.8812,10.5739,10.5575,10.5575,-10.5575
61.4893,10.5440,10.5279,10.5279,-10.5279
62.1035,10.5050,10.4967,10.4967,-10.4967
62.7239,10.4649,10.4638,10.4638,-10.4638
63.3504,10.4338,10.4294,10.4294,-10.4294
63.9832,10.4041,10.3931,10.3931,-10.3931
64.6223,10.3741,10.3549,10.3549,-10.3549
65.2678,10.3439,10.3146,10.3146,-10.3146
65.9198,10.3141,10.2719,10.2719,-10.2719
66.5782,10.2756,10.2268,10.2268,-10.2268
67.2433,10.2266,10.1792,10.1792,-10.1792
67.9149,10.1770,10.1293,10.1293,-10.1293
68.5933,10.1100,10.0769,10.0769,-10.0769
69.2785,10.0481,10.0222,10.0222,-10.0222
69.9705,9.9885,9.9651,9.9651,-9.9651
70.6694,9.9201,9.9054,9.9054,-9.9054
71.3753,9.8503,9.8430,9.8430,-9.8430
72.0883,9.7800,9.7777,9.7777,-9.7777
72.8083,9.7185,9.7094,9.7094,-9.7094
73.5356,9.6586,9.6379,9.6379,-9.6379
74.2701,9.5989,9.5628,9.5628,-9.5628
75.0120,9.5473,9.4837,9.4837,-9.4837
75.7613,9.4801,9.3999,9.3999,-9.3999
76.5180,9.4018,9.3114,9.3114,-9.3114
77.2824,9.3138,9.2180,9.2180,-9.2180
78.0543,9.2065,9.1200,9.1200,-9.1200
78.8340,9.0878,9.0181,9.0181,-9.0181
79.6214,8.9680,8.9131,8.9131,-8.9131
80.4168,8.8485,8.8062,8.8062,-8.8062
81.2200,8.7209,8.6982,8.6982,-8.6982
82.0313,8.5822,8.5905,8.5905,-8.5905
82.8507,8.4421,8.4846,8.4846,-8.4846
83.6783,8.2938,8.3818,8.3818,-8.3818
84.5141,8.1694,8.2838,8.2838,-8.2838
85.3583,8.0583,8.1917,8.1917,-8.1917
86.2109,7.9647,8.1062,8.1062,-8.1062
87.0721,7.8919,8.0276,8.0276,-8.0276
87.9418,7.8302,7.9555,7.9555,-7.9555
88.8203,7.7868,7.8894,7.8894,-7.8894
89.7075,7.7551,7.8285,7.8285,-7.8285
90.6035,7.7335,7.7718,7.7718,-7.7718
91.5085,7.7134,7.7181,7.7181,-7.7181
92.4226,7.6934,7.6661,7.6661,-7.6661
93.3458,7.6735,7.6142,7.6142,-7.6142
94.2782,7.6452,7.5611,7.5611,-7.5611
95.2199,7.5990,7.5052,7.5052,-7.5052
96.1711,7.5324,7.4455,7.4455,-7.4455
97.1317,7.4540,7.3816,7.3816,-7.3816
98.1019,7.3664,7.3131,7.3131,-7.3131
99.0818,7.2845,7.2399,7.2399,-7.2399
100.0715,7.2044,7.1619,7.1619,-7.1619
101.0711,7.1243,7.0790,7.0790,-7.0790
