frequency,raw,smoothed,error,equalization
20.0000,17.6400,17.5685,17.5685,-17.5685
20.1998,17.6000,17.5667,17.5667,-17.5667
20.4015,17.5699,17.5656,17.5656,-17.5656
20.6053,17.5504,17.5657,17.5657,-17.5657
20.8112,17.5300,17.5676,17.5676,-17.5676
21.0190,17.5300,17.5714,17.5714,-17.5714
21.2290,17.5300,17.5771,17.5771,-17.5771
21.4410,17.5300,17.5850,17.5850,-17.5850
21.6552,17.5398,17.5952,17.5952,-17.5952
21.8715,17.5601,17.6077,17.6077,-17.6077
22.0900,17.5800,17.6228,17.6228,-17.6228
22.3106,17.6101,17.6404,17.6404,-17.6404
22.5335,17.6392,17.6606,17.6606,-17.6606
22.7586,17.6698,17.6832,17.6832,-17.6832
22.9859,17.6995,17.7075,17.7075,-17.7075
23.2155,17.7294,17.7330,17.7330,-17.7330
23.4474,17.7597,17.7593,17.7593,-17.7593
23.6816,17.7890,17.7859,17.7859,-17.7859
23.9182,17.8198,17.8125,17.8125,-17.8125
24.1571,17.8496,17.8388,17.8388,-17.8388
24.3984,17.8798,17.8643,17.8643,-17.8643
24.6421,17.9091,17.8887,17.8887,-17.8887
24.8882,17.9299,17.9118,17.9118,-17.9118
25.1368,17.9497,17.9336,17.9336,-17.9336
25.3879,17.9798,17.9539,17.9539,-17.9539
25.6415,17.9897,17.9725,17.9725,-17.9725
25.8976,18.0090,17.9895,17.9895,-17.9895
26.1563,18.0297,18.0047,18.0047,-18.0047
26.4176,18.0395,18.0182,18.0182,-18.0182
26.6815,18.0497,18.0298,18.0298,-18.0298
26.9480,18.0596,18.0396,18.0396,-18.0396
27.2172,18.0695,18.0476,18.0476,-18.0476
27.4890,18.0700,18.0540,18.0540,-18.0540
27.7636,18.0798,18.0587,18.0587,-18.0587
28.0409,18.0800,18.0618,18.0618,-18.0618
28.3210,18.0800,18.0633,18.0633,-18.0633
28.6039,18.0800,18.0632,18.0632,-18.0632
28.8896,18.0800,18.0618,18.0618,-18.0618
29.1782,18.0704,18.0589,18.0589,-18.0589
29.4697,18.0700,18.0548,18.0548,-18.0548
29.7640,18.0605,18.0496,18.0496,-18.0496
30.0613,18.0506,18.0432,18.0432,-18.0432
30.3616,18.0500,18.0359,18.0359,-18.0359
30.6649,18.0405,18.0277,18.0277,-18.0277
30.9712,18.0306,18.0185,18.0185,-18.0185
31.2806,18.0113,18.0086,18.0086,-18.0086
31.5930,18.0005,17.9981,17.9981,-17.9981
31.9086,17.9907,17.9871,17.9871,-17.9871
32.2273,17.9804,17.9755,17.9755,-17.9755
32.5492,17.9706,17.9636,17.9636,-17.9636
32.8744,17.9510,17.9512,17.9512,-17.9512
33.2027,17.9405,17.9385,17.9385,-17.9385
33.5344,17.9305,17.9257,17.9257,-17.9257
33.8694,17.9112,17.9125,17.9125,-17.9125
34.2077,17.9007,17.8993,17.8993,-17.8993
34.5494,17.8906,17.8859,17.8859,-17.8859
34.8945,17.8715,17.8724,17.8724,-17.8724
35.2430,17.8608,17.8588,17.8588,-17.8588
35.5951,17.8414,17.8452,17.8452,-17.8452
35.9506,17.8306,17.8315,17.8315,-17.8315
36.3097,17.8206,17.8178,17.8178,-17.8178
36.6724,17.8015,17.8041,17.8041,-17.8041
37.0387,17.7906,17.7904,17.7904,-17.7904
37.4087,17.7806,17.7767,17.7767,-17.7767
37.7824,17.7615,17.7630,17.7630,-17.7630
38.1598,17.7508,17.7493,17.7493,-17.7493
38.5409,17.7315,17.7356,17.7356,-17.7356
38.9259,17.7206,17.7220,17.7220,-17.7220
39.3147,17.7106,17.7085,17.7085,-17.7085
39.7074,17.6916,17.6950,17.6950,-17.6950
40.1041,17.6809,17.6815,17.6815,-17.6815
40.5046,17.6709,17.6682,17.6682,-17.6682
40.9092,17.6515,17.6548,17.6548,-17.6548
41.3179,17.6408,17.6415,17.6415,-17.6415
41.7306,17.6307,17.6283,17.6283,-17.6283
42.1474,17.6116,17.6151,17.6151,-17.6151
42.5684,17.6008,17.6021,17.6021,-17.6021
42.9936,17.5908,17.5891,17.5891,-17.5891
43.4231,17.5717,17.5762,17.5762,-17.5762
43.8568,17.5610,17.5633,17.5633,-17.5633
44.2949,17.5508,17.5504,17.5504,-17.5504
44.7374,17.5409,17.5377,17.5377,-17.5377
45.1842,17.5220,17.5249,17.5249,-17.5249
45.6356,17.5110,17.5121,17.5121,-17.5121
46.0914,17.5009,17.4994,17.4994,-17.4994
46.5518,17.4910,17.4867,17.4867,-17.4867
47.0168,17.4719,17.4740,17.4740,-17.4740
47.4864,17.4609,17.4614,17.4614,-17.4614
47.9608,17.4510,17.4487,17.4487,-17.4487
48.4398,17.4321,17.4361,17.4361,-17.4361
48.9237,17.4210,17.4236,17.4236,-17.4236
49.4124,17.4110,17.4112,17.4112,-17.4112
49.9059,17.4011,17.3988,17.3988,-17.3988
50.4044,17.3822,17.3864,17.3864,-17.3864
50.9079,17.3710,17.3741,17.3741,-17.3741
51.4164,17.3611,17.3618,17.3618,-17.3618
51.9300,17.3512,17.3497,17.3497,-17.3497
52.4487,17.3412,17.3376,17.3376,-17.3376
52.9726,17.3222,17.3254,17.3254,-17.3254
53.5018,17.3111,17.3134,17.3134,-17.3134
54.0362,17.3012,17.3014,17.3014,-17.3014
54.5759,17.2912,17.2894,17.2894,-17.2894
55.1211,17.2811,17.2773,17.2773,-17.2773
55.6717,17.2624,17.2652,17.2652,-17.2652
56.2278,17.2511,17.2531,17.2531,-17.2531
56.7894,17.2412,17.2409,17.2409,-17.2409
57.3567,17.2311,17.2287,17.2287,-17.2287
57.9296,17.2212,17.2163,17.2163,-17.2163
58.5082,17.2025,17.2037,17.2037,-17.2037
59.0927,17.1912,17.1911,17.1911,-17.1911
59.6829,17.1813,17.1783,17.1783,-17.1783
60.2791,17.1712,17.1652,17.1652,-17.1652
60.8812,17.1526,17.1520,17.1520,-17.1520
61.4893,17.1413,17.1385,17.1385,-17.1385
62.1035,17.1313,17.1249,17.1249,-17.1249
62.7239,17.1125,17.1110,17.1110,-17.1110
63.3504,17.1013,17.0968,17.0968,-17.0968
63.9832,17.0827,17.0823,17.0823,-17.0823
64.6223,17.0714,17.0675,17.0675,-17.0675
65.2678,17.0526,17.0524,17.0524,-17.0524
65.9198,17.0414,17.0370,17.0370,-17.0370
66.5782,17.0228,17.0212,17.0212,-17.0212
67.2433,17.0113,17.0050,17.0050,-17.0050
67.9149,16.9928,16.9883,16.9883,-16.9883
68.5933,16.9814,16.9711,16.9711,-16.9711
