frequency,raw,smoothed,error,equalization
20.0000,4.8700,4.8715,4.8715,-4.8715
20.1998,4.8700,4.8725,4.8725,-4.8725
20.4015,4.8701,4.8740,4.8740,-4.8740
20.6053,4.8798,4.8760,4.8760,-4.8760
20.8112,4.8700,4.8784,4.8784,-4.8784
21.0190,4.8700,4.8814,4.8814,-4.8814
21.2290,4.8600,4.8850,4.8850,-4.8850
21.4410,4.8700,4.8895,4.8895,-4.8895
21.6552,4.8700,4.8949,4.8949,-4.8949
21.8715,4.8801,4.9011,4.9011,-4.9011
22.0900,4.8900,4.9083,4.9083,-4.9083
22.3106,4.9100,4.9162,4.9162,-4.9162
22.5335,4.9197,4.9245,4.9245,-4.9245
22.7586,4.9399,4.9330,4.9330,-4.9330
22.9859,4.9498,4.9412,4.9412,-4.9412
23.2155,4.9598,4.9490,4.9490,-4.9490
23.4474,4.9699,4.9563,4.9563,-4.9563
23.6816,4.9797,4.9629,4.9629,-4.9629
23.9182,4.9899,4.9689,4.9689,-4.9689
24.1571,4.9999,4.9741,4.9741,-4.9741
24.3984,5.0000,4.9785,4.9785,-4.9785
24.6421,5.0000,4.9824,4.9824,-4.9824
24.8882,4.9901,4.9857,4.9857,-4.9857
25.1368,4.9900,4.9888,4.9888,-4.9888
25.3879,4.9801,4.9916,4.9916,-4.9916
25.6415,4.9703,4.9943,4.9943,-4.9943
25.8976,4.9700,4.9971,4.9971,-4.9971
26.1563,4.9700,5.0002,5.0002,-5.0002
26.4176,4.9891,5.0036,5.0036,-5.0036
26.6815,5.0093,5.0071,5.0071,-5.0071
26.9480,5.0196,5.0107,5.0107,-5.0107
27.2172,5.0390,5.0140,5.0140,-5.0140
27.4890,5.0496,5.0171,5.0171,-5.0171
27.7636,5.0402,5.0196,5.0196,-5.0196
28.0409,5.0400,5.0217,5.0217,-5.0217
28.3210,5.0303,5.0234,5.0234,-5.0234
28.6039,5.0206,5.0248,5.0248,-5.0248
28.8896,5.0104,5.0259,5.0259,-5.0259
29.1782,5.0196,5.0268,5.0268,-5.0268
29.4697,5.0200,5.0274,5.0274,-5.0274
29.7640,5.0295,5.0277,5.0277,-5.0277
30.0613,5.0300,5.0277,5.0277,-5.0277
30.3616,5.0300,5.0275,5.0275,-5.0275
30.6649,5.0300,5.0271,5.0271,-5.0271
30.9712,5.0300,5.0266,5.0266,-5.0266
31.2806,5.0300,5.0260,5.0260,-5.0260
31.5930,5.0300,5.0253,5.0253,-5.0253
31.9086,5.0300,5.0245,5.0245,-5.0245
