frequency,raw,smoothed,error,equalization
20.0000,7.6400,7.6754,7.6754,-7.6754
20.1998,7.6500,7.6795,7.6795,-7.6795
20.4015,7.6601,7.6841,7.6841,-7.6841
20.6053,7.6698,7.6889,7.6889,-7.6889
20.8112,7.6801,7.6940,7.6940,-7.6940
21.0190,7.6900,7.6992,7.6992,-7.6992
21.2290,7.7000,7.7045,7.7045,-7.7045
21.4410,7.7100,7.7099,7.7099,-7.7099
21.6552,7.7198,7.7154,7.7154,-7.7154
21.8715,7.7301,7.7209,7.7209,-7.7209
22.0900,7.7400,7.7264,7.7264,-7.7264
22.3106,7.7400,7.7320,7.7320,-7.7320
22.5335,7.7497,7.7376,7.7376,-7.7376
22.7586,7.7500,7.7426,7.7426,-7.7426
22.9859,7.7500,7.7472,7.7472,-7.7472
23.2155,7.7500,7.7516,7.7516,-7.7516
23.4474,7.7599,7.7559,7.7559,-7.7559
23.6816,7.7600,7.7602,7.7602,-7.7602
23.9182,7.7600,7.7645,7.7645,-7.7645
24.1571,7.7600,7.7688,7.7688,-7.7688
24.3984,7.7699,7.7732,7.7732,-7.7732
24.6421,7.7700,7.7773,7.7773,-7.7773
24.8882,7.7700,7.7810,7.7810,-7.7810
25.1368,7.7799,7.7841,7.7841,-7.7841
25.3879,7.7899,7.7864,7.7864,-7.7864
25.6415,7.7997,7.7876,7.7876,-7.7876
25.8976,7.8095,7.7875,7.7875,-7.7875
26.1563,7.8199,7.7861,7.7861,-7.7861
26.4176,7.8295,7.7835,7.7835,-7.7835
26.6815,7.8300,7.7796,7.7796,-7.7796
26.9480,7.8204,7.7748,7.7748,-7.7748
27.2172,7.8010,7.7693,7.7693,-7.7693
27.4890,7.7712,7.7637,7.7637,-7.7637
27.7636,7.7407,7.7584,7.7584,-7.7584
28.0409,7.7110,7.7540,7.7540,-7.7540
28.3210,7.6906,7.7507,7.7507,-7.7507
28.6039,7.6806,7.7490,7.7490,-7.7490
28.8896,7.6800,7.7489,7.7489,-7.7489
29.1782,7.6992,7.7506,7.7506,-7.7506
29.4697,7.7193,7.7537,7.7537,-7.7537
29.7640,7.7484,7.7579,7.7579,-7.7579
30.0613,7.7781,7.7629,7.7629,-7.7629
30.3616,7.8082,7.7682,7.7682,-7.7682
30.6649,7.8195,7.7731,7.7731,-7.7731
30.9712,7.8200,7.7774,7.7774,-7.7774
31.2806,7.8200,7.7808,7.7808,-7.7808
31.5930,7.8105,7.7831,7.7831,-7.7831
31.9086,7.8007,7.7843,7.7843,-7.7843
32.2273,7.7904,7.7842,7.7842,-7.7842
32.5492,7.7806,7.7831,7.7831,-7.7831
32.8744,7.7800,7.7811,7.7811,-7.7811
33.2027,7.7705,7.7782,7.7782,-7.7782
33.5344,7.7700,7.7746,7.7746,-7.7746
33.8694,7.7606,7.7706,7.7706,-7.7706
34.2077,7.7600,7.7665,7.7665,-7.7665
34.5494,7.7600,7.7624,7.7624,-7.7624
34.8945,7.7600,7.7584,7.7584,-7.7584
35.2430,7.7600,7.7544,7.7544,-7.7544
35.5951,7.7600,7.7503,7.7503,-7.7503
35.9506,7.7600,7.7460,7.7460,-7.7460
36.3097,7.7506,7.7414,7.7414,-7.7414
36.6724,7.7407,7.7365,7.7365,-7.7365
37.0387,7.7306,7.7315,7.7315,-7.7315
37.4087,7.7206,7.7265,7.7265,-7.7265
37.7824,7.7200,7.7217,7.7217,-7.7217
38.1598,7.7200,7.7169,7.7169,-7.7169
38.5409,7.7108,7.7119,7.7119,-7.7119
38.9259,7.7006,7.7069,7.7069,-7.7069
39.3147,7.7000,7.7019,7.7019,-7.7019
39.7074,7.6908,7.6969,7.6969,-7.6969
40.1041,7.6809,7.6919,7.6919,-7.6919
40.5046,7.6800,7.6868,7.6868,-7.6868
40.9092,7.6800,7.6817,7.6817,-7.6817
41.3179,7.6892,7.6763,7.6763,-7.6763
41.7306,7.6900,7.6702,7.6702,-7.6702
42.1474,7.6808,7.6633,7.6633,-7.6633
42.5684,7.6708,7.6555,7.6555,-7.6555
42.9936,7.6608,7.6469,7.6469,-7.6469
43.4231,7.6509,7.6374,7.6374,-7.6374
43.8568,7.6410,7.6272,7.6272,-7.6272
44.2949,7.6308,7.6162,7.6162,-7.6162
44.7374,7.6119,7.6044,7.6044,-7.6044
45.1842,7.6010,7.5919,7.5919,-7.5919
45.6356,7.5820,7.5788,7.5788,-7.5788
46.0914,7.5617,7.5652,7.5652,-7.5652
46.5518,7.5510,7.5514,7.5514,-7.5514
47.0168,7.5319,7.5376,7.5376,-7.5376
