frequency,raw,smoothed,error,equalization
20.0000,11.3900,11.4254,11.4254,-11.4254
20.1998,11.4000,11.4295,11.4295,-11.4295
20.4015,11.4101,11.4341,11.4341,-11.4341
20.6053,11.4198,11.4389,11.4389,-11.4389
20.8112,11.4301,11.4440,11.4440,-11.4440
21.0190,11.4400,11.4492,11.4492,-11.4492
21.2290,11.4500,11.4545,11.4545,-11.4545
21.4410,11.4600,11.4599,11.4599,-11.4599
21.6552,11.4698,11.4654,11.4654,-11.4654
21.8715,11.4801,11.4708,11.4708,-11.4708
22.0900,11.4900,11.4763,11.4763,-11.4763
22.3106,11.4900,11.4816,11.4816,-11.4816
22.5335,11.4997,11.4867,11.4867,-11.4867
22.7586,11.5000,11.4908,11.4908,-11.4908
22.9859,11.5000,11.4941,11.4941,-11.4941
23.2155,11.5000,11.4964,11.4964,-11.4964
23.4474,11.5099,11.4980,11.4980,-11.4980
23.6816,11.5100,11.4986,11.4986,-11.4986
23.9182,11.5100,11.4984,11.4984,-11.4984
24.1571,11.5100,11.4975,11.4975,-11.4975
24.3984,11.5100,11.4961,11.4961,-11.4961
24.6421,11.5100,11.4942,11.4942,-11.4942
24.8882,11.5001,11.4919,11.4919,-11.4919
25.1368,11.4901,11.4893,11.4893,-11.4893
25.3879,11.4801,11.4865,11.4865,-11.4865
25.6415,11.4703,11.4835,11.4835,-11.4835
25.8976,11.4700,11.4804,11.4804,-11.4804
26.1563,11.4601,11.4771,11.4771,-11.4771
26.4176,11.4600,11.4737,11.4737,-11.4737
26.6815,11.4697,11.4703,11.4703,-11.4703
26.9480,11.4796,11.4668,11.4668,-11.4668
27.2172,11.4800,11.4630,11.4630,-11.4630
27.4890,11.4800,11.4590,11.4590,-11.4590
27.7636,11.4800,11.4549,11.4549,-11.4549
28.0409,11.4703,11.4506,11.4506,-11.4506
28.3210,11.4506,11.4462,11.4462,-11.4462
28.6039,11.4311,11.4418,11.4418,-11.4418
28.8896,11.4204,11.4377,11.4377,-11.4377
29.1782,11.4104,11.4340,11.4340,-11.4340
29.4697,11.4004,11.4306,11.4306,-11.4306
29.7640,11.4095,11.4276,11.4276,-11.4276
30.0613,11.4100,11.4250,11.4250,-11.4250
30.3616,11.4194,11.4226,11.4226,-11.4226
30.6649,11.4295,11.4203,11.4203,-11.4203
