frequency,raw,smoothed,error,equalization
20.0000,11.1400,11.0893,11.0893,-11.0893
20.1998,11.1300,11.0814,11.0814,-11.0814
20.4015,11.1199,11.0723,11.0723,-11.0723
20.6053,11.1102,11.0621,11.0621,-11.0621
20.8112,11.0899,11.0511,11.0511,-11.0511
21.0190,11.0701,11.0397,11.0397,-11.0397
21.2290,11.0501,11.0283,11.0283,-11.0283
21.4410,11.0299,11.0173,11.0173,-11.0173
21.6552,11.0104,11.0068,11.0068,-11.0068
21.8715,10.9799,10.9973,10.9973,-10.9973
22.0900,10.9600,10.9889,10.9889,-10.9889
22.3106,10.9299,10.9819,10.9819,-10.9819
22.5335,10.9106,10.9769,10.9769,-10.9769
22.7586,10.9001,10.9747,10.9747,-10.9747
22.9859,10.8902,10.9754,10.9754,-10.9754
23.2155,10.9096,10.9790,10.9790,-10.9790
23.4474,10.9397,10.9849,10.9849,-10.9849
23.6816,10.9690,10.9927,10.9927,-10.9927
23.9182,11.0097,11.0016,11.0016,-11.0016
24.1571,11.0495,11.0107,11.0107,-11.0107
24.3984,11.0798,11.0193,11.0193,-11.0193
24.6421,11.0897,11.0263,11.0263,-11.0263
24.8882,11.0900,11.0315,11.0315,-11.0315
25.1368,11.0801,11.0345,11.0345,-11.0345
25.3879,11.0701,11.0356,11.0356,-11.0356
25.6415,11.0507,11.0350,11.0350,-11.0350
25.8976,11.0500,11.0333,11.0333,-11.0333
26.1563,11.0401,11.0307,11.0307,-11.0307
26.4176,11.0400,11.0275,11.0275,-11.0275
26.6815,11.0207,11.0236,11.0236,-11.0236
26.9480,11.0104,11.0190,11.0190,-11.0190
27.2172,10.9814,11.0136,11.0136,-11.0136
27.4890,10.9512,11.0077,11.0077,-11.0077
27.7636,10.9402,11.0014,11.0014,-11.0014
28.0409,10.9497,10.9949,10.9949,-10.9949
28.3210,10.9887,10.9877,10.9877,-10.9877
28.6039,11.0278,10.9794,10.9794,-10.9794
28.8896,11.0685,10.9692,10.9692,-10.9692
29.1782,11.0796,10.9563,10.9563,-10.9563
29.4697,11.0704,10.9405,10.9405,-10.9405
29.7640,11.0132,10.9217,10.9217,-10.9217
30.0613,10.9444,10.9008,10.9008,-10.9008
30.3616,10.8649,10.8784,10.8784,-10.8784
30.6649,10.7935,10.8555,10.8555,-10.8555
30.9712,10.7618,10.8328,10.8328,-10.8328
31.2806,10.7413,10.8102,10.8102,-10.8102
31.5930,10.7400,10.7878,10.7878,-10.7878
31.9086,10.7400,10.7655,10.7655,-10.7655
32.2273,10.7304,10.7435,10.7435,-10.7435
32.5492,10.7206,10.7222,10.7222,-10.7222
32.8744,10.7105,10.7017,10.7017,-10.7017
33.2027,10.7005,10.6822,10.6822,-10.6822
33.5344,10.6905,10.6633,10.6633,-10.6633
33.8694,10.6806,10.6446,10.6446,-10.6446
34.2077,10.6520,10.6256,10.6256,-10.6256
34.5494,10.6218,10.6060,10.6060,-10.6060
34.8945,10.5829,10.5856,10.5856,-10.5856
35.2430,10.5523,10.5648,10.5648,-10.5648
35.5951,10.5221,10.5436,10.5436,-10.5436
35.9506,10.5106,10.5222,10.5222,-10.5222
36.3097,10.5006,10.5005,10.5005,-10.5005
36.6724,10.4815,10.4784,10.4784,-10.4784
37.0387,10.4612,10.4559,10.4559,-10.4559
37.4087,10.4317,10.4332,10.4332,-10.4332
37.7824,10.4115,10.4104,10.4104,-10.4104
38.1598,10.3916,10.3875,10.3875,-10.3875
38.5409,10.3808,10.3643,10.3643,-10.3643
38.9259,10.3613,10.3406,10.3406,-10.3406
39.3147,10.3319,10.3162,10.3162,-10.3162
39.7074,10.3024,10.2909,10.2909,-10.2909
40.1041,10.2636,10.2650,10.2650,-10.2650
40.5046,10.2327,10.2387,10.2387,-10.2387
40.9092,10.2115,10.2120,10.2120,-10.2120
41.3179,10.1916,10.1852,10.1852,-10.1852
41.7306,10.1714,10.1582,10.1582,-10.1582
42.1474,10.1423,10.1308,10.1308,-10.1308
42.5684,10.1123,10.1032,10.1032,-10.1032
42.9936,10.0642,10.0752,10.0752,-10.0752
43.4231,10.0326,10.0472,10.0472,-10.0472
43.8568,10.0029,10.0194,10.0194,-10.0194
44.2949,9.9816,9.9918,9.9918,-9.9918
44.7374,9.9619,9.9645,9.9645,-9.9645
45.1842,9.9420,9.9372,9.9372,-9.9372
45.6356,9.9130,9.9097,9.9097,-9.9097
46.0914,9.8917,9.8819,9.8819,-9.8819
46.5518,9.8721,9.8537,9.8537,-9.8537
47.0168,9.8428,9.8252,9.8252,-9.8252
47.4864,9.8037,9.7961,9.7961,-9.7961
47.9608,9.7641,9.7664,9.7664,-9.7664
48.4398,9.7242,9.7362,9.7362,-9.7362
48.9237,9.7019,9.7055,9.7055,-9.7055
49.4124,9.6910,9.6740,9.6740,-9.6740
49.9059,9.6632,9.6415,9.6415,-9.6415
50.4044,9.6244,9.6080,9.6080,-9.6080
50.9079,9.5842,9.5735,9.5735,-9.5735
51.4164,9.5532,9.5384,9.5384,-9.5384
51.9300,9.5235,9.5023,9.5023,-9.5023
52.4487,9.4847,9.4653,9.4653,-9.4653
52.9726,9.4355,9.4275,9.4275,-9.4275
53.5018,9.3855,9.3889,9.3889,-9.3889
54.0362,9.3447,9.3497,9.3497,-9.3497
54.5759,9.3047,9.3099,9.3099,-9.3099
55.1211,9.2733,9.2696,9.2696,-9.2696
55.6717,9.2349,9.2289,9.2289,-9.2289
56.2278,9.1945,9.1878,9.1878,-9.1878
56.7894,9.1637,9.1463,9.1463,-9.1463
57.3567,9.1157,9.1041,9.1041,-9.1041
57.9296,9.0661,9.0615,9.0615,-9.0615
58.5082,9.0162,9.0184,9.0184,-9.0184
59.0927,8.9746,8.9749,8.9749,-8.9749
59.6829,8.9264,8.9311,8.9311,-8.9311
60.2791,8.8848,8.8869,8.8869,-8.8869
60.8812,8.8452,8.8424,8.8424,-8.8424
61.4893,8.8140,8.7973,8.7973,-8.7973
62.1035,8.7750,8.7514,8.7514,-8.7514
62.7239,8.7174,8.7048,8.7048,-8.7048
63.3504,8.6663,8.6577,8.6577,-8.6577
63.9832,8.6168,8.6100,8.6100,-8.6100
64.6223,8.5669,8.5620,8.5620,-8.5620
65.2678,8.5077,8.5134,8.5134,-8.5134
65.9198,8.4568,8.4644,8.4644,-8.4644
