frequency,raw,smoothed,error,equalization
20.0000,4.4600,4.5451,4.5451,-4.5451
20.1998,4.4900,4.5557,4.5557,-4.5557
20.4015,4.5101,4.5678,4.5678,-4.5678
20.6053,4.5296,4.5811,4.5811,-4.5811
20.8112,4.5502,4.5956,4.5956,-4.5956
21.0190,4.5799,4.6113,4.6113,-4.6113
21.2290,4.5999,4.6279,4.6279,-4.6279
21.4410,4.6201,4.6457,4.6457,-4.6457
21.6552,4.6493,4.6648,4.6648,-4.6648
21.8715,4.6802,4.6852,4.6852,-4.6852
22.0900,4.7100,4.7073,4.7073,-4.7073
22.3106,4.7401,4.7310,4.7310,-4.7310
22.5335,4.7692,4.7558,4.7558,-4.7558
22.7586,4.7899,4.7805,4.7805,-4.7805
22.9859,4.8096,4.8049,4.8049,-4.8049
23.2155,4.8296,4.8292,4.8292,-4.8292
23.4474,4.8498,4.8532,4.8532,-4.8532
23.6816,4.8693,4.8770,4.8770,-4.8770
23.9182,4.8998,4.9007,4.9007,-4.9007
24.1571,4.9198,4.9242,4.9242,-4.9242
24.3984,4.9498,4.9475,4.9475,-4.9475
24.6421,4.9791,4.9705,4.9705,-4.9705
24.8882,4.9999,4.9931,4.9931,-4.9931
25.1368,5.0296,5.0152,5.0152,-5.0152
25.3879,5.0498,5.0369,5.0369,-5.0369
25.6415,5.0597,5.0582,5.0582,-5.0582
25.8976,5.0790,5.0791,5.0791,-5.0791
26.1563,5.0997,5.0998,5.0998,-5.0998
26.4176,5.1191,5.1202,5.1202,-5.1202
26.6815,5.1490,5.1402,5.1402,-5.1402
26.9480,5.1691,5.1598,5.1598,-5.1598
27.2172,5.1890,5.1790,5.1790,-5.1790
27.4890,5.1996,5.1976,5.1976,-5.1976
27.7636,5.2195,5.2158,5.2158,-5.2158
28.0409,5.2297,5.2336,5.2336,-5.2336
28.3210,5.2494,5.2511,5.2511,-5.2511
28.6039,5.2689,5.2683,5.2683,-5.2683
28.8896,5.2893,5.2853,5.2853,-5.2853
29.1782,5.3092,5.3018,5.3018,-5.3018
29.4697,5.3293,5.3180,5.3180,-5.3180
29.7640,5.3489,5.3337,5.3337,-5.3337
30.0613,5.3594,5.3490,5.3490,-5.3490
30.3616,5.3694,5.3639,5.3639,-5.3639
30.6649,5.3795,5.3785,5.3785,-5.3785
30.9712,5.3894,5.3929,5.3929,-5.3929
31.2806,5.3994,5.4072,5.4072,-5.4072
31.5930,5.4189,5.4212,5.4212,-5.4212
31.9086,5.4293,5.4351,5.4351,-5.4351
32.2273,5.4492,5.4487,5.4487,-5.4487
32.5492,5.4687,5.4620,5.4620,-5.4620
32.8744,5.4795,5.4751,5.4751,-5.4751
33.2027,5.4990,5.4878,5.4878,-5.4878
33.5344,5.5095,5.5002,5.5002,-5.5002
33.8694,5.5194,5.5123,5.5123,-5.5123
34.2077,5.5293,5.5240,5.5240,-5.5240
34.5494,5.5394,5.5353,5.5353,-5.5353
34.8945,5.5493,5.5461,5.5461,-5.5461
35.2430,5.5592,5.5565,5.5565,-5.5565
35.5951,5.5693,5.5664,5.5664,-5.5664
35.9506,5.5794,5.5758,5.5758,-5.5758
36.3097,5.5894,5.5848,5.5848,-5.5848
36.6724,5.5993,5.5935,5.5935,-5.5935
37.0387,5.6094,5.6020,5.6020,-5.6020
37.4087,5.6194,5.6102,5.6102,-5.6102
37.7824,5.6200,5.6182,5.6182,-5.6182
38.1598,5.6292,5.6262,5.6262,-5.6262
38.5409,5.6300,5.6340,5.6340,-5.6340
38.9259,5.6394,5.6418,5.6418,-5.6418
39.3147,5.6400,5.6495,5.6495,-5.6495
39.7074,5.6492,5.6571,5.6571,-5.6571
40.1041,5.6591,5.6647,5.6647,-5.6647
40.5046,5.6691,5.6721,5.6721,-5.6721
40.9092,5.6885,5.6792,5.6792,-5.6792
41.3179,5.6992,5.6859,5.6859,-5.6859
41.7306,5.7000,5.6921,5.6921,-5.6921
42.1474,5.7092,5.6981,5.6981,-5.6981
42.5684,5.7192,5.7036,5.7036,-5.7036
42.9936,5.7200,5.7088,5.7088,-5.7088
43.4231,5.7200,5.7135,5.7135,-5.7135
43.8568,5.7290,5.7180,5.7180,-5.7180
44.2949,5.7208,5.7219,5.7219,-5.7219
44.7374,5.7200,5.7256,5.7256,-5.7256
45.1842,5.7200,5.7290,5.7290,-5.7290
45.6356,5.7200,5.7322,5.7322,-5.7322
46.0914,5.7291,5.7354,5.7354,-5.7354
46.5518,5.7390,5.7386,5.7386,-5.7386
47.0168,5.7491,5.7416,5.7416,-5.7416
47.4864,5.7500,5.7444,5.7444,-5.7444
47.9608,5.7590,5.7469,5.7469,-5.7469
48.4398,5.7600,5.7492,5.7492,-5.7492
48.9237,5.7600,5.7512,5.7512,-5.7512
49.4124,5.7600,5.7527,5.7527,-5.7527
49.9059,5.7511,5.7537,5.7537,-5.7537
50.4044,5.7500,5.7545,5.7545,-5.7545
50.9079,5.7590,5.7551,5.7551,-5.7551
51.4164,5.7600,5.7555,5.7555,-5.7555
51.9300,5.7600,5.7557,5.7557,-5.7557
52.4487,5.7600,5.7557,5.7557,-5.7557
52.9726,5.7600,5.7552,5.7552,-5.7552
53.5018,5.7600,5.7542,5.7542,-5.7542
54.0362,5.7600,5.7527,5.7527,-5.7527
54.5759,5.7512,5.7506,5.7506,-5.7506
55.1211,5.7322,5.7484,5.7484,-5.7484
55.6717,5.7300,5.7465,5.7465,-5.7465
56.2278,5.7477,5.7448,5.7448,-5.7448
56.7894,5.7675,5.7430,5.7430,-5.7430
57.3567,5.7700,5.7409,5.7409,-5.7409
57.9296,5.7700,5.7384,5.7384,-5.7384
58.5082,5.7437,5.7355,5.7355,-5.7355
59.0927,5.7135,5.7325,5.7325,-5.7325
59.6829,5.6839,5.7300,5.7300,-5.7300
60.2791,5.6888,5.7281,5.7281,-5.7281
60.8812,5.7074,5.7269,5.7269,-5.7269
61.4893,5.7274,5.7258,5.7258,-5.7258
62.1035,5.7387,5.7246,5.7246,-5.7246
62.7239,5.7400,5.7230,5.7230,-5.7230
63.3504,5.7400,5.7209,5.7209,-5.7209
63.9832,5.7314,5.7184,5.7184,-5.7184
64.6223,5.7214,5.7157,5.7157,-5.7157
