frequency,raw,smoothed,error,equalization
20.0000,1.0200,1.1012,1.1012,-1.1012
20.1998,1.0400,1.1139,1.1139,-1.1139
20.4015,1.0601,1.1286,1.1286,-1.1286
20.6053,1.0796,1.1454,1.1454,-1.1454
20.8112,1.1001,1.1639,1.1639,-1.1639
21.0190,1.1199,1.1841,1.1841,-1.1841
21.2290,1.1499,1.2061,1.2061,-1.2061
21.4410,1.1802,1.2299,1.2299,-1.2299
21.6552,1.2289,1.2555,1.2555,-1.2555
21.8715,1.2703,1.2828,1.2828,-1.2828
22.0900,1.3200,1.3118,1.3118,-1.3118
22.3106,1.3601,1.3427,1.3427,-1.3427
22.5335,1.3989,1.3746,1.3746,-1.3746
22.7586,1.4397,1.4060,1.4060,-1.4060
22.9859,1.4695,1.4364,1.4364,-1.4364
23.2155,1.4896,1.4660,1.4660,-1.4660
23.4474,1.5098,1.4947,1.4947,-1.4947
23.6816,1.5293,1.5227,1.5227,-1.5227
23.9182,1.5498,1.5499,1.5499,-1.5499
24.1571,1.5698,1.5765,1.5765,-1.5765
24.3984,1.5998,1.6026,1.6026,-1.6026
24.6421,1.6194,1.6282,1.6282,-1.6282
24.8882,1.6498,1.6532,1.6532,-1.6532
25.1368,1.6697,1.6778,1.6778,-1.6778
25.3879,1.6998,1.7020,1.7020,-1.7020
25.6415,1.7290,1.7257,1.7257,-1.7257
25.8976,1.7586,1.7491,1.7491,-1.7491
26.1563,1.7896,1.7721,1.7721,-1.7721
26.4176,1.8186,1.7947,1.7947,-1.7947
26.6815,1.8393,1.8166,1.8166,-1.8166
26.9480,1.8591,1.8380,1.8380,-1.8380
27.2172,1.8790,1.8588,1.8588,-1.8588
27.4890,1.8800,1.8790,1.8790,-1.8790
27.7636,1.8898,1.8990,1.8990,-1.8990
28.0409,1.8997,1.9189,1.9189,-1.9189
28.3210,1.9194,1.9390,1.9390,-1.9390
28.6039,1.9389,1.9592,1.9592,-1.9592
28.8896,1.9689,1.9797,1.9797,-1.9797
29.1782,1.9988,2.0004,2.0004,-2.0004
29.4697,2.0289,2.0210,2.0210,-2.0210
29.7640,2.0489,2.0416,2.0416,-2.0416
30.0613,2.0688,2.0621,2.0621,-2.0621
30.3616,2.0888,2.0825,2.0825,-2.0825
30.6649,2.1090,2.1028,2.1028,-2.1028
30.9712,2.1288,2.1228,2.1228,-2.1228
31.2806,2.1487,2.1424,2.1424,-2.1424
31.5930,2.1689,2.1615,2.1615,-2.1615
31.9086,2.1887,2.1802,2.1802,-2.1802
32.2273,2.2092,2.1983,2.1983,-2.1983
32.5492,2.2194,2.2159,2.2159,-2.2159
32.8744,2.2390,2.2331,2.2331,-2.2331
33.2027,2.2495,2.2499,2.2499,-2.2499
33.5344,2.2691,2.2664,2.2664,-2.2664
33.8694,2.2794,2.2826,2.2826,-2.2826
34.2077,2.2987,2.2986,2.2986,-2.2986
34.5494,2.3094,2.3143,2.3143,-2.3143
34.8945,2.3285,2.3299,2.3299,-2.3299
35.2430,2.3485,2.3454,2.3454,-2.3454
35.5951,2.3686,2.3607,2.3607,-2.3607
35.9506,2.3889,2.3757,2.3757,-2.3757
36.3097,2.3994,2.3903,2.3903,-2.3903
36.6724,2.4093,2.4046,2.4046,-2.4046
37.0387,2.4194,2.4186,2.4186,-2.4186
37.4087,2.4294,2.4323,2.4323,-2.4323
37.7824,2.4393,2.4458,2.4458,-2.4458
38.1598,2.4584,2.4592,2.4592,-2.4592
38.5409,2.4785,2.4724,2.4724,-2.4724
38.9259,2.4894,2.4851,2.4851,-2.4851
39.3147,2.5087,2.4975,2.4975,-2.4975
39.7074,2.5192,2.5094,2.5094,-2.5094
40.1041,2.5291,2.5211,2.5211,-2.5211
40.5046,2.5300,2.5325,2.5325,-2.5325
40.9092,2.5392,2.5439,2.5439,-2.5439
41.3179,2.5584,2.5551,2.5551,-2.5551
41.7306,2.5693,2.5660,2.5660,-2.5660
42.1474,2.5792,2.5763,2.5763,-2.5763
42.5684,2.5892,2.5863,2.5863,-2.5863
42.9936,2.5992,2.5960,2.5960,-2.5960
43.4231,2.6000,2.6055,2.6055,-2.6055
43.8568,2.6180,2.6149,2.6149,-2.6149
44.2949,2.6292,2.6241,2.6241,-2.6241
44.7374,2.6481,2.6329,2.6329,-2.6329
45.1842,2.6590,2.6412,2.6412,-2.6412
45.6356,2.6600,2.6491,2.6491,-2.6491
46.0914,2.6509,2.6566,2.6566,-2.6566
46.5518,2.6500,2.6642,2.6642,-2.6642
47.0168,2.6591,2.6720,2.6720,-2.6720
47.4864,2.6781,2.6800,2.6800,-2.6800
47.9608,2.6979,2.6879,2.6879,-2.6879
48.4398,2.7090,2.6957,2.6957,-2.6957
48.9237,2.7100,2.7033,2.7033,-2.7033
49.4124,2.7010,2.7109,2.7109,-2.7109
49.9059,2.7000,2.7187,2.7187,-2.7187
50.4044,2.7089,2.7269,2.7269,-2.7269
50.9079,2.7279,2.7353,2.7353,-2.7353
51.4164,2.7568,2.7438,2.7438,-2.7438
51.9300,2.7688,2.7515,2.7515,-2.7515
52.4487,2.7700,2.7584,2.7584,-2.7584
52.9726,2.7611,2.7646,2.7646,-2.7646
53.5018,2.7689,2.7708,2.7708,-2.7708
54.0362,2.7876,2.7774,2.7774,-2.7774
54.5759,2.8076,2.7844,2.7844,-2.7844
55.1211,2.8100,2.7912,2.7912,-2.7912
55.6717,2.8100,2.7975,2.7975,-2.7975
56.2278,2.8100,2.8031,2.8031,-2.8031
56.7894,2.8100,2.8081,2.8081,-2.8081
57.3567,2.7834,2.8127,2.8127,-2.8127
57.9296,2.7449,2.8179,2.8179,-2.8179
58.5082,2.7751,2.8244,2.8244,-2.8244
59.0927,2.8154,2.8317,2.8317,-2.8317
59.6829,2.8897,2.8390,2.8390,-2.8390
60.2791,2.9176,2.8454,2.8454,-2.8454
60.8812,2.9113,2.8504,2.8504,-2.8504
61.4893,2.8753,2.8544,2.8544,-2.8544
62.1035,2.8350,2.8581,2.8581,-2.8581
62.7239,2.8125,2.8620,2.8620,-2.8620
63.3504,2.8362,2.8664,2.8664,-2.8664
63.9832,2.8832,2.8710,2.8710,-2.8710
64.6223,2.9073,2.8751,2.8751,-2.8751
65.2678,2.9013,2.8780,2.8780,-2.8780
65.9198,2.8741,2.8798,2.8798,-2.8798
66.5782,2.8786,2.8810,2.8810,-2.8810
67.2433,2.8800,2.8821,2.8821,-2.8821
67.9149,2.8886,2.8836,2.8836,-2.8836
68.5933,2.8900,2.8853,2.8853,-2.8853
69.2785,2.8900,2.8871,2.8871,-2.8871
69.9705,2.8900,2.8888,2.8888,-2.8888
70.6694,2.8900,2.8902,2.8902,-2.8902
71.3753,2.8900,2.8912,2.8912,-2.8912
72.0883,2.8900,2.8920,2.8920,-2.8920
72.8083,2.8900,2.8927,2.8927,-2.8927
73.5356,2.8900,2.8937,2.8937,-2.8937
74.2701,2.8900,2.8949,2.8949,-2.8949
75.0120,2.8985,2.8962,2.8962,-2.8962
75.7613,2.9000,2.8974,2.8974,-2.8974
76.5180,2.9000,2.8986,2.8986,-2.8986
77.2824,2.9000,2.8999,2.8999,-2.8999
78.0543,2.9085,2.9012,2.9012,-2.9012
78.8340,2.9100,2.9024,2.9024,-2.9024
79.6214,2.9015,2.9036,2.9036,-2.9036
80.4168,2.8915,2.9048,2.9048,-2.9048
81.2200,2.8900,2.9061,2.9061,-2.9061
82.0313,2.9068,2.9076,2.9076,-2.9076
82.8507,2.9184,2.9091,2.9091,-2.9091
83.6783,2.9200,2.9105,2.9105,-2.9105
84.5141,2.9116,2.9115,2.9115,-2.9115
85.3583,2.9100,2.9125,2.9125,-2.9125
86.2109,2.9184,2.9133,2.9133,-2.9133
87.0721,2.9200,2.9140,2.9140,-2.9140
87.9418,2.9200,2.9146,2.9146,-2.9146
88.8203,2.9200,2.9149,2.9149,-2.9149
89.7075,2.9117,2.9150,2.9150,-2.9150
90.6035,2.9100,2.9149,2.9149,-2.9149
91.5085,2.9183,2.9145,2.9145,-2.9145
92.4226,2.9283,2.9138,2.9138,-2.9138
93.3458,2.9135,2.9127,2.9127,-2.9127
94.2782,2.9100,2.9115,2.9115,-2.9115
95.2199,2.9100,2.9101,2.9101,-2.9101
96.1711,2.9100,2.9085,2.9085,-2.9085
97.1317,2.9182,2.9065,2.9065,-2.9065
98.1019,2.9118,2.9042,2.9042,-2.9042
99.0818,2.9018,2.9017,2.9017,-2.9017
100.0715,2.8918,2.8991,2.8991,-2.8991
101.0711,2.8982,2.8965,2.8965,-2.8965
102.0807,2.9000,2.8940,2.8940,-2.8940
103.1004,2.8919,2.8913,2.8913,-2.8913
104.1302,2.8900,2.8886,2.8886,-2.8886
105.1703,2.8900,2.8858,2.8858,-2.8858
106.2209,2.8819,2.8827,2.8827,-2.8827
107.2819,2.8637,2.8793,2.8793,-2.8793
108.3535,2.8681,2.8759,2.8759,-2.8759
109.4358,2.8700,2.8724,2.8724,-2.8724
110.5289,2.8700,2.8688,2.8688,-2.8688
111.6330,2.8780,2.8650,2.8650,-2.8650
112.7481,2.8800,2.8608,2.8608,-2.8608
113.8743,2.8800,2.8560,2.8560,-2.8560
115.0118,2.8720,2.8507,2.8507,-2.8507
116.1606,2.8460,2.8449,2.8449,-2.8449
117.3209,2.8320,2.8387,2.8387,-2.8387
118.4928,2.8300,2.8323,2.8323,-2.8323
119.6764,2.8141,2.8258,2.8258,-2.8258
120.8718,2.8100,2.8193,2.8193,-2.8193
122.0792,2.8179,2.8127,2.8127,-2.8127
123.2986,2.8041,2.8058,2.8058,-2.8058
124.5302,2.8000,2.7988,2.7988,-2.7988
125.7741,2.8000,2.7916,2.7916,-2.7916
127.0304,2.7921,2.7844,2.7844,-2.7844
128.2993,2.7821,2.7771,2.7771,-2.7771
129.5808,2.7642,2.7696,2.7696,-2.7696
130.8752,2.7521,2.7620,2.7620,-2.7620
132.1825,2.7500,2.7542,2.7542,-2.7542
133.5028,2.7578,2.7461,2.7461,-2.7461
134.8363,2.7521,2.7373,2.7373,-2.7373
136.1832,2.7344,2.7277,2.7277,-2.7277
137.5435,2.7222,2.7176,2.7176,-2.7176
138.9174,2.7200,2.7068,2.7068,-2.7068
140.3050,2.7122,2.6952,2.6952,-2.6952
141.7065,2.7022,2.6826,2.6826,-2.6826
143.1220,2.6845,2.6690,2.6690,-2.6690
144.5516,2.6567,2.6546,2.6546,-2.6546
145.9955,2.6422,2.6397,2.6397,-2.6397
147.4538,2.6322,2.6244,2.6244,-2.6244
148.9267,2.6145,2.6091,2.6091,-2.6091
150.4143,2.6023,2.5938,2.5938,-2.5938
151.9167,2.5845,2.5789,2.5789,-2.5789
153.4342,2.5646,2.5645,2.5645,-2.5645
154.9668,2.5369,2.5506,2.5506,-2.5506
156.5147,2.5070,2.5377,2.5377,-2.5377
158.0781,2.4846,2.5262,2.5262,-2.5262
159.6571,2.4723,2.5162,2.5162,-2.5162
161.2519,2.4700,2.5079,2.5079,-2.5079
162.8626,2.4700,2.5011,2.5011,-2.5011
164.4894,2.4852,2.4956,2.4956,-2.4956
166.1324,2.4976,2.4910,2.4910,-2.4910
167.7919,2.5000,2.4869,2.4869,-2.4869
169.4679,2.4848,2.4831,2.4831,-2.4831
171.1607,2.4800,2.4797,2.4797,-2.4797
172.8704,2.4800,2.4764,2.4764,-2.4764
174.5972,2.4876,2.4731,2.4731,-2.4731
176.3412,2.4825,2.4692,2.4692,-2.4692
178.1026,2.4725,2.4645,2.4645,-2.4645
179.8816,2.4700,2.4589,2.4589,-2.4589
181.6784,2.4625,2.4524,2.4524,-2.4524
183.4932,2.4600,2.4448,2.4448,-2.4448
185.3261,2.4525,2.4362,2.4362,-2.4362
187.1772,2.4425,2.4268,2.4268,-2.4268
189.0469,2.4251,2.4165,2.4165,-2.4165
190.9352,2.4126,2.4054,2.4054,-2.4054
192.8425,2.4026,2.3934,2.3934,-2.3934
194.7687,2.3852,2.3808,2.3808,-2.3808
196.7142,2.3726,2.3680,2.3680,-2.3680
198.6792,2.3552,2.3550,2.3550,-2.3550
200.6637,2.3426,2.3416,2.3416,-2.3416
202.6681,2.3252,2.3278,2.3278,-2.3278
204.6925,2.3126,2.3134,2.3134,-2.3134
206.7371,2.3026,2.2986,2.2986,-2.2986
208.8022,2.2926,2.2833,2.2833,-2.2833
210.8879,2.2679,2.2674,2.2674,-2.2674
212.9944,2.2233,2.2510,2.2510,-2.2510
215.1219,2.2247,2.2348,2.2348,-2.2348
217.2707,2.2666,2.2183,2.2183,-2.2183
219.4410,2.2508,2.2007,2.2007,-2.2007
221.6329,2.2109,2.1818,2.1818,-2.1818
223.8468,2.1709,2.1619,2.1619,-2.1619
226.0827,2.1310,2.1412,2.1412,-2.1412
228.3410,2.1127,2.1200,2.1200,-2.1200
