frequency,raw,smoothed,error,equalization
20.0000,10.4300,10.4185,10.4185,-10.4185
20.1998,10.4300,10.4162,10.4162,-10.4162
20.4015,10.4299,10.4135,10.4135,-10.4135
20.6053,10.4202,10.4104,10.4104,-10.4104
20.8112,10.4200,10.4070,10.4070,-10.4070
21.0190,10.4200,10.4032,10.4032,-10.4032
21.2290,10.4100,10.3990,10.3990,-10.3990
21.4410,10.4000,10.3943,10.3943,-10.3943
21.6552,10.3902,10.3891,10.3891,-10.3891
21.8715,10.3899,10.3835,10.3835,-10.3835
22.0900,10.3800,10.3772,10.3772,-10.3772
22.3106,10.3700,10.3702,10.3702,-10.3702
22.5335,10.3603,10.3625,10.3625,-10.3625
22.7586,10.3600,10.3544,10.3544,-10.3544
22.9859,10.3502,10.3459,10.3459,-10.3459
23.2155,10.3402,10.3368,10.3368,-10.3368
23.4474,10.3400,10.3274,10.3274,-10.3274
23.6816,10.3303,10.3175,10.3175,-10.3175
23.9182,10.3201,10.3072,10.3072,-10.3072
24.1571,10.3002,10.2963,10.2963,-10.2963
24.3984,10.2901,10.2851,10.2851,-10.2851
24.6421,10.2803,10.2735,10.2735,-10.2735
24.8882,10.2601,10.2617,10.2617,-10.2617
25.1368,10.2501,10.2495,10.2495,-10.2495
25.3879,10.2302,10.2372,10.2372,-10.2372
25.6415,10.2203,10.2247,10.2247,-10.2247
25.8976,10.2105,10.2121,10.2121,-10.2121
26.1563,10.2001,10.1992,10.1992,-10.1992
26.4176,10.1905,10.1862,10.1862,-10.1862
26.6815,10.1803,10.1729,10.1729,-10.1729
26.9480,10.1609,10.1592,10.1592,-10.1592
27.2172,10.1505,10.1451,10.1451,-10.1451
27.4890,10.1404,10.1306,10.1306,-10.1306
27.7636,10.1205,10.1155,10.1155,-10.1155
28.0409,10.1103,10.0999,10.0999,-10.0999
28.3210,10.0906,10.0836,10.0836,-10.0836
28.6039,10.0806,10.0668,10.0668,-10.0668
28.8896,10.0607,10.0492,10.0492,-10.0492
29.1782,10.0408,10.0309,10.0309,-10.0309
29.4697,10.0207,10.0119,10.0119,-10.0119
29.7640,10.0011,9.9922,9.9922,-9.9922
30.0613,9.9719,9.9720,9.9720,-9.9720
30.3616,9.9512,9.9513,9.9513,-9.9513
30.6649,9.9310,9.9301,9.9301,-9.9301
30.9712,9.9112,9.9085,9.9085,-9.9085
31.2806,9.8913,9.8864,9.8864,-9.8864
31.5930,9.8711,9.8638,9.8638,-9.8638
31.9086,9.8513,9.8406,9.8406,-9.8406
32.2273,9.8212,9.8169,9.8169,-9.8169
32.5492,9.8013,9.7928,9.7928,-9.7928
32.8744,9.7715,9.7683,9.7683,-9.7683
33.2027,9.7510,9.7433,9.7433,-9.7433
33.5344,9.7214,9.7180,9.7180,-9.7180
33.8694,9.7012,9.6924,9.6924,-9.6924
