frequency,raw,smoothed,error,equalization
20.0000,8.5000,8.5582,8.5582,-8.5582
20.1998,8.5200,8.5644,8.5644,-8.5644
20.4015,8.5401,8.5713,8.5713,-8.5713
20.6053,8.5498,8.5788,8.5788,-8.5788
20.8112,8.5701,8.5867,8.5867,-8.5867
21.0190,8.5800,8.5950,8.5950,-8.5950
21.2290,8.5999,8.6035,8.6035,-8.6035
21.4410,8.6100,8.6123,8.6123,-8.6123
21.6552,8.6198,8.6215,8.6215,-8.6215
21.8715,8.6301,8.6311,8.6311,-8.6311
22.0900,8.6500,8.6413,8.6413,-8.6413
22.3106,8.6600,8.6521,8.6521,-8.6521
22.5335,8.6697,8.6632,8.6632,-8.6632
22.7586,8.6799,8.6739,8.6739,-8.6739
22.9859,8.6898,8.6845,8.6845,-8.6845
23.2155,8.6998,8.6949,8.6949,-8.6949
23.4474,8.7000,8.7052,8.7052,-8.7052
23.6816,8.7097,8.7157,8.7157,-8.7157
23.9182,8.7199,8.7264,8.7264,-8.7264
24.1571,8.7299,8.7374,8.7374,-8.7374
24.3984,8.7399,8.7488,8.7488,-8.7488
24.6421,8.7497,8.7607,8.7607,-8.7607
24.8882,8.7699,8.7732,8.7732,-8.7732
25.1368,8.7799,8.7861,8.7861,-8.7861
25.3879,8.7899,8.7996,8.7996,-8.7996
25.6415,8.8093,8.8136,8.8136,-8.8136
25.8976,8.8195,8.8281,8.8281,-8.8281
26.1563,8.8397,8.8430,8.8430,-8.8430
26.4176,8.8495,8.8582,8.8582,-8.8582
26.6815,8.8693,8.8738,8.8738,-8.8738
26.9480,8.8891,8.8895,8.8895,-8.8895
27.2172,8.9090,8.9051,8.9051,-8.9051
27.4890,8.9292,8.9207,8.9207,-8.9207
27.7636,8.9398,8.9359,8.9359,-8.9359
28.0409,8.9594,8.9509,8.9509,-8.9509
28.3210,8.9697,8.9654,8.9654,-8.9654
28.6039,8.9889,8.9794,8.9794,-8.9794
28.8896,8.9996,8.9928,8.9928,-8.9928
29.1782,9.0096,9.0056,9.0056,-9.0056
29.4697,9.0293,9.0177,9.0177,-9.0177
29.7640,9.0395,9.0291,9.0291,-9.0291
30.0613,9.0494,9.0398,9.0398,-9.0398
30.3616,9.0594,9.0497,9.0497,-9.0497
30.6649,9.0695,9.0591,9.0591,-9.0591
30.9712,9.0794,9.0679,9.0679,-9.0679
31.2806,9.0800,9.0761,9.0761,-9.0761
31.5930,9.0895,9.0839,9.0839,-9.0839
31.9086,9.0900,9.0914,9.0914,-9.0914
32.2273,9.0996,9.0986,9.0986,-9.0986
32.5492,9.1000,9.1057,9.1057,-9.1057
32.8744,9.1095,9.1128,9.1128,-9.1128
33.2027,9.1195,9.1199,9.1199,-9.1199
33.5344,9.1295,9.1270,9.1270,-9.1270
33.8694,9.1300,9.1341,9.1341,-9.1341
34.2077,9.1393,9.1413,9.1413,-9.1413
34.5494,9.1494,9.1486,9.1486,-9.1486
