frequency,raw,smoothed,error,equalization
20.0000,6.6200,6.6800,6.6800,-6.6800
20.1998,6.6400,6.6863,6.6863,-6.6863
20.4015,6.6601,6.6934,6.6934,-6.6934
20.6053,6.6698,6.7009,6.7009,-6.7009
20.8112,6.6901,6.7090,6.7090,-6.7090
21.0190,6.7099,6.7173,6.7173,-6.7173
21.2290,6.7200,6.7259,6.7259,-6.7259
21.4410,6.7301,6.7347,6.7347,-6.7347
21.6552,6.7496,6.7438,6.7438,-6.7438
21.8715,6.7601,6.7533,6.7533,-6.7533
22.0900,6.7700,6.7633,6.7633,-6.7633
22.3106,6.7800,6.7738,6.7738,-6.7738
22.5335,6.7897,6.7846,6.7846,-6.7846
22.7586,6.7999,6.7951,6.7951,-6.7951
22.9859,6.8098,6.8053,6.8053,-6.8053
23.2155,6.8198,6.8153,6.8153,-6.8153
23.4474,6.8200,6.8252,6.8252,-6.8252
23.6816,6.8297,6.8352,6.8352,-6.8352
23.9182,6.8399,6.8455,6.8455,-6.8455
24.1571,6.8499,6.8560,6.8560,-6.8560
24.3984,6.8599,6.8669,6.8669,-6.8669
24.6421,6.8697,6.8783,6.8783,-6.8783
24.8882,6.8799,6.8901,6.8901,-6.8901
25.1368,6.8997,6.9025,6.9025,-6.9025
25.3879,6.9099,6.9153,6.9153,-6.9153
25.6415,6.9197,6.9286,6.9286,-6.9286
25.8976,6.9390,6.9425,6.9425,-6.9425
26.1563,6.9499,6.9567,6.9567,-6.9567
26.4176,6.9691,6.9712,6.9712,-6.9712
26.6815,6.9797,6.9859,6.9859,-6.9859
26.9480,6.9991,7.0008,7.0008,-7.0008
27.2172,7.0190,7.0156,7.0156,-7.0156
27.4890,7.0296,7.0304,7.0304,-7.0304
27.7636,7.0495,7.0449,7.0449,-7.0449
28.0409,7.0694,7.0592,7.0592,-7.0592
28.3210,7.0797,7.0729,7.0729,-7.0729
28.6039,7.0989,7.0862,7.0862,-7.0862
28.8896,7.1096,7.0989,7.0989,-7.0989
29.1782,7.1196,7.1110,7.1110,-7.1110
29.4697,7.1296,7.1224,7.1224,-7.1224
29.7640,7.1395,7.1331,7.1331,-7.1331
30.0613,7.1494,7.1433,7.1433,-7.1433
30.3616,7.1594,7.1529,7.1529,-7.1529
30.6649,7.1695,7.1619,7.1619,-7.1619
30.9712,7.1794,7.1704,7.1704,-7.1704
31.2806,7.1800,7.1784,7.1784,-7.1784
31.5930,7.1895,7.1861,7.1861,-7.1861
31.9086,7.1993,7.1935,7.1935,-7.1935
32.2273,7.2000,7.2006,7.2006,-7.2006
32.5492,7.2094,7.2076,7.2076,-7.2076
32.8744,7.2100,7.2145,7.2145,-7.2145
33.2027,7.2195,7.2214,7.2214,-7.2214
33.5344,7.2295,7.2284,7.2284,-7.2284
33.8694,7.2300,7.2352,7.2352,-7.2352
34.2077,7.2393,7.2422,7.2422,-7.2422
34.5494,7.2494,7.2491,7.2491,-7.2491
34.8945,7.2593,7.2561,7.2561,-7.2561
35.2430,7.2600,7.2629,7.2629,-7.2629
35.5951,7.2693,7.2697,7.2697,-7.2697
35.9506,7.2794,7.2763,7.2763,-7.2763
36.3097,7.2894,7.2828,7.2828,-7.2828
36.6724,7.2900,7.2889,7.2889,-7.2889
37.0387,7.2994,7.2947,7.2947,-7.2947
37.4087,7.3094,7.3001,7.3001,-7.3001
37.7824,7.3100,7.3050,7.3050,-7.3050
38.1598,7.3192,7.3095,7.3095,-7.3095
38.5409,7.3200,7.3134,7.3134,-7.3134
38.9259,7.3200,7.3168,7.3168,-7.3168
39.3147,7.3294,7.3197,7.3197,-7.3197
39.7074,7.3300,7.3220,7.3220,-7.3220
40.1041,7.3300,7.3236,7.3236,-7.3236
40.5046,7.3300,7.3247,7.3247,-7.3247
40.9092,7.3300,7.3254,7.3254,-7.3254
41.3179,7.3300,7.3256,7.3256,-7.3256
41.7306,7.3300,7.3253,7.3253,-7.3253
42.1474,7.3300,7.3246,7.3246,-7.3246
42.5684,7.3300,7.3235,7.3235,-7.3235
42.9936,7.3300,7.3220,7.3220,-7.3220
43.4231,7.3209,7.3201,7.3201,-7.3201
43.8568,7.3200,7.3178,7.3178,-7.3178
44.2949,7.3108,7.3152,7.3152,-7.3152
44.7374,7.3100,7.3123,7.3123,-7.3123
45.1842,7.3190,7.3091,7.3091,-7.3091
45.6356,7.3110,7.3056,7.3056,-7.3056
46.0914,7.3100,7.3017,7.3017,-7.3017
46.5518,7.3010,7.2974,7.2974,-7.2974
47.0168,7.3000,7.2928,7.2928,-7.2928
47.4864,7.2909,7.2879,7.2879,-7.2879
47.9608,7.2900,7.2829,7.2829,-7.2829
48.4398,7.2810,7.2775,7.2775,-7.2775
48.9237,7.2710,7.2720,7.2720,-7.2720
49.4124,7.2610,7.2663,7.2663,-7.2663
49.9059,7.2600,7.2604,7.2604,-7.2604
50.4044,7.2511,7.2542,7.2542,-7.2542
50.9079,7.2500,7.2479,7.2479,-7.2479
51.4164,7.2411,7.2413,7.2413,-7.2413
51.9300,7.2400,7.2346,7.2346,-7.2346
52.4487,7.2312,7.2276,7.2276,-7.2276
52.9726,7.2300,7.2203,7.2203,-7.2203
53.5018,7.2211,7.2126,7.2126,-7.2126
54.0362,7.2112,7.2046,7.2046,-7.2046
54.5759,7.2012,7.1962,7.1962,-7.1962
55.1211,7.1911,7.1874,7.1874,-7.1874
55.6717,7.1812,7.1783,7.1783,-7.1783
56.2278,7.1711,7.1687,7.1687,-7.1687
56.7894,7.1612,7.1588,7.1588,-7.1588
57.3567,7.1511,7.1484,7.1484,-7.1484
57.9296,7.1412,7.1375,7.1375,-7.1375
58.5082,7.1312,7.1262,7.1262,-7.1262
59.0927,7.1212,7.1143,7.1143,-7.1143
59.6829,7.1113,7.1019,7.1019,-7.1019
60.2791,7.0924,7.0889,7.0889,-7.0889
60.8812,7.0813,7.0754,7.0754,-7.0754
61.4893,7.0713,7.0612,7.0612,-7.0612
62.1035,7.0613,7.0463,7.0463,-7.0463
62.7239,7.0425,7.0307,7.0307,-7.0307
63.3504,7.0225,7.0143,7.0143,-7.0143
63.9832,7.0027,6.9971,6.9971,-6.9971
64.6223,6.9827,6.9794,6.9794,-6.9794
65.2678,6.9713,6.9610,6.9610,-6.9610
65.9198,6.9527,6.9419,6.9419,-6.9419
66.5782,6.9328,6.9221,6.9221,-6.9221
67.2433,6.9039,6.9017,6.9017,-6.9017
67.9149,6.8828,6.8807,6.8807,-6.8807
68.5933,6.8628,6.8592,6.8592,-6.8592
69.2785,6.8427,6.8371,6.8371,-6.8371
69.9705,6.8228,6.8145,6.8145,-6.8145
70.6694,6.7943,6.7914,6.7914,-6.7914
71.3753,6.7729,6.7677,6.7677,-6.7677
72.0883,6.7529,6.7435,6.7435,-6.7435
72.8083,6.7242,6.7187,6.7187,-6.7187
73.5356,6.7029,6.6934,6.6934,-6.6934
74.2701,6.6745,6.6676,6.6676,-6.6676
75.0120,6.6444,6.6412,6.6412,-6.6412
75.7613,6.6229,6.6144,6.6144,-6.6144
76.5180,6.5944,6.5870,6.5870,-6.5870
77.2824,6.5646,6.5592,6.5592,-6.5592
78.0543,6.5345,6.5309,6.5309,-6.5309
78.8340,6.5045,6.5022,6.5022,-6.5022
79.6214,6.4745,6.4730,6.4730,-6.4730
80.4168,6.4446,6.4435,6.4435,-6.4435
81.2200,6.4232,6.4135,6.4135,-6.4135
82.0313,6.3864,6.3831,6.3831,-6.3831
82.8507,6.3547,6.3522,6.3522,-6.3522
83.6783,6.3248,6.3210,6.3210,-6.3210
84.5141,6.2949,6.2893,6.2893,-6.2893
85.3583,6.2650,6.2571,6.2571,-6.2571
86.2109,6.2349,6.2245,6.2245,-6.2245
87.0721,6.1968,6.1913,6.1913,-6.1913
87.9418,6.1651,6.1576,6.1576,-6.1576
88.8203,6.1268,6.1234,6.1234,-6.1234
89.7075,6.0951,6.0887,6.0887,-6.0887
90.6035,6.0570,6.0533,6.0533,-6.0533
91.5085,6.0250,6.0174,6.0174,-6.0174
92.4226,5.9868,5.9810,5.9810,-5.9810
93.3458,5.9471,5.9439,5.9439,-5.9439
94.2782,5.9152,5.9063,5.9063,-5.9063
95.2199,5.8772,5.8680,5.8680,-5.8680
96.1711,5.8371,5.8290,5.8290,-5.8290
97.1317,5.7970,5.7895,5.7895,-5.7895
98.1019,5.7573,5.7493,5.7493,-5.7493
99.0818,5.7173,5.7084,5.7084,-5.7084
100.0715,5.6772,5.6669,5.6669,-5.6669
101.0711,5.6289,5.6247,5.6247,-5.6247
102.0807,5.5874,5.5819,5.5819,-5.5819
103.1004,5.5474,5.5385,5.5385,-5.5385
104.1302,5.4992,5.4945,5.4945,-5.4945
105.1703,5.4576,5.4499,5.4499,-5.4499
106.2209,5.4095,5.4047,5.4047,-5.4047
107.2819,5.3675,5.3589,5.3589,-5.3589
108.3535,5.3196,5.3125,5.3125,-5.3125
109.4358,5.2695,5.2655,5.2655,-5.2655
110.5289,5.2196,5.2179,5.2179,-5.2179
111.6330,5.1778,5.1699,5.1699,-5.1699
112.7481,5.1299,5.1213,5.1213,-5.1213
113.8743,5.0800,5.0720,5.0720,-5.0720
115.0118,5.0300,5.0221,5.0221,-5.0221
116.1606,4.9800,4.9715,4.9715,-4.9715
117.3209,4.9299,4.9203,4.9203,-4.9203
118.4928,4.8721,4.8685,4.8685,-4.8685
119.6764,4.8202,4.8160,4.8160,-4.8160
120.8718,4.7703,4.7629,4.7629,-4.7629
122.0792,4.7204,4.7092,4.7092,-4.7092
123.2986,4.6624,4.6548,4.6548,-4.6548
124.5302,4.6105,4.5998,4.5998,-4.5998
125.7741,4.5524,4.5440,4.5440,-4.5440
127.0304,4.4924,4.4876,4.4876,-4.4876
128.2993,4.4327,4.4306,4.4306,-4.4306
129.5808,4.3805,4.3731,4.3731,-4.3731
130.8752,4.3227,4.3149,4.3149,-4.3149
132.1825,4.2627,4.2562,4.2562,-4.2562
133.5028,4.2030,4.1969,4.1969,-4.1969
134.8363,4.1428,4.1371,4.1371,-4.1371
136.1832,4.0831,4.0767,4.0767,-4.0767
137.5435,4.0231,4.0158,4.0158,-4.0158
138.9174,3.9632,3.9545,3.9545,-3.9545
140.3050,3.8954,3.8926,3.8926,-3.8926
141.7065,3.8333,3.8303,3.8303,-3.8303
143.1220,3.7734,3.7676,3.7676,-3.7676
144.5516,3.7056,3.7044,3.7044,-3.7044
145.9955,3.6434,3.6409,3.6409,-3.6409
147.4538,3.5834,3.5771,3.5771,-3.5771
148.9267,3.5158,3.5130,3.5130,-3.5130
150.4143,3.4535,3.4487,3.4487,-3.4487
151.9167,3.3859,3.3841,3.3841,-3.3841
153.4342,3.3237,3.3192,3.3192,-3.3192
154.9668,3.2561,3.2542,3.2542,-3.2542
156.5147,3.1864,3.1890,3.1890,-3.1890
158.0781,3.1239,3.1238,3.1238,-3.1238
159.6571,3.0564,3.0585,3.0585,-3.0585
161.2519,2.9942,2.9931,2.9931,-2.9931
162.8626,2.9264,2.9277,2.9277,-2.9277
164.4894,2.8643,2.8622,2.8622,-2.8622
166.1324,2.7969,2.7967,2.7967,-2.7967
167.7919,2.7344,2.7312,2.7312,-2.7312
169.4679,2.6668,2.6655,2.6655,-2.6655
171.1607,2.5969,2.5998,2.5998,-2.5998
172.8704,2.5346,2.5341,2.5341,-2.5341
174.5972,2.4671,2.4683,2.4683,-2.4683
176.3412,2.4047,2.4024,2.4024,-2.4024
