frequency,raw,smoothed,error,equalization
20.0000,4.5500,4.5938,4.5938,-4.5938
20.1998,4.5700,4.5982,4.5982,-4.5982
20.4015,4.5801,4.6030,4.6030,-4.6030
20.6053,4.5898,4.6081,4.6081,-4.6081
20.8112,4.6001,4.6135,4.6135,-4.6135
21.0190,4.6100,4.6192,4.6192,-4.6192
21.2290,4.6200,4.6252,4.6252,-4.6252
21.4410,4.6300,4.6317,4.6317,-4.6317
21.6552,4.6398,4.6387,4.6387,-4.6387
21.8715,4.6501,4.6463,4.6463,-4.6463
22.0900,4.6600,4.6548,4.6548,-4.6548
22.3106,4.6600,4.6641,4.6641,-4.6641
22.5335,4.6697,4.6743,4.6743,-4.6743
22.7586,4.6700,4.6845,4.6845,-4.6845
22.9859,4.6798,4.6950,4.6950,-4.6950
23.2155,4.6898,4.7056,4.7056,-4.7056
23.4474,4.6999,4.7161,4.7161,-4.7161
23.6816,4.7193,4.7265,4.7265,-4.7265
23.9182,4.7398,4.7366,4.7366,-4.7366
24.1571,4.7598,4.7462,4.7462,-4.7462
24.3984,4.7799,4.7553,4.7553,-4.7553
24.6421,4.7994,4.7638,4.7638,-4.7638
24.8882,4.8099,4.7714,4.7714,-4.7714
25.1368,4.8100,4.7782,4.7782,-4.7782
25.3879,4.8001,4.7840,4.7840,-4.7840
25.6415,4.7903,4.7891,4.7891,-4.7891
25.8976,4.7805,4.7938,4.7938,-4.7938
26.1563,4.7800,4.7986,4.7986,-4.7986
26.4176,4.7800,4.8038,4.8038,-4.8038
26.6815,4.7897,4.8101,4.8101,-4.8101
26.9480,4.7996,4.8182,4.8182,-4.8182
27.2172,4.8190,4.8286,4.8286,-4.8286
27.4890,4.8296,4.8414,4.8414,-4.8414
27.7636,4.8398,4.8569,4.8569,-4.8569
28.0409,4.8400,4.8750,4.8750,-4.8750
28.3210,4.8303,4.8954,4.8954,-4.8954
28.6039,4.8394,4.9179,4.9179,-4.9179
28.8896,4.8496,4.9422,4.9422,-4.9422
29.1782,4.8980,4.9678,4.9678,-4.9678
29.4697,4.9579,4.9940,4.9940,-4.9940
29.7640,5.0357,5.0200,5.0200,-5.0200
30.0613,5.1150,5.0449,5.0449,-5.0449
30.3616,5.1857,5.0677,5.0677,-5.0677
30.6649,5.2280,5.0878,5.0878,-5.0878
30.9712,5.2300,5.1048,5.1048,-5.1048
31.2806,5.2113,5.1188,5.1188,-5.1188
31.5930,5.1722,5.1304,5.1304,-5.1304
31.9086,5.1327,5.1404,5.1404,-5.1404
32.2273,5.1012,5.1493,5.1493,-5.1493
32.5492,5.0906,5.1579,5.1579,-5.1579
32.8744,5.0995,5.1664,5.1664,-5.1664
33.2027,5.1190,5.1751,5.1751,-5.1751
33.5344,5.1486,5.1843,5.1843,-5.1843
33.8694,5.1688,5.1941,5.1941,-5.1941
34.2077,5.1980,5.2047,5.2047,-5.2047
34.5494,5.2188,5.2163,5.2163,-5.2163
34.8945,5.2385,5.2287,5.2287,-5.2287
35.2430,5.2677,5.2416,5.2416,-5.2416
35.5951,5.2886,5.2542,5.2542,-5.2542
35.9506,5.2994,5.2660,5.2660,-5.2660
36.3097,5.3094,5.2766,5.2766,-5.2766
36.6724,5.3100,5.2856,5.2856,-5.2856
37.0387,5.3100,5.2931,5.2931,-5.2931
37.4087,5.3100,5.2991,5.2991,-5.2991
