frequency,raw,smoothed,error,equalization
20.0000,17.1200,17.1400,17.1400,-17.1400
20.1998,17.1300,17.1422,17.1422,-17.1422
20.4015,17.1301,17.1447,17.1447,-17.1447
20.6053,17.1398,17.1474,17.1474,-17.1474
20.8112,17.1401,17.1503,17.1503,-17.1503
21.0190,17.1500,17.1534,17.1534,-17.1534
21.2290,17.1500,17.1566,17.1566,-17.1566
21.4410,17.1600,17.1600,17.1600,-17.1600
21.6552,17.1600,17.1636,17.1636,-17.1636
21.8715,17.1700,17.1675,17.1675,-17.1675
22.0900,17.1700,17.1716,17.1716,-17.1716
22.3106,17.1800,17.1761,17.1761,-17.1761
22.5335,17.1800,17.1806,17.1806,-17.1806
22.7586,17.1899,17.1850,17.1850,-17.1850
22.9859,17.1900,17.1893,17.1893,-17.1893
23.2155,17.1900,17.1935,17.1935,-17.1935
23.4474,17.1999,17.1976,17.1976,-17.1976
23.6816,17.2000,17.2016,17.2016,-17.2016
23.9182,17.2099,17.2055,17.2055,-17.2055
24.1571,17.2100,17.2092,17.2092,-17.2092
24.3984,17.2199,17.2127,17.2127,-17.2127
24.6421,17.2200,17.2160,17.2160,-17.2160
24.8882,17.2200,17.2190,17.2190,-17.2190
25.1368,17.2200,17.2219,17.2219,-17.2219
25.3879,17.2299,17.2246,17.2246,-17.2246
25.6415,17.2300,17.2271,17.2271,-17.2271
25.8976,17.2300,17.2293,17.2293,-17.2293
26.1563,17.2300,17.2313,17.2313,-17.2313
26.4176,17.2395,17.2331,17.2331,-17.2331
26.6815,17.2400,17.2346,17.2346,-17.2346
26.9480,17.2400,17.2359,17.2359,-17.2359
27.2172,17.2400,17.2369,17.2369,-17.2369
27.4890,17.2400,17.2377,17.2377,-17.2377
27.7636,17.2400,17.2384,17.2384,-17.2384
28.0409,17.2400,17.2388,17.2388,-17.2388
28.3210,17.2400,17.2390,17.2390,-17.2390
28.6039,17.2400,17.2390,17.2390,-17.2390
28.8896,17.2400,17.2387,17.2387,-17.2387
29.1782,17.2400,17.2382,17.2382,-17.2382
29.4697,17.2400,17.2375,17.2375,-17.2375
29.7640,17.2400,17.2367,17.2367,-17.2367
30.0613,17.2400,17.2356,17.2356,-17.2356
30.3616,17.2400,17.2344,17.2344,-17.2344
30.6649,17.2400,17.2330,17.2330,-17.2330
30.9712,17.2306,17.2314,17.2314,-17.2314
31.2806,17.2300,17.2295,17.2295,-17.2295
31.5930,17.2300,17.2274,17.2274,-17.2274
31.9086,17.2207,17.2250,17.2250,-17.2250
32.2273,17.2200,17.2223,17.2223,-17.2223
32.5492,17.2200,17.2195,17.2195,-17.2195
