frequency,raw,smoothed,error,equalization
20.0000,-36.4400,-35.9115,-35.9115,18.0000
20.1998,-36.3401,-35.8297,-35.8297,18.0000
20.4015,-36.2191,-35.7351,-35.7351,18.0000
20.6053,-36.1027,-35.6293,-35.6293,18.0000
20.8112,-35.9390,-35.5121,-35.5121,18.0000
21.0190,-35.7509,-35.3832,-35.3832,18.0000
21.2290,-35.5410,-35.2420,-35.2420,18.0000
21.4410,-35.2887,-35.0872,-35.0872,18.0000
21.6552,-35.0259,-34.9178,-34.9178,18.0000
21.8715,-34.7583,-34.7324,-34.7324,18.0000
22.0900,-34.5200,-34.5296,-34.5296,18.0000
22.3106,-34.3094,-34.3071,-34.3071,18.0000
22.5335,-34.1157,-34.0685,-34.0685,18.0000
22.7586,-33.9312,-33.8240,-33.8240,18.0000
22.9859,-33.7532,-33.5742,-33.5742,18.0000
23.2155,-33.5147,-33.3197,-33.3197,18.0000
23.4474,-33.2332,-33.0615,-33.0615,18.0000
23.6816,-32.9115,-32.8005,-32.8005,18.0000
23.9182,-32.5230,-32.5381,-32.5381,18.0000
24.1571,-32.1644,-32.2762,-32.2762,18.0000
24.3984,-31.8322,-32.0162,-32.0162,18.0000
24.6421,-31.5395,-31.7594,-31.7594,18.0000
24.8882,-31.3017,-31.5067,-31.5067,18.0000
25.1368,-31.1223,-31.2586,-31.2586,18.0000
25.3879,-30.9613,-31.0150,-31.0150,18.0000
25.6415,-30.8052,-30.7756,-30.7756,18.0000
25.8976,-30.6190,-30.5400,-30.5400,18.0000
26.1563,-30.3932,-30.3078,-30.3078,18.0000
26.4176,-30.1324,-30.0791,-30.0791,18.0000
26.6815,-29.8492,-29.8538,-29.8538,18.0000
26.9480,-29.5629,-29.6320,-29.6320,18.0000
27.2172,-29.3024,-29.4135,-29.4135,18.0000
27.4890,-29.0885,-29.1980,-29.1980,18.0000
27.7636,-28.8945,-28.9849,-28.9849,18.0000
28.0409,-28.7158,-28.7736,-28.7736,18.0000
28.3210,-28.5551,-28.5641,-28.5641,18.0000
28.6039,-28.3800,-28.3563,-28.3563,18.0000
28.8896,-28.1774,-28.1507,-28.1507,18.0000
29.1782,-27.9685,-27.9480,-27.9480,18.0000
29.4697,-27.7575,-27.7486,-27.7486,18.0000
29.7640,-27.5417,-27.5526,-27.5526,18.0000
30.0613,-27.3237,-27.3598,-27.3598,18.0000
30.3616,-27.1035,-27.1701,-27.1701,18.0000
30.6649,-26.8906,-26.9838,-26.9838,18.0000
30.9712,-26.7015,-26.8012,-26.8012,18.0000
31.2806,-26.5307,-26.6230,-26.6230,18.0000
31.5930,-26.3688,-26.4496,-26.4496,18.0000
31.9086,-26.2387,-26.2814,-26.2814,18.0000
32.2273,-26.0957,-26.1184,-26.1184,18.0000
32.5492,-25.9588,-25.9601,-25.9601,18.0000
32.8744,-25.7883,-25.8059,-25.8059,18.0000
33.2027,-25.6094,-25.6553,-25.6553,18.0000
33.5344,-25.4285,-25.5079,-25.5079,18.0000
33.8694,-25.2697,-25.3633,-25.3633,18.0000
34.2077,-25.1385,-25.2210,-25.2210,18.0000
34.5494,-25.0267,-25.0804,-25.0804,18.0000
34.8945,-24.9458,-24.9408,-24.9408,18.0000
35.2430,-24.8569,-24.8016,-24.8016,18.0000
35.5951,-24.7571,-24.6625,-24.6625,18.0000
35.9506,-24.6272,-24.5231,-24.5231,18.0000
36.3097,-24.4785,-24.3837,-24.3837,18.0000
36.6724,-24.3034,-24.2443,-24.2443,18.0000
37.0387,-24.1018,-24.1056,-24.1056,18.0000
37.4087,-23.8921,-23.9683,-23.9683,18.0000
37.7824,-23.7131,-23.8334,-23.8334,18.0000
38.1598,-23.5435,-23.7015,-23.7015,18.0000
38.5409,-23.4284,-23.5735,-23.5735,18.0000
38.9259,-23.3544,-23.4496,-23.4496,18.0000
39.3147,-23.2939,-23.3296,-23.3296,18.0000
39.7074,-23.2165,-23.2132,-23.2132,18.0000
40.1041,-23.1281,-23.1002,-23.1002,18.0000
40.5046,-23.0106,-22.9906,-22.9906,18.0000
40.9092,-22.8800,-22.8843,-22.8843,18.0000
41.3179,-22.7502,-22.7813,-22.7813,18.0000
41.7306,-22.6286,-22.6813,-22.6813,18.0000
42.1474,-22.5278,-22.5840,-22.5840,18.0000
42.5684,-22.4368,-22.4884,-22.4884,18.0000
42.9936,-22.3568,-22.3937,-22.3937,18.0000
43.4231,-22.2860,-22.2994,-22.2994,18.0000
43.8568,-22.2169,-22.2048,-22.2048,18.0000
44.2949,-22.1365,-22.1096,-22.1096,18.0000
44.7374,-22.0485,-22.0138,-22.0138,18.0000
45.1842,-21.9592,-21.9173,-21.9173,18.0000
45.6356,-21.8599,-21.8203,-21.8203,18.0000
46.0914,-21.7586,-21.7228,-21.7228,18.0000
46.5518,-21.6513,-21.6248,-21.6248,18.0000
47.0168,-21.5403,-21.5262,-21.5262,18.0000
47.4864,-21.4211,-21.4274,-21.4274,18.0000
47.9608,-21.3203,-21.3289,-21.3289,18.0000
48.4398,-21.2115,-21.2311,-21.2311,18.0000
48.9237,-21.0916,-21.1346,-21.1346,18.0000
49.4124,-20.9807,-21.0399,-21.0399,18.0000
49.9059,-20.8808,-20.9471,-20.9471,18.0000
50.4044,-20.7989,-20.8565,-20.8565,18.0000
50.9079,-20.7362,-20.7681,-20.7681,18.0000
51.4164,-20.6674,-20.6816,-20.6816,18.0000
51.9300,-20.5804,-20.5971,-20.5971,18.0000
52.4487,-20.4994,-20.5144,-20.5144,18.0000
52.9726,-20.4188,-20.4334,-20.4334,18.0000
53.5018,-20.3744,-20.3539,-20.3539,18.0000
54.0362,-20.3171,-20.2751,-20.2751,18.0000
54.5759,-20.2307,-20.1964,-20.1964,18.0000
55.1211,-20.1131,-20.1176,-20.1176,18.0000
55.6717,-20.0034,-20.0389,-20.0389,18.0000
56.2278,-19.9191,-19.9607,-19.9607,18.0000
56.7894,-19.8574,-19.8827,-19.8827,18.0000
57.3567,-19.7968,-19.8048,-19.8048,18.0000
57.9296,-19.7461,-19.7267,-19.7267,18.0000
58.5082,-19.6699,-19.6484,-19.6484,18.0000
59.0927,-19.5893,-19.5698,-19.5698,18.0000
59.6829,-19.5103,-19.4912,-19.4912,18.0000
60.2791,-19.4208,-19.4128,-19.4128,18.0000
60.8812,-19.3403,-19.3351,-19.3351,18.0000
61.4893,-19.2519,-19.2581,-19.2581,18.0000
62.1035,-19.1700,-19.1817,-19.1817,18.0000
62.7239,-19.0811,-19.1057,-19.1057,18.0000
63.3504,-18.9914,-19.0300,-19.0300,18.0000
63.9832,-18.9108,-18.9549,-18.9549,18.0000
64.6223,-18.8482,-18.8805,-18.8805,18.0000
65.2678,-18.7964,-18.8066,-18.8066,18.0000
65.9198,-18.7468,-18.7331,-18.7331,18.0000
66.5782,-18.6797,-18.6594,-18.6594,18.0000
67.2433,-18.6179,-18.5856,-18.5856,18.0000
67.9149,-18.5498,-18.5115,-18.5115,18.0000
68.5933,-18.4628,-18.4371,-18.4371,18.0000
69.2785,-18.3721,-18.3623,-18.3623,18.0000
69.9705,-18.2828,-18.2875,-18.2875,18.0000
70.6694,-18.2101,-18.2127,-18.2127,18.0000
71.3753,-18.1318,-18.1378,-18.1378,18.0000
72.0883,-18.0515,-18.0630,-18.0630,18.0000
72.8083,-17.9627,-17.9882,-17.9882,17.9882
73.5356,-17.8814,-17.9137,-17.9137,17.9137
74.2701,-17.8189,-17.8396,-17.8396,17.8396
75.0120,-17.7588,-17.7660,-17.7660,17.7660
75.7613,-17.6987,-17.6928,-17.6928,17.6928
76.5180,-17.6303,-17.6202,-17.6202,17.6202
77.2824,-17.5522,-17.5481,-17.5481,17.5481
78.0543,-17.4805,-17.4765,-17.4765,17.4765
78.8340,-17.4104,-17.4055,-17.4055,17.4055
79.6214,-17.3490,-17.3348,-17.3348,17.3348
80.4168,-17.2723,-17.2643,-17.2643,17.2643
81.2200,-17.1844,-17.1942,-17.1942,17.1942
82.0313,-17.0943,-17.1244,-17.1244,17.1244
82.8507,-17.0210,-17.0552,-17.0552,17.0552
83.6783,-16.9595,-16.9867,-16.9867,16.9867
84.5141,-16.9081,-16.9186,-16.9186,16.9186
85.3583,-16.8500,-16.8508,-16.8508,16.8508
86.2109,-16.7898,-16.7832,-16.7832,16.7832
87.0721,-16.7302,-16.7155,-16.7155,16.7155
87.9418,-16.6619,-16.6477,-16.6477,16.6477
88.8203,-16.5919,-16.5796,-16.5796,16.5796
89.7075,-16.5220,-16.5114,-16.5114,16.5114
90.6035,-16.4522,-16.4431,-16.4431,16.4431
91.5085,-16.3818,-16.3747,-16.3747,16.3747
92.4226,-16.3120,-16.3062,-16.3062,16.3062
93.3458,-16.2341,-16.2373,-16.2373,16.2373
94.2782,-16.1622,-16.1683,-16.1683,16.1683
95.2199,-16.0925,-16.0993,-16.0993,16.0993
96.1711,-16.0224,-16.0304,-16.0304,16.0304
97.1317,-15.9523,-15.9617,-15.9617,15.9617
98.1019,-15.8827,-15.8933,-15.8933,15.8933
99.0818,-15.8127,-15.8253,-15.8253,15.8253
100.0715,-15.7508,-15.7578,-15.7578,15.7578
101.0711,-15.6907,-15.6905,-15.6905,15.6905
102.0807,-15.6311,-15.6232,-15.6232,15.6232
103.1004,-15.5630,-15.5560,-15.5560,15.5560
104.1302,-15.4929,-15.4887,-15.4887,15.4887
105.1703,-15.4233,-15.4212,-15.4212,15.4212
106.2209,-15.3533,-15.3536,-15.3536,15.3536
107.2819,-15.2912,-15.2858,-15.2858,15.2858
108.3535,-15.2234,-15.2177,-15.2177,15.2177
109.4358,-15.1532,-15.1494,-15.1494,15.1494
110.5289,-15.0915,-15.0808,-15.0808,15.0808
111.6330,-15.0156,-15.0117,-15.0117,15.0117
112.7481,-14.9439,-14.9422,-14.9422,14.9422
113.8743,-14.8740,-14.8725,-14.8725,14.8725
115.0118,-14.8040,-14.8026,-14.8026,14.8026
116.1606,-14.7340,-14.7326,-14.7326,14.7326
117.3209,-14.6558,-14.6624,-14.6624,14.6624
118.4928,-14.5921,-14.5920,-14.5920,14.5920
119.6764,-14.5243,-14.5214,-14.5214,14.5214
120.8718,-14.4545,-14.4505,-14.4505,14.4505
122.0792,-14.3845,-14.3794,-14.3794,14.3794
123.2986,-14.3144,-14.3080,-14.3080,14.3080
124.5302,-14.2368,-14.2365,-14.2365,14.2365
125.7741,-14.1644,-14.1649,-14.1649,14.1649
127.0304,-14.1024,-14.0931,-14.0931,14.0931
128.2993,-14.0269,-14.0211,-14.0211,14.0211
129.5808,-13.9547,-13.9488,-13.9488,13.9488
130.8752,-13.8769,-13.8763,-13.8763,13.8763
132.1825,-13.7969,-13.8035,-13.8035,13.8035
133.5028,-13.7251,-13.7305,-13.7305,13.7305
134.8363,-13.6549,-13.6573,-13.6573,13.6573
136.1832,-13.5853,-13.5840,-13.5840,13.5840
137.5435,-13.5153,-13.5105,-13.5105,13.5105
138.9174,-13.4453,-13.4367,-13.4367,13.4367
140.3050,-13.3754,-13.3625,-13.3625,13.3625
141.7065,-13.2978,-13.2880,-13.2880,13.2880
143.1220,-13.2179,-13.2130,-13.2130,13.2130
144.5516,-13.1378,-13.1379,-13.1379,13.1379
145.9955,-13.0657,-13.0626,-13.0626,13.0626
147.4538,-12.9879,-12.9870,-12.9870,12.9870
148.9267,-12.9080,-12.9113,-12.9113,12.9113
150.4143,-12.8358,-12.8354,-12.8354,12.8354
151.9167,-12.7582,-12.7592,-12.7592,12.7592
153.4342,-12.6859,-12.6829,-12.6829,12.6829
154.9668,-12.6083,-12.6066,-12.6066,12.6066
156.5147,-12.5287,-12.5302,-12.5302,12.5302
158.0781,-12.4562,-12.4539,-12.4539,12.4539
159.6571,-12.3788,-12.3776,-12.3776,12.3776
161.2519,-12.2989,-12.3014,-12.3014,12.3014
162.8626,-12.2264,-12.2253,-12.2253,12.2253
164.4894,-12.1491,-12.1492,-12.1492,12.1492
166.1324,-12.0693,-12.0732,-12.0732,12.0732
167.7919,-11.9892,-11.9972,-11.9972,11.9972
169.4679,-11.9168,-11.9213,-11.9213,11.9213
171.1607,-11.8469,-11.8455,-11.8455,11.8455
172.8704,-11.7695,-11.7695,-11.7695,11.7695
174.5972,-11.6971,-11.6934,-11.6934,11.6934
176.3412,-11.6196,-11.6170,-11.6170,11.6170
178.1026,-11.5473,-11.5403,-11.5403,11.5403
179.8816,-11.4697,-11.4633,-11.4633,11.4633
181.6784,-11.3900,-11.3858,-11.3858,11.3858
183.4932,-11.3176,-11.3079,-11.3079,11.3079
185.3261,-11.2402,-11.2295,-11.2295,11.2295
187.1772,-11.1603,-11.1505,-11.1505,11.1505
189.0469,-11.0802,-11.0709,-11.0709,11.0709
190.9352,-11.0004,-10.9906,-10.9906,10.9906
192.8425,-10.9130,-10.9098,-10.9098,10.9098
194.7687,-10.8307,-10.8287,-10.8287,10.8287
196.7142,-10.7508,-10.7472,-10.7472,10.7472
198.6792,-10.6707,-10.6656,-10.6656,10.6656
200.6637,-10.5833,-10.5838,-10.5838,10.5838
202.6681,-10.5008,-10.5021,-10.5021,10.5021
204.6925,-10.4211,-10.4205,-10.4205,10.4205
206.7371,-10.3338,-10.3393,-10.3393,10.3393
208.8022,-10.2512,-10.2586,-10.2586,10.2586
210.8879,-10.1638,-10.1787,-10.1787,10.1787
212.9944,-10.0813,-10.1000,-10.1000,10.1000
215.1219,-10.0087,-10.0226,-10.0226,10.0226
217.2707,-9.9315,-9.9469,-9.9469,9.9469
219.4410,-9.8516,-9.8729,-9.8729,9.8729
221.6329,-9.7790,-9.8012,-9.8012,9.8012
223.8468,-9.7017,-9.7321,-9.7321,9.7321
226.0827,-9.6292,-9.6660,-9.6660,9.6660
228.3410,-9.5592,-9.6034,-9.6034,9.6034
230.6219,-9.4965,-9.5448,-9.5448,9.5448
232.9255,-9.4367,-9.4906,-9.4906,9.4906
235.2521,-9.3767,-9.4411,-9.4411,9.4411
237.6020,-9.3312,-9.3968,-9.3968,9.3968
239.9754,-9.2840,-9.3579,-9.3579,9.3579
242.3724,-9.2484,-9.3248,-9.3248,9.3248
244.7934,-9.2185,-9.2977,-9.2977,9.2977
247.2386,-9.1956,-9.2768,-9.2768,9.2768
249.7082,-9.1828,-9.2621,-9.2621,9.2621
252.2025,-9.1800,-9.2535,-9.2535,9.2535
254.7217,-9.1800,-9.2508,-9.2508,9.2508
257.2661,-9.1871,-9.2538,-9.2538,9.2538
259.8358,-9.1971,-9.2621,-9.2621,9.2621
262.4313,-9.2213,-9.2754,-9.2754,9.2754
265.0527,-9.2442,-9.2933,-9.2933,9.2933
267.7002,-9.2783,-9.3151,-9.3151,9.3151
270.3742,-9.3112,-9.3405,-9.3405,9.3405
273.0749,-9.3483,-9.3686,-9.3686,9.3686
275.8026,-9.3812,-9.3991,-9.3991,9.3991
278.5575,-9.4181,-9.4314,-9.4314,9.4314
281.3400,-9.4581,-9.4649,-9.4649,9.4649
284.1502,-9.4981,-9.4992,-9.4992,9.4992
286.9885,-9.5380,-9.5338,-9.5338,9.5338
289.8552,-9.5780,-9.5682,-9.5682,9.5682
292.7505,-9.6179,-9.6020,-9.6020,9.6020
295.6747,-9.6509,-9.6348,-9.6348,9.6348
298.6281,-9.6878,-9.6663,-9.6663,9.6663
301.6111,-9.7208,-9.6963,-9.6963,9.6963
304.6238,-9.7508,-9.7243,-9.7243,9.7243
307.6666,-9.7808,-9.7503,-9.7503,9.7503
310.7398,-9.8038,-9.7740,-9.7740,9.7740
313.8437,-9.8238,-9.7953,-9.7953,9.7953
316.9786,-9.8438,-9.8140,-9.8140,9.8140
320.1449,-9.8637,-9.8302,-9.8302,9.8302
323.3427,-9.8769,-9.8435,-9.8435,9.8435
326.5725,-9.8869,-9.8541,-9.8541,9.8541
329.8346,-9.8968,-9.8619,-9.8619,9.8619
333.1292,-9.9000,-9.8670,-9.8670,9.8670
336.4568,-9.9000,-9.8692,-9.8692,9.8692
339.8176,-9.9000,-9.8687,-9.8687,9.8687
343.2119,-9.8932,-9.8655,-9.8655,9.8655
346.6402,-9.8900,-9.8597,-9.8597,9.8597
350.1027,-9.8832,-9.8512,-9.8512,9.8512
353.5998,-9.8665,-9.8401,-9.8401,9.8401
357.1318,-9.8532,-9.8265,-9.8265,9.8265
360.6991,-9.8365,-9.8105,-9.8105,9.8105
364.3021,-9.8166,-9.7923,-9.7923,9.7923
367.9410,-9.7966,-9.7723,-9.7723,9.7723
371.6163,-9.7766,-9.7507,-9.7507,9.7507
375.3283,-9.7499,-9.7276,-9.7276,9.7276
379.0774,-9.7200,-9.7033,-9.7033,9.7033
382.8639,-9.6900,-9.6779,-9.6779,9.6779
386.6882,-9.6534,-9.6516,-9.6516,9.6516
390.5508,-9.6200,-9.6244,-9.6244,9.6244
394.4519,-9.5835,-9.5965,-9.5965,9.5965
398.3920,-9.5501,-9.5678,-9.5678,9.5678
402.3714,-9.5268,-9.5385,-9.5385,9.5385
406.3906,-9.5068,-9.5083,-9.5083,9.5083
410.4500,-9.4934,-9.4769,-9.4769,9.4769
414.5498,-9.4768,-9.4438,-9.4438,9.4438
418.6907,-9.4503,-9.4086,-9.4086,9.4086
422.8729,-9.4203,-9.3712,-9.3712,9.3712
427.0969,-9.3773,-9.3313,-9.3313,9.3313
431.3631,-9.3339,-9.2888,-9.2888,9.2888
435.6718,-9.2874,-9.2436,-9.2436,9.2436
440.0237,-9.2310,-9.1957,-9.1957,9.1957
444.4190,-9.1775,-9.1451,-9.1451,9.1451
448.8582,-9.1210,-9.0920,-9.0920,9.0920
453.3417,-9.0611,-9.0364,-9.0364,9.0364
457.8700,-8.9948,-8.9784,-8.9784,8.9784
462.4436,-8.9313,-8.9183,-8.9183,8.9183
467.0628,-8.8648,-8.8564,-8.8564,8.8564
471.7282,-8.8014,-8.7928,-8.7928,8.7928
476.4402,-8.7350,-8.7276,-8.7276,8.7276
481.1993,-8.6715,-8.6608,-8.6608,8.6608
486.0059,-8.6051,-8.5924,-8.5924,8.5924
490.8605,-8.5416,-8.5224,-8.5224,8.5224
495.7636,-8.4754,-8.4505,-8.4505,8.4505
500.7156,-8.4054,-8.3768,-8.3768,8.3768
505.7172,-8.3355,-8.3010,-8.3010,8.3010
510.7687,-8.2592,-8.2231,-8.2231,8.2231
515.8706,-8.1730,-8.1431,-8.1431,8.1431
521.0235,-8.0894,-8.0608,-8.0608,8.0608
526.2279,-8.0032,-7.9765,-7.9765,7.9765
531.4843,-7.9133,-7.8901,-7.8901,7.8901
536.7932,-7.8234,-7.8016,-7.8016,7.8016
542.1551,-7.7272,-7.7111,-7.7111,7.7111
547.5705,-7.6336,-7.6187,-7.6187,7.6187
553.0401,-7.5375,-7.5246,-7.5246,7.5246
558.5643,-7.4438,-7.4286,-7.4286,7.4286
564.1437,-7.3476,-7.3311,-7.3311,7.3311
569.7788,-7.2478,-7.2318,-7.2318,7.2318
575.4701,-7.1479,-7.1310,-7.1310,7.1310
581.2184,-7.0480,-7.0286,-7.0286,7.0286
587.0241,-6.9481,-6.9247,-6.9247,6.9247
592.8877,-6.8421,-6.8192,-6.8192,6.8192
598.8099,-6.7322,-6.7121,-6.7121,6.7121
604.7913,-6.6223,-6.6035,-6.6035,6.6035
610.8324,-6.5124,-6.4935,-6.4935,6.4935
616.9339,-6.3963,-6.3820,-6.3820,6.3820
623.0963,-6.2826,-6.2693,-6.2693,6.2693
629.3203,-6.1667,-6.1555,-6.1555,6.1555
635.6064,-6.0468,-6.0405,-6.0405,6.0405
641.9553,-5.9330,-5.9247,-5.9247,5.9247
648.3677,-5.8170,-5.8079,-5.8079,5.8079
654.8441,-5.6971,-5.6902,-5.6902,5.6902
661.3852,-5.5773,-5.5717,-5.5717,5.5717
667.9916,-5.4575,-5.4524,-5.4524,5.4524
674.6640,-5.3376,-5.3321,-5.3321,5.3321
681.4031,-5.2177,-5.2110,-5.2110,5.2110
688.2095,-5.0979,-5.0889,-5.0889,5.0889
695.0838,-4.9780,-4.9657,-4.9657,4.9657
702.0269,-4.8582,-4.8413,-4.8413,4.8413
709.0393,-4.7383,-4.7157,-4.7157,4.7157
716.1217,-4.6124,-4.5887,-4.5887,4.5887
723.2749,-4.4825,-4.4603,-4.4603,4.4603
730.4995,-4.3527,-4.3307,-4.3307,4.3307
737.7963,-4.2169,-4.1998,-4.1998,4.1998
745.1660,-4.0831,-4.0677,-4.0677,4.0677
752.6093,-3.9473,-3.9347,-3.9347,3.9347
760.1269,-3.8075,-3.8007,-3.8007,3.8007
767.7197,-3.6676,-3.6662,-3.6662,3.6662
775.3882,-3.5278,-3.5311,-3.5311,3.5311
783.1334,-3.3937,-3.3959,-3.3959,3.3959
790.9560,-3.2581,-3.2607,-3.2607,3.2607
798.8566,-3.1182,-3.1256,-3.1256,3.1256
806.8362,-2.9842,-2.9907,-2.9907,2.9907
814.8955,-2.8485,-2.8561,-2.8561,2.8561
823.0353,-2.7144,-2.7218,-2.7218,2.7218
831.2565,-2.5788,-2.5877,-2.5877,2.5877
839.5597,-2.4448,-2.4539,-2.4539,2.4539
847.9459,-2.3150,-2.3202,-2.3202,2.3202
856.4158,-2.1851,-2.1865,-2.1865,2.1865
864.9703,-2.0552,-2.0525,-2.0525,2.0525
873.6103,-1.9311,-1.9181,-1.9181,1.9181
882.3366,-1.7998,-1.7829,-1.7829,1.7829
891.1501,-1.6656,-1.6470,-1.6470,1.6470
900.0516,-1.5300,-1.5100,-1.5100,1.5100
909.0420,-1.3902,-1.3719,-1.3719,1.3719
918.1222,-1.2504,-1.2327,-1.2327,1.2327
927.2931,-1.1105,-1.0924,-1.0924,1.0924
936.5557,-0.9650,-0.9507,-0.9507,0.9507
945.9107,-0.8208,-0.8079,-0.8079,0.8079
955.3592,-0.6754,-0.6637,-0.6637,0.6637
964.9021,-0.5255,-0.5183,-0.5183,0.5183
974.5402,-0.3813,-0.3715,-0.3715,0.3715
984.2747,-0.2358,-0.2233,-0.2233,0.2233
994.1064,-0.0860,-0.0736,-0.0736,0.0736
1004.0363,0.0638,0.0779,0.0779,-0.0779
1014.0654,0.2136,0.2314,0.2314,-0.2314
1024.1947,0.3635,0.3873,0.3873,-0.3873
1034.4251,0.5133,0.5460,0.5460,-0.5460
1044.7578,0.6687,0.7080,0.7080,-0.7080
1055.1936,0.8285,0.8737,0.8737,-0.8737
1065.7337,0.9884,1.0435,1.0435,-1.0435
1076.3791,1.1536,1.2176,1.2176,-1.2176
1087.1308,1.3234,1.3966,1.3966,-1.3966
1097.9899,1.5042,1.5805,1.5805,-1.5805
1108.9575,1.6940,1.7696,1.7696,-1.7696
1120.0346,1.8892,1.9638,1.9638,-1.9638
1131.2224,2.0945,2.1631,2.1631,-2.1631
1142.5219,2.3097,2.3673,2.3673,-2.3673
1153.9343,2.5295,2.5759,2.5759,-2.5759
1165.4607,2.7492,2.7885,2.7885,-2.7885
1177.1022,2.9744,3.0046,3.0046,-3.0046
1188.8600,3.2041,3.2237,3.2237,-3.2237
1200.7353,3.4285,3.4451,3.4451,-3.4451
1212.7291,3.6536,3.6683,3.6683,-3.6683
1224.8428,3.8834,3.8925,3.8925,-3.8925
