frequency,raw,smoothed,error,equalization
20.0000,4.4700,4.6635,4.6635,-4.6635
20.1998,4.5299,4.6873,4.6873,-4.6873
20.4015,4.5904,4.7151,4.7151,-4.7151
20.6053,4.6389,4.7460,4.7460,-4.7460
20.8112,4.6902,4.7796,4.7796,-4.7796
21.0190,4.7298,4.8155,4.8155,-4.8155
21.2290,4.7798,4.8537,4.8537,-4.8537
21.4410,4.8402,4.8941,4.8941,-4.8941
21.6552,4.8889,4.9362,4.9362,-4.9362
21.8715,4.9605,4.9802,4.9802,-4.9802
22.0900,5.0300,5.0259,5.0259,-5.0259
22.3106,5.1102,5.0735,5.0735,-5.0735
22.5335,5.1780,5.1211,5.1211,-5.1211
22.7586,5.2495,5.1657,5.1657,-5.1657
22.9859,5.3188,5.2071,5.2071,-5.2071
23.2155,5.3396,5.2451,5.2451,-5.2451
23.4474,5.3598,5.2800,5.2800,-5.2800
23.6816,5.3697,5.3122,5.3122,-5.3122
23.9182,5.3601,5.3422,5.3422,-5.3422
24.1571,5.3501,5.3707,5.3707,-5.3707
24.3984,5.3500,5.3984,5.3984,-5.3984
24.6421,5.3694,5.4260,5.4260,-5.4260
24.8882,5.3899,5.4539,5.4539,-5.4539
25.1368,5.4295,5.4825,5.4825,-5.4825
25.3879,5.4796,5.5119,5.5119,-5.5119
25.6415,5.5284,5.5422,5.5422,-5.5422
25.8976,5.5776,5.5732,5.5732,-5.5732
26.1563,5.6293,5.6048,5.6048,-5.6048
26.4176,5.6682,5.6363,5.6363,-5.6363
26.6815,5.6990,5.6676,5.6676,-5.6676
26.9480,5.7191,5.6983,5.6983,-5.6983
27.2172,5.7486,5.7280,5.7280,-5.7280
27.4890,5.7788,5.7564,5.7564,-5.7564
27.7636,5.7995,5.7832,5.7832,-5.7832
28.0409,5.8290,5.8082,5.8082,-5.8082
28.3210,5.8494,5.8313,5.8313,-5.8313
28.6039,5.8689,5.8527,5.8527,-5.8527
28.8896,5.8893,5.8725,5.8725,-5.8725
29.1782,5.9092,5.8908,5.8908,-5.8908
29.4697,5.9196,5.9079,5.9079,-5.9079
29.7640,5.9389,5.9239,5.9239,-5.9239
30.0613,5.9494,5.9391,5.9391,-5.9391
30.3616,5.9594,5.9534,5.9534,-5.9534
30.6649,5.9790,5.9670,5.9670,-5.9670
30.9712,5.9800,5.9800,5.9800,-5.9800
31.2806,5.9894,5.9925,5.9925,-5.9925
31.5930,5.9995,6.0048,6.0048,-6.0048
31.9086,6.0187,6.0171,6.0171,-6.0171
32.2273,6.0296,6.0293,6.0293,-6.0293
32.5492,6.0394,6.0414,6.0414,-6.0414
32.8744,6.0495,6.0536,6.0536,-6.0536
33.2027,6.0690,6.0659,6.0659,-6.0659
33.5344,6.0795,6.0781,6.0781,-6.0781
33.8694,6.0894,6.0903,6.0903,-6.0903
34.2077,6.0900,6.1025,6.1025,-6.1025
34.5494,6.1088,6.1148,6.1148,-6.1148
34.8945,6.1285,6.1273,6.1273,-6.1273
35.2430,6.1485,6.1395,6.1395,-6.1395
35.5951,6.1593,6.1513,6.1513,-6.1513
35.9506,6.1694,6.1623,6.1623,-6.1623
36.3097,6.1889,6.1727,6.1727,-6.1727
