frequency,raw,smoothed,error,equalization
20.0000,14.8100,14.8645,14.8645,-14.8645
20.1998,14.8200,14.8720,14.8720,-14.8720
20.4015,14.8401,14.8803,14.8803,-14.8803
20.6053,14.8498,14.8888,14.8888,-14.8888
20.8112,14.8601,14.8974,14.8974,-14.8974
21.0190,14.8799,14.9057,14.9057,-14.9057
21.2290,14.8999,14.9133,14.9133,-14.9133
21.4410,14.9301,14.9200,14.9200,-14.9200
21.6552,14.9496,14.9250,14.9250,-14.9250
21.8715,14.9801,14.9281,14.9281,-14.9281
22.0900,14.9900,14.9287,14.9287,-14.9287
22.3106,15.0000,14.9264,14.9264,-14.9264
22.5335,15.0000,14.9205,14.9205,-14.9205
22.7586,14.9901,14.9102,14.9102,-14.9102
22.9859,14.9704,14.8954,14.8954,-14.8954
23.2155,14.9406,14.8762,14.8762,-14.8762
23.4474,14.9005,14.8528,14.8528,-14.8528
23.6816,14.8614,14.8256,14.8256,-14.8256
23.9182,14.8203,14.7950,14.7950,-14.7950
24.1571,14.7706,14.7614,14.7614,-14.7614
24.3984,14.7303,14.7255,14.7255,-14.7255
24.6421,14.6913,14.6877,14.6877,-14.6877
24.8882,14.6503,14.6486,14.6486,-14.6486
25.1368,14.6105,14.6085,14.6085,-14.6085
25.3879,14.5703,14.5680,14.5680,-14.5680
25.6415,14.5313,14.5273,14.5273,-14.5273
25.8976,14.4919,14.4868,14.4868,-14.4868
26.1563,14.4407,14.4467,14.4467,-14.4467
26.4176,14.4018,14.4074,14.4074,-14.4074
26.6815,14.3516,14.3688,14.3688,-14.3688
26.9480,14.3118,14.3313,14.3313,-14.3313
27.2172,14.2719,14.2951,14.2951,-14.2951
27.4890,14.2412,14.2602,14.2602,-14.2602
27.7636,14.2009,14.2267,14.2267,-14.2267
28.0409,14.1710,14.1947,14.1947,-14.1947
28.3210,14.1410,14.1641,14.1641,-14.1641
28.6039,14.1211,14.1350,14.1350,-14.1350
28.8896,14.0911,14.1073,14.1073,-14.1073
29.1782,14.0708,14.0810,14.0810,-14.0810
29.4697,14.0411,14.0558,14.0558,-14.0558
29.7640,14.0211,14.0319,14.0319,-14.0319
30.0613,14.0012,14.0090,14.0090,-14.0090
30.3616,13.9812,13.9869,13.9869,-13.9869
30.6649,13.9610,13.9655,13.9655,-13.9655
30.9712,13.9412,13.9447,13.9447,-13.9447
31.2806,13.9213,13.9243,13.9243,-13.9243
31.5930,13.9011,13.9043,13.9043,-13.9043
31.9086,13.8813,13.8846,13.8846,-13.8846
32.2273,13.8608,13.8651,13.8651,-13.8651
32.5492,13.8413,13.8457,13.8457,-13.8457
32.8744,13.8305,13.8266,13.8266,-13.8266
33.2027,13.8110,13.8075,13.8075,-13.8075
33.5344,13.7909,13.7885,13.7885,-13.7885
33.8694,13.7712,13.7695,13.7695,-13.7695
34.2077,13.7513,13.7507,13.7507,-13.7507
34.5494,13.7312,13.7320,13.7320,-13.7320
34.8945,13.7115,13.7134,13.7134,-13.7134
35.2430,13.6915,13.6952,13.6952,-13.6952
35.5951,13.6714,13.6771,13.6771,-13.6771
35.9506,13.6511,13.6593,13.6593,-13.6593
36.3097,13.6311,13.6417,13.6417,-13.6417
36.6724,13.6207,13.6244,13.6244,-13.6244
37.0387,13.6012,13.6072,13.6072,-13.6072
37.4087,13.5906,13.5901,13.5901,-13.5901
37.7824,13.5715,13.5730,13.5730,-13.5730
38.1598,13.5608,13.5558,13.5558,-13.5558
38.5409,13.5415,13.5383,13.5383,-13.5383
38.9259,13.5306,13.5204,13.5204,-13.5204
39.3147,13.5113,13.5020,13.5020,-13.5020
39.7074,13.4916,13.4830,13.4830,-13.4830
40.1041,13.4809,13.4633,13.4633,-13.4633
40.5046,13.4527,13.4427,13.4427,-13.4427
40.9092,13.4315,13.4212,13.4212,-13.4212
41.3179,13.4116,13.3986,13.3986,-13.3986
41.7306,13.3914,13.3751,13.3751,-13.3751
42.1474,13.3623,13.3504,13.3504,-13.3504
42.5684,13.3323,13.3245,13.3245,-13.3245
42.9936,13.3117,13.2976,13.2976,-13.2976
43.4231,13.2826,13.2693,13.2693,-13.2693
43.8568,13.2529,13.2398,13.2398,-13.2398
44.2949,13.2224,13.2090,13.2090,-13.2090
44.7374,13.1928,13.1769,13.1769,-13.1769
45.1842,13.1631,13.1435,13.1435,-13.1435
45.6356,13.1240,13.1086,13.1086,-13.1086
46.0914,13.0926,13.0724,13.0724,-13.0724
46.5518,13.0541,13.0349,13.0349,-13.0349
47.0168,13.0138,12.9962,12.9962,-12.9962
47.4864,12.9737,12.9562,12.9562,-12.9562
47.9608,12.9251,12.9151,12.9151,-12.9151
48.4398,12.8842,12.8728,12.8728,-12.8728
48.9237,12.8348,12.8297,12.8297,-12.8297
49.4124,12.7939,12.7856,12.7856,-12.7856
49.9059,12.7454,12.7406,12.7406,-12.7406
50.4044,12.6956,12.6948,12.6948,-12.6948
50.9079,12.6542,12.6484,12.6484,-12.6484
51.4164,12.6053,12.6012,12.6012,-12.6012
51.9300,12.5646,12.5532,12.5532,-12.5532
52.4487,12.5159,12.5044,12.5044,-12.5044
52.9726,12.4655,12.4549,12.4549,-12.4549
53.5018,12.4155,12.4045,12.4045,-12.4045
54.0362,12.3659,12.3534,12.3534,-12.3534
54.5759,12.3159,12.3015,12.3015,-12.3015
55.1211,12.2565,12.2487,12.2487,-12.2487
55.6717,12.2061,12.1952,12.1952,-12.1952
56.2278,12.1468,12.1409,12.1409,-12.1409
56.7894,12.0962,12.0859,12.0859,-12.0859
57.3567,12.0368,12.0303,12.0303,-12.0303
57.9296,11.9773,11.9741,11.9741,-11.9741
58.5082,11.9174,11.9174,11.9174,-11.9174
59.0927,11.8658,11.8604,11.8604,-11.8604
59.6829,11.8077,11.8030,11.8030,-11.8030
60.2791,11.7472,11.7454,11.7454,-11.7454
60.8812,11.6878,11.6875,11.6875,-11.6875
61.4893,11.6279,11.6295,11.6295,-11.6295
62.1035,11.5675,11.5714,11.5714,-11.5714
62.7239,11.5161,11.5133,11.5133,-11.5133
63.3504,11.4576,11.4550,11.4550,-11.4550
63.9832,11.3981,11.3967,11.3967,-11.3967
64.6223,11.3382,11.3384,11.3384,-11.3384
65.2678,11.2777,11.2801,11.2801,-11.2801
65.9198,11.2182,11.2218,11.2218,-11.2218
66.5782,11.1670,11.1637,11.1637,-11.1637
67.2433,11.1079,11.1056,11.1056,-11.1056
67.9149,11.0484,11.0476,11.0476,-11.0476
68.5933,10.9885,10.9897,10.9897,-10.9897
69.2785,10.9281,10.9319,10.9319,-10.9319
69.9705,10.8685,10.8743,10.8743,-10.8743
70.6694,10.8086,10.8170,10.8170,-10.8170
71.3753,10.7574,10.7601,10.7601,-10.7601
72.0883,10.6986,10.7034,10.7034,-10.7034
72.8083,10.6471,10.6470,10.6470,-10.6470
73.5356,10.5886,10.5909,10.5909,-10.5909
74.2701,10.5289,10.5349,10.5349,-10.5349
75.0120,10.4773,10.4793,10.4793,-10.4793
75.7613,10.4187,10.4238,10.4238,-10.4238
76.5180,10.3674,10.3687,10.3687,-10.3687
77.2824,10.3092,10.3137,10.3137,-10.3137
78.0543,10.2575,10.2589,10.2589,-10.2589
78.8340,10.2074,10.2042,10.2042,-10.2042
79.6214,10.1490,10.1494,10.1494,-10.1494
80.4168,10.0977,10.0948,10.0948,-10.0948
81.2200,10.0396,10.0402,10.0402,-10.0402
82.0313,9.9879,9.9856,9.9856,-9.9856
82.8507,9.9295,9.9310,9.9310,-9.9310
83.6783,9.8779,9.8765,9.8765,-9.8765
84.5141,9.8197,9.8220,9.8220,-9.8220
85.3583,9.7683,9.7675,9.7675,-9.7675
86.2109,9.7098,9.7131,9.7131,-9.7131
87.0721,9.6585,9.6587,9.6587,-9.6587
87.9418,9.6002,9.6043,9.6043,-9.6043
88.8203,9.5485,9.5500,9.5500,-9.5500
89.7075,9.4986,9.4957,9.4957,-9.4957
90.6035,9.4404,9.4415,9.4415,-9.4415
91.5085,9.3884,9.3872,9.3872,-9.3872
92.4226,9.3303,9.3330,9.3330,-9.3330
93.3458,9.2788,9.2788,9.2788,-9.2788
94.2782,9.2287,9.2247,9.2247,-9.2247
95.2199,9.1707,9.1706,9.1706,-9.1706
96.1711,9.1189,9.1165,9.1165,-9.1165
97.1317,9.0605,9.0624,9.0624,-9.0624
98.1019,9.0091,9.0083,9.0083,-9.0083
99.0818,8.9509,8.9542,8.9542,-8.9542
100.0715,8.8990,8.9002,8.9002,-8.9002
101.0711,8.8407,8.8463,8.8463,-8.8463
102.0807,8.7893,8.7924,8.7924,-8.7924
103.1004,8.7393,8.7387,8.7387,-8.7387
104.1302,8.6892,8.6849,8.6849,-8.6849
105.1703,8.6314,8.6311,8.6311,-8.6311
106.2209,8.5795,8.5773,8.5773,-8.5773
107.2819,8.5212,8.5235,8.5235,-8.5235
108.3535,8.4696,8.4697,8.4697,-8.4697
109.4358,8.4195,8.4159,8.4159,-8.4159
110.5289,8.3615,8.3620,8.3620,-8.3620
111.6330,8.3098,8.3080,8.3080,-8.3080
112.7481,8.2519,8.2540,8.2540,-8.2540
113.8743,8.2000,8.1998,8.1998,-8.1998
115.0118,8.1500,8.1457,8.1457,-8.1457
116.1606,8.0920,8.0914,8.0914,-8.0914
117.3209,8.0399,8.0371,8.0371,-8.0371
118.4928,7.9821,7.9827,7.9827,-7.9827
119.6764,7.9302,7.9284,7.9284,-7.9284
120.8718,7.8724,7.8741,7.8741,-7.8741
122.0792,7.8204,7.8197,7.8197,-7.8197
123.2986,7.7624,7.7654,7.7654,-7.7654
124.5302,7.7105,7.7112,7.7112,-7.7112
125.7741,7.6524,7.6569,7.6569,-7.6569
127.0304,7.6003,7.6026,7.6026,-7.6026
128.2993,7.5506,7.5482,7.5482,-7.5482
129.5808,7.4926,7.4936,7.4936,-7.4936
130.8752,7.4406,7.4389,7.4389,-7.4389
132.1825,7.3906,7.3840,7.3840,-7.3840
133.5028,7.3330,7.3288,7.3288,-7.3288
134.8363,7.2807,7.2733,7.2733,-7.2733
136.1832,7.2231,7.2175,7.2175,-7.2175
137.5435,7.1709,7.1613,7.1613,-7.1613
138.9174,7.1132,7.1047,7.1047,-7.1047
140.3050,7.0532,7.0477,7.0477,-7.0477
141.7065,6.9933,6.9902,6.9902,-6.9902
143.1220,6.9334,6.9322,6.9322,-6.9322
144.5516,6.8734,6.8740,6.8740,-6.8740
145.9955,6.8134,6.8153,6.8153,-6.8153
147.4538,6.7612,6.7564,6.7564,-6.7564
148.9267,6.7035,6.6970,6.6970,-6.6970
150.4143,6.6435,6.6372,6.6372,-6.6372
151.9167,6.5836,6.5769,6.5769,-6.5769
153.4342,6.5237,6.5161,6.5161,-6.5161
154.9668,6.4638,6.4548,6.4548,-6.4548
156.5147,6.3964,6.3930,6.3930,-6.3930
158.0781,6.3339,6.3306,6.3306,-6.3306
159.6571,6.2741,6.2679,6.2679,-6.2679
161.2519,6.2142,6.2047,6.2047,-6.2047
162.8626,6.1464,6.1411,6.1411,-6.1411
164.4894,6.0843,6.0773,6.0773,-6.0773
166.1324,6.0169,6.0135,6.0135,-6.0135
167.7919,5.9544,5.9501,5.9501,-5.9501
169.4679,5.8868,5.8875,5.8875,-5.8875
171.1607,5.8169,5.8259,5.8259,-5.8259
172.8704,5.7471,5.7660,5.7660,-5.7660
174.5972,5.6771,5.7081,5.7081,-5.7081
176.3412,5.6147,5.6528,5.6528,-5.6528
178.1026,5.5548,5.6003,5.6003,-5.6003
179.8816,5.4948,5.5510,5.5510,-5.5510
181.6784,5.4425,5.5049,5.5049,-5.5049
183.4932,5.4000,5.4620,5.4620,-5.4620
185.3261,5.3676,5.4221,5.4221,-5.4221
187.1772,5.3376,5.3849,5.3849,-5.3849
189.0469,5.3151,5.3498,5.3498,-5.3498
190.9352,5.2951,5.3165,5.3165,-5.3165
192.8425,5.2826,5.2843,5.2843,-5.2843
194.7687,5.2726,5.2523,5.2523,-5.2523
