frequency,raw,smoothed,error,equalization
20.0000,2.8400,2.9884,2.9884,-2.9884
20.1998,2.8800,3.0061,3.0061,-3.0061
20.4015,2.9204,3.0266,3.0266,-3.0266
20.6053,2.9689,3.0491,3.0491,-3.0491
20.8112,3.0102,3.0734,3.0734,-3.0734
21.0190,3.0498,3.0993,3.0993,-3.0993
21.2290,3.0898,3.1267,3.1267,-3.1267
21.4410,3.1302,3.1560,3.1560,-3.1560
21.6552,3.1691,3.1871,3.1871,-3.1871
21.8715,3.2203,3.2204,3.2204,-3.2204
22.0900,3.2600,3.2559,3.2559,-3.2559
22.3106,3.3001,3.2942,3.2942,-3.2942
22.5335,3.3389,3.3341,3.3341,-3.3341
22.7586,3.3797,3.3738,3.3738,-3.3738
22.9859,3.4193,3.4130,3.4130,-3.4130
23.2155,3.4592,3.4518,3.4518,-3.4518
23.4474,3.4897,3.4902,3.4902,-3.4902
23.6816,3.5286,3.5282,3.5282,-3.5282
23.9182,3.5697,3.5660,3.5660,-3.5660
24.1571,3.6095,3.6035,3.6035,-3.6035
24.3984,3.6497,3.6407,3.6407,-3.6407
24.6421,3.6791,3.6774,3.6774,-3.6774
24.8882,3.7197,3.7138,3.7138,-3.7138
25.1368,3.7496,3.7499,3.7499,-3.7499
25.3879,3.7897,3.7855,3.7855,-3.7855
25.6415,3.8190,3.8206,3.8206,-3.8206
25.8976,3.8581,3.8552,3.8552,-3.8552
26.1563,3.8896,3.8892,3.8892,-3.8892
26.4176,3.9282,3.9226,3.9226,-3.9226
26.6815,3.9687,3.9553,3.9553,-3.9553
26.9480,4.0082,3.9871,3.9871,-3.9871
27.2172,4.0386,4.0180,4.0180,-4.0180
27.4890,4.0688,4.0480,4.0480,-4.0480
27.7636,4.0895,4.0773,4.0773,-4.0773
28.0409,4.1190,4.1059,4.1059,-4.1059
28.3210,4.1394,4.1340,4.1340,-4.1340
28.6039,4.1589,4.1617,4.1617,-4.1617
28.8896,4.1889,4.1893,4.1893,-4.1893
29.1782,4.2092,4.2166,4.2166,-4.2166
29.4697,4.2389,4.2439,4.2439,-4.2439
29.7640,4.2589,4.2710,4.2710,-4.2710
30.0613,4.2881,4.2981,4.2981,-4.2981
30.3616,4.3182,4.3252,4.3252,-4.3252
30.6649,4.3485,4.3522,4.3522,-4.3522
30.9712,4.3782,4.3791,4.3791,-4.3791
31.2806,4.4175,4.4060,4.4060,-4.4060
31.5930,4.4484,4.4325,4.4325,-4.4325
31.9086,4.4780,4.4586,4.4586,-4.4586
32.2273,4.4992,4.4842,4.4842,-4.4842
32.5492,4.5281,4.5091,4.5091,-4.5091
32.8744,4.5395,4.5334,4.5334,-4.5334
33.2027,4.5590,4.5570,4.5570,-4.5570
33.5344,4.5791,4.5802,4.5802,-4.5802
33.8694,4.5988,4.6029,4.6029,-4.6029
34.2077,4.6187,4.6252,4.6252,-4.6252
34.5494,4.6482,4.6472,4.6472,-4.6472
34.8945,4.6778,4.6689,4.6689,-4.6689
35.2430,4.6985,4.6902,4.6902,-4.6902
35.5951,4.7186,4.7112,4.7112,-4.7112
35.9506,4.7389,4.7319,4.7319,-4.7319
36.3097,4.7589,4.7523,4.7523,-4.7523
36.6724,4.7693,4.7725,4.7725,-4.7725
37.0387,4.7888,4.7924,4.7924,-4.7924
37.4087,4.8088,4.8120,4.8120,-4.8120
37.7824,4.8285,4.8313,4.8313,-4.8313
38.1598,4.8576,4.8501,4.8501,-4.8501
38.5409,4.8785,4.8684,4.8684,-4.8684
38.9259,4.8987,4.8861,4.8861,-4.8861
39.3147,4.9187,4.9033,4.9033,-4.9033
39.7074,4.9292,4.9200,4.9200,-4.9200
40.1041,4.9482,4.9362,4.9362,-4.9362
40.5046,4.9591,4.9520,4.9520,-4.9520
40.9092,4.9692,4.9675,4.9675,-4.9675
41.3179,4.9792,4.9828,4.9828,-4.9828
41.7306,4.9986,4.9979,4.9979,-4.9979
42.1474,5.0092,5.0127,5.0127,-5.0127
42.5684,5.0192,5.0273,5.0273,-5.0273
42.9936,5.0383,5.0417,5.0417,-5.0417
43.4231,5.0583,5.0559,5.0559,-5.0559
43.8568,5.0690,5.0699,5.0699,-5.0699
44.2949,5.0884,5.0837,5.0837,-5.0837
44.7374,5.0991,5.0974,5.0974,-5.0974
45.1842,5.1180,5.1108,5.1108,-5.1108
45.6356,5.1380,5.1240,5.1240,-5.1240
46.0914,5.1491,5.1367,5.1367,-5.1367
46.5518,5.1590,5.1491,5.1491,-5.1491
47.0168,5.1691,5.1611,5.1611,-5.1611
47.4864,5.1700,5.1729,5.1729,-5.1729
47.9608,5.1790,5.1847,5.1847,-5.1847
48.4398,5.1890,5.1964,5.1964,-5.1964
48.9237,5.2081,5.2079,5.2079,-5.2079
49.4124,5.2190,5.2191,5.2191,-5.2191
49.9059,5.2289,5.2299,5.2299,-5.2299
50.4044,5.2389,5.2403,5.2403,-5.2403
50.9079,5.2490,5.2506,5.2506,-5.2506
51.4164,5.2589,5.2606,5.2606,-5.2606
51.9300,5.2777,5.2703,5.2703,-5.2703
52.4487,5.2976,5.2793,5.2793,-5.2793
52.9726,5.3178,5.2877,5.2877,-5.2877
