frequency,raw,smoothed,error,equalization
20.0000,4.1700,4.3332,4.3332,-4.3332
20.1998,4.2199,4.3521,4.3521,-4.3521
20.4015,4.2604,4.3736,4.3736,-4.3736
20.6053,4.3089,4.3974,4.3974,-4.3974
20.8112,4.3602,4.4229,4.4229,-4.4229
21.0190,4.3998,4.4500,4.4500,-4.4500
21.2290,4.4498,4.4788,4.4788,-4.4788
21.4410,4.4902,4.5093,4.5093,-4.5093
21.6552,4.5291,4.5417,4.5417,-4.5417
21.8715,4.5703,4.5763,4.5763,-4.5763
22.0900,4.6100,4.6135,4.6135,-4.6135
22.3106,4.6601,4.6538,4.6538,-4.6538
22.5335,4.6989,4.6960,4.6960,-4.6960
22.7586,4.7397,4.7381,4.7381,-4.7381
22.9859,4.7793,4.7801,4.7801,-4.7801
23.2155,4.8192,4.8219,4.8219,-4.8219
23.4474,4.8595,4.8638,4.8638,-4.8638
23.6816,4.8986,4.9057,4.9057,-4.9057
23.9182,4.9496,4.9477,4.9477,-4.9477
24.1571,4.9895,4.9895,4.9895,-4.9895
24.3984,5.0297,5.0313,5.0313,-5.0313
24.6421,5.0784,5.0730,5.0730,-5.0730
24.8882,5.1197,5.1145,5.1145,-5.1145
25.1368,5.1595,5.1556,5.1556,-5.1556
25.3879,5.1997,5.1965,5.1965,-5.1965
25.6415,5.2387,5.2371,5.2371,-5.2371
25.8976,5.2876,5.2773,5.2773,-5.2773
26.1563,5.3294,5.3169,5.3169,-5.3169
26.4176,5.3586,5.3559,5.3559,-5.3559
26.6815,5.3987,5.3944,5.3944,-5.3944
26.9480,5.4382,5.4322,5.4322,-5.4322
27.2172,5.4781,5.4693,5.4693,-5.4693
27.4890,5.5184,5.5056,5.5056,-5.5056
27.7636,5.5493,5.5410,5.5410,-5.5410
28.0409,5.5887,5.5757,5.5757,-5.5757
28.3210,5.6190,5.6095,5.6095,-5.6095
28.6039,5.6483,5.6424,5.6424,-5.6424
28.8896,5.6885,5.6746,5.6746,-5.6746
29.1782,5.7188,5.7060,5.7060,-5.7060
29.4697,5.7489,5.7366,5.7366,-5.7366
29.7640,5.7784,5.7666,5.7666,-5.7666
30.0613,5.7988,5.7960,5.7960,-5.7960
30.3616,5.8282,5.8249,5.8249,-5.8249
30.6649,5.8585,5.8535,5.8535,-5.8535
30.9712,5.8788,5.8818,5.8818,-5.8818
31.2806,5.9081,5.9100,5.9100,-5.9100
31.5930,5.9384,5.9381,5.9381,-5.9381
31.9086,5.9587,5.9662,5.9662,-5.9662
32.2273,5.9888,5.9943,5.9943,-5.9943
32.5492,6.0181,6.0224,6.0224,-6.0224
32.8744,6.0485,6.0506,6.0506,-6.0506
33.2027,6.0784,6.0787,6.0787,-6.0787
33.5344,6.1086,6.1067,6.1067,-6.1067
33.8694,6.1382,6.1345,6.1345,-6.1345
34.2077,6.1680,6.1619,6.1619,-6.1619
34.5494,6.1982,6.1890,6.1890,-6.1890
34.8945,6.2278,6.2156,6.2156,-6.2156
35.2430,6.2485,6.2417,6.2417,-6.2417
35.5951,6.2779,6.2673,6.2673,-6.2673
35.9506,6.2989,6.2923,6.2923,-6.2923
36.3097,6.3283,6.3169,6.3169,-6.3169
36.6724,6.3485,6.3409,6.3409,-6.3409
37.0387,6.3688,6.3643,6.3643,-6.3643
37.4087,6.3888,6.3874,6.3874,-6.3874
37.7824,6.4085,6.4102,6.4102,-6.4102
38.1598,6.4284,6.4326,6.4326,-6.4326
38.5409,6.4577,6.4548,6.4548,-6.4548
38.9259,6.4787,6.4767,6.4767,-6.4767
39.3147,6.4987,6.4983,6.4983,-6.4983
39.7074,6.5184,6.5197,6.5197,-6.5197
40.1041,6.5473,6.5408,6.5408,-6.5408
40.5046,6.5682,6.5615,6.5615,-6.5615
40.9092,6.5885,6.5818,6.5818,-6.5818
41.3179,6.6084,6.6018,6.6018,-6.6018
41.7306,6.6286,6.6213,6.6213,-6.6213
42.1474,6.6484,6.6404,6.6404,-6.6404
42.5684,6.6685,6.6591,6.6591,-6.6591
42.9936,6.6792,6.6772,6.6772,-6.6772
43.4231,6.6983,6.6949,6.6949,-6.6949
43.8568,6.7180,6.7122,6.7122,-6.7122
44.2949,6.7292,6.7290,6.7290,-6.7290
44.7374,6.7481,6.7454,6.7454,-6.7454
45.1842,6.7680,6.7615,6.7615,-6.7615
