frequency,raw,smoothed,error,equalization
20.0000,5.8200,5.8472,5.8472,-5.8472
20.1998,5.8300,5.8500,5.8500,-5.8500
20.4015,5.8401,5.8532,5.8532,-5.8532
20.6053,5.8498,5.8566,5.8566,-5.8566
20.8112,5.8501,5.8601,5.8601,-5.8601
21.0190,5.8600,5.8640,5.8640,-5.8640
21.2290,5.8600,5.8680,5.8680,-5.8680
21.4410,5.8700,5.8723,5.8723,-5.8723
21.6552,5.8700,5.8768,5.8768,-5.8768
21.8715,5.8801,5.8816,5.8816,-5.8816
22.0900,5.8900,5.8867,5.8867,-5.8867
22.3106,5.8900,5.8920,5.8920,-5.8920
22.5335,5.8997,5.8975,5.8975,-5.8975
22.7586,5.9099,5.9027,5.9027,-5.9027
22.9859,5.9100,5.9075,5.9075,-5.9075
23.2155,5.9198,5.9119,5.9119,-5.9119
23.4474,5.9200,5.9159,5.9159,-5.9159
23.6816,5.9297,5.9195,5.9195,-5.9195
23.9182,5.9300,5.9225,5.9225,-5.9225
24.1571,5.9300,5.9250,5.9250,-5.9250
24.3984,5.9300,5.9271,5.9271,-5.9271
24.6421,5.9397,5.9286,5.9286,-5.9286
24.8882,5.9400,5.9295,5.9295,-5.9295
25.1368,5.9400,5.9298,5.9298,-5.9298
25.3879,5.9301,5.9295,5.9295,-5.9295
25.6415,5.9300,5.9288,5.9288,-5.9288
25.8976,5.9300,5.9276,5.9276,-5.9276
26.1563,5.9300,5.9260,5.9260,-5.9260
26.4176,5.9300,5.9238,5.9238,-5.9238
26.6815,5.9300,5.9212,5.9212,-5.9212
26.9480,5.9204,5.9181,5.9181,-5.9181
27.2172,5.9200,5.9146,5.9146,-5.9146
27.4890,5.9200,5.9106,5.9106,-5.9106
27.7636,5.9102,5.9060,5.9060,-5.9060
28.0409,5.9100,5.9010,5.9010,-5.9010
28.3210,5.9003,5.8955,5.8955,-5.8955
28.6039,5.8906,5.8894,5.8894,-5.8894
28.8896,5.8900,5.8828,5.8828,-5.8828
29.1782,5.8804,5.8757,5.8757,-5.8757
29.4697,5.8704,5.8681,5.8681,-5.8681
29.7640,5.8700,5.8600,5.8600,-5.8600
30.0613,5.8606,5.8514,5.8514,-5.8514
30.3616,5.8506,5.8421,5.8421,-5.8421
30.6649,5.8405,5.8323,5.8323,-5.8323
30.9712,5.8306,5.8220,5.8220,-5.8220
31.2806,5.8113,5.8110,5.8110,-5.8110
31.5930,5.8005,5.7997,5.7997,-5.7997
31.9086,5.7907,5.7879,5.7879,-5.7879
32.2273,5.7804,5.7758,5.7758,-5.7758
32.5492,5.7706,5.7633,5.7633,-5.7633
32.8744,5.7605,5.7505,5.7505,-5.7505
33.2027,5.7410,5.7372,5.7372,-5.7372
33.5344,5.7305,5.7236,5.7236,-5.7236
33.8694,5.7112,5.7097,5.7097,-5.7097
34.2077,5.6913,5.6955,5.6955,-5.6955
34.5494,5.6806,5.6811,5.6811,-5.6811
34.8945,5.6615,5.6664,5.6664,-5.6664
35.2430,5.6508,5.6515,5.6515,-5.6515
35.5951,5.6407,5.6363,5.6363,-5.6363
35.9506,5.6306,5.6207,5.6207,-5.6207
36.3097,5.6111,5.6046,5.6046,-5.6046
36.6724,5.6007,5.5880,5.5880,-5.5880
37.0387,5.5812,5.5710,5.5710,-5.5710
37.4087,5.5612,5.5535,5.5535,-5.5535
37.7824,5.5415,5.5355,5.5355,-5.5355
38.1598,5.5216,5.5169,5.5169,-5.5169
38.5409,5.5015,5.4977,5.4977,-5.4977
38.9259,5.4813,5.4780,5.4780,-5.4780
39.3147,5.4613,5.4577,5.4577,-5.4577
39.7074,5.4416,5.4371,5.4371,-5.4371
40.1041,5.4218,5.4162,5.4162,-5.4162
40.5046,5.4018,5.3950,5.3950,-5.3950
40.9092,5.3815,5.3734,5.3734,-5.3734
41.3179,5.3616,5.3515,5.3515,-5.3515
41.7306,5.3322,5.3291,5.3291,-5.3291
42.1474,5.3023,5.3064,5.3064,-5.3064
42.5684,5.2723,5.2834,5.2834,-5.2834
42.9936,5.2517,5.2603,5.2603,-5.2603
43.4231,5.2317,5.2369,5.2369,-5.2369
43.8568,5.2210,5.2132,5.2132,-5.2132
44.2949,5.2108,5.1891,5.1891,-5.1891
44.7374,5.1828,5.1643,5.1643,-5.1643
45.1842,5.1531,5.1388,5.1388,-5.1388
45.6356,5.1230,5.1127,5.1127,-5.1127
46.0914,5.0926,5.0860,5.0860,-5.0860
46.5518,5.0631,5.0588,5.0588,-5.0588
47.0168,5.0328,5.0311,5.0311,-5.0311
47.4864,5.0028,5.0030,5.0030,-5.0030
47.9608,4.9731,4.9745,4.9745,-4.9745
48.4398,4.9521,4.9455,4.9455,-4.9455
48.9237,4.9229,4.9161,4.9161,-4.9161
49.4124,4.8929,4.8862,4.8862,-4.8862
49.9059,4.8632,4.8560,4.8560,-4.8560
50.4044,4.8244,4.8254,4.8254,-4.8254
50.9079,4.7931,4.7947,4.7947,-4.7947
51.4164,4.7632,4.7639,4.7639,-4.7639
51.9300,4.7335,4.7329,4.7329,-4.7329
52.4487,4.7035,4.7018,4.7018,-4.7018
52.9726,4.6733,4.6704,4.6704,-4.6704
53.5018,4.6433,4.6387,4.6387,-4.6387
54.0362,4.6135,4.6068,4.6068,-4.6068
54.5759,4.5836,4.5747,4.5747,-4.5747
55.1211,4.5444,4.5423,4.5423,-4.5423
55.6717,4.5049,4.5098,4.5098,-4.5098
56.2278,4.4734,4.4772,4.4772,-4.4772
56.7894,4.4437,4.4445,4.4445,-4.4445
57.3567,4.4134,4.4117,4.4117,-4.4117
57.9296,4.3924,4.3787,4.3787,-4.3787
58.5082,4.3462,4.3453,4.3453,-4.3453
59.0927,4.3046,4.3117,4.3117,-4.3117
59.6829,4.2739,4.2781,4.2781,-4.2781
60.2791,4.2524,4.2445,4.2445,-4.2445
60.8812,4.2239,4.2107,4.2107,-4.2107
61.4893,4.1766,4.1765,4.1765,-4.1765
62.1035,4.1350,4.1421,4.1421,-4.1421
62.7239,4.1125,4.1077,4.1077,-4.1077
63.3504,4.0751,4.0731,4.0731,-4.0731
63.9832,4.0441,4.0382,4.0382,-4.0382
64.6223,4.0055,4.0030,4.0030,-4.0030
65.2678,3.9651,3.9677,3.9677,-3.9677
65.9198,3.9341,3.9323,3.9323,-3.9323
66.5782,3.9042,3.8966,3.8966,-3.8966
67.2433,3.8653,3.8605,3.8605,-3.8605
67.9149,3.8256,3.8241,3.8241,-3.8241
68.5933,3.7857,3.7875,3.7875,-3.7875
69.2785,3.7540,3.7507,3.7507,-3.7507
69.9705,3.7157,3.7137,3.7137,-3.7137
70.6694,3.6843,3.6764,3.6764,-3.6764
