frequency,raw,smoothed,error,equalization
20.0000,9.2600,9.2469,9.2469,-9.2469
20.1998,9.2600,9.2448,9.2448,-9.2448
20.4015,9.2599,9.2423,9.2423,-9.2423
20.6053,9.2502,9.2395,9.2395,-9.2395
20.8112,9.2499,9.2364,9.2364,-9.2364
21.0190,9.2400,9.2331,9.2331,-9.2331
21.2290,9.2300,9.2295,9.2295,-9.2295
21.4410,9.2300,9.2257,9.2257,-9.2257
21.6552,9.2202,9.2217,9.2217,-9.2217
21.8715,9.2199,9.2175,9.2175,-9.2175
22.0900,9.2100,9.2129,9.2129,-9.2129
22.3106,9.2100,9.2080,9.2080,-9.2080
22.5335,9.2003,9.2027,9.2027,-9.2027
22.7586,9.2000,9.1974,9.1974,-9.1974
22.9859,9.1902,9.1920,9.1920,-9.1920
23.2155,9.1900,9.1866,9.1866,-9.1866
23.4474,9.1801,9.1811,9.1811,-9.1811
23.6816,9.1800,9.1756,9.1756,-9.1756
23.9182,9.1701,9.1700,9.1700,-9.1700
24.1571,9.1700,9.1643,9.1643,-9.1643
24.3984,9.1601,9.1585,9.1585,-9.1585
24.6421,9.1503,9.1526,9.1526,-9.1526
24.8882,9.1500,9.1465,9.1465,-9.1465
25.1368,9.1401,9.1404,9.1404,-9.1404
25.3879,9.1301,9.1341,9.1341,-9.1341
25.6415,9.1300,9.1278,9.1278,-9.1278
25.8976,9.1205,9.1214,9.1214,-9.1214
26.1563,9.1200,9.1148,9.1148,-9.1148
26.4176,9.1105,9.1080,9.1080,-9.1080
26.6815,9.1003,9.1011,9.1011,-9.1011
26.9480,9.1000,9.0941,9.0941,-9.0941
27.2172,9.0905,9.0869,9.0869,-9.0869
27.4890,9.0804,9.0796,9.0796,-9.0796
27.7636,9.0702,9.0721,9.0721,-9.0721
28.0409,9.0700,9.0644,9.0644,-9.0644
28.3210,9.0603,9.0565,9.0565,-9.0565
28.6039,9.0506,9.0482,9.0482,-9.0482
28.8896,9.0404,9.0397,9.0397,-9.0397
29.1782,9.0304,9.0310,9.0310,-9.0310
29.4697,9.0204,9.0221,9.0221,-9.0221
29.7640,9.0200,9.0130,9.0130,-9.0130
30.0613,9.0106,9.0035,9.0035,-9.0035
30.3616,9.0006,8.9936,8.9936,-8.9936
30.6649,8.9905,8.9835,8.9835,-8.9835
30.9712,8.9806,8.9731,8.9731,-8.9731
31.2806,8.9613,8.9624,8.9624,-8.9624
31.5930,8.9505,8.9514,8.9514,-8.9514
31.9086,8.9407,8.9403,8.9403,-8.9403
32.2273,8.9304,8.9290,8.9290,-8.9290
32.5492,8.9206,8.9175,8.9175,-8.9175
