frequency,raw,smoothed,error,equalization
20.0000,6.5300,6.7413,6.7413,-6.7413
20.1998,6.5999,6.7625,6.7625,-6.7625
20.4015,6.6604,6.7865,6.7865,-6.7865
20.6053,6.7187,6.8124,6.8124,-6.8124
20.8112,6.7803,6.8397,6.8397,-6.8397
21.0190,6.8397,6.8683,6.8683,-6.8683
21.2290,6.8997,6.8979,6.8979,-6.8979
21.4410,6.9302,6.9285,6.9285,-6.9285
21.6552,6.9691,6.9607,6.9607,-6.9607
21.8715,7.0102,6.9946,6.9946,-6.9946
22.0900,7.0400,7.0307,7.0307,-7.0307
22.3106,7.0601,7.0694,7.0694,-7.0694
22.5335,7.0989,7.1098,7.1098,-7.1098
22.7586,7.1397,7.1496,7.1496,-7.1496
22.9859,7.1793,7.1888,7.1888,-7.1888
23.2155,7.2192,7.2275,7.2275,-7.2275
23.4474,7.2694,7.2656,7.2656,-7.2656
23.6816,7.3086,7.3030,7.3030,-7.3030
23.9182,7.3497,7.3398,7.3398,-7.3398
24.1571,7.3994,7.3759,7.3759,-7.3759
24.3984,7.4298,7.4108,7.4108,-7.4108
24.6421,7.4687,7.4447,7.4447,-7.4447
24.8882,7.4998,7.4774,7.4774,-7.4774
25.1368,7.5296,7.5087,7.5087,-7.5087
25.3879,7.5598,7.5386,7.5386,-7.5386
25.6415,7.5890,7.5672,7.5672,-7.5672
25.8976,7.6090,7.5944,7.5944,-7.5944
26.1563,7.6297,7.6204,7.6204,-7.6204
26.4176,7.6586,7.6454,7.6454,-7.6454
26.6815,7.6793,7.6691,7.6691,-7.6691
26.9480,7.6896,7.6918,7.6918,-7.6918
27.2172,7.7090,7.7136,7.7136,-7.7136
27.4890,7.7388,7.7346,7.7346,-7.7346
27.7636,7.7595,7.7548,7.7548,-7.7548
28.0409,7.7794,7.7743,7.7743,-7.7743
28.3210,7.8090,7.7930,7.7930,-7.7930
28.6039,7.8289,7.8108,7.8108,-7.8108
28.8896,7.8493,7.8278,7.8278,-7.8278
29.1782,7.8692,7.8439,7.8439,-7.8439
29.4697,7.8700,7.8590,7.8590,-7.8590
29.7640,7.8795,7.8734,7.8734,-7.8734
30.0613,7.8894,7.8871,7.8871,-7.8871
30.3616,7.8994,7.9002,7.9002,-7.9002
30.6649,7.9095,7.9128,7.9128,-7.9128
30.9712,7.9288,7.9247,7.9247,-7.9247
31.2806,7.9394,7.9362,7.9362,-7.9362
31.5930,7.9495,7.9471,7.9471,-7.9471
31.9086,7.9593,7.9575,7.9575,-7.9575
32.2273,7.9792,7.9675,7.9675,-7.9675
32.5492,7.9894,7.9771,7.9771,-7.9771
32.8744,7.9900,7.9860,7.9860,-7.9860
33.2027,7.9995,7.9945,7.9945,-7.9945
33.5344,8.0095,8.0024,8.0024,-8.0024
33.8694,8.0194,8.0094,8.0094,-8.0094
34.2077,8.0200,8.0154,8.0154,-8.0154
34.5494,8.0294,8.0206,8.0206,-8.0206
34.8945,8.0393,8.0249,8.0249,-8.0249
35.2430,8.0400,8.0283,8.0283,-8.0283
35.5951,8.0493,8.0308,8.0308,-8.0308
35.9506,8.0500,8.0323,8.0323,-8.0323
36.3097,8.0500,8.0328,8.0328,-8.0328
36.6724,8.0500,8.0324,8.0324,-8.0324
37.0387,8.0406,8.0311,8.0311,-8.0311
37.4087,8.0306,8.0291,8.0291,-8.0291
37.7824,8.0207,8.0263,8.0263,-8.0263
38.1598,8.0200,8.0230,8.0230,-8.0230
38.5409,8.0200,8.0191,8.0191,-8.0191
38.9259,8.0200,8.0146,8.0146,-8.0146
39.3147,8.0200,8.0094,8.0094,-8.0094
39.7074,8.0108,8.0035,8.0035,-8.0035
40.1041,8.0100,7.9969,7.9969,-7.9969
40.5046,8.0009,7.9897,7.9897,-7.9897
40.9092,7.9908,7.9817,7.9817,-7.9817
