frequency,raw,smoothed,error,equalization
20.0000,11.9800,12.0296,12.0296,-12.0296
20.1998,11.9900,12.0361,12.0361,-12.0361
20.4015,12.0101,12.0435,12.0435,-12.0435
20.6053,12.0198,12.0515,12.0515,-12.0515
20.8112,12.0301,12.0600,12.0600,-12.0600
21.0190,12.0499,12.0689,12.0689,-12.0689
21.2290,12.0600,12.0780,12.0780,-12.0780
21.4410,12.0801,12.0873,12.0873,-12.0873
21.6552,12.0996,12.0964,12.0964,-12.0964
21.8715,12.1201,12.1053,12.1053,-12.1053
22.0900,12.1300,12.1138,12.1138,-12.1138
22.3106,12.1500,12.1218,12.1218,-12.1218
22.5335,12.1597,12.1287,12.1287,-12.1287
22.7586,12.1699,12.1338,12.1338,-12.1338
22.9859,12.1700,12.1371,12.1371,-12.1371
23.2155,12.1700,12.1386,12.1386,-12.1386
23.4474,12.1700,12.1385,12.1385,-12.1385
23.6816,12.1603,12.1368,12.1368,-12.1368
23.9182,12.1501,12.1338,12.1338,-12.1338
24.1571,12.1302,12.1298,12.1298,-12.1298
24.3984,12.1201,12.1252,12.1252,-12.1252
24.6421,12.1103,12.1200,12.1200,-12.1200
24.8882,12.1001,12.1145,12.1145,-12.1145
25.1368,12.0901,12.1087,12.1087,-12.1087
25.3879,12.0900,12.1028,12.1028,-12.1028
25.6415,12.0900,12.0963,12.0963,-12.0963
25.8976,12.0900,12.0893,12.0893,-12.0893
26.1563,12.0900,12.0813,12.0813,-12.0813
26.4176,12.0995,12.0721,12.0721,-12.0721
26.6815,12.0903,12.0614,12.0614,-12.0614
26.9480,12.0900,12.0489,12.0489,-12.0489
27.2172,12.0805,12.0343,12.0343,-12.0343
27.4890,12.0608,12.0175,12.0175,-12.0175
27.7636,12.0405,11.9986,11.9986,-11.9986
28.0409,12.0206,11.9775,11.9775,-11.9775
28.3210,11.9813,11.9543,11.9543,-11.9543
28.6039,11.9422,11.9292,11.9292,-11.9292
28.8896,11.9111,11.9026,11.9026,-11.9026
29.1782,11.8716,11.8748,11.8748,-11.8748
29.4697,11.8411,11.8461,11.8461,-11.8461
29.7640,11.8021,11.8166,11.8166,-11.8166
30.0613,11.7719,11.7868,11.7868,-11.7868
30.3616,11.7512,11.7566,11.7566,-11.7566
30.6649,11.7310,11.7259,11.7259,-11.7259
