frequency,raw,smoothed,error,equalization
20.0000,9.6300,9.6128,9.6128,-9.6128
20.1998,9.6300,9.6091,9.6091,-9.6091
20.4015,9.6300,9.6045,9.6045,-9.6045
20.6053,9.6300,9.5989,9.5989,-9.5989
20.8112,9.6199,9.5922,9.5922,-9.5922
21.0190,9.6001,9.5844,9.5844,-9.5844
21.2290,9.5900,9.5759,9.5759,-9.5759
21.4410,9.5800,9.5665,9.5665,-9.5665
21.6552,9.5800,9.5563,9.5563,-9.5563
21.8715,9.5699,9.5450,9.5450,-9.5450
22.0900,9.5500,9.5323,9.5323,-9.5323
22.3106,9.5299,9.5182,9.5182,-9.5182
22.5335,9.5106,9.5029,9.5029,-9.5029
22.7586,9.4802,9.4868,9.4868,-9.4868
22.9859,9.4604,9.4701,9.4701,-9.4701
23.2155,9.4404,9.4529,9.4529,-9.4529
23.4474,9.4301,9.4354,9.4354,-9.4354
23.6816,9.4203,9.4175,9.4175,-9.4175
23.9182,9.4101,9.3990,9.3990,-9.3990
24.1571,9.4001,9.3800,9.3800,-9.3800
24.3984,9.3801,9.3604,9.3604,-9.3604
24.6421,9.3606,9.3404,9.3404,-9.3404
24.8882,9.3401,9.3200,9.3200,-9.3200
25.1368,9.3104,9.2991,9.2991,-9.2991
25.3879,9.2703,9.2780,9.2780,-9.2780
25.6415,9.2410,9.2568,9.2568,-9.2568
25.8976,9.2210,9.2357,9.2357,-9.2357
26.1563,9.2003,9.2147,9.2147,-9.2147
26.4176,9.1809,9.1937,9.1937,-9.1937
26.6815,9.1703,9.1729,9.1729,-9.1729
26.9480,9.1509,9.1521,9.1521,-9.1521
27.2172,9.1405,9.1313,9.1313,-9.1313
27.4890,9.1208,9.1101,9.1101,-9.1101
27.7636,9.0907,9.0885,9.0885,-9.0885
28.0409,9.0706,9.0666,9.0666,-9.0666
28.3210,9.0506,9.0443,9.0443,-9.0443
28.6039,9.0311,9.0214,9.0214,-9.0214
28.8896,9.0107,8.9980,8.9980,-8.9980
29.1782,8.9908,8.9737,8.9737,-8.9737
29.4697,8.9707,8.9488,8.9488,-8.9488
29.7640,8.9416,8.9231,8.9231,-8.9231
30.0613,8.9119,8.8966,8.8966,-8.8966
30.3616,8.8725,8.8697,8.8697,-8.8697
30.6649,8.8320,8.8425,8.8425,-8.8425
30.9712,8.8018,8.8153,8.8153,-8.8153
31.2806,8.7719,8.7883,8.7883,-8.7883
31.5930,8.7511,8.7614,8.7614,-8.7614
31.9086,8.7313,8.7345,8.7345,-8.7345
32.2273,8.7012,8.7076,8.7076,-8.7076
32.5492,8.6813,8.6806,8.6806,-8.6806
32.8744,8.6610,8.6535,8.6535,-8.6535
33.2027,8.6316,8.6262,8.6262,-8.6262
33.5344,8.6014,8.5988,8.5988,-8.5988
33.8694,8.5812,8.5712,8.5712,-8.5712
34.2077,8.5520,8.5433,8.5433,-8.5433
34.5494,8.5312,8.5151,8.5151,-8.5151
34.8945,8.5022,8.4863,8.4863,-8.4863
35.2430,8.4631,8.4569,8.4569,-8.4569
35.5951,8.4321,8.4269,8.4269,-8.4269
35.9506,8.3922,8.3964,8.3964,-8.3964
36.3097,8.3617,8.3654,8.3654,-8.3654
36.6724,8.3322,8.3338,8.3338,-8.3338
37.0387,8.3018,8.3019,8.3019,-8.3019
37.4087,8.2717,8.2694,8.2694,-8.2694
37.7824,8.2422,8.2365,8.2365,-8.2365
38.1598,8.2216,8.2031,8.2031,-8.2031
38.5409,8.1831,8.1690,8.1690,-8.1690
38.9259,8.1519,8.1344,8.1344,-8.1344
39.3147,8.1126,8.0997,8.0997,-8.0997
39.7074,8.0733,8.0648,8.0648,-8.0648
40.1041,8.0245,8.0298,8.0298,-8.0298
40.5046,7.9835,7.9947,7.9947,-7.9947
40.9092,7.9523,7.9593,7.9593,-7.9593
41.3179,7.9131,7.9237,7.9237,-7.9237
41.7306,7.8822,7.8878,7.8878,-7.8878
42.1474,7.8431,7.8515,7.8515,-7.8515
42.5684,7.8030,7.8150,7.8150,-7.8150
42.9936,7.7725,7.7781,7.7781,-7.7781
43.4231,7.7609,7.7409,7.7409,-7.7409
43.8568,7.7420,7.7030,7.7030,-7.7030
44.2949,7.7124,7.6640,7.6640,-7.6640
44.7374,7.6557,7.6238,7.6238,-7.6238
45.1842,7.5961,7.5825,7.5825,-7.5825
45.6356,7.5359,7.5403,7.5403,-7.5403
46.0914,7.4934,7.4975,7.4975,-7.4975
46.5518,7.4541,7.4543,7.4543,-7.4543
47.0168,7.4138,7.4105,7.4105,-7.4105
47.4864,7.3646,7.3663,7.3663,-7.3663
47.9608,7.3151,7.3219,7.3219,-7.3219
48.4398,7.2742,7.2776,7.2776,-7.2776
48.9237,7.2339,7.2335,7.2335,-7.2335
49.4124,7.1939,7.1901,7.1901,-7.1901
49.9059,7.1365,7.1478,7.1478,-7.1478
50.4044,7.0944,7.1069,7.1069,-7.1069
50.9079,7.0452,7.0675,7.0675,-7.0675
51.4164,7.0042,7.0297,7.0297,-7.0297
51.9300,6.9646,6.9936,6.9936,-6.9936
52.4487,6.9247,6.9592,6.9592,-6.9592
52.9726,6.8933,6.9267,6.9267,-6.9267
53.5018,6.8633,6.8960,6.8960,-6.8960
54.0362,6.8335,6.8670,6.8670,-6.8670
54.5759,6.8124,6.8394,6.8394,-6.8394
55.1211,6.8011,6.8129,6.8129,-6.8129
55.6717,6.7912,6.7869,6.7869,-6.7869
56.2278,6.7723,6.7608,6.7608,-6.7608
56.7894,6.7525,6.7340,6.7340,-6.7340
57.3567,6.7234,6.7062,6.7062,-6.7062
57.9296,6.7024,6.6771,6.6771,-6.6771
58.5082,6.6825,6.6462,6.6462,-6.6462
59.0927,6.6535,6.6133,6.6133,-6.6133
59.6829,6.6239,6.5781,6.5781,-6.5781
60.2791,6.5936,6.5403,6.5403,-6.5403
60.8812,6.5465,6.4999,6.4999,-6.4999
61.4893,6.4879,6.4570,6.4570,-6.4570
62.1035,6.4275,6.4121,6.4121,-6.4121
62.7239,6.3761,6.3656,6.3656,-6.3656
63.3504,6.3176,6.3180,6.3180,-6.3180
