frequency,raw,smoothed,error,equalization
20.0000,13.2600,13.2267,13.2267,-13.2267
20.1998,13.2500,13.2212,13.2212,-13.2212
20.4015,13.2499,13.2148,13.2148,-13.2148
20.6053,13.2402,13.2076,13.2076,-13.2076
20.8112,13.2299,13.1996,13.1996,-13.1996
21.0190,13.2200,13.1909,13.1909,-13.1909
21.2290,13.2001,13.1814,13.1814,-13.1814
21.4410,13.1899,13.1712,13.1712,-13.1712
21.6552,13.1704,13.1601,13.1601,-13.1601
21.8715,13.1499,13.1480,13.1480,-13.1480
22.0900,13.1300,13.1348,13.1348,-13.1348
22.3106,13.1100,13.1204,13.1204,-13.1204
22.5335,13.1003,13.1048,13.1048,-13.1048
22.7586,13.0801,13.0887,13.0887,-13.0887
22.9859,13.0800,13.0720,13.0720,-13.0720
23.2155,13.0702,13.0546,13.0546,-13.0546
23.4474,13.0601,13.0365,13.0365,-13.0365
23.6816,13.0407,13.0175,13.0175,-13.0175
23.9182,13.0202,12.9979,12.9979,-12.9979
24.1571,13.0002,12.9776,12.9776,-12.9776
24.3984,12.9702,12.9567,12.9567,-12.9567
24.6421,12.9409,12.9353,12.9353,-12.9353
24.8882,12.9102,12.9137,12.9137,-12.9137
25.1368,12.8804,12.8918,12.8918,-12.8918
25.3879,12.8502,12.8699,12.8699,-12.8699
25.6415,12.8307,12.8481,12.8481,-12.8481
25.8976,12.8110,12.8265,12.8265,-12.8265
26.1563,12.8001,12.8050,12.8050,-12.8050
26.4176,12.7809,12.7837,12.7837,-12.7837
26.6815,12.7607,12.7624,12.7624,-12.7624
26.9480,12.7504,12.7413,12.7413,-12.7413
27.2172,12.7310,12.7200,12.7200,-12.7200
27.4890,12.7108,12.6985,12.6985,-12.6985
27.7636,12.6905,12.6766,12.6766,-12.6766
28.0409,12.6610,12.6542,12.6542,-12.6542
28.3210,12.6406,12.6313,12.6313,-12.6313
28.6039,12.6117,12.6078,12.6078,-12.6078
28.8896,12.5907,12.5836,12.5836,-12.5836
29.1782,12.5612,12.5587,12.5587,-12.5587
29.4697,12.5407,12.5332,12.5332,-12.5332
29.7640,12.5116,12.5070,12.5070,-12.5070
30.0613,12.4912,12.4803,12.4803,-12.4803
30.3616,12.4618,12.4530,12.4530,-12.4530
30.6649,12.4315,12.4252,12.4252,-12.4252
30.9712,12.4018,12.3969,12.3969,-12.3969
31.2806,12.3719,12.3683,12.3683,-12.3683
31.5930,12.3416,12.3393,12.3393,-12.3393
31.9086,12.3120,12.3099,12.3099,-12.3099
32.2273,12.2812,12.2801,12.2801,-12.2801
32.5492,12.2519,12.2498,12.2498,-12.2498
32.8744,12.2215,12.2192,12.2192,-12.2192
33.2027,12.1916,12.1883,12.1883,-12.1883
33.5344,12.1614,12.1570,12.1570,-12.1570
33.8694,12.1318,12.1254,12.1254,-12.1254
34.2077,12.1020,12.0935,12.0935,-12.0935
34.5494,12.0718,12.0611,12.0611,-12.0611
34.8945,12.0329,12.0283,12.0283,-12.0283
35.2430,12.0023,11.9952,11.9952,-11.9952
35.5951,11.9629,11.9618,11.9618,-11.9618
35.9506,11.9222,11.9282,11.9282,-11.9282
36.3097,11.8917,11.8944,11.8944,-11.8944
36.6724,11.8622,11.8606,11.8606,-11.8606
37.0387,11.8318,11.8265,11.8265,-11.8265
37.4087,11.7923,11.7922,11.7922,-11.7922
37.7824,11.7622,11.7578,11.7578,-11.7578
38.1598,11.7232,11.7233,11.7233,-11.7233
38.5409,11.6831,11.6887,11.6887,-11.6887
38.9259,11.6519,11.6540,11.6540,-11.6540
39.3147,11.6219,11.6192,11.6192,-11.6192
39.7074,11.5924,11.5841,11.5841,-11.5841
40.1041,11.5536,11.5484,11.5484,-11.5484
40.5046,11.5135,11.5122,11.5122,-11.5122
40.9092,11.4823,11.4754,11.4754,-11.4754
41.3179,11.4431,11.4381,11.4381,-11.4381
41.7306,11.4122,11.4003,11.4003,-11.4003
42.1474,11.3731,11.3619,11.3619,-11.3619
42.5684,11.3423,11.3229,11.3229,-11.3229
42.9936,11.3034,11.2833,11.2833,-11.2833
43.4231,11.2543,11.2430,11.2430,-11.2430
43.8568,11.2049,11.2021,11.2021,-11.2021
44.2949,11.1541,11.1607,11.1607,-11.1607
44.7374,11.1138,11.1189,11.1189,-11.1189
45.1842,11.0651,11.0769,11.0769,-11.0769
45.6356,11.0330,11.0347,11.0347,-11.0347
46.0914,10.9934,10.9923,10.9923,-10.9923
46.5518,10.9541,10.9496,10.9496,-10.9496
47.0168,10.9138,10.9066,10.9066,-10.9066
47.4864,10.8737,10.8631,10.8631,-10.8631
47.9608,10.8341,10.8191,10.8191,-10.8191
48.4398,10.7852,10.7743,10.7743,-10.7743
48.9237,10.7348,10.7290,10.7290,-10.7290
49.4124,10.6849,10.6831,10.6831,-10.6831
49.9059,10.6354,10.6371,10.6371,-10.6371
50.4044,10.5944,10.5910,10.5910,-10.5910
50.9079,10.5542,10.5450,10.5450,-10.5450
51.4164,10.5142,10.4990,10.4990,-10.4990
51.9300,10.4658,10.4528,10.4528,-10.4528
52.4487,10.4159,10.4064,10.4064,-10.4064
52.9726,10.3477,10.3599,10.3599,-10.3599
53.5018,10.2777,10.3137,10.3137,-10.3137
54.0362,10.2259,10.2681,10.2681,-10.2681
54.5759,10.1847,10.2233,10.2233,-10.2233
55.1211,10.1622,10.1791,10.1791,-10.1791
55.6717,10.1512,10.1352,10.1352,-10.1352
56.2278,10.1234,10.0910,10.0910,-10.0910
56.7894,10.0850,10.0463,10.0463,-10.0463
57.3567,10.0268,10.0009,10.0009,-10.0009
57.9296,9.9673,9.9551,9.9551,-9.9551
58.5082,9.9074,9.9089,9.9089,-9.9089
59.0927,9.8558,9.8624,9.8624,-9.8624
59.6829,9.8151,9.8156,9.8156,-9.8156
60.2791,9.7660,9.7681,9.7681,-9.7681
60.8812,9.7252,9.7200,9.7200,-9.7200
61.4893,9.6766,9.6709,9.6709,-9.6709
62.1035,9.6263,9.6211,9.6211,-9.6211
62.7239,9.5761,9.5706,9.5706,-9.5706
63.3504,9.5351,9.5197,9.5197,-9.5197
63.9832,9.4868,9.4684,9.4684,-9.4684
64.6223,9.4282,9.4166,9.4166,-9.4166
65.2678,9.3677,9.3644,9.3644,-9.3644
65.9198,9.3082,9.3118,9.3118,-9.3118
66.5782,9.2570,9.2590,9.2590,-9.2590
67.2433,9.2066,9.2059,9.2059,-9.2059
67.9149,9.1570,9.1525,9.1525,-9.1525
68.5933,9.0985,9.0988,9.0988,-9.0988
69.2785,9.0467,9.0449,9.0449,-9.0449
69.9705,8.9885,8.9907,8.9907,-8.9907
70.6694,8.9372,8.9362,8.9362,-8.9362
71.3753,8.8788,8.8815,8.8815,-8.8815
72.0883,8.8272,8.8268,8.8268,-8.8268
72.8083,8.7771,8.7720,8.7720,-8.7720
73.5356,8.7272,8.7170,8.7170,-8.7170
74.2701,8.6689,8.6616,8.6616,-8.6616
75.0120,8.6173,8.6057,8.6057,-8.6057
75.7613,8.5587,8.5495,8.5495,-8.5495
76.5180,8.4988,8.4930,8.4930,-8.4930
77.2824,8.4307,8.4362,8.4362,-8.4362
78.0543,8.3690,8.3794,8.3794,-8.3794
78.8340,8.3174,8.3226,8.3226,-8.3226
79.6214,8.2675,8.2658,8.2658,-8.2658
80.4168,8.2177,8.2089,8.2089,-8.2089
81.2200,8.1596,8.1517,8.1517,-8.1517
82.0313,8.0911,8.0943,8.0943,-8.0943
82.8507,8.0295,8.0370,8.0370,-8.0370
83.6783,7.9779,7.9799,7.9799,-7.9799
84.5141,7.9197,7.9228,7.9228,-7.9228
85.3583,7.8683,7.8657,7.8657,-7.8657
86.2109,7.8098,7.8086,7.8086,-7.8086
87.0721,7.7502,7.7515,7.7515,-7.7515
87.9418,7.6985,7.6942,7.6942,-7.6942
88.8203,7.6402,7.6368,7.6368,-7.6368
89.7075,7.5803,7.5793,7.5793,-7.5793
90.6035,7.5204,7.5216,7.5216,-7.5216
91.5085,7.4684,7.4638,7.4638,-7.4638
92.4226,7.4103,7.4059,7.4059,-7.4059
93.3458,7.3506,7.3478,7.3478,-7.3478
94.2782,7.2904,7.2896,7.2896,-7.2896
95.2199,7.2307,7.2312,7.2312,-7.2312
96.1711,7.1707,7.1726,7.1726,-7.1726
97.1317,7.1188,7.1140,7.1140,-7.1140
98.1019,7.0609,7.0552,7.0552,-7.0552
99.0818,7.0009,6.9961,6.9961,-6.9961
100.0715,6.9326,6.9367,6.9367,-6.9367
101.0711,6.8707,6.8772,6.8772,-6.8772
102.0807,6.8193,6.8175,6.8175,-6.8175
103.1004,6.7612,6.7576,6.7576,-6.7576
104.1302,6.7092,6.6974,6.6974,-6.6974
105.1703,6.6433,6.6369,6.6369,-6.6369
106.2209,6.5814,6.5761,6.5761,-6.5761
107.2819,6.5212,6.5151,6.5151,-6.5151
108.3535,6.4615,6.4537,6.4537,-6.4537
109.4358,6.3932,6.3921,6.3921,-6.3921
110.5289,6.3315,6.3304,6.3304,-6.3304
111.6330,6.2637,6.2687,6.2687,-6.2687
112.7481,6.2019,6.2071,6.2071,-6.2071
113.8743,6.1420,6.1457,6.1457,-6.1457
115.0118,6.0820,6.0843,6.0843,-6.0843
116.1606,6.0220,6.0229,6.0229,-6.0229
117.3209,5.9619,5.9617,5.9617,-5.9617
118.4928,5.8941,5.9005,5.9005,-5.9005
119.6764,5.8323,5.8396,5.8396,-5.8396
120.8718,5.7724,5.7789,5.7789,-5.7789
122.0792,5.7124,5.7183,5.7183,-5.7183
123.2986,5.6603,5.6578,5.6578,-5.6578
124.5302,5.6105,5.5972,5.5972,-5.5972
125.7741,5.5444,5.5363,5.5363,-5.5363
127.0304,5.4824,5.4752,5.4752,-5.4752
128.2993,5.4148,5.4139,5.4139,-5.4139
129.5808,5.3526,5.3526,5.3526,-5.3526
130.8752,5.2927,5.2912,5.2912,-5.2912
132.1825,5.2327,5.2296,5.2296,-5.2296
133.5028,5.1730,5.1677,5.1677,-5.1677
134.8363,5.1049,5.1055,5.1055,-5.1055
136.1832,5.0431,5.0431,5.0431,-5.0431
137.5435,4.9753,4.9806,4.9806,-4.9806
138.9174,4.9132,4.9182,4.9182,-4.9182
140.3050,4.8532,4.8559,4.8559,-4.8559
141.7065,4.8011,4.7938,4.7938,-4.7938
143.1220,4.7434,4.7316,4.7316,-4.7316
144.5516,4.6756,4.6693,4.6693,-4.6693
145.9955,4.6057,4.6068,4.6068,-4.6068
147.4538,4.5356,4.5444,4.5444,-4.5444
148.9267,4.4658,4.4822,4.4822,-4.4822
150.4143,4.4113,4.4204,4.4204,-4.4204
151.9167,4.3536,4.3587,4.3587,-4.3587
153.4342,4.3014,4.2972,4.2972,-4.2972
154.9668,4.2438,4.2358,4.2358,-4.2358
156.5147,4.1840,4.1743,4.1743,-4.1743
158.0781,4.1162,4.1127,4.1127,-4.1127
159.6571,4.0464,4.0511,4.0511,-4.0511
161.2519,3.9842,3.9899,3.9899,-3.9899
162.8626,3.9241,3.9290,3.9290,-3.9290
164.4894,3.8643,3.8685,3.8685,-3.8685
166.1324,3.8045,3.8083,3.8083,-3.8083
167.7919,3.7444,3.7485,3.7485,-3.7485
169.4679,3.6844,3.6889,3.6889,-3.6889
171.1607,3.6244,3.6297,3.6297,-3.6297
172.8704,3.5646,3.5710,3.5710,-3.5710
174.5972,3.5047,3.5128,3.5128,-3.5128
176.3412,3.4447,3.4550,3.4550,-3.4550
178.1026,3.3848,3.3977,3.3977,-3.3977
179.8816,3.3323,3.3408,3.3408,-3.3408
181.6784,3.2825,3.2842,3.2842,-3.2842
183.4932,3.2326,3.2277,3.2277,-3.2277
185.3261,3.1751,3.1712,3.1712,-3.1712
187.1772,3.1153,3.1147,3.1147,-3.1147
189.0469,3.0626,3.0584,3.0584,-3.0584
190.9352,3.0128,3.0020,3.0020,-3.0020
192.8425,2.9553,2.9454,2.9454,-2.9454
194.7687,2.8955,2.8885,2.8885,-2.8885
