frequency,raw,smoothed,error,equalization
20.0000,-6.4400,-6.2443,-6.2443,6.2443
20.1998,-6.3901,-6.2210,-6.2210,6.2210
20.4015,-6.3296,-6.1942,-6.1942,6.1942
20.6053,-6.2713,-6.1647,-6.1647,6.1647
20.8112,-6.2197,-6.1330,-6.1330,6.1330
21.0190,-6.1603,-6.0990,-6.0990,6.0990
21.2290,-6.1102,-6.0630,-6.0630,6.0630
21.4410,-6.0498,-6.0247,-6.0247,6.0247
21.6552,-6.0011,-5.9840,-5.9840,5.9840
21.8715,-5.9496,-5.9405,-5.9405,5.9405
22.0900,-5.8900,-5.8940,-5.8940,5.8940
22.3106,-5.8399,-5.8438,-5.8438,5.8438
22.5335,-5.7914,-5.7913,-5.7913,5.7913
22.7586,-5.7304,-5.7390,-5.7390,5.7390
22.9859,-5.6809,-5.6872,-5.6872,5.6872
23.2155,-5.6310,-5.6359,-5.6359,5.6359
23.4474,-5.5806,-5.5850,-5.5850,5.5850
23.6816,-5.5317,-5.5344,-5.5344,5.5344
23.9182,-5.4804,-5.4843,-5.4843,5.4843
24.1571,-5.4306,-5.4347,-5.4347,5.4347
24.3984,-5.3803,-5.3856,-5.3856,5.3856
24.6421,-5.3316,-5.3370,-5.3370,5.3370
24.8882,-5.2804,-5.2890,-5.2890,5.2890
25.1368,-5.2306,-5.2417,-5.2417,5.2417
25.3879,-5.1903,-5.1952,-5.1952,5.1952
25.6415,-5.1416,-5.1494,-5.1494,5.1494
25.8976,-5.0924,-5.1044,-5.1044,5.1044
26.1563,-5.0506,-5.0601,-5.0601,5.0601
26.4176,-5.0023,-5.0168,-5.0168,5.0168
26.6815,-4.9613,-4.9744,-4.9744,4.9744
26.9480,-4.9218,-4.9329,-4.9329,4.9329
27.2172,-4.8819,-4.8923,-4.8923,4.8923
27.4890,-4.8416,-4.8526,-4.8526,4.8526
27.7636,-4.8009,-4.8137,-4.8137,4.8137
28.0409,-4.7710,-4.7756,-4.7756,4.7756
28.3210,-4.7313,-4.7381,-4.7381,4.7381
28.6039,-4.6922,-4.7012,-4.7012,4.7012
28.8896,-4.6611,-4.6650,-4.6650,4.6650
29.1782,-4.6216,-4.6292,-4.6292,4.6292
29.4697,-4.5911,-4.5940,-4.5940,4.5940
29.7640,-4.5616,-4.5591,-4.5591,4.5591
30.0613,-4.5225,-4.5245,-4.5245,4.5245
30.3616,-4.4918,-4.4901,-4.4901,4.4901
30.6649,-4.4520,-4.4560,-4.4560,4.4560
30.9712,-4.4218,-4.4222,-4.4222,4.4222
31.2806,-4.3825,-4.3885,-4.3885,4.3885
31.5930,-4.3516,-4.3551,-4.3551,4.3551
31.9086,-4.3220,-4.3220,-4.3220,4.3220
32.2273,-4.2816,-4.2890,-4.2890,4.2890
32.5492,-4.2519,-4.2564,-4.2564,4.2564
32.8744,-4.2215,-4.2241,-4.2241,4.2241
33.2027,-4.1916,-4.1921,-4.1921,4.1921
33.5344,-4.1614,-4.1603,-4.1603,4.1603
33.8694,-4.1224,-4.1289,-4.1289,4.1289
34.2077,-4.0920,-4.0978,-4.0978,4.0978
34.5494,-4.0618,-4.0672,-4.0672,4.0672
34.8945,-4.0322,-4.0371,-4.0371,4.0371
35.2430,-4.0023,-4.0074,-4.0074,4.0074
35.5951,-3.9721,-3.9782,-3.9782,3.9782
35.9506,-3.9417,-3.9495,-3.9495,3.9495
36.3097,-3.9117,-3.9215,-3.9215,3.9215
36.6724,-3.8915,-3.8941,-3.8941,3.8941
37.0387,-3.8618,-3.8672,-3.8672,3.8672
37.4087,-3.8317,-3.8410,-3.8410,3.8410
37.7824,-3.8022,-3.8155,-3.8155,3.8155
38.1598,-3.7816,-3.7906,-3.7906,3.7906
38.5409,-3.7615,-3.7663,-3.7663,3.7663
38.9259,-3.7319,-3.7425,-3.7425,3.7425
39.3147,-3.7113,-3.7193,-3.7193,3.7193
