frequency,raw,smoothed,error,equalization
20.0000,-0.3500,-0.2598,-0.2598,0.2598
20.1998,-0.3200,-0.2504,-0.2504,0.2504
20.4015,-0.2998,-0.2403,-0.2403,0.2403
20.6053,-0.2707,-0.2295,-0.2295,0.2295
20.8112,-0.2399,-0.2186,-0.2186,0.2186
21.0190,-0.2201,-0.2077,-0.2077,0.2077
21.2290,-0.2001,-0.1969,-0.1969,0.1969
21.4410,-0.1799,-0.1861,-0.1861,0.1861
21.6552,-0.1507,-0.1752,-0.1752,0.1752
21.8715,-0.1299,-0.1645,-0.1645,0.1645
22.0900,-0.1200,-0.1539,-0.1539,0.1539
22.3106,-0.1200,-0.1431,-0.1431,0.1431
22.5335,-0.1200,-0.1324,-0.1324,0.1324
22.7586,-0.1200,-0.1228,-0.1228,0.1228
22.9859,-0.1200,-0.1138,-0.1138,0.1138
23.2155,-0.1102,-0.1055,-0.1055,0.1055
23.4474,-0.1100,-0.0976,-0.0976,0.0976
23.6816,-0.1003,-0.0897,-0.0897,0.0897
23.9182,-0.0901,-0.0818,-0.0818,0.0818
24.1571,-0.0801,-0.0735,-0.0735,0.0735
24.3984,-0.0701,-0.0647,-0.0647,0.0647
24.6421,-0.0506,-0.0555,-0.0555,0.0555
24.8882,-0.0401,-0.0459,-0.0459,0.0459
25.1368,-0.0301,-0.0361,-0.0361,0.0361
25.3879,-0.0300,-0.0262,-0.0262,0.0262
25.6415,-0.0300,-0.0163,-0.0163,0.0163
25.8976,-0.0300,-0.0062,-0.0062,0.0062
26.1563,-0.0103,0.0039,0.0039,-0.0039
26.4176,0.0091,0.0139,0.0139,-0.0139
26.6815,0.0390,0.0234,0.0234,-0.0234
26.9480,0.0687,0.0323,0.0323,-0.0323
27.2172,0.0700,0.0402,0.0402,-0.0402
27.4890,0.0700,0.0473,0.0473,-0.0473
27.7636,0.0700,0.0540,0.0540,-0.0540
28.0409,0.0700,0.0606,0.0606,-0.0606
28.3210,0.0700,0.0670,0.0670,-0.0670
28.6039,0.0700,0.0735,0.0735,-0.0735
28.8896,0.0700,0.0799,0.0799,-0.0799
29.1782,0.0700,0.0863,0.0863,-0.0863
29.4697,0.0700,0.0928,0.0928,-0.0928
29.7640,0.0700,0.0995,0.0995,-0.0995
