frequency,raw,smoothed,error,equalization
20.0000,-1.5500,-1.4878,-1.4878,1.4878
20.1998,-1.5300,-1.4807,-1.4807,1.4807
20.4015,-1.5099,-1.4724,-1.4724,1.4724
20.6053,-1.5002,-1.4635,-1.4635,1.4635
20.8112,-1.4799,-1.4538,-1.4538,1.4538
21.0190,-1.4601,-1.4435,-1.4435,1.4435
21.2290,-1.4500,-1.4326,-1.4326,1.4326
21.4410,-1.4299,-1.4210,-1.4210,1.4210
21.6552,-1.4104,-1.4086,-1.4086,1.4086
21.8715,-1.3999,-1.3954,-1.3954,1.3954
22.0900,-1.3800,-1.3812,-1.3812,1.3812
22.3106,-1.3600,-1.3660,-1.3660,1.3660
22.5335,-1.3503,-1.3500,-1.3500,1.3500
22.7586,-1.3301,-1.3341,-1.3341,1.3341
22.9859,-1.3202,-1.3184,-1.3184,1.3184
23.2155,-1.3004,-1.3027,-1.3027,1.3027
23.4474,-1.2901,-1.2872,-1.2872,1.2872
23.6816,-1.2707,-1.2717,-1.2717,1.2717
23.9182,-1.2601,-1.2563,-1.2563,1.2563
24.1571,-1.2402,-1.2409,-1.2409,1.2409
24.3984,-1.2201,-1.2257,-1.2257,1.2257
24.6421,-1.2103,-1.2106,-1.2106,1.2106
24.8882,-1.1901,-1.1956,-1.1956,1.1956
25.1368,-1.1801,-1.1807,-1.1807,1.1807
25.3879,-1.1602,-1.1659,-1.1659,1.1659
25.6415,-1.1503,-1.1514,-1.1514,1.1514
25.8976,-1.1405,-1.1369,-1.1369,1.1369
26.1563,-1.1203,-1.1225,-1.1225,1.1225
26.4176,-1.1105,-1.1082,-1.1082,1.1082
26.6815,-1.0907,-1.0940,-1.0940,1.0940
26.9480,-1.0804,-1.0799,-1.0799,1.0799
27.2172,-1.0610,-1.0660,-1.0660,1.0660
27.4890,-1.0504,-1.0522,-1.0522,1.0522
27.7636,-1.0402,-1.0386,-1.0386,1.0386
28.0409,-1.0206,-1.0251,-1.0251,1.0251
28.3210,-1.0103,-1.0117,-1.0117,1.0117
28.6039,-1.0006,-0.9984,-0.9984,0.9984
