frequency,raw,smoothed,error,equalization
20.0000,5.5900,5.5641,5.5641,-5.5641
20.1998,5.5900,5.5593,5.5593,-5.5593
20.4015,5.5899,5.5538,5.5538,-5.5538
20.6053,5.5802,5.5474,5.5474,-5.5474
20.8112,5.5500,5.5403,5.5403,-5.5403
21.0190,5.5500,5.5327,5.5327,-5.5327
21.2290,5.5500,5.5246,5.5246,-5.5246
21.4410,5.5398,5.5159,5.5159,-5.5159
21.6552,5.5009,5.5063,5.5063,-5.5063
21.8715,5.5000,5.4961,5.4961,-5.4961
22.0900,5.5000,5.4852,5.4852,-5.4852
22.3106,5.4500,5.4731,5.4731,-5.4731
22.5335,5.4500,5.4605,5.4605,-5.4605
22.7586,5.4500,5.4479,5.4479,-5.4479
22.9859,5.4402,5.4351,5.4351,-5.4351
23.2155,5.4106,5.4222,5.4222,-5.4222
23.4474,5.4100,5.4094,5.4094,-5.4094
23.6816,5.4100,5.3964,5.3964,-5.3964
23.9182,5.4100,5.3830,5.3830,-5.3830
24.1571,5.3606,5.3692,5.3692,-5.3692
24.3984,5.3600,5.3553,5.3553,-5.3553
24.6421,5.3600,5.3411,5.3411,-5.3411
24.8882,5.3104,5.3266,5.3266,-5.3266
25.1368,5.3100,5.3121,5.3121,-5.3121
25.3879,5.3100,5.2973,5.2973,-5.2973
25.6415,5.2713,5.2822,5.2822,-5.2822
25.8976,5.2700,5.2671,5.2671,-5.2671
26.1563,5.2700,5.2518,5.2518,-5.2518
26.4176,5.2223,5.2360,5.2360,-5.2360
26.6815,5.2200,5.2203,5.2203,-5.2203
26.9480,5.2200,5.2046,5.2046,-5.2046
27.2172,5.1724,5.1886,5.1886,-5.1886
27.4890,5.1700,5.1727,5.1727,-5.1727
27.7636,5.1700,5.1567,5.1567,-5.1567
28.0409,5.1313,5.1404,5.1404,-5.1404
28.3210,5.1300,5.1240,5.1240,-5.1240
28.6039,5.1300,5.1073,5.1073,-5.1073
28.8896,5.0818,5.0901,5.0901,-5.0901
29.1782,5.0800,5.0727,5.0727,-5.0727
29.4697,5.0607,5.0550,5.0550,-5.0550
29.7640,5.0316,5.0368,5.0368,-5.0368
30.0613,5.0300,5.0184,5.0184,-5.0184
30.3616,4.9925,4.9994,4.9994,-4.9994
30.6649,4.9900,4.9802,4.9802,-4.9802
30.9712,4.9712,4.9605,4.9605,-4.9605
31.2806,4.9419,4.9402,4.9402,-4.9402
31.5930,4.9400,4.9197,4.9197,-4.9197
31.9086,4.8933,4.8985,4.8985,-4.8985
32.2273,4.8900,4.8771,4.8771,-4.8771
32.5492,4.8525,4.8553,4.8553,-4.8553
32.8744,4.8405,4.8333,4.8333,-4.8333
33.2027,4.8021,4.8109,4.8109,-4.8109
33.5344,4.8000,4.7884,4.7884,-4.7884
33.8694,4.7530,4.7654,4.7654,-4.7654
34.2077,4.7500,4.7424,4.7424,-4.7424
34.5494,4.7124,4.7189,4.7189,-4.7189
34.8945,4.7100,4.6954,4.6954,-4.6954
35.2430,4.6731,4.6713,4.6713,-4.6713
35.5951,4.6607,4.6470,4.6470,-4.6470
35.9506,4.6128,4.6224,4.6224,-4.6224
36.3097,4.6100,4.5976,4.5976,-4.5976
36.6724,4.5730,4.5725,4.5725,-4.5725
37.0387,4.5606,4.5471,4.5471,-4.5471
37.4087,4.5223,4.5212,4.5212,-4.5212
37.7824,4.4922,4.4951,4.4951,-4.4951
38.1598,4.4808,4.4689,4.4689,-4.4689
38.5409,4.4338,4.4421,4.4421,-4.4421
38.9259,4.4206,4.4152,4.4152,-4.4152
39.3147,4.3826,4.3881,4.3881,-4.3881
39.7074,4.3616,4.3609,4.3609,-4.3609
40.1041,4.3418,4.3336,4.3336,-4.3336
40.5046,4.3035,4.3060,4.3060,-4.3060
40.9092,4.2908,4.2784,4.2784,-4.2784
41.3179,4.2439,4.2505,4.2505,-4.2505
41.7306,4.2307,4.2226,4.2226,-4.2226
42.1474,4.2023,4.1946,4.1946,-4.1946
42.5684,4.1538,4.1662,4.1662,-4.1662
42.9936,4.1408,4.1380,4.1380,-4.1380
43.4231,4.1034,4.1097,4.1097,-4.1097
43.8568,4.0820,4.0813,4.0813,-4.0813
44.2949,4.0616,4.0528,4.0528,-4.0528
44.7374,4.0147,4.0239,4.0239,-4.0239
45.1842,4.0100,3.9950,3.9950,-3.9950
45.6356,3.9649,3.9658,3.9658,-3.9658
46.0914,3.9417,3.9364,3.9364,-3.9364
46.5518,3.9131,3.9068,3.9068,-3.9068
47.0168,3.8738,3.8769,3.8769,-3.8769
47.4864,3.8519,3.8470,3.8470,-3.8470
47.9608,3.8231,3.8167,3.8167,-3.8167
48.4398,3.7842,3.7861,3.7861,-3.7861
48.9237,3.7619,3.7554,3.7554,-3.7554
49.4124,3.7329,3.7243,3.7243,-3.7243
49.9059,3.6854,3.6928,3.6928,-3.6928
50.4044,3.6622,3.6613,3.6613,-3.6613
