frequency,raw,smoothed,error,equalization
20.0000,-7.9500,-7.7854,-7.7854,7.7854
20.1998,-7.9100,-7.7645,-7.7645,7.7645
20.4015,-7.8597,-7.7406,-7.7406,7.7406
20.6053,-7.8209,-7.7142,-7.7142,7.7142
20.8112,-7.7697,-7.6854,-7.6854,7.6854
21.0190,-7.7202,-7.6544,-7.6544,7.6544
21.2290,-7.6702,-7.6211,-7.6211,7.6211
21.4410,-7.6197,-7.5855,-7.5855,7.5855
21.6552,-7.5613,-7.5473,-7.5473,7.5473
21.8715,-7.5097,-7.5063,-7.5063,7.5063
22.0900,-7.4600,-7.4622,-7.4622,7.4622
22.3106,-7.4099,-7.4143,-7.4143,7.4143
22.5335,-7.3711,-7.3637,-7.3637,7.3637
22.7586,-7.3203,-7.3126,-7.3126,7.3126
22.9859,-7.2709,-7.2611,-7.2611,7.2611
23.2155,-7.2210,-7.2091,-7.2091,7.2091
23.4474,-7.1607,-7.1567,-7.1567,7.1567
23.6816,-7.1117,-7.1040,-7.1040,7.1040
23.9182,-7.0604,-7.0511,-7.0511,7.0511
24.1571,-7.0007,-6.9980,-6.9980,6.9980
24.3984,-6.9503,-6.9450,-6.9450,6.9450
24.6421,-6.8919,-6.8923,-6.8923,6.8923
24.8882,-6.8304,-6.8403,-6.8403,6.8403
25.1368,-6.7806,-6.7893,-6.7893,6.7893
25.3879,-6.7205,-6.7393,-6.7393,6.7393
25.6415,-6.6716,-6.6905,-6.6905,6.6905
25.8976,-6.6129,-6.6427,-6.6427,6.6427
26.1563,-6.5607,-6.5961,-6.5961,6.5961
26.4176,-6.5218,-6.5510,-6.5510,6.5510
26.6815,-6.4716,-6.5077,-6.5077,6.5077
26.9480,-6.4318,-6.4663,-6.4663,6.4663
27.2172,-6.4110,-6.4267,-6.4267,6.4267
27.4890,-6.3908,-6.3883,-6.3883,6.3883
27.7636,-6.3705,-6.3504,-6.3504,6.3504
28.0409,-6.3506,-6.3128,-6.3128,6.3128
28.3210,-6.2822,-6.2753,-6.2753,6.2753
28.6039,-6.2233,-6.2384,-6.2384,6.2384
28.8896,-6.1526,-6.2025,-6.2025,6.2025
29.1782,-6.1308,-6.1677,-6.1677,6.1677
29.4697,-6.1300,-6.1333,-6.1333,6.1333
29.7640,-6.1300,-6.0988,-6.0988,6.0988
30.0613,-6.1112,-6.0637,-6.0637,6.0637
30.3616,-6.0443,-6.0279,-6.0279,6.0279
30.6649,-5.9735,-5.9921,-5.9921,5.9921
30.9712,-5.9042,-5.9565,-5.9565,5.9565
31.2806,-5.9000,-5.9216,-5.9216,5.9216
31.5930,-5.9000,-5.8868,-5.8868,5.8868
31.9086,-5.9000,-5.8518,-5.8518,5.8518
32.2273,-5.8520,-5.8162,-5.8162,5.8162
32.5492,-5.7750,-5.7798,-5.7798,5.7798
32.8744,-5.7034,-5.7428,-5.7428,5.7428
33.2027,-5.6810,-5.7056,-5.7056,5.7056
33.5344,-5.6800,-5.6684,-5.6684,5.6684
33.8694,-5.6800,-5.6310,-5.6310,5.6310
34.2077,-5.6333,-5.5932,-5.5932,5.5932
34.5494,-5.5549,-5.5552,-5.5552,5.5552
34.8945,-5.4758,-5.5176,-5.5176,5.5176
35.2430,-5.4515,-5.4810,-5.4810,5.4810
35.5951,-5.4500,-5.4450,-5.4450,5.4450
35.9506,-5.4500,-5.4091,-5.4091,5.4091
36.3097,-5.3745,-5.3731,-5.3731,5.3731
36.6724,-5.2960,-5.3375,-5.3375,5.3375
37.0387,-5.2241,-5.3030,-5.3030,5.3030
37.4087,-5.2200,-5.2702,-5.2702,5.2702
37.7824,-5.2200,-5.2392,-5.2392,5.2392
38.1598,-5.2200,-5.2098,-5.2098,5.2098
38.5409,-5.2200,-5.1820,-5.1820,5.1820
38.9259,-5.2200,-5.1548,-5.1548,5.1548
39.3147,-5.1452,-5.1270,-5.1270,5.1270
39.7074,-5.0573,-5.0988,-5.0988,5.0988
40.1041,-4.9954,-5.0713,-5.0713,5.0713
40.5046,-4.9900,-5.0454,-5.0454,5.0454
40.9092,-4.9900,-5.0210,-5.0210,5.0210
41.3179,-4.9900,-4.9976,-4.9976,4.9976
41.7306,-4.9900,-4.9745,-4.9745,4.9745
42.1474,-4.9900,-4.9513,-4.9513,4.9513
42.5684,-4.9900,-4.9277,-4.9277,4.9277
42.9936,-4.9808,-4.9028,-4.9028,4.9028
43.4231,-4.8886,-4.8764,-4.8764,4.8764
43.8568,-4.7898,-4.8499,-4.8499,4.8499
44.2949,-4.7616,-4.8245,-4.8245,4.8245
44.7374,-4.7600,-4.8000,-4.8000,4.8000
45.1842,-4.7600,-4.7760,-4.7760,4.7760
45.6356,-4.7600,-4.7521,-4.7521,4.7521
46.0914,-4.7600,-4.7282,-4.7282,4.7282
46.5518,-4.7600,-4.7044,-4.7044,4.7044
47.0168,-4.7509,-4.6802,-4.6802,4.6802
47.4864,-4.6502,-4.6549,-4.6549,4.6549
47.9608,-4.5503,-4.6296,-4.6296,4.6296
48.4398,-4.5400,-4.6058,-4.6058,4.6058
48.9237,-4.5400,-4.5833,-4.5833,4.5833
49.4124,-4.5400,-4.5614,-4.5614,4.5614
49.9059,-4.5400,-4.5395,-4.5395,4.5395
50.4044,-4.5400,-4.5176,-4.5176,4.5176
50.9079,-4.5400,-4.4956,-4.4956,4.4956
51.4164,-4.5400,-4.4736,-4.4736,4.4736
51.9300,-4.5400,-4.4514,-4.4514,4.4514
52.4487,-4.4341,-4.4292,-4.4292,4.4292
52.9726,-4.3221,-4.4085,-4.4085,4.4085
53.5018,-4.3100,-4.3905,-4.3905,4.3905
54.0362,-4.3100,-4.3745,-4.3745,4.3745
54.5759,-4.3100,-4.3591,-4.3591,4.3591
55.1211,-4.3100,-4.3438,-4.3438,4.3438
55.6717,-4.3100,-4.3284,-4.3284,4.3284
56.2278,-4.3100,-4.3131,-4.3131,4.3131
56.7894,-4.3100,-4.2978,-4.2978,4.2978
57.3567,-4.3100,-4.2825,-4.2825,4.2825
57.9296,-4.3100,-4.2671,-4.2671,4.2671
58.5082,-4.3100,-4.2518,-4.2518,4.2518
59.0927,-4.3100,-4.2362,-4.2362,4.2362
59.6829,-4.3100,-4.2195,-4.2195,4.2195
60.2791,-4.2396,-4.2011,-4.2011,4.2011
60.8812,-4.1081,-4.1821,-4.1821,4.1821
61.4893,-4.0813,-4.1644,-4.1644,4.1644
62.1035,-4.0800,-4.1483,-4.1483,4.1483
62.7239,-4.0800,-4.1340,-4.1340,4.1340
63.3504,-4.0800,-4.1213,-4.1213,4.1213
63.9832,-4.0800,-4.1104,-4.1104,4.1104
64.6223,-4.0800,-4.1009,-4.1009,4.1009
65.2678,-4.0800,-4.0922,-4.0922,4.0922
65.9198,-4.0800,-4.0836,-4.0836,4.0836
66.5782,-4.0800,-4.0750,-4.0750,4.0750
67.2433,-4.0800,-4.0664,-4.0664,4.0664
67.9149,-4.0800,-4.0576,-4.0576,4.0576
68.5933,-4.0800,-4.0479,-4.0479,4.0479
69.2785,-4.0800,-4.0367,-4.0367,4.0367
69.9705,-4.0800,-4.0238,-4.0238,4.0238
70.6694,-4.0800,-4.0091,-4.0091,4.0091
71.3753,-4.0800,-3.9928,-3.9928,3.9928
72.0883,-4.0372,-3.9747,-3.9747,3.9747
72.8083,-3.8926,-3.9556,-3.9556,3.9556
73.5356,-3.8529,-3.9376,-3.9376,3.9376
74.2701,-3.8500,-3.9212,-3.9212,3.9212
75.0120,-3.8500,-3.9066,-3.9066,3.9066
75.7613,-3.8500,-3.8936,-3.8936,3.8936
76.5180,-3.8500,-3.8823,-3.8823,3.8823
77.2824,-3.8500,-3.8727,-3.8727,3.8727
78.0543,-3.8500,-3.8649,-3.8649,3.8649
78.8340,-3.8500,-3.8587,-3.8587,3.8587
79.6214,-3.8500,-3.8542,-3.8542,3.8542
80.4168,-3.8500,-3.8514,-3.8514,3.8514
81.2200,-3.8500,-3.8502,-3.8502,3.8502
82.0313,-3.8500,-3.8500,-3.8500,3.8500
82.8507,-3.8500,-3.8500,-3.8500,3.8500
83.6783,-3.8500,-3.8496,-3.8496,3.8496
84.5141,-3.8500,-3.8481,-3.8481,3.8481
85.3583,-3.8500,-3.8451,-3.8451,3.8451
86.2109,-3.8500,-3.8403,-3.8403,3.8403
87.0721,-3.8500,-3.8339,-3.8339,3.8339
87.9418,-3.8500,-3.8257,-3.8257,3.8257
88.8203,-3.8500,-3.8159,-3.8159,3.8159
89.7075,-3.8500,-3.8043,-3.8043,3.8043
90.6035,-3.8500,-3.7911,-3.7911,3.7911
91.5085,-3.8500,-3.7761,-3.7761,3.7761
92.4226,-3.8500,-3.7595,-3.7595,3.7595
93.3458,-3.7677,-3.7411,-3.7411,3.7411
94.2782,-3.6591,-3.7223,-3.7223,3.7223
95.2199,-3.6236,-3.7046,-3.7046,3.7046
96.1711,-3.6200,-3.6885,-3.6885,3.6885
97.1317,-3.6200,-3.6742,-3.6742,3.6742
98.1019,-3.6200,-3.6615,-3.6615,3.6615
99.0818,-3.6200,-3.6505,-3.6505,3.6505
100.0715,-3.6200,-3.6413,-3.6413,3.6413
101.0711,-3.6200,-3.6337,-3.6337,3.6337
102.0807,-3.6200,-3.6278,-3.6278,3.6278
103.1004,-3.6200,-3.6237,-3.6237,3.6237
104.1302,-3.6200,-3.6212,-3.6212,3.6212
105.1703,-3.6200,-3.6202,-3.6202,3.6202
106.2209,-3.6200,-3.6200,-3.6200,3.6200
107.2819,-3.6200,-3.6200,-3.6200,3.6200
108.3535,-3.6200,-3.6200,-3.6200,3.6200
109.4358,-3.6200,-3.6200,-3.6200,3.6200
110.5289,-3.6200,-3.6200,-3.6200,3.6200
111.6330,-3.6200,-3.6200,-3.6200,3.6200
112.7481,-3.6200,-3.6200,-3.6200,3.6200
113.8743,-3.6200,-3.6200,-3.6200,3.6200
115.0118,-3.6200,-3.6200,-3.6200,3.6200
116.1606,-3.6200,-3.6200,-3.6200,3.6200
117.3209,-3.6200,-3.6200,-3.6200,3.6200
118.4928,-3.6200,-3.6200,-3.6200,3.6200
119.6764,-3.6200,-3.6200,-3.6200,3.6200
120.8718,-3.6200,-3.6200,-3.6200,3.6200
122.0792,-3.6200,-3.6200,-3.6200,3.6200
123.2986,-3.6200,-3.6200,-3.6200,3.6200
124.5302,-3.6200,-3.6200,-3.6200,3.6200
125.7741,-3.6200,-3.6200,-3.6200,3.6200
127.0304,-3.6200,-3.6200,-3.6200,3.6200
128.2993,-3.6200,-3.6200,-3.6200,3.6200
129.5808,-3.6200,-3.6200,-3.6200,3.6200
130.8752,-3.6200,-3.6200,-3.6200,3.6200
132.1825,-3.6200,-3.6200,-3.6200,3.6200
133.5028,-3.6200,-3.6200,-3.6200,3.6200
134.8363,-3.6200,-3.6200,-3.6200,3.6200
136.1832,-3.6200,-3.6200,-3.6200,3.6200
137.5435,-3.6200,-3.6200,-3.6200,3.6200
138.9174,-3.6200,-3.6200,-3.6200,3.6200
140.3050,-3.6200,-3.6200,-3.6200,3.6200
141.7065,-3.6200,-3.6200,-3.6200,3.6200
143.1220,-3.6200,-3.6200,-3.6200,3.6200
144.5516,-3.6200,-3.6200,-3.6200,3.6200
145.9955,-3.6200,-3.6200,-3.6200,3.6200
147.4538,-3.6200,-3.6200,-3.6200,3.6200
148.9267,-3.6200,-3.6200,-3.6200,3.6200
150.4143,-3.6200,-3.6200,-3.6200,3.6200
151.9167,-3.6200,-3.6200,-3.6200,3.6200
153.4342,-3.6200,-3.6200,-3.6200,3.6200
154.9668,-3.6200,-3.6200,-3.6200,3.6200
156.5147,-3.6200,-3.6200,-3.6200,3.6200
158.0781,-3.6200,-3.6200,-3.6200,3.6200
159.6571,-3.6200,-3.6200,-3.6200,3.6200
161.2519,-3.6200,-3.6200,-3.6200,3.6200
162.8626,-3.6200,-3.6200,-3.6200,3.6200
164.4894,-3.6200,-3.6200,-3.6200,3.6200
166.1324,-3.6200,-3.6200,-3.6200,3.6200
167.7919,-3.6200,-3.6200,-3.6200,3.6200
169.4679,-3.6200,-3.6200,-3.6200,3.6200
171.1607,-3.6200,-3.6200,-3.6200,3.6200
172.8704,-3.6200,-3.6200,-3.6200,3.6200
174.5972,-3.6200,-3.6200,-3.6200,3.6200
176.3412,-3.6200,-3.6200,-3.6200,3.6200
178.1026,-3.6200,-3.6200,-3.6200,3.6200
179.8816,-3.6200,-3.6200,-3.6200,3.6200
181.6784,-3.6200,-3.6200,-3.6200,3.6200
183.4932,-3.6200,-3.6200,-3.6200,3.6200
185.3261,-3.6200,-3.6200,-3.6200,3.6200
187.1772,-3.6200,-3.6200,-3.6200,3.6200
189.0469,-3.6200,-3.6200,-3.6200,3.6200
190.9352,-3.6200,-3.6200,-3.6200,3.6200
192.8425,-3.6200,-3.6200,-3.6200,3.6200
194.7687,-3.6200,-3.6193,-3.6193,3.6193
196.7142,-3.6200,-3.6173,-3.6173,3.6173
198.6792,-3.6200,-3.6136,-3.6136,3.6136
200.6637,-3.6200,-3.6083,-3.6083,3.6083
202.6681,-3.6200,-3.6013,-3.6013,3.6013
204.6925,-3.6200,-3.5928,-3.5928,3.5928
206.7371,-3.6200,-3.5826,-3.5826,3.5826
208.8022,-3.6200,-3.5708,-3.5708,3.5708
210.8879,-3.6200,-3.5574,-3.5574,3.5574
212.9944,-3.6200,-3.5423,-3.5423,3.5423
215.1219,-3.6200,-3.5256,-3.5256,3.5256
217.2707,-3.4736,-3.5073,-3.5073,3.5073
219.4410,-3.4054,-3.4895,-3.4895,3.4895
221.6329,-3.4000,-3.4733,-3.4733,3.4733
223.8468,-3.4000,-3.4587,-3.4587,3.4587
226.0827,-3.4000,-3.4457,-3.4457,3.4457
228.3410,-3.4000,-3.4344,-3.4344,3.4344
230.6219,-3.4000,-3.4246,-3.4246,3.4246
232.9255,-3.4000,-3.4165,-3.4165,3.4165
235.2521,-3.4000,-3.4101,-3.4101,3.4101
237.6020,-3.4000,-3.4052,-3.4052,3.4052
239.9754,-3.4000,-3.4020,-3.4020,3.4020
242.3724,-3.4000,-3.4004,-3.4004,3.4004
244.7934,-3.4000,-3.4000,-3.4000,3.4000
