frequency,raw,smoothed,error,equalization
20.0000,15.3300,15.3161,15.3161,-15.3161
20.1998,15.3300,15.3132,15.3132,-15.3132
20.4015,15.3299,15.3098,15.3098,-15.3098
20.6053,15.3202,15.3056,15.3056,-15.3056
20.8112,15.3199,15.3007,15.3007,-15.3007
21.0190,15.3100,15.2952,15.2952,-15.2952
21.2290,15.3000,15.2889,15.2889,-15.2889
21.4410,15.3000,15.2819,15.2819,-15.2819
21.6552,15.2902,15.2739,15.2739,-15.2739
21.8715,15.2799,15.2650,15.2650,-15.2650
22.0900,15.2700,15.2548,15.2548,-15.2548
22.3106,15.2500,15.2434,15.2434,-15.2434
22.5335,15.2403,15.2307,15.2307,-15.2307
22.7586,15.2201,15.2171,15.2171,-15.2171
22.9859,15.2102,15.2027,15.2027,-15.2027
23.2155,15.1904,15.1874,15.1874,-15.1874
23.4474,15.1801,15.1714,15.1714,-15.1714
23.6816,15.1607,15.1544,15.1544,-15.1544
23.9182,15.1501,15.1364,15.1364,-15.1364
24.1571,15.1302,15.1170,15.1170,-15.1170
24.3984,15.1201,15.0963,15.0963,-15.0963
24.6421,15.0909,15.0736,15.0736,-15.0736
24.8882,15.0701,15.0492,15.0492,-15.0492
25.1368,15.0404,15.0228,15.0228,-15.0228
25.3879,15.0202,14.9948,14.9948,-14.9948
25.6415,14.9910,14.9655,14.9655,-14.9655
25.8976,14.9710,14.9354,14.9354,-14.9354
26.1563,14.9404,14.9052,14.9052,-14.9052
26.4176,14.9018,14.8756,14.8756,-14.8756
26.6815,14.8613,14.8471,14.8471,-14.8471
26.9480,14.8027,14.8204,14.8204,-14.8204
27.2172,14.7429,14.7959,14.7959,-14.7959
27.4890,14.6824,14.7742,14.7742,-14.7742
27.7636,14.6409,14.7555,14.7555,-14.7555
28.0409,14.6110,14.7397,14.7397,-14.7397
28.3210,14.6100,14.7268,14.7268,-14.7268
28.6039,14.6383,14.7161,14.7161,-14.7161
28.8896,14.6882,14.7067,14.7067,-14.7067
29.1782,14.7380,14.6973,14.6973,-14.6973
29.4697,14.7882,14.6869,14.6869,-14.6869
29.7640,14.7995,14.6741,14.6741,-14.6741
30.0613,14.7906,14.6581,14.6581,-14.6581
30.3616,14.7618,14.6386,14.6386,-14.6386
30.6649,14.7030,14.6152,14.6152,-14.6152
30.9712,14.6436,14.5881,14.5881,-14.5881
31.2806,14.5744,14.5575,14.5575,-14.5575
31.5930,14.5227,14.5240,14.5240,-14.5240
31.9086,14.4733,14.4879,14.4879,-14.4879
32.2273,14.4220,14.4497,14.4497,-14.4497
32.5492,14.3919,14.4102,14.4102,-14.4102
32.8744,14.3520,14.3701,14.3701,-14.3701
33.2027,14.3121,14.3300,14.3300,-14.3300
33.5344,14.2814,14.2905,14.2905,-14.2905
33.8694,14.2424,14.2520,14.2520,-14.2520
34.2077,14.2026,14.2144,14.2144,-14.2144
34.5494,14.1718,14.1775,14.1775,-14.1775
34.8945,14.1422,14.1406,14.1406,-14.1406
35.2430,14.1031,14.1028,14.1028,-14.1028
35.5951,14.0721,14.0631,14.0631,-14.0631
35.9506,14.0322,14.0211,14.0211,-14.0211
36.3097,14.0017,13.9763,13.9763,-13.9763
36.6724,13.9722,13.9287,13.9287,-13.9287
37.0387,13.9418,13.8784,13.8784,-13.8784
37.4087,13.9117,13.8259,13.8259,-13.8259
37.7824,13.8729,13.7714,13.7714,-13.7714
38.1598,13.8148,13.7156,13.7156,-13.7156
38.5409,13.7269,13.6592,13.6592,-13.6592
38.9259,13.6170,13.6033,13.6033,-13.6033
39.3147,13.4884,13.5493,13.5493,-13.5493
39.7074,13.3698,13.4988,13.4988,-13.4988
40.1041,13.2781,13.4531,13.4531,-13.4531
40.5046,13.2153,13.4133,13.4133,-13.4133
40.9092,13.2008,13.3797,13.3797,-13.3797
41.3179,13.2184,13.3519,13.3519,-13.3519
41.7306,13.2478,13.3291,13.3291,-13.3291
42.1474,13.2777,13.3104,13.3104,-13.3104
42.5684,13.3077,13.2944,13.2944,-13.2944
42.9936,13.3283,13.2802,13.2802,-13.2802
43.4231,13.3300,13.2664,13.2664,-13.2664
43.8568,13.3300,13.2518,13.2518,-13.2518
44.2949,13.3208,13.2353,13.2353,-13.2353
44.7374,13.3019,13.2157,13.2157,-13.2157
45.1842,13.2731,13.1919,13.1919,-13.1919
45.6356,13.2340,13.1635,13.1635,-13.1635
46.0914,13.1843,13.1303,13.1303,-13.1303
46.5518,13.1351,13.0928,13.0928,-13.0928
47.0168,13.0847,13.0514,13.0514,-13.0514
47.4864,13.0256,13.0069,13.0069,-13.0069
47.9608,12.9662,12.9600,12.9600,-12.9600
48.4398,12.9152,12.9113,12.9113,-12.9113
48.9237,12.8558,12.8614,12.8614,-12.8614
49.4124,12.8049,12.8106,12.8106,-12.8106
49.9059,12.7465,12.7594,12.7594,-12.7594
50.4044,12.6956,12.7080,12.7080,-12.7080
50.9079,12.6452,12.6566,12.6566,-12.6566
51.4164,12.5953,12.6051,12.6051,-12.6051
51.9300,12.5546,12.5534,12.5534,-12.5534
52.4487,12.5059,12.5014,12.5014,-12.5014
52.9726,12.4644,12.4490,12.4490,-12.4490
53.5018,12.4155,12.3957,12.3957,-12.3957
54.0362,12.3659,12.3416,12.3416,-12.3416
54.5759,12.3071,12.2863,12.2863,-12.2863
55.1211,12.2555,12.2299,12.2299,-12.2299
55.6717,12.1973,12.1723,12.1723,-12.1723
56.2278,12.1279,12.1134,12.1134,-12.1134
56.7894,12.0674,12.0535,12.0535,-12.0535
