frequency,raw,smoothed,error,equalization
20.0000,8.3300,8.4300,8.4300,-8.4300
20.1998,8.3400,8.4461,8.4461,-8.4461
20.4015,8.3601,8.4646,8.4646,-8.4646
20.6053,8.3796,8.4855,8.4855,-8.4855
20.8112,8.4203,8.5086,8.5086,-8.5086
21.0190,8.4698,8.5339,8.5339,-8.5339
21.2290,8.5198,8.5610,8.5610,-8.5610
21.4410,8.5702,8.5899,8.5899,-8.5899
21.6552,8.6091,8.6206,8.6206,-8.6206
21.8715,8.6603,8.6533,8.6533,-8.6533
22.0900,8.7000,8.6883,8.6883,-8.6883
22.3106,8.7401,8.7259,8.7259,-8.7259
22.5335,8.7692,8.7654,8.7654,-8.7654
22.7586,8.8097,8.8049,8.8049,-8.8049
22.9859,8.8395,8.8443,8.8443,-8.8443
23.2155,8.8792,8.8835,8.8835,-8.8835
23.4474,8.9195,8.9225,8.9225,-8.9225
23.6816,8.9586,8.9613,8.9613,-8.9613
23.9182,8.9997,8.9999,8.9999,-8.9999
24.1571,9.0395,9.0385,9.0385,-9.0385
24.3984,9.0797,9.0771,9.0771,-9.0771
24.6421,9.1187,9.1155,9.1155,-9.1155
24.8882,9.1597,9.1539,9.1539,-9.1539
25.1368,9.1896,9.1921,9.1921,-9.1921
25.3879,9.2297,9.2301,9.2301,-9.2301
25.6415,9.2687,9.2678,9.2678,-9.2678
25.8976,9.2986,9.3051,9.3051,-9.3051
26.1563,9.3493,9.3422,9.3422,-9.3422
26.4176,9.3882,9.3788,9.3788,-9.3788
26.6815,9.4287,9.4149,9.4149,-9.4149
26.9480,9.4682,9.4504,9.4504,-9.4504
27.2172,9.4986,9.4853,9.4853,-9.4853
27.4890,9.5288,9.5197,9.5197,-9.5197
27.7636,9.5593,9.5538,9.5538,-9.5538
28.0409,9.5890,9.5876,9.5876,-9.5876
28.3210,9.6190,9.6211,9.6211,-9.6211
28.6039,9.6483,9.6545,9.6545,-9.6545
28.8896,9.6789,9.6879,9.6879,-9.6879
29.1782,9.7184,9.7213,9.7213,-9.7213
29.4697,9.7489,9.7546,9.7546,-9.7546
29.7640,9.7879,9.7879,9.7879,-9.7879
