frequency,raw,smoothed,error,equalization
20.0000,10.1800,10.2241,10.2241,-10.2241
20.1998,10.1800,10.2316,10.2316,-10.2316
20.4015,10.1901,10.2404,10.2404,-10.2404
20.6053,10.1998,10.2502,10.2502,-10.2502
20.8112,10.2201,10.2611,10.2611,-10.2611
21.0190,10.2399,10.2729,10.2729,-10.2729
21.2290,10.2699,10.2856,10.2856,-10.2856
21.4410,10.2901,10.2990,10.2990,-10.2990
21.6552,10.3096,10.3132,10.3132,-10.3132
21.8715,10.3301,10.3282,10.3282,-10.3282
22.0900,10.3500,10.3441,10.3441,-10.3441
22.3106,10.3701,10.3611,10.3611,-10.3611
22.5335,10.3894,10.3788,10.3788,-10.3788
22.7586,10.3999,10.3963,10.3963,-10.3963
22.9859,10.4196,10.4135,10.4135,-10.4135
23.2155,10.4298,10.4304,10.4304,-10.4304
23.4474,10.4498,10.4470,10.4470,-10.4470
23.6816,10.4597,10.4633,10.4633,-10.4633
23.9182,10.4798,10.4793,10.4793,-10.4793
24.1571,10.4998,10.4951,10.4951,-10.4951
24.3984,10.5099,10.5105,10.5105,-10.5105
24.6421,10.5294,10.5257,10.5257,-10.5257
24.8882,10.5399,10.5405,10.5405,-10.5405
25.1368,10.5597,10.5552,10.5552,-10.5552
25.3879,10.5798,10.5696,10.5696,-10.5696
25.6415,10.5897,10.5836,10.5836,-10.5836
25.8976,10.5995,10.5971,10.5971,-10.5971
26.1563,10.6197,10.6103,10.6103,-10.6103
26.4176,10.6295,10.6228,10.6228,-10.6228
26.6815,10.6397,10.6348,10.6348,-10.6348
26.9480,10.6496,10.6461,10.6461,-10.6461
27.2172,10.6595,10.6569,10.6569,-10.6569
27.4890,10.6696,10.6670,10.6670,-10.6670
27.7636,10.6895,10.6766,10.6766,-10.6766
28.0409,10.6997,10.6855,10.6855,-10.6855
28.3210,10.7097,10.6938,10.6938,-10.6938
28.6039,10.7100,10.7015,10.7015,-10.7015
28.8896,10.7196,10.7087,10.7087,-10.7087
29.1782,10.7200,10.7153,10.7153,-10.7153
29.4697,10.7200,10.7215,10.7215,-10.7215
29.7640,10.7295,10.7273,10.7273,-10.7273
30.0613,10.7300,10.7327,10.7327,-10.7327
30.3616,10.7300,10.7378,10.7378,-10.7378
30.6649,10.7395,10.7426,10.7426,-10.7426
30.9712,10.7494,10.7471,10.7471,-10.7471
31.2806,10.7594,10.7511,10.7511,-10.7511
31.5930,10.7695,10.7548,10.7548,-10.7548
31.9086,10.7700,10.7580,10.7580,-10.7580
32.2273,10.7700,10.7607,10.7607,-10.7607
32.5492,10.7700,10.7630,10.7630,-10.7630
32.8744,10.7700,10.7650,10.7650,-10.7650
33.2027,10.7700,10.7666,10.7666,-10.7666
33.5344,10.7700,10.7678,10.7678,-10.7678
33.8694,10.7700,10.7685,10.7685,-10.7685
34.2077,10.7700,10.7688,10.7688,-10.7688
34.5494,10.7700,10.7686,10.7686,-10.7686
34.8945,10.7700,10.7678,10.7678,-10.7678
35.2430,10.7700,10.7666,10.7666,-10.7666
35.5951,10.7700,10.7649,10.7649,-10.7649
35.9506,10.7700,10.7627,10.7627,-10.7627
36.3097,10.7700,10.7599,10.7599,-10.7599
36.6724,10.7700,10.7566,10.7566,-10.7566
37.0387,10.7700,10.7527,10.7527,-10.7527
37.4087,10.7606,10.7482,10.7482,-10.7482
37.7824,10.7507,10.7430,10.7430,-10.7430
38.1598,10.7408,10.7374,10.7374,-10.7374
38.5409,10.7308,10.7313,10.7313,-10.7313
38.9259,10.7206,10.7249,10.7249,-10.7249
39.3147,10.7200,10.7182,10.7182,-10.7182
39.7074,10.7108,10.7112,10.7112,-10.7112
40.1041,10.7009,10.7039,10.7039,-10.7039
40.5046,10.7000,10.6964,10.6964,-10.6964
40.9092,10.6908,10.6887,10.6887,-10.6887
41.3179,10.6808,10.6806,10.6806,-10.6806
41.7306,10.6800,10.6724,10.6724,-10.6724
42.1474,10.6708,10.6638,10.6638,-10.6638
42.5684,10.6608,10.6548,10.6548,-10.6548
42.9936,10.6508,10.6453,10.6453,-10.6453
43.4231,10.6409,10.6353,10.6353,-10.6353
43.8568,10.6310,10.6246,10.6246,-10.6246
44.2949,10.6208,10.6131,10.6131,-10.6131
44.7374,10.6109,10.6009,10.6009,-10.6009
45.1842,10.6010,10.5879,10.5879,-10.5879
45.6356,10.5820,10.5740,10.5740,-10.5740
46.0914,10.5709,10.5594,10.5594,-10.5594
46.5518,10.5610,10.5442,10.5442,-10.5442
47.0168,10.5419,10.5282,10.5282,-10.5282
47.4864,10.5219,10.5117,10.5117,-10.5117
47.9608,10.5021,10.4947,10.4947,-10.4947
48.4398,10.4821,10.4773,10.4773,-10.4773
48.9237,10.4529,10.4597,10.4597,-10.4597
49.4124,10.4319,10.4420,10.4420,-10.4420
49.9059,10.4122,10.4243,10.4243,-10.4243
50.4044,10.4011,10.4066,10.4066,-10.4066
50.9079,10.3821,10.3889,10.3889,-10.3889
51.4164,10.3711,10.3712,10.3712,-10.3712
51.9300,10.3523,10.3535,10.3535,-10.3535
52.4487,10.3412,10.3359,10.3359,-10.3359
52.9726,10.3222,10.3183,10.3183,-10.3183
53.5018,10.3111,10.3008,10.3008,-10.3008
54.0362,10.2924,10.2832,10.2832,-10.2832
54.5759,10.2724,10.2656,10.2656,-10.2656
55.1211,10.2522,10.2477,10.2477,-10.2477
55.6717,10.2237,10.2294,10.2294,-10.2294
56.2278,10.2023,10.2106,10.2106,-10.2106
56.7894,10.1825,10.1913,10.1913,-10.1913
57.3567,10.1711,10.1714,10.1714,-10.1714
57.9296,10.1524,10.1509,10.1509,-10.1509
58.5082,10.1412,10.1297,10.1297,-10.1297
59.0927,10.1312,10.1077,10.1077,-10.1077
59.6829,10.1213,10.0846,10.0846,-10.0846
60.2791,10.0936,10.0603,10.0603,-10.0603
60.8812,10.0639,10.0349,10.0349,-10.0349
61.4893,10.0253,10.0085,10.0085,-10.0085
62.1035,9.9850,9.9813,9.9813,-9.9813
62.7239,9.9449,9.9535,9.9535,-9.9535
63.3504,9.9138,9.9253,9.9253,-9.9253
63.9832,9.8927,9.8967,9.8967,-9.8967
64.6223,9.8641,9.8676,9.8676,-9.8676
65.2678,9.8339,9.8383,9.8383,-9.8383
65.9198,9.8041,9.8086,9.8086,-9.8086
66.5782,9.7828,9.7789,9.7789,-9.7789
67.2433,9.7539,9.7489,9.7489,-9.7489
67.9149,9.7242,9.7189,9.7189,-9.7189
68.5933,9.6943,9.6888,9.6888,-9.6888
69.2785,9.6640,9.6585,9.6585,-9.6585
69.9705,9.6343,9.6279,9.6279,-9.6279
70.6694,9.6043,9.5969,9.5969,-9.5969
71.3753,9.5744,9.5655,9.5655,-9.5655
72.0883,9.5357,9.5336,9.5336,-9.5336
72.8083,9.5042,9.5013,9.5013,-9.5013
73.5356,9.4743,9.4686,9.4686,-9.4686
74.2701,9.4359,9.4354,9.4354,-9.4354
75.0120,9.4044,9.4020,9.4020,-9.4020
75.7613,9.3743,9.3682,9.3682,-9.3682
76.5180,9.3359,9.3339,9.3339,-9.3339
77.2824,9.3046,9.2994,9.2994,-9.2994
78.0543,9.2660,9.2644,9.2644,-9.2644
78.8340,9.2345,9.2291,9.2291,-9.2291
79.6214,9.1960,9.1934,9.1934,-9.1934
80.4168,9.1646,9.1574,9.1574,-9.1574
81.2200,9.1264,9.1209,9.1209,-9.1209
82.0313,9.0864,9.0840,9.0840,-9.0840
82.8507,9.0547,9.0467,9.0467,-9.0467
83.6783,9.0163,9.0091,9.0091,-9.0091
84.5141,8.9765,8.9710,8.9710,-8.9710
85.3583,8.9367,8.9325,8.9325,-8.9325
86.2109,8.8965,8.8937,8.8937,-8.8937
87.0721,8.8568,8.8546,8.8546,-8.8546
87.9418,8.8168,8.8151,8.8151,-8.8151
88.8203,8.7768,8.7753,8.7753,-8.7753
89.7075,8.7369,8.7352,8.7352,-8.7352
