frequency,raw,smoothed,error,equalization
20.0000,4.3200,4.8205,4.8205,-4.8205
20.1998,4.4998,4.8513,4.8513,-4.8513
20.4015,4.6913,4.8860,4.8860,-4.8860
20.6053,4.8660,4.9209,4.9209,-4.9209
20.8112,5.0509,4.9537,4.9537,-4.9537
21.0190,5.2192,4.9824,4.9824,-4.9824
21.2290,5.1802,5.0053,5.0053,-5.0053
21.4410,5.1398,5.0241,5.0241,-5.0241
21.6552,5.1009,5.0402,5.0402,-5.0402
21.8715,5.0599,5.0550,5.0550,-5.0550
22.0900,5.0500,5.0695,5.0695,-5.0695
22.3106,5.0801,5.0845,5.0845,-5.0845
22.5335,5.1092,5.0981,5.0981,-5.0981
22.7586,5.1398,5.1074,5.1074,-5.1074
22.9859,5.1695,5.1143,5.1143,-5.1143
23.2155,5.1406,5.1205,5.1205,-5.1205
23.4474,5.1202,5.1283,5.1283,-5.1283
23.6816,5.0910,5.1395,5.1395,-5.1395
23.9182,5.0602,5.1554,5.1554,-5.1554
24.1571,5.0600,5.1764,5.1764,-5.1764
24.3984,5.0898,5.2021,5.2021,-5.2021
24.6421,5.1094,5.2315,5.2315,-5.2315
24.8882,5.1299,5.2637,5.2637,-5.2637
25.1368,5.1991,5.2983,5.2983,-5.2983
25.3879,5.3091,5.3346,5.3346,-5.3346
25.6415,5.4164,5.3719,5.3719,-5.3719
25.8976,5.5248,5.4093,5.4093,-5.4093
26.1563,5.5793,5.4455,5.4455,-5.4455
26.4176,5.5991,5.4792,5.4792,-5.4792
26.6815,5.6290,5.5098,5.5098,-5.5098
26.9480,5.6491,5.5363,5.5363,-5.5363
27.2172,5.6214,5.5589,5.5589,-5.5589
27.4890,5.5720,5.5787,5.5787,-5.5787
27.7636,5.5309,5.5974,5.5974,-5.5974
28.0409,5.5106,5.6161,5.6161,-5.6161
28.3210,5.5778,5.6351,5.6351,-5.6351
28.6039,5.6461,5.6540,5.6540,-5.6540
28.8896,5.7270,5.6725,5.6725,-5.6725
29.1782,5.7204,5.6906,5.6906,-5.6906
29.4697,5.6814,5.7095,5.7095,-5.7095
29.7640,5.6421,5.7304,5.7304,-5.7304
30.0613,5.6400,5.7540,5.7540,-5.7540
30.3616,5.7339,5.7807,5.7807,-5.7807
30.6649,5.8350,5.8088,5.8088,-5.8088
30.9712,5.9433,5.8364,5.8364,-5.8364
31.2806,5.9313,5.8610,5.8610,-5.8610
31.5930,5.9016,5.8827,5.8827,-5.8827
31.9086,5.8813,5.9026,5.9026,-5.9026
32.2273,5.9088,5.9221,5.9221,-5.9221
32.5492,5.9662,5.9416,5.9416,-5.9416
32.8744,6.0271,5.9607,5.9607,-5.9607
33.2027,6.0490,5.9783,5.9783,-5.9783
33.5344,6.0500,5.9938,5.9938,-5.9938
33.8694,6.0500,6.0071,6.0071,-6.0071
34.2077,6.0220,6.0183,6.0183,-6.0183
34.5494,5.9636,6.0284,6.0284,-6.0284
34.8945,5.9136,6.0389,6.0389,-6.0389
35.2430,5.9654,6.0513,6.0513,-6.0513
35.5951,6.0536,6.0649,6.0649,-6.0649
35.9506,6.1356,6.0786,6.0786,-6.0786
36.3097,6.1494,6.0914,6.0914,-6.0914
36.6724,6.1500,6.1033,6.1033,-6.1033
37.0387,6.1500,6.1147,6.1147,-6.1147
37.4087,6.1500,6.1260,6.1260,-6.1260
37.7824,6.1500,6.1374,6.1374,-6.1374
38.1598,6.1408,6.1487,6.1487,-6.1487
38.5409,6.1215,6.1601,6.1601,-6.1601
38.9259,6.1013,6.1714,6.1714,-6.1714
39.3147,6.1468,6.1822,6.1822,-6.1822
39.7074,6.2051,6.1918,6.1918,-6.1918
40.1041,6.2464,6.2001,6.2001,-6.2001
40.5046,6.2500,6.2076,6.2076,-6.2076
40.9092,6.2500,6.2148,6.2148,-6.2148
41.3179,6.2500,6.2219,6.2219,-6.2219
41.7306,6.2500,6.2290,6.2290,-6.2290
42.1474,6.2500,6.2362,6.2362,-6.2362
42.5684,6.2500,6.2433,6.2433,-6.2433
42.9936,6.2500,6.2504,6.2504,-6.2504
43.4231,6.2134,6.2573,6.2573,-6.2573
43.8568,6.1829,6.2646,6.2646,-6.2646
44.2949,6.2076,6.2726,6.2726,-6.2726
44.7374,6.2643,6.2814,6.2814,-6.2814
45.1842,6.3059,6.2904,6.2904,-6.2904
45.6356,6.3280,6.2994,6.2994,-6.2994
46.0914,6.3483,6.3080,6.3080,-6.3080
46.5518,6.3500,6.3158,6.3158,-6.3158
47.0168,6.3500,6.3229,6.3229,-6.3229
47.4864,6.3500,6.3293,6.3293,-6.3293
47.9608,6.3500,6.3349,6.3349,-6.3349
48.4398,6.3500,6.3398,6.3398,-6.3398
48.9237,6.3500,6.3439,6.3439,-6.3439
49.4124,6.3500,6.3468,6.3468,-6.3468
49.9059,6.3500,6.3486,6.3486,-6.3486
50.4044,6.3500,6.3495,6.3495,-6.3495
50.9079,6.3500,6.3499,6.3499,-6.3499
51.4164,6.3500,6.3497,6.3497,-6.3497
51.9300,6.3500,6.3488,6.3488,-6.3488
52.4487,6.3500,6.3471,6.3471,-6.3471
52.9726,6.3500,6.3455,6.3455,-6.3455
53.5018,6.3500,6.3446,6.3446,-6.3446
54.0362,6.3500,6.3448,6.3448,-6.3448
54.5759,6.3500,6.3455,6.3455,-6.3455
55.1211,6.3500,6.3463,6.3463,-6.3463
55.6717,6.3500,6.3471,6.3471,-6.3471
56.2278,6.3500,6.3479,6.3479,-6.3479
56.7894,6.3500,6.3487,6.3487,-6.3487
57.3567,6.2968,6.3496,6.3496,-6.3496
57.9296,6.2197,6.3512,6.3512,-6.3512
58.5082,6.2889,6.3547,6.3547,-6.3547
59.0927,6.3796,6.3591,6.3591,-6.3591
59.6829,6.5033,6.3631,6.3631,-6.3631
60.2791,6.4936,6.3648,6.3648,-6.3648
60.8812,6.3768,6.3644,6.3644,-6.3644
61.4893,6.3513,6.3636,6.3636,-6.3636
62.1035,6.3500,6.3629,6.3629,-6.3629
62.7239,6.3500,6.3622,6.3622,-6.3622
63.3504,6.3500,6.3619,6.3619,-6.3619
63.9832,6.3500,6.3618,6.3618,-6.3618
64.6223,6.3500,6.3612,6.3612,-6.3612
65.2678,6.3500,6.3592,6.3592,-6.3592
65.9198,6.3500,6.3558,6.3558,-6.3558
66.5782,6.3500,6.3515,6.3515,-6.3515
67.2433,6.3500,6.3469,6.3469,-6.3469
67.9149,6.3500,6.3427,6.3427,-6.3427
68.5933,6.3500,6.3386,6.3386,-6.3386
69.2785,6.3587,6.3336,6.3336,-6.3336
69.9705,6.3686,6.3272,6.3272,-6.3272
70.6694,6.4128,6.3187,6.3187,-6.3187
71.3753,6.3603,6.3077,6.3077,-6.3077
72.0883,6.2643,6.2953,6.2953,-6.2953
72.8083,6.2500,6.2826,6.2826,-6.2826
73.5356,6.2500,6.2694,6.2694,-6.2694
74.2701,6.2500,6.2554,6.2554,-6.2554
75.0120,6.2500,6.2407,6.2407,-6.2407
75.7613,6.2500,6.2252,6.2252,-6.2252
76.5180,6.2500,6.2091,6.2091,-6.2091
77.2824,6.2161,6.1921,6.1921,-6.1921
78.0543,6.1420,6.1750,6.1750,-6.1750
78.8340,6.0789,6.1589,6.1589,-6.1589
79.6214,6.1805,6.1452,6.1452,-6.1452
80.4168,6.1746,6.1322,6.1322,-6.1322
81.2200,6.1112,6.1191,6.1191,-6.1191
82.0313,6.0579,6.1059,6.1059,-6.1059
