frequency,raw,smoothed,error,equalization
20.0000,4.9200,5.0720,5.0720,-5.0720
20.1998,4.9600,5.0888,5.0888,-5.0888
20.4015,5.0103,5.1079,5.1079,-5.1079
20.6053,5.0491,5.1286,5.1286,-5.1286
20.8112,5.1002,5.1506,5.1506,-5.1506
21.0190,5.1398,5.1737,5.1737,-5.1737
21.2290,5.1798,5.1981,5.1981,-5.1981
21.4410,5.2201,5.2237,5.2237,-5.2237
21.6552,5.2493,5.2508,5.2508,-5.2508
21.8715,5.2902,5.2797,5.2797,-5.2797
22.0900,5.3200,5.3106,5.3106,-5.3106
22.3106,5.3501,5.3439,5.3439,-5.3439
22.5335,5.3694,5.3788,5.3788,-5.3788
22.7586,5.3998,5.4136,5.4136,-5.4136
22.9859,5.4295,5.4482,5.4482,-5.4482
23.2155,5.4692,5.4827,5.4827,-5.4827
23.4474,5.5095,5.5170,5.5170,-5.5170
23.6816,5.5486,5.5510,5.5510,-5.5510
23.9182,5.5897,5.5846,5.5846,-5.5846
24.1571,5.6394,5.6176,5.6176,-5.6176
24.3984,5.6698,5.6497,5.6497,-5.6497
24.6421,5.7087,5.6811,5.6811,-5.6811
24.8882,5.7398,5.7116,5.7116,-5.7116
25.1368,5.7597,5.7414,5.7414,-5.7414
25.3879,5.7898,5.7707,5.7707,-5.7707
25.6415,5.8093,5.7994,5.7994,-5.7994
25.8976,5.8290,5.8279,5.8279,-5.8279
26.1563,5.8497,5.8564,5.8564,-5.8564
26.4176,5.8691,5.8850,5.8850,-5.8850
26.6815,5.8893,5.9139,5.9139,-5.9139
26.9480,5.9187,5.9432,5.9432,-5.9432
27.2172,5.9486,5.9728,5.9728,-5.9728
27.4890,5.9788,6.0027,6.0027,-6.0027
27.7636,6.0191,6.0327,6.0327,-6.0327
28.0409,6.0587,6.0626,6.0626,-6.0626
28.3210,6.1084,6.0921,6.0921,-6.0921
28.6039,6.1478,6.1207,6.1207,-6.1207
28.8896,6.1885,6.1482,6.1482,-6.1482
29.1782,6.2188,6.1744,6.1744,-6.1744
29.4697,6.2489,6.1991,6.1991,-6.1991
29.7640,6.2595,6.2222,6.2222,-6.2222
30.0613,6.2694,6.2438,6.2438,-6.2438
30.3616,6.2794,6.2641,6.2641,-6.2641
30.6649,6.2800,6.2832,6.2832,-6.2832
30.9712,6.2894,6.3016,6.3016,-6.3016
31.2806,6.3087,6.3194,6.3194,-6.3194
31.5930,6.3195,6.3368,6.3368,-6.3368
31.9086,6.3387,6.3541,6.3541,-6.3541
32.2273,6.3592,6.3715,6.3715,-6.3715
32.5492,6.3881,6.3891,6.3891,-6.3891
32.8744,6.4090,6.4067,6.4067,-6.4067
33.2027,6.4290,6.4246,6.4246,-6.4246
33.5344,6.4491,6.4425,6.4425,-6.4425
33.8694,6.4688,6.4603,6.4603,-6.4603
34.2077,6.4793,6.4779,6.4779,-6.4779
34.5494,6.4988,6.4953,6.4953,-6.4953
34.8945,6.5185,6.5120,6.5120,-6.5120
35.2430,6.5385,6.5281,6.5281,-6.5281
35.5951,6.5493,6.5432,6.5432,-6.5432
35.9506,6.5689,6.5575,6.5575,-6.5575
36.3097,6.5889,6.5709,6.5709,-6.5709
36.6724,6.5993,6.5834,6.5834,-6.5834
37.0387,6.6094,6.5952,6.5952,-6.5952
37.4087,6.6194,6.6065,6.6065,-6.6065
37.7824,6.6293,6.6173,6.6173,-6.6173
38.1598,6.6392,6.6278,6.6278,-6.6278
38.5409,6.6400,6.6378,6.6378,-6.6378
38.9259,6.6400,6.6473,6.6473,-6.6473
39.3147,6.6400,6.6564,6.6564,-6.6564
39.7074,6.6492,6.6652,6.6652,-6.6652
40.1041,6.6591,6.6737,6.6737,-6.6737
40.5046,6.6691,6.6819,6.6819,-6.6819
40.9092,6.6977,6.6901,6.6901,-6.6901
41.3179,6.7184,6.6981,6.6981,-6.6981
41.7306,6.7386,6.7056,6.7056,-6.7056
42.1474,6.7492,6.7127,6.7127,-6.7127
42.5684,6.7500,6.7192,6.7192,-6.7192
42.9936,6.7408,6.7252,6.7252,-6.7252
43.4231,6.7217,6.7307,6.7307,-6.7307
43.8568,6.7110,6.7359,6.7359,-6.7359
44.2949,6.7100,6.7411,6.7411,-6.7411
44.7374,6.7191,6.7463,6.7463,-6.7463
45.1842,6.7380,6.7515,6.7515,-6.7515
45.6356,6.7580,6.7565,6.7565,-6.7565
46.0914,6.7783,6.7612,6.7612,-6.7612
46.5518,6.7890,6.7655,6.7655,-6.7655
47.0168,6.7991,6.7692,6.7692,-6.7692
47.4864,6.8000,6.7723,6.7723,-6.7723
47.9608,6.7910,6.7750,6.7750,-6.7750
48.4398,6.7721,6.7771,6.7771,-6.7771
48.9237,6.7700,6.7790,6.7790,-6.7790
49.4124,6.7700,6.7804,6.7804,-6.7804
49.9059,6.7789,6.7812,6.7812,-6.7812
50.4044,6.7889,6.7813,6.7813,-6.7813
50.9079,6.7990,6.7805,6.7805,-6.7805
51.4164,6.7911,6.7789,6.7789,-6.7789
51.9300,6.7812,6.7768,6.7768,-6.7768
52.4487,6.7800,6.7744,6.7744,-6.7744
52.9726,6.7800,6.7717,6.7717,-6.7717
53.5018,6.7800,6.7686,6.7686,-6.7686
54.0362,6.7712,6.7651,6.7651,-6.7651
54.5759,6.7612,6.7614,6.7614,-6.7614
55.1211,6.7600,6.7574,6.7574,-6.7574
55.6717,6.7512,6.7530,6.7530,-6.7530
56.2278,6.7411,6.7483,6.7483,-6.7483
56.7894,6.7312,6.7435,6.7435,-6.7435
57.3567,6.7389,6.7388,6.7388,-6.7388
57.9296,6.7576,6.7340,6.7340,-6.7340
58.5082,6.7337,6.7287,6.7287,-6.7287
59.0927,6.7123,6.7232,6.7232,-6.7232
59.6829,6.7100,6.7176,6.7176,-6.7176
60.2791,6.7188,6.7120,6.7120,-6.7120
60.8812,6.7287,6.7062,6.7062,-6.7062
61.4893,6.7040,6.6997,6.6997,-6.6997
62.1035,6.6825,6.6930,6.6930,-6.6930
62.7239,6.6888,6.6861,6.6861,-6.6861
63.3504,6.6900,6.6789,6.6789,-6.6789
63.9832,6.6814,6.6712,6.6712,-6.6712
64.6223,6.6627,6.6630,6.6630,-6.6630
65.2678,6.6600,6.6546,6.6546,-6.6546
65.9198,6.6514,6.6459,6.6459,-6.6459
66.5782,6.6414,6.6367,6.6367,-6.6367
67.2433,6.6226,6.6269,6.6269,-6.6269
67.9149,6.6200,6.6168,6.6168,-6.6168
68.5933,6.6114,6.6063,6.6063,-6.6063
69.2785,6.6013,6.5954,6.5954,-6.5954
69.9705,6.5914,6.5840,6.5840,-6.5840
70.6694,6.5814,6.5721,6.5721,-6.5721
71.3753,6.5715,6.5595,6.5595,-6.5595
72.0883,6.5529,6.5464,6.5464,-6.5464
72.8083,6.5414,6.5328,6.5328,-6.5328
73.5356,6.5229,6.5187,6.5187,-6.5187
74.2701,6.5115,6.5041,6.5041,-6.5041
75.0120,6.4929,6.4890,6.4890,-6.4890
75.7613,6.4729,6.4734,6.4734,-6.4734
76.5180,6.4615,6.4574,6.4574,-6.4574
77.2824,6.4431,6.4409,6.4409,-6.4409
78.0543,6.4315,6.4240,6.4240,-6.4240
78.8340,6.4130,6.4065,6.4065,-6.4065
79.6214,6.3930,6.3886,6.3886,-6.3886
80.4168,6.3731,6.3702,6.3702,-6.3702
81.2200,6.3532,6.3513,6.3513,-6.3513
82.0313,6.3416,6.3320,6.3320,-6.3320
82.8507,6.3232,6.3122,6.3122,-6.3122
83.6783,6.3032,6.2918,6.2918,-6.2918
84.5141,6.2749,6.2708,6.2708,-6.2708
85.3583,6.2533,6.2493,6.2493,-6.2493
86.2109,6.2333,6.2271,6.2271,-6.2271
87.0721,6.2134,6.2044,6.2044,-6.2044
87.9418,6.1851,6.1809,6.1809,-6.1809
88.8203,6.1634,6.1569,6.1569,-6.1569
89.7075,6.1351,6.1321,6.1321,-6.1321
90.6035,6.1135,6.1066,6.1066,-6.1066
91.5085,6.0934,6.0804,6.0804,-6.0804
92.4226,6.0651,6.0532,6.0532,-6.0532
93.3458,6.0353,6.0251,6.0251,-6.0251
94.2782,6.0135,5.9959,5.9959,-5.9959
95.2199,5.9772,5.9656,5.9656,-5.9656
96.1711,5.9453,5.9340,5.9340,-5.9340
97.1317,5.9153,5.9014,5.9014,-5.9014
98.1019,5.8855,5.8678,5.8678,-5.8678
99.0818,5.8473,5.8333,5.8333,-5.8333
100.0715,5.8154,5.7983,5.7983,-5.7983
101.0711,5.7772,5.7631,5.7631,-5.7631
102.0807,5.7374,5.7279,5.7279,-5.7279
103.1004,5.6974,5.6933,5.6933,-5.6933
104.1302,5.6492,5.6598,5.6598,-5.6598
105.1703,5.5995,5.6281,5.6281,-5.6281
106.2209,5.5495,5.5987,5.5987,-5.5987
107.2819,5.5156,5.5725,5.5725,-5.5725
108.3535,5.4857,5.5498,5.5498,-5.5498
109.4358,5.4638,5.5307,5.5307,-5.5307
110.5289,5.4519,5.5150,5.5150,-5.5150
111.6330,5.4420,5.5023,5.5023,-5.5023
112.7481,5.4400,5.4923,5.4923,-5.4923
113.8743,5.4400,5.4845,5.4845,-5.4845
115.0118,5.4480,5.4785,5.4785,-5.4785
116.1606,5.4660,5.4735,5.4735,-5.4735
117.3209,5.4860,5.4686,5.4686,-5.4686
118.4928,5.5060,5.4631,5.4631,-5.4631
119.6764,5.5418,5.4558,5.4558,-5.4558
120.8718,5.5500,5.4457,5.4457,-5.4457
122.0792,5.4945,5.4321,5.4321,-5.4321
123.2986,5.4641,5.4154,5.4154,-5.4154
124.5302,5.4363,5.3957,5.3957,-5.3957
125.7741,5.4062,5.3732,5.3732,-5.3732
127.0304,5.3682,5.3482,5.3482,-5.3482
128.2993,5.3363,5.3210,5.3210,-5.3210
129.5808,5.2984,5.2921,5.2921,-5.2921
130.8752,5.2663,5.2618,5.2618,-5.2618
132.1825,5.2285,5.2305,5.2305,-5.2305
133.5028,5.1808,5.1987,5.1987,-5.1987
134.8363,5.1464,5.1670,5.1670,-5.1670
136.1832,5.1165,5.1357,5.1357,-5.1357
137.5435,5.0787,5.1051,5.1051,-5.1051
138.9174,5.0544,5.0749,5.0749,-5.0749
140.3050,5.0344,5.0451,5.0451,-5.0451
141.7065,5.0222,5.0155,5.0155,-5.0155
143.1220,5.0045,4.9856,4.9856,-4.9856
144.5516,4.9767,4.9553,4.9553,-4.9553
145.9955,4.9467,4.9243,4.9243,-4.9243
147.4538,4.9167,4.8927,4.8927,-4.8927
