frequency,raw,smoothed,error,equalization
20.0000,10.4700,10.5220,10.5220,-10.5220
20.1998,10.4900,10.5267,10.5267,-10.5267
20.4015,10.5001,10.5320,10.5320,-10.5320
20.6053,10.5196,10.5379,10.5379,-10.5379
20.8112,10.5401,10.5440,10.5440,-10.5440
21.0190,10.5500,10.5502,10.5502,-10.5502
21.2290,10.5600,10.5565,10.5565,-10.5565
21.4410,10.5600,10.5630,10.5630,-10.5630
21.6552,10.5698,10.5696,10.5696,-10.5696
21.8715,10.5800,10.5765,10.5765,-10.5765
22.0900,10.5800,10.5835,10.5835,-10.5835
22.3106,10.5900,10.5908,10.5908,-10.5908
22.5335,10.5997,10.5981,10.5981,-10.5981
22.7586,10.6099,10.6046,10.6046,-10.6046
22.9859,10.6198,10.6105,10.6105,-10.6105
23.2155,10.6298,10.6158,10.6158,-10.6158
23.4474,10.6399,10.6205,10.6205,-10.6205
23.6816,10.6400,10.6247,10.6247,-10.6247
23.9182,10.6400,10.6284,10.6284,-10.6284
24.1571,10.6400,10.6316,10.6316,-10.6316
24.3984,10.6400,10.6344,10.6344,-10.6344
24.6421,10.6303,10.6368,10.6368,-10.6368
24.8882,10.6300,10.6390,10.6390,-10.6390
25.1368,10.6300,10.6411,10.6411,-10.6411
25.3879,10.6300,10.6433,10.6433,-10.6433
25.6415,10.6397,10.6460,10.6460,-10.6460
25.8976,10.6495,10.6493,10.6493,-10.6493
26.1563,10.6599,10.6534,10.6534,-10.6534
26.4176,10.6695,10.6584,10.6584,-10.6584
26.6815,10.6603,10.6643,10.6643,-10.6643
26.9480,10.6600,10.6713,10.6713,-10.6713
27.2172,10.6505,10.6793,10.6793,-10.6793
27.4890,10.6500,10.6886,10.6886,-10.6886
27.7636,10.6500,10.6992,10.6992,-10.6992
28.0409,10.6694,10.7111,10.7111,-10.7111
28.3210,10.6990,10.7239,10.7239,-10.7239
28.6039,10.7283,10.7373,10.7373,-10.7373
28.8896,10.7685,10.7509,10.7509,-10.7509
29.1782,10.7892,10.7642,10.7642,-10.7642
29.4697,10.8189,10.7769,10.7769,-10.7769
29.7640,10.8200,10.7887,10.7887,-10.7887
30.0613,10.8294,10.7996,10.7996,-10.7996
30.3616,10.8300,10.8093,10.8093,-10.8093
30.6649,10.8300,10.8180,10.8180,-10.8180
30.9712,10.8394,10.8255,10.8255,-10.8255
31.2806,10.8400,10.8316,10.8316,-10.8316
31.5930,10.8400,10.8363,10.8363,-10.8363
31.9086,10.8493,10.8399,10.8399,-10.8399
32.2273,10.8500,10.8424,10.8424,-10.8424
32.5492,10.8500,10.8440,10.8440,-10.8440
32.8744,10.8500,10.8449,10.8449,-10.8449
33.2027,10.8500,10.8454,10.8454,-10.8454
33.5344,10.8500,10.8454,10.8454,-10.8454
33.8694,10.8500,10.8450,10.8450,-10.8450
34.2077,10.8500,10.8442,10.8442,-10.8442
34.5494,10.8500,10.8430,10.8430,-10.8430
34.8945,10.8407,10.8413,10.8413,-10.8413
35.2430,10.8400,10.8393,10.8393,-10.8393
35.5951,10.8400,10.8369,10.8369,-10.8369
35.9506,10.8400,10.8342,10.8342,-10.8342
36.3097,10.8400,10.8312,10.8312,-10.8312
36.6724,10.8307,10.8278,10.8278,-10.8278
37.0387,10.8300,10.8241,10.8241,-10.8241
37.4087,10.8206,10.8201,10.8201,-10.8201
37.7824,10.8200,10.8159,10.8159,-10.8159
38.1598,10.8108,10.8114,10.8114,-10.8114
38.5409,10.8100,10.8067,10.8067,-10.8067
38.9259,10.8006,10.8018,10.8018,-10.8018
39.3147,10.8000,10.7967,10.7967,-10.7967
39.7074,10.7908,10.7914,10.7914,-10.7914
40.1041,10.7900,10.7858,10.7858,-10.7858
40.5046,10.7809,10.7800,10.7800,-10.7800
40.9092,10.7800,10.7740,10.7740,-10.7740
41.3179,10.7708,10.7678,10.7678,-10.7678
41.7306,10.7607,10.7612,10.7612,-10.7612
42.1474,10.7600,10.7545,10.7545,-10.7545
42.5684,10.7508,10.7474,10.7474,-10.7474
42.9936,10.7408,10.7400,10.7400,-10.7400
43.4231,10.7400,10.7323,10.7323,-10.7323
43.8568,10.7310,10.7242,10.7242,-10.7242
44.2949,10.7208,10.7157,10.7157,-10.7157
44.7374,10.7109,10.7069,10.7069,-10.7069
45.1842,10.7010,10.6977,10.6977,-10.6977
45.6356,10.6910,10.6882,10.6882,-10.6882
46.0914,10.6809,10.6784,10.6784,-10.6784
46.5518,10.6710,10.6684,10.6684,-10.6684
47.0168,10.6609,10.6581,10.6581,-10.6581
47.4864,10.6509,10.6474,10.6474,-10.6474
47.9608,10.6410,10.6365,10.6365,-10.6365
48.4398,10.6310,10.6252,10.6252,-10.6252
48.9237,10.6119,10.6137,10.6137,-10.6137
49.4124,10.6010,10.6020,10.6020,-10.6020
49.9059,10.5911,10.5901,10.5901,-10.5901
50.4044,10.5811,10.5780,10.5780,-10.5780
50.9079,10.5710,10.5656,10.5656,-10.5656
51.4164,10.5611,10.5529,10.5529,-10.5529
51.9300,10.5423,10.5398,10.5398,-10.5398
52.4487,10.5312,10.5265,10.5265,-10.5265
52.9726,10.5122,10.5129,10.5129,-10.5129
53.5018,10.5011,10.4992,10.4992,-10.4992
54.0362,10.4912,10.4851,10.4851,-10.4851
54.5759,10.4724,10.4708,10.4708,-10.4708
55.1211,10.4611,10.4561,10.4561,-10.4561
55.6717,10.4424,10.4412,10.4412,-10.4412
56.2278,10.4311,10.4259,10.4259,-10.4259
56.7894,10.4125,10.4104,10.4104,-10.4104
57.3567,10.3923,10.3945,10.3945,-10.3945
57.9296,10.3812,10.3785,10.3785,-10.3785
58.5082,10.3712,10.3621,10.3621,-10.3621
59.0927,10.3523,10.3454,10.3454,-10.3454
59.6829,10.3326,10.3283,10.3283,-10.3283
60.2791,10.3124,10.3107,10.3107,-10.3107
60.8812,10.2926,10.2928,10.2928,-10.2928
61.4893,10.2813,10.2746,10.2746,-10.2746
62.1035,10.2625,10.2560,10.2560,-10.2560
62.7239,10.2425,10.2369,10.2369,-10.2369
63.3504,10.2225,10.2174,10.2174,-10.2174
63.9832,10.2027,10.1974,10.1974,-10.1974
64.6223,10.1827,10.1771,10.1771,-10.1771
65.2678,10.1626,10.1563,10.1563,-10.1563
65.9198,10.1427,10.1350,10.1350,-10.1350
66.5782,10.1142,10.1134,10.1134,-10.1134
67.2433,10.0926,10.0914,10.0914,-10.0914
67.9149,10.0728,10.0691,10.0691,-10.0691
68.5933,10.0528,10.0464,10.0464,-10.0464
69.2785,10.0240,10.0232,10.0232,-10.0232
69.9705,10.0028,9.9998,9.9998,-9.9998
70.6694,9.9829,9.9761,9.9761,-9.9761
71.3753,9.9544,9.9519,9.9519,-9.9519
72.0883,9.9329,9.9274,9.9274,-9.9274
72.8083,9.9042,9.9026,9.9026,-9.9026
73.5356,9.8829,9.8774,9.8774,-9.8774
74.2701,9.8545,9.8520,9.8520,-9.8520
75.0120,9.8329,9.8262,9.8262,-9.8262
75.7613,9.8043,9.8000,9.8000,-9.8000
76.5180,9.7744,9.7733,9.7733,-9.7733
77.2824,9.7531,9.7463,9.7463,-9.7463
78.0543,9.7245,9.7189,9.7189,-9.7189
78.8340,9.6945,9.6911,9.6911,-9.6911
79.6214,9.6645,9.6628,9.6628,-9.6628
80.4168,9.6346,9.6341,9.6341,-9.6341
81.2200,9.6132,9.6051,9.6051,-9.6051
82.0313,9.5848,9.5756,9.5756,-9.5756
82.8507,9.5547,9.5455,9.5455,-9.5455
83.6783,9.5248,9.5149,9.5149,-9.5149
84.5141,9.4865,9.4837,9.4837,-9.4837
85.3583,9.4550,9.4521,9.4521,-9.4521
86.2109,9.4249,9.4200,9.4200,-9.4200
87.0721,9.3951,9.3873,9.3873,-9.3873
87.9418,9.3568,9.3542,9.3542,-9.3542
88.8203,9.3251,9.3205,9.3205,-9.3205
89.7075,9.2951,9.2862,9.2862,-9.2862
90.6035,9.2570,9.2514,9.2514,-9.2514
91.5085,9.2250,9.2159,9.2159,-9.2159
92.4226,9.1868,9.1798,9.1798,-9.1798
93.3458,9.1471,9.1431,9.1431,-9.1431
94.2782,9.1152,9.1058,9.1058,-9.1058
95.2199,9.0772,9.0678,9.0678,-9.0678
96.1711,9.0371,9.0290,9.0290,-9.0290
97.1317,8.9970,8.9895,8.9895,-8.9895
98.1019,8.9573,8.9491,8.9491,-8.9491
99.0818,8.9173,8.9078,8.9078,-8.9078
100.0715,8.8772,8.8655,8.8655,-8.8655
101.0711,8.8372,8.8221,8.8221,-8.8221
102.0807,8.7893,8.7776,8.7776,-8.7776
103.1004,8.7474,8.7318,8.7318,-8.7318
104.1302,8.6992,8.6846,8.6846,-8.6846
105.1703,8.6495,8.6359,8.6359,-8.6359
106.2209,8.6076,8.5855,8.5855,-8.5855
107.2819,8.5593,8.5333,8.5333,-8.5333
108.3535,8.5015,8.4792,8.4792,-8.4792
109.4358,8.4495,8.4230,8.4230,-8.4230
110.5289,8.3915,8.3651,8.3651,-8.3651
111.6330,8.3317,8.3057,8.3057,-8.3057
112.7481,8.2719,8.2454,8.2454,-8.2454
113.8743,8.2120,8.1851,8.1851,-8.1851
115.0118,8.1360,8.1258,8.1258,-8.1258
116.1606,8.0640,8.0685,8.0685,-8.0685
117.3209,7.9938,8.0144,8.0144,-8.0144
118.4928,7.9161,7.9644,7.9644,-7.9644
119.6764,7.8364,7.9193,7.9193,-7.9193
120.8718,7.7565,7.8800,7.8800,-7.8800
122.0792,7.6924,7.8470,7.8470,-7.8470
123.2986,7.6562,7.8207,7.8207,-7.8207
124.5302,7.6342,7.8010,7.8010,-7.8010
125.7741,7.6538,7.7874,7.7874,-7.7874
127.0304,7.6997,7.7790,7.7790,-7.7790
128.2993,7.7494,7.7741,7.7741,-7.7741
129.5808,7.7995,7.7714,7.7714,-7.7714
130.8752,7.8415,7.7692,7.7692,-7.7692
132.1825,7.8658,7.7658,7.7658,-7.7658
133.5028,7.8700,7.7602,7.7602,-7.7602
134.8363,7.8543,7.7511,7.7511,-7.7511
136.1832,7.8265,7.7380,7.7380,-7.7380
137.5435,7.7965,7.7202,7.7202,-7.7202
138.9174,7.7588,7.6974,7.6974,-7.6974
140.3050,7.7188,7.6695,7.6695,-7.6695
141.7065,7.6711,7.6368,7.6368,-7.6368
143.1220,7.6290,7.5996,7.5996,-7.5996
144.5516,7.5811,7.5587,7.5587,-7.5587
145.9955,7.5312,7.5145,7.5145,-7.5145
147.4538,7.4812,7.4679,7.4679,-7.4679
148.9267,7.4313,7.4194,7.4194,-7.4194
150.4143,7.3813,7.3695,7.3695,-7.3695
151.9167,7.3236,7.3184,7.3184,-7.3184
153.4342,7.2714,7.2665,7.2665,-7.2665
154.9668,7.2215,7.2138,7.2138,-7.2138
156.5147,7.1640,7.1606,7.1606,-7.1606
158.0781,7.1116,7.1068,7.1068,-7.1068
159.6571,7.0541,7.0526,7.0526,-7.0526
161.2519,7.0018,6.9981,6.9981,-6.9981
162.8626,6.9441,6.9432,6.9432,-6.9432
164.4894,6.8919,6.8881,6.8881,-6.8881
166.1324,6.8345,6.8326,6.8326,-6.8326
167.7919,6.7820,6.7769,6.7769,-6.7769
169.4679,6.7244,6.7209,6.7209,-6.7209
171.1607,6.6644,6.6647,6.6647,-6.6647
172.8704,6.6122,6.6083,6.6083,-6.6083
174.5972,6.5547,6.5516,6.5516,-6.5516
176.3412,6.4947,6.4947,6.4947,-6.4947
178.1026,6.4424,6.4376,6.4376,-6.4376
179.8816,6.3848,6.3802,6.3802,-6.3802
181.6784,6.3250,6.3226,6.3226,-6.3226
183.4932,6.2651,6.2647,6.2647,-6.2647
185.3261,6.2051,6.2067,6.2067,-6.2067
187.1772,6.1527,6.1484,6.1484,-6.1484
189.0469,6.0952,6.0900,6.0900,-6.0900
190.9352,6.0353,6.0313,6.0313,-6.0313
192.8425,5.9753,5.9723,5.9723,-5.9723
194.7687,5.9155,5.9132,5.9132,-5.9132
196.7142,5.8556,5.8539,5.8539,-5.8539
198.6792,5.7956,5.7945,5.7945,-5.7945
200.6637,5.7356,5.7349,5.7349,-5.7349
202.6681,5.6756,5.6753,5.6753,-5.6753
204.6925,5.6158,5.6155,5.6155,-5.6155
206.7371,5.5559,5.5557,5.5557,-5.5557
208.8022,5.4959,5.4959,5.4959,-5.4959
210.8879,5.4359,5.4359,5.4359,-5.4359
212.9944,5.3760,5.3759,5.3759,-5.3759
215.1219,5.3160,5.3158,5.3158,-5.3158
217.2707,5.2561,5.2556,5.2556,-5.2556
219.4410,5.1962,5.1953,5.1953,-5.1953
221.6329,5.1363,5.1350,5.1350,-5.1350
223.8468,5.0763,5.0746,5.0746,-5.0746
226.0827,5.0165,5.0141,5.0141,-5.0141
228.3410,4.9564,4.9534,4.9534,-4.9534
230.6219,4.8965,4.8926,4.8926,-4.8926
232.9255,4.8367,4.8317,4.8317,-4.8317
235.2521,4.7695,4.7706,4.7706,-4.7706
237.6020,4.7067,4.7093,4.7093,-4.7093
239.9754,4.6468,4.6480,4.6480,-4.6480
242.3724,4.5869,4.5866,4.5866,-4.5866
244.7934,4.5270,4.5252,4.5252,-4.5252
247.2386,4.4669,4.4637,4.4637,-4.4637
249.7082,4.4070,4.4021,4.4021,-4.4021
252.2025,4.3400,4.3404,4.3404,-4.3404
254.7217,4.2773,4.2787,4.2787,-4.2787
257.2661,4.2173,4.2171,4.2171,-4.2171
259.8358,4.1573,4.1554,4.1554,-4.1554
262.4313,4.0903,4.0937,4.0937,-4.0937
265.0527,4.0275,4.0321,4.0321,-4.0321
267.7002,3.9676,3.9705,3.9705,-3.9705
270.3742,3.9076,3.9089,3.9089,-3.9089
273.0749,3.8476,3.8473,3.8473,-3.8473
275.8026,3.7877,3.7857,3.7857,-3.7857
278.5575,3.7278,3.7240,3.7240,-3.7240
281.3400,3.6679,3.6622,3.6622,-3.6622
284.1502,3.6008,3.6004,3.6004,-3.6004
286.9885,3.5379,3.5385,3.5385,-3.5385
289.8552,3.4780,3.4765,3.4765,-3.4765
292.7505,3.4181,3.4144,3.4144,-3.4144
295.6747,3.3513,3.3523,3.3523,-3.3523
298.6281,3.2883,3.2901,3.2901,-3.2901
301.6111,3.2284,3.2279,3.2279,-3.2279
304.6238,3.1684,3.1656,3.1656,-3.1656
307.6666,3.1016,3.1032,3.1032,-3.1032
310.7398,3.0385,3.0409,3.0409,-3.0409
313.8437,2.9786,2.9787,2.9787,-2.9787
316.9786,2.9187,2.9165,2.9165,-2.9165
320.1449,2.8519,2.8544,2.8544,-2.8544
323.3427,2.7888,2.7924,2.7924,-2.7924
326.5725,2.7288,2.7305,2.7305,-2.7305
329.8346,2.6689,2.6687,2.6687,-2.6687
333.1292,2.6090,2.6070,2.6070,-2.6070
336.4568,2.5423,2.5453,2.5453,-2.5453
339.8176,2.4792,2.4838,2.4838,-2.4838
343.2119,2.4192,2.4224,2.4224,-2.4224
346.6402,2.3593,2.3611,2.3611,-2.3611
350.1027,2.2994,2.2999,2.2999,-2.2999
353.5998,2.2395,2.2387,2.2387,-2.2387
357.1318,2.1795,2.1777,2.1777,-2.1777
360.6991,2.1196,2.1167,2.1167,-2.1167
364.3021,2.0530,2.0557,2.0557,-2.0557
367.9410,1.9964,1.9949,1.9949,-1.9949
371.6163,1.9330,1.9343,1.9343,-1.9343
375.3283,1.8698,1.8738,1.8738,-1.8738
379.0774,1.8099,1.8135,1.8135,-1.8135
382.8639,1.7500,1.7534,1.7534,-1.7534
386.6882,1.6900,1.6935,1.6935,-1.6935
390.5508,1.6301,1.6338,1.6338,-1.6338
394.4519,1.5702,1.5744,1.5744,-1.5744
398.3920,1.5103,1.5153,1.5153,-1.5153
402.3714,1.4503,1.4565,1.4565,-1.4565
406.3906,1.3969,1.3979,1.3979,-1.3979
410.4500,1.3404,1.3397,1.3397,-1.3397
414.5498,1.2805,1.2816,1.2816,-1.2816
418.6907,1.2206,1.2238,1.2238,-1.2238
422.8729,1.1607,1.1663,1.1663,-1.1663
427.0969,1.1073,1.1091,1.1091,-1.1091
431.3631,1.0508,1.0520,1.0520,-1.0520
435.6718,0.9909,0.9953,0.9953,-0.9953
440.0237,0.9375,0.9388,0.9388,-0.9388
444.4190,0.8810,0.8826,0.8826,-0.8826
