frequency,raw,smoothed,error,equalization
20.0000,9.3700,9.3822,9.3822,-9.3822
20.1998,9.3700,9.3800,9.3800,-9.3800
20.4015,9.3800,9.3766,9.3766,-9.3766
20.6053,9.3800,9.3715,9.3715,-9.3715
20.8112,9.4000,9.3647,9.3647,-9.3647
21.0190,9.4000,9.3557,9.3557,-9.3557
21.2290,9.4100,9.3445,9.3445,-9.3445
21.4410,9.4000,9.3307,9.3307,-9.3307
21.6552,9.3902,9.3145,9.3145,-9.3145
21.8715,9.3598,9.2957,9.2957,-9.2957
22.0900,9.3300,9.2745,9.2745,-9.2745
22.3106,9.2799,9.2508,9.2508,-9.2508
22.5335,9.2314,9.2252,9.2252,-9.2252
22.7586,9.1803,9.1988,9.1988,-9.1988
22.9859,9.1407,9.1722,9.1722,-9.1722
23.2155,9.1008,9.1460,9.1460,-9.1460
23.4474,9.0703,9.1208,9.1208,-9.1208
23.6816,9.0507,9.0971,9.0971,-9.0971
23.9182,9.0401,9.0751,9.0751,-9.0751
24.1571,9.0301,9.0550,9.0550,-9.0550
24.3984,9.0201,9.0366,9.0366,-9.0366
24.6421,9.0103,9.0197,9.0197,-9.0197
24.8882,9.0001,9.0041,9.0041,-9.0041
25.1368,8.9901,8.9894,8.9894,-8.9894
25.3879,8.9702,8.9753,8.9753,-8.9753
25.6415,8.9603,8.9614,8.9614,-8.9614
25.8976,8.9505,8.9475,8.9475,-8.9475
26.1563,8.9500,8.9334,8.9334,-8.9334
26.4176,8.9405,8.9188,8.9188,-8.9188
26.6815,8.9303,8.9035,8.9035,-8.9035
26.9480,8.9109,8.8877,8.8877,-8.8877
27.2172,8.8910,8.8713,8.8713,-8.8713
27.4890,8.8612,8.8547,8.8547,-8.8547
27.7636,8.8307,8.8379,8.8379,-8.8379
28.0409,8.8010,8.8211,8.8211,-8.8211
28.3210,8.7806,8.8045,8.8045,-8.8045
28.6039,8.7611,8.7881,8.7881,-8.7881
28.8896,8.7504,8.7716,8.7716,-8.7716
29.1782,8.7404,8.7550,8.7550,-8.7550
29.4697,8.7400,8.7381,8.7381,-8.7381
29.7640,8.7305,8.7206,8.7206,-8.7206
30.0613,8.7300,8.7026,8.7026,-8.7026
30.3616,8.7206,8.6837,8.6837,-8.6837
30.6649,8.7010,8.6637,8.6637,-8.6637
30.9712,8.6812,8.6428,8.6428,-8.6428
31.2806,8.6519,8.6209,8.6209,-8.6209
31.5930,8.6122,8.5981,8.5981,-8.5981
31.9086,8.5820,8.5748,8.5748,-8.5748
32.2273,8.5416,8.5512,8.5512,-8.5512
32.5492,8.5119,8.5280,8.5280,-8.5280
32.8744,8.4815,8.5054,8.5054,-8.5054
33.2027,8.4516,8.4842,8.4842,-8.4842
33.5344,8.4309,8.4648,8.4648,-8.4648
33.8694,8.4112,8.4480,8.4480,-8.4480
34.2077,8.4007,8.4341,8.4341,-8.4341
34.5494,8.3812,8.4237,8.4237,-8.4237
34.8945,8.3707,8.4169,8.4169,-8.4169
35.2430,8.3608,8.4137,8.4137,-8.4137
35.5951,8.3600,8.4137,8.4137,-8.4137
35.9506,8.3600,8.4161,8.4161,-8.4161
36.3097,8.3694,8.4199,8.4199,-8.4199
36.6724,8.3793,8.4239,8.4239,-8.4239
37.0387,8.4082,8.4270,8.4270,-8.4270
37.4087,8.4383,8.4279,8.4279,-8.4279
37.7824,8.4771,8.4253,8.4253,-8.4253
38.1598,8.5260,8.4179,8.4179,-8.4179
38.5409,8.5577,8.4045,8.4045,-8.4045
38.9259,8.5694,8.3842,8.3842,-8.3842
39.3147,8.5513,8.3565,8.3565,-8.3565
39.7074,8.4949,8.3214,8.3214,-8.3214
40.1041,8.4081,8.2792,8.2792,-8.2792
40.5046,8.3088,8.2309,8.2309,-8.2309
40.9092,8.1985,8.1777,8.1777,-8.1777
41.3179,8.0978,8.1208,8.1208,-8.1208
41.7306,8.0065,8.0619,8.0619,-8.0619
42.1474,7.9262,8.0020,8.0020,-8.0020
42.5684,7.8645,7.9427,7.9427,-7.9427
42.9936,7.8142,7.8848,7.8848,-7.8848
43.4231,7.7826,7.8294,7.8294,-7.8294
43.8568,7.7439,7.7768,7.7768,-7.7768
44.2949,7.7033,7.7273,7.7273,-7.7273
44.7374,7.6638,7.6812,7.6812,-7.6812
45.1842,7.6151,7.6382,7.6382,-7.6382
45.6356,7.5649,7.5982,7.5982,-7.5982
46.0914,7.5234,7.5611,7.5611,-7.5611
46.5518,7.5021,7.5262,7.5262,-7.5262
47.0168,7.4728,7.4931,7.4931,-7.4931
47.4864,7.4519,7.4612,7.4612,-7.4612
47.9608,7.4321,7.4299,7.4299,-7.4299
48.4398,7.4031,7.3989,7.3989,-7.3989
48.9237,7.3729,7.3681,7.3681,-7.3681
49.4124,7.3429,7.3375,7.3375,-7.3375
49.9059,7.3132,7.3071,7.3071,-7.3071
50.4044,7.2833,7.2770,7.2770,-7.2770
50.9079,7.2621,7.2469,7.2469,-7.2469
51.4164,7.2242,7.2165,7.2165,-7.2165
51.9300,7.1935,7.1858,7.1858,-7.1858
52.4487,7.1547,7.1544,7.1544,-7.1544
52.9726,7.1144,7.1224,7.1224,-7.1224
53.5018,7.0744,7.0898,7.0898,-7.0898
54.0362,7.0435,7.0568,7.0568,-7.0568
54.5759,7.0224,7.0233,7.0233,-7.0233
55.1211,7.0022,6.9892,6.9892,-6.9892
55.6717,6.9824,6.9546,6.9546,-6.9546
56.2278,6.9534,6.9193,6.9193,-6.9193
56.7894,6.9150,6.8835,6.8835,-6.8835
57.3567,6.8745,6.8472,6.8472,-6.8472
57.9296,6.8261,6.8108,6.8108,-6.8108
58.5082,6.7674,6.7744,6.7744,-6.7744
59.0927,6.7158,6.7381,6.7381,-6.7381
59.6829,6.6664,6.7020,6.7020,-6.7020
60.2791,6.6248,6.6660,6.6660,-6.6660
60.8812,6.5939,6.6300,6.6300,-6.6300
61.4893,6.5726,6.5936,6.5936,-6.5936
62.1035,6.5525,6.5566,6.5566,-6.5566
62.7239,6.5412,6.5188,6.5188,-6.5188
63.3504,6.5225,6.4796,6.4796,-6.4796
63.9832,6.4941,6.4388,6.4388,-6.4388
64.6223,6.4641,6.3961,6.3961,-6.3961
65.2678,6.4164,6.3511,6.3511,-6.3511
65.9198,6.3582,6.3038,6.3038,-6.3038
66.5782,6.2897,6.2542,6.2542,-6.2542
67.2433,6.2192,6.2023,6.2023,-6.2023
67.9149,6.1498,6.1487,6.1487,-6.1487
68.5933,6.0885,6.0937,6.0937,-6.0937
69.2785,6.0281,6.0378,6.0378,-6.0378
69.9705,5.9685,5.9815,5.9815,-5.9815
70.6694,5.9172,5.9255,5.9255,-5.9255
71.3753,5.8588,5.8701,5.8701,-5.8701
72.0883,5.8072,5.8159,5.8159,-5.8159
72.8083,5.7485,5.7631,5.7631,-5.7631
73.5356,5.6886,5.7118,5.7118,-5.7118
74.2701,5.6289,5.6619,5.6619,-5.6619
75.0120,5.5688,5.6130,5.6130,-5.6130
75.7613,5.5258,5.5649,5.5649,-5.5649
76.5180,5.4859,5.5168,5.5168,-5.5168
77.2824,5.4546,5.4681,5.4681,-5.4681
78.0543,5.4330,5.4182,5.4182,-5.4182
78.8340,5.4130,5.3666,5.3666,-5.3666
79.6214,5.3845,5.3131,5.3131,-5.3131
80.4168,5.3462,5.2577,5.2577,-5.2577
81.2200,5.2980,5.2009,5.2009,-5.2009
82.0313,5.2311,5.1434,5.1434,-5.1434
82.8507,5.1358,5.0862,5.0862,-5.0862
83.6783,5.0359,5.0303,5.0303,-5.0303
