frequency,raw,smoothed,error,equalization
20.0000,12.2000,12.1916,12.1916,-12.1916
20.1998,12.1900,12.1913,12.1913,-12.1913
20.4015,12.1900,12.1910,12.1910,-12.1910
20.6053,12.1900,12.1906,12.1906,-12.1906
20.8112,12.1900,12.1903,12.1903,-12.1903
21.0190,12.1900,12.1898,12.1898,-12.1898
21.2290,12.1900,12.1894,12.1894,-12.1894
21.4410,12.1900,12.1889,12.1889,-12.1889
21.6552,12.1900,12.1883,12.1883,-12.1883
21.8715,12.1900,12.1876,12.1876,-12.1876
22.0900,12.1900,12.1866,12.1866,-12.1866
22.3106,12.1900,12.1854,12.1854,-12.1854
22.5335,12.1900,12.1839,12.1839,-12.1839
22.7586,12.1801,12.1820,12.1820,-12.1820
22.9859,12.1800,12.1798,12.1798,-12.1798
23.2155,12.1800,12.1771,12.1771,-12.1771
23.4474,12.1800,12.1740,12.1740,-12.1740
23.6816,12.1800,12.1705,12.1705,-12.1705
23.9182,12.1800,12.1663,12.1663,-12.1663
24.1571,12.1701,12.1615,12.1615,-12.1615
24.3984,12.1700,12.1562,12.1562,-12.1562
24.6421,12.1603,12.1502,12.1502,-12.1502
24.8882,12.1501,12.1437,12.1437,-12.1437
25.1368,12.1401,12.1367,12.1367,-12.1367
25.3879,12.1301,12.1292,12.1292,-12.1292
25.6415,12.1203,12.1213,12.1213,-12.1213
25.8976,12.1105,12.1129,12.1129,-12.1129
26.1563,12.1100,12.1042,12.1042,-12.1042
26.4176,12.1005,12.0951,12.0951,-12.0951
26.6815,12.0903,12.0857,12.0857,-12.0857
26.9480,12.0804,12.0760,12.0760,-12.0760
27.2172,12.0705,12.0661,12.0661,-12.0661
27.4890,12.0604,12.0559,12.0559,-12.0559
27.7636,12.0502,12.0456,12.0456,-12.0456
28.0409,12.0403,12.0351,12.0351,-12.0351
28.3210,12.0206,12.0243,12.0243,-12.0243
28.6039,12.0106,12.0133,12.0133,-12.0133
28.8896,12.0004,12.0020,12.0020,-12.0020
29.1782,11.9904,11.9906,11.9906,-11.9906
29.4697,11.9804,11.9788,11.9788,-11.9788
29.7640,11.9705,11.9666,11.9666,-11.9666
30.0613,11.9606,11.9541,11.9541,-11.9541
30.3616,11.9506,11.9410,11.9410,-11.9410
30.6649,11.9405,11.9275,11.9275,-11.9275
30.9712,11.9212,11.9132,11.9132,-11.9132
31.2806,11.9106,11.8984,11.8984,-11.8984
31.5930,11.8911,11.8830,11.8830,-11.8830
31.9086,11.8713,11.8670,11.8670,-11.8670
32.2273,11.8604,11.8504,11.8504,-11.8504
32.5492,11.8413,11.8332,11.8332,-11.8332
32.8744,11.8210,11.8155,11.8155,-11.8155
33.2027,11.8010,11.7974,11.7974,-11.7974
33.5344,11.7809,11.7789,11.7789,-11.7789
33.8694,11.7612,11.7600,11.7600,-11.7600
34.2077,11.7413,11.7408,11.7408,-11.7408
34.5494,11.7212,11.7214,11.7214,-11.7214
34.8945,11.7015,11.7019,11.7019,-11.7019
35.2430,11.6815,11.6823,11.6823,-11.6823
35.5951,11.6614,11.6626,11.6626,-11.6626
35.9506,11.6411,11.6427,11.6427,-11.6427
36.3097,11.6306,11.6228,11.6228,-11.6228
36.6724,11.6115,11.6026,11.6026,-11.6026
37.0387,11.5818,11.5822,11.5822,-11.5822
37.4087,11.5612,11.5616,11.5616,-11.5616
37.7824,11.5415,11.5409,11.5409,-11.5409
38.1598,11.5216,11.5199,11.5199,-11.5199
38.5409,11.5015,11.4985,11.4985,-11.4985
38.9259,11.4813,11.4769,11.4769,-11.4769
39.3147,11.4613,11.4548,11.4548,-11.4548
39.7074,11.4416,11.4323,11.4323,-11.4323
40.1041,11.4127,11.4092,11.4092,-11.4092
40.5046,11.3918,11.3857,11.3857,-11.3857
40.9092,11.3715,11.3618,11.3618,-11.3618
41.3179,11.3424,11.3373,11.3373,-11.3373
41.7306,11.3214,11.3125,11.3125,-11.3125
42.1474,11.2923,11.2870,11.2870,-11.2870
42.5684,11.2623,11.2611,11.2611,-11.2611
42.9936,11.2417,11.2348,11.2348,-11.2348
43.4231,11.2126,11.2079,11.2079,-11.2079
43.8568,11.1829,11.1807,11.1807,-11.1807
44.2949,11.1524,11.1531,11.1531,-11.1531
44.7374,11.1319,11.1252,11.1252,-11.1252
45.1842,11.1031,11.0969,11.0969,-11.0969
45.6356,11.0730,11.0681,11.0681,-11.0681
46.0914,11.0426,11.0389,11.0389,-11.0389
46.5518,11.0131,11.0093,11.0093,-11.0093
47.0168,10.9828,10.9793,10.9793,-10.9793
47.4864,10.9528,10.9490,10.9490,-10.9490
47.9608,10.9231,10.9183,10.9183,-10.9183
48.4398,10.8931,10.8872,10.8872,-10.8872
48.9237,10.8629,10.8557,10.8557,-10.8557
49.4124,10.8329,10.8238,10.8238,-10.8238
49.9059,10.7943,10.7915,10.7915,-10.7915
50.4044,10.7633,10.7589,10.7589,-10.7589
50.9079,10.7242,10.7259,10.7259,-10.7259
51.4164,10.6932,10.6927,10.6927,-10.6927
51.9300,10.6635,10.6592,10.6592,-10.6592
52.4487,10.6247,10.6254,10.6254,-10.6254
52.9726,10.5933,10.5913,10.5913,-10.5913
53.5018,10.5633,10.5569,10.5569,-10.5569
54.0362,10.5247,10.5221,10.5221,-10.5221
54.5759,10.4936,10.4869,10.4869,-10.4869
55.1211,10.4544,10.4513,10.4513,-10.4513
55.6717,10.4237,10.4153,10.4153,-10.4153
56.2278,10.3845,10.3788,10.3788,-10.3788
56.7894,10.3450,10.3419,10.3419,-10.3419
57.3567,10.3134,10.3044,10.3044,-10.3044
57.9296,10.2749,10.2665,10.2665,-10.2665
58.5082,10.2349,10.2280,10.2280,-10.2280
59.0927,10.1946,10.1889,10.1889,-10.1889
59.6829,10.1551,10.1494,10.1494,-10.1494
60.2791,10.1148,10.1095,10.1095,-10.1095
60.8812,10.0752,10.0692,10.0692,-10.0692
61.4893,10.0353,10.0284,10.0284,-10.0284
62.1035,9.9863,9.9872,9.9872,-9.9872
62.7239,9.9449,9.9457,9.9457,-9.9457
63.3504,9.9051,9.9040,9.9040,-9.9040
63.9832,9.8654,9.8620,9.8620,-9.8620
64.6223,9.8255,9.8197,9.8197,-9.8197
65.2678,9.7764,9.7770,9.7770,-9.7770
65.9198,9.7355,9.7341,9.7341,-9.7341
66.5782,9.6956,9.6909,9.6909,-9.6909
67.2433,9.6553,9.6475,9.6475,-9.6475
67.9149,9.6070,9.6037,9.6037,-9.6037
68.5933,9.5657,9.5596,9.5596,-9.5596
69.2785,9.5167,9.5152,9.5152,-9.5152
69.9705,9.4757,9.4706,9.4706,-9.4706
70.6694,9.4272,9.4257,9.4257,-9.4257
71.3753,9.3859,9.3805,9.3805,-9.3805
72.0883,9.3372,9.3351,9.3351,-9.3351
72.8083,9.2871,9.2895,9.2895,-9.2895
73.5356,9.2457,9.2437,9.2437,-9.2437
74.2701,9.1974,9.1976,9.1976,-9.1976
75.0120,9.1558,9.1513,9.1513,-9.1513
75.7613,9.1072,9.1046,9.1046,-9.1046
76.5180,9.0574,9.0577,9.0577,-9.0577
77.2824,9.0161,9.0104,9.0104,-9.0104
78.0543,8.9675,8.9627,8.9627,-8.9627
78.8340,8.9174,8.9146,8.9146,-8.9146
79.6214,8.8760,8.8661,8.8661,-8.8661
80.4168,8.8277,8.8173,8.8173,-8.8173
81.2200,8.7780,8.7680,8.7680,-8.7680
82.0313,8.7279,8.7183,8.7183,-8.7183
82.8507,8.6695,8.6682,8.6682,-8.6682
83.6783,8.6179,8.6178,8.6178,-8.6178
84.5141,8.5681,8.5671,8.5671,-8.5671
85.3583,8.5183,8.5162,8.5162,-8.5162
86.2109,8.4598,8.4649,8.4649,-8.4649
87.0721,8.4085,8.4135,8.4135,-8.4135
87.9418,8.3585,8.3618,8.3618,-8.3618
88.8203,8.3168,8.3098,8.3098,-8.3098
89.7075,8.2686,8.2575,8.2575,-8.2575
90.6035,8.2104,8.2047,8.2047,-8.2047
91.5085,8.1584,8.1516,8.1516,-8.1516
92.4226,8.1086,8.0982,8.0982,-8.0982
93.3458,8.0506,8.0443,8.0443,-8.0443
94.2782,7.9987,7.9900,7.9900,-7.9900
95.2199,7.9407,7.9352,7.9352,-7.9352
96.1711,7.8807,7.8801,7.8801,-7.8801
97.1317,7.8288,7.8246,7.8246,-7.8246
98.1019,7.7709,7.7688,7.7688,-7.7688
99.0818,7.7109,7.7127,7.7127,-7.7127
100.0715,7.6590,7.6564,7.6564,-7.6564
101.0711,7.6007,7.5999,7.5999,-7.5999
102.0807,7.5411,7.5432,7.5432,-7.5432
103.1004,7.4893,7.4864,7.4864,-7.4864
104.1302,7.4311,7.4294,7.4294,-7.4294
105.1703,7.3714,7.3722,7.3722,-7.3722
106.2209,7.3195,7.3146,7.3146,-7.3146
107.2819,7.2612,7.2568,7.2568,-7.2568
108.3535,7.2015,7.1985,7.1985,-7.1985
109.4358,7.1413,7.1399,7.1399,-7.1399
110.5289,7.0896,7.0811,7.0811,-7.0811
111.6330,7.0317,7.0218,7.0218,-7.0218
112.7481,6.9719,6.9621,6.9621,-6.9621
113.8743,6.9120,6.9021,6.9021,-6.9021
115.0118,6.8520,6.8418,6.8418,-6.8418
116.1606,6.7840,6.7812,6.7812,-6.7812
117.3209,6.7138,6.7205,6.7205,-6.7205
118.4928,6.6521,6.6599,6.6599,-6.6599
119.6764,6.5923,6.5994,6.5994,-6.5994
120.8718,6.5324,6.5391,6.5391,-6.5391
122.0792,6.4724,6.4790,6.4790,-6.4790
123.2986,6.4124,6.4191,6.4191,-6.4191
124.5302,6.3526,6.3595,6.3595,-6.3595
125.7741,6.3003,6.3001,6.3001,-6.3001
127.0304,6.2424,6.2410,6.2410,-6.2410
128.2993,6.1827,6.1819,6.1819,-6.1819
129.5808,6.1226,6.1230,6.1230,-6.1230
130.8752,6.0627,6.0641,6.0641,-6.0641
132.1825,6.0027,6.0052,6.0052,-6.0052
133.5028,5.9508,5.9462,5.9462,-5.9462
134.8363,5.8928,5.8870,5.8870,-5.8870
136.1832,5.8331,5.8276,5.8276,-5.8276
137.5435,5.7731,5.7681,5.7681,-5.7681
138.9174,5.7132,5.7085,5.7085,-5.7085
140.3050,5.6532,5.6488,5.6488,-5.6488
141.7065,5.5933,5.5890,5.5890,-5.5890
143.1220,5.5257,5.5294,5.5294,-5.5294
144.5516,5.4634,5.4701,5.4701,-5.4701
145.9955,5.4034,5.4111,5.4111,-5.4111
147.4538,5.3434,5.3525,5.3525,-5.3525
148.9267,5.2835,5.2944,5.2944,-5.2944
150.4143,5.2235,5.2367,5.2367,-5.2367
151.9167,5.1714,5.1795,5.1795,-5.1795
153.4342,5.1137,5.1228,5.1228,-5.1228
154.9668,5.0615,5.0665,5.0665,-5.0665
156.5147,5.0040,5.0106,5.0106,-5.0106
158.0781,4.9516,4.9549,4.9549,-4.9549
159.6571,4.9017,4.8994,4.8994,-4.8994
161.2519,4.8518,4.8440,4.8440,-4.8440
162.8626,4.7941,4.7883,4.7883,-4.7883
164.4894,4.7419,4.7325,4.7325,-4.7325
166.1324,4.6845,4.6763,4.6763,-4.6763
167.7919,4.6244,4.6197,4.6197,-4.6197
169.4679,4.5644,4.5628,4.5628,-4.5628
171.1607,4.5120,4.5055,4.5055,-4.5055
172.8704,4.4546,4.4478,4.4478,-4.4478
174.5972,4.3947,4.3896,4.3896,-4.3896
176.3412,4.3347,4.3311,4.3311,-4.3311
178.1026,4.2748,4.2723,4.2723,-4.2723
179.8816,4.2148,4.2132,4.2132,-4.2132
181.6784,4.1550,4.1538,4.1538,-4.1538
183.4932,4.0951,4.0943,4.0943,-4.0943
185.3261,4.0351,4.0348,4.0348,-4.0348
187.1772,3.9753,3.9753,3.9753,-3.9753
189.0469,3.9152,3.9157,3.9157,-3.9157
190.9352,3.8553,3.8562,3.8562,-3.8562
192.8425,3.7953,3.7966,3.7966,-3.7966
194.7687,3.7355,3.7372,3.7372,-3.7372
196.7142,3.6756,3.6778,3.6778,-3.6778
198.6792,3.6156,3.6185,3.6185,-3.6185
200.6637,3.5556,3.5592,3.5592,-3.5592
202.6681,3.4956,3.5000,3.5000,-3.5000
204.6925,3.4432,3.4410,3.4410,-3.4410
206.7371,3.3859,3.3819,3.3819,-3.3819
208.8022,3.3259,3.3229,3.3229,-3.3229
210.8879,3.2659,3.2639,3.2639,-3.2639
212.9944,3.2060,3.2049,3.2049,-3.2049
215.1219,3.1460,3.1458,3.1458,-3.1458
217.2707,3.0861,3.0868,3.0868,-3.0868
219.4410,3.0262,3.0278,3.0278,-3.0278
221.6329,2.9663,2.9689,2.9689,-2.9689
223.8468,2.9063,2.9100,2.9100,-2.9100
226.0827,2.8465,2.8512,2.8512,-2.8512
228.3410,2.7937,2.7925,2.7925,-2.7925
230.6219,2.7365,2.7339,2.7339,-2.7339
232.9255,2.6767,2.6754,2.6754,-2.6754
235.2521,2.6167,2.6169,2.6169,-2.6169
237.6020,2.5567,2.5586,2.5586,-2.5586
239.9754,2.4968,2.5004,2.5004,-2.5004
242.3724,2.4369,2.4424,2.4424,-2.4424
244.7934,2.3841,2.3847,2.3847,-2.3847
247.2386,2.3269,2.3270,2.3270,-2.3270
249.7082,2.2670,2.2696,2.2696,-2.2696
252.2025,2.2072,2.2123,2.2123,-2.2123
254.7217,2.1544,2.1552,2.1552,-2.1552
257.2661,2.0973,2.0983,2.0983,-2.0983
259.8358,2.0373,2.0417,2.0417,-2.0417
262.4313,1.9845,1.9854,1.9854,-1.9854
265.0527,1.9275,1.9294,1.9294,-1.9294
267.7002,1.8676,1.8736,1.8736,-1.8736
270.3742,1.8147,1.8181,1.8181,-1.8181
273.0749,1.7576,1.7629,1.7629,-1.7629
275.8026,1.7047,1.7080,1.7080,-1.7080
278.5575,1.6478,1.6533,1.6533,-1.6533
281.3400,1.5949,1.5990,1.5990,-1.5990
284.1502,1.5449,1.5449,1.5449,-1.5449
286.9885,1.4879,1.4911,1.4911,-1.4911
289.8552,1.4350,1.4376,1.4376,-1.4376
292.7505,1.3851,1.3843,1.3843,-1.3843
295.6747,1.3283,1.3312,1.3312,-1.3312
298.6281,1.2752,1.2784,1.2784,-1.2784
301.6111,1.2253,1.2260,1.2260,-1.2260
304.6238,1.1684,1.1737,1.1737,-1.1737
307.6666,1.1154,1.1218,1.1218,-1.1218
310.7398,1.0654,1.0702,1.0702,-1.0702
313.8437,1.0155,1.0190,1.0190,-1.0190
316.9786,0.9656,0.9680,0.9680,-0.9680
320.1449,0.9156,0.9174,0.9174,-0.9174
323.3427,0.8588,0.8672,0.8672,-0.8672
326.5725,0.8126,0.8173,0.8173,-0.8173
329.8346,0.7658,0.7679,0.7679,-0.7679
333.1292,0.7159,0.7189,0.7189,-0.7189
336.4568,0.6659,0.6702,0.6702,-0.6702
339.8176,0.6160,0.6219,0.6219,-0.6219
343.2119,0.5660,0.5741,0.5741,-0.5741
346.6402,0.5229,0.5267,0.5267,-0.5267
350.1027,0.4762,0.4797,0.4797,-0.4797
