frequency,raw,smoothed,error,equalization
20.0000,0.3600,0.5118,0.5118,-0.5118
20.1998,0.3800,0.5407,0.5407,-0.5407
20.4015,0.4001,0.5745,0.5745,-0.5745
20.6053,0.4196,0.6129,0.6129,-0.6129
20.8112,0.4803,0.6564,0.6564,-0.6564
21.0190,0.5397,0.7043,0.7043,-0.7043
21.2290,0.6296,0.7566,0.7566,-0.7566
21.4410,0.7205,0.8127,0.8127,-0.8127
21.6552,0.8276,0.8722,0.8722,-0.8722
21.8715,0.9307,0.9345,0.9345,-0.9345
22.0900,1.0300,0.9991,0.9991,-0.9991
22.3106,1.1203,1.0658,1.0658,-1.0658
22.5335,1.2075,1.1324,1.1324,-1.1324
22.7586,1.2795,1.1950,1.1950,-1.1950
22.9859,1.3586,1.2527,1.2527,-1.2527
23.2155,1.4188,1.3050,1.3050,-1.3050
23.4474,1.4694,1.3520,1.3520,-1.3520
23.6816,1.5086,1.3940,1.3940,-1.3940
23.9182,1.5298,1.4318,1.4318,-1.4318
24.1571,1.5300,1.4666,1.4666,-1.4666
24.3984,1.5201,1.4998,1.4998,-1.4998
24.6421,1.5006,1.5330,1.5330,-1.5330
24.8882,1.4801,1.5678,1.5678,-1.5678
25.1368,1.4800,1.6059,1.6059,-1.6059
25.3879,1.4899,1.6484,1.6484,-1.6484
25.6415,1.5384,1.6965,1.6965,-1.6965
25.8976,1.6067,1.7504,1.7504,-1.7504
26.1563,1.7085,1.8101,1.8101,-1.8101
26.4176,1.8054,1.8750,1.8750,-1.8750
26.6815,1.9164,1.9443,1.9443,-1.9443
26.9480,2.0251,2.0168,2.0168,-2.0168
27.2172,2.1157,2.0911,2.0911,-2.0911
27.4890,2.2063,2.1659,2.1659,-2.1659
27.7636,2.2881,2.2398,2.2398,-2.2398
28.0409,2.3674,2.3119,2.3119,-2.3119
28.3210,2.4378,2.3809,2.3809,-2.3809
28.6039,2.5156,2.4463,2.4463,-2.4463
28.8896,2.5874,2.5075,2.5075,-2.5075
29.1782,2.6476,2.5641,2.5641,-2.5641
29.4697,2.6982,2.6163,2.6163,-2.6163
29.7640,2.7284,2.6640,2.6640,-2.6640
30.0613,2.7581,2.7079,2.7079,-2.7079
30.3616,2.7694,2.7484,2.7484,-2.7484
30.6649,2.7795,2.7863,2.7863,-2.7863
30.9712,2.7988,2.8224,2.8224,-2.8224
31.2806,2.8281,2.8574,2.8574,-2.8574
31.5930,2.8678,2.8916,2.8916,-2.8916
31.9086,2.9167,2.9256,2.9256,-2.9256
32.2273,2.9680,2.9594,2.9594,-2.9594
32.5492,3.0169,2.9932,2.9932,-2.9932
32.8744,3.0485,3.0273,3.0273,-3.0273
33.2027,3.0690,3.0618,3.0618,-3.0618
33.5344,3.0891,3.0972,3.0972,-3.0972
33.8694,3.1182,3.1337,3.1337,-3.1337
