frequency,raw,smoothed,error,equalization
20.0000,1.8300,1.9145,1.9145,-1.9145
20.1998,1.8400,1.9283,1.9283,-1.9283
20.4015,1.8501,1.9445,1.9445,-1.9445
20.6053,1.8696,1.9629,1.9629,-1.9629
20.8112,1.9102,1.9835,1.9835,-1.9835
21.0190,1.9498,2.0062,2.0062,-2.0062
21.2290,1.9898,2.0307,2.0307,-2.0307
21.4410,2.0302,2.0572,2.0572,-2.0572
21.6552,2.0691,2.0857,2.0857,-2.0857
21.8715,2.1103,2.1164,2.1164,-2.1164
22.0900,2.1500,2.1496,2.1496,-2.1496
22.3106,2.1801,2.1855,2.1855,-2.1855
22.5335,2.2189,2.2236,2.2236,-2.2236
22.7586,2.2597,2.2622,2.2622,-2.2622
22.9859,2.2993,2.3008,2.3008,-2.3008
23.2155,2.3392,2.3394,2.3394,-2.3394
23.4474,2.3795,2.3777,2.3777,-2.3777
23.6816,2.4186,2.4158,2.4158,-2.4158
23.9182,2.4597,2.4537,2.4537,-2.4537
24.1571,2.4995,2.4913,2.4913,-2.4913
24.3984,2.5397,2.5288,2.5288,-2.5288
24.6421,2.5787,2.5659,2.5659,-2.5659
24.8882,2.6098,2.6028,2.6028,-2.6028
25.1368,2.6396,2.6395,2.6395,-2.6395
25.3879,2.6698,2.6761,2.6761,-2.6761
25.6415,2.7087,2.7128,2.7128,-2.7128
25.8976,2.7386,2.7497,2.7497,-2.7497
26.1563,2.7794,2.7868,2.7868,-2.7868
26.4176,2.8182,2.8243,2.8243,-2.8243
26.6815,2.8587,2.8620,2.8620,-2.8620
26.9480,2.8982,2.8999,2.8999,-2.8999
27.2172,2.9381,2.9379,2.9379,-2.9379
27.4890,2.9688,2.9759,2.9759,-2.9759
27.7636,3.0091,3.0139,3.0139,-3.0139
28.0409,3.0487,3.0518,3.0518,-3.0518
28.3210,3.0887,3.0894,3.0894,-3.0894
28.6039,3.1372,3.1264,3.1264,-3.1264
28.8896,3.1785,3.1627,3.1627,-3.1627
29.1782,3.2184,3.1980,3.1980,-3.1980
29.4697,3.2586,3.2322,3.2322,-3.2322
29.7640,3.2884,3.2652,3.2652,-3.2652
30.0613,3.3181,3.2971,3.2971,-3.2971
30.3616,3.3482,3.3278,3.3278,-3.3278
30.6649,3.3690,3.3576,3.3576,-3.3576
30.9712,3.3982,3.3866,3.3866,-3.3866
31.2806,3.4187,3.4149,3.4149,-3.4149
31.5930,3.4389,3.4427,3.4427,-3.4427
31.9086,3.4680,3.4702,3.4702,-3.4702
32.2273,3.4892,3.4976,3.4976,-3.4976
32.5492,3.5181,3.5250,3.5250,-3.5250
32.8744,3.5485,3.5525,3.5525,-3.5525
33.2027,3.5690,3.5802,3.5802,-3.5802
33.5344,3.5986,3.6081,3.6081,-3.6081
33.8694,3.6282,3.6364,3.6364,-3.6364
34.2077,3.6580,3.6648,3.6648,-3.6648
34.5494,3.6976,3.6934,3.6934,-3.6934
34.8945,3.7278,3.7220,3.7220,-3.7220
35.2430,3.7577,3.7503,3.7503,-3.7503
35.5951,3.7879,3.7783,3.7783,-3.7783
35.9506,3.8183,3.8058,3.8058,-3.8058
36.3097,3.8389,3.8328,3.8328,-3.8328
36.6724,3.8678,3.8591,3.8591,-3.8591
37.0387,3.8982,3.8847,3.8847,-3.8847
37.4087,3.9188,3.9095,3.9095,-3.9095
37.7824,3.9385,3.9334,3.9334,-3.9334
38.1598,3.9676,3.9565,3.9565,-3.9565
38.5409,3.9885,3.9787,3.9787,-3.9787
38.9259,4.0087,4.0000,4.0000,-4.0000
39.3147,4.0381,4.0206,4.0206,-4.0206
39.7074,4.0492,4.0403,4.0403,-4.0403
40.1041,4.0682,4.0594,4.0594,-4.0594
