frequency,raw,smoothed,error,equalization
20.0000,6.0700,6.1477,6.1477,-6.1477
20.1998,6.0900,6.1563,6.1563,-6.1563
20.4015,6.1201,6.1662,6.1662,-6.1662
20.6053,6.1396,6.1768,6.1768,-6.1768
20.8112,6.1601,6.1880,6.1880,-6.1880
21.0190,6.1799,6.1999,6.1999,-6.1999
21.2290,6.1999,6.2124,6.2124,-6.2124
21.4410,6.2201,6.2254,6.2254,-6.2254
21.6552,6.2396,6.2390,6.2390,-6.2390
21.8715,6.2601,6.2533,6.2533,-6.2533
22.0900,6.2700,6.2684,6.2684,-6.2684
22.3106,6.2901,6.2845,6.2845,-6.2845
22.5335,6.3094,6.3011,6.3011,-6.3011
22.7586,6.3199,6.3172,6.3172,-6.3172
22.9859,6.3396,6.3330,6.3330,-6.3330
23.2155,6.3498,6.3483,6.3483,-6.3483
23.4474,6.3698,6.3633,6.3633,-6.3633
23.6816,6.3797,6.3780,6.3780,-6.3780
23.9182,6.3899,6.3924,6.3924,-6.3924
24.1571,6.4098,6.4066,6.4066,-6.4066
24.3984,6.4199,6.4206,6.4206,-6.4206
24.6421,6.4394,6.4343,6.4343,-6.4343
24.8882,6.4499,6.4476,6.4476,-6.4476
25.1368,6.4599,6.4606,6.4606,-6.4606
25.3879,6.4798,6.4734,6.4734,-6.4734
25.6415,6.4897,6.4858,6.4858,-6.4858
25.8976,6.4995,6.4979,6.4979,-6.4979
26.1563,6.5197,6.5097,6.5097,-6.5097
26.4176,6.5295,6.5211,6.5211,-6.5211
26.6815,6.5397,6.5321,6.5321,-6.5321
26.9480,6.5496,6.5426,6.5426,-6.5426
27.2172,6.5595,6.5527,6.5527,-6.5527
27.4890,6.5600,6.5624,6.5624,-6.5624
27.7636,6.5698,6.5717,6.5717,-6.5717
28.0409,6.5797,6.5806,6.5806,-6.5806
28.3210,6.5994,6.5893,6.5893,-6.5893
28.6039,6.6000,6.5973,6.5973,-6.5973
28.8896,6.6096,6.6050,6.6050,-6.6050
29.1782,6.6196,6.6123,6.6123,-6.6123
29.4697,6.6296,6.6192,6.6192,-6.6192
29.7640,6.6300,6.6257,6.6257,-6.6257
