frequency,raw,smoothed,error,equalization
20.0000,6.5500,6.5996,6.5996,-6.5996
20.1998,6.5700,6.6050,6.6050,-6.6050
20.4015,6.5801,6.6111,6.6111,-6.6111
20.6053,6.5898,6.6177,6.6177,-6.6177
20.8112,6.6101,6.6248,6.6248,-6.6248
21.0190,6.6200,6.6323,6.6323,-6.6323
21.2290,6.6300,6.6402,6.6402,-6.6402
21.4410,6.6401,6.6485,6.6485,-6.6485
21.6552,6.6596,6.6573,6.6573,-6.6573
21.8715,6.6701,6.6665,6.6665,-6.6665
22.0900,6.6800,6.6763,6.6763,-6.6763
22.3106,6.6900,6.6867,6.6867,-6.6867
22.5335,6.6997,6.6975,6.6975,-6.6975
22.7586,6.7099,6.7080,6.7080,-6.7080
22.9859,6.7198,6.7182,6.7182,-6.7182
23.2155,6.7298,6.7283,6.7283,-6.7283
23.4474,6.7399,6.7381,6.7381,-6.7381
23.6816,6.7497,6.7478,6.7478,-6.7478
23.9182,6.7599,6.7573,6.7573,-6.7573
24.1571,6.7699,6.7666,6.7666,-6.7666
24.3984,6.7799,6.7757,6.7757,-6.7757
24.6421,6.7897,6.7846,6.7846,-6.7846
24.8882,6.7900,6.7932,6.7932,-6.7932
25.1368,6.7999,6.8018,6.8018,-6.8018
25.3879,6.8099,6.8104,6.8104,-6.8104
25.6415,6.8197,6.8188,6.8188,-6.8188
25.8976,6.8295,6.8270,6.8270,-6.8270
26.1563,6.8399,6.8351,6.8351,-6.8351
26.4176,6.8495,6.8429,6.8429,-6.8429
26.6815,6.8500,6.8506,6.8506,-6.8506
26.9480,6.8596,6.8581,6.8581,-6.8581
27.2172,6.8695,6.8654,6.8654,-6.8654
27.4890,6.8700,6.8726,6.8726,-6.8726
27.7636,6.8798,6.8798,6.8798,-6.8798
28.0409,6.8897,6.8868,6.8868,-6.8868
28.3210,6.8997,6.8937,6.8937,-6.8937
28.6039,6.9000,6.9004,6.9004,-6.9004
28.8896,6.9096,6.9069,6.9069,-6.9069
29.1782,6.9100,6.9132,6.9132,-6.9132
29.4697,6.9196,6.9195,6.9195,-6.9195
29.7640,6.9295,6.9256,6.9256,-6.9256
30.0613,6.9300,6.9316,6.9316,-6.9316
