frequency,raw,smoothed,error,equalization
20.0000,10.8300,10.8562,10.8562,-10.8562
20.1998,10.8300,10.8614,10.8614,-10.8614
20.4015,10.8400,10.8677,10.8677,-10.8677
20.6053,10.8400,10.8749,10.8749,-10.8749
20.8112,10.8501,10.8832,10.8832,-10.8832
21.0190,10.8600,10.8926,10.8926,-10.8926
21.2290,10.8799,10.9031,10.9031,-10.9031
21.4410,10.8901,10.9146,10.9146,-10.9146
21.6552,10.9096,10.9271,10.9271,-10.9271
21.8715,10.9301,10.9406,10.9406,-10.9406
22.0900,10.9500,10.9551,10.9551,-10.9551
22.3106,10.9701,10.9707,10.9707,-10.9707
22.5335,10.9894,10.9872,10.9872,-10.9872
22.7586,11.0099,11.0035,11.0035,-11.0035
22.9859,11.0296,11.0198,11.0198,-11.0198
23.2155,11.0496,11.0356,11.0356,-11.0356
23.4474,11.0698,11.0511,11.0511,-11.0511
23.6816,11.0797,11.0659,11.0659,-11.0659
23.9182,11.0899,11.0803,11.0803,-11.0803
24.1571,11.0999,11.0943,11.0943,-11.0943
24.3984,11.1099,11.1080,11.1080,-11.1080
24.6421,11.1197,11.1213,11.1213,-11.1213
24.8882,11.1299,11.1343,11.1343,-11.1343
25.1368,11.1399,11.1472,11.1472,-11.1472
25.3879,11.1499,11.1599,11.1599,-11.1599
25.6415,11.1693,11.1726,11.1726,-11.1726
25.8976,11.1795,11.1851,11.1851,-11.1851
26.1563,11.1997,11.1974,11.1974,-11.1974
26.4176,11.2191,11.2095,11.2095,-11.2095
26.6815,11.2297,11.2214,11.2214,-11.2214
26.9480,11.2491,11.2328,11.2328,-11.2328
27.2172,11.2595,11.2437,11.2437,-11.2437
27.4890,11.2600,11.2540,11.2540,-11.2540
27.7636,11.2698,11.2637,11.2637,-11.2637
28.0409,11.2797,11.2728,11.2728,-11.2728
28.3210,11.2897,11.2813,11.2813,-11.2813
28.6039,11.2900,11.2890,11.2890,-11.2890
28.8896,11.2996,11.2962,11.2962,-11.2962
29.1782,11.3096,11.3027,11.3027,-11.3027
29.4697,11.3196,11.3085,11.3085,-11.3085
29.7640,11.3200,11.3137,11.3137,-11.3137
30.0613,11.3294,11.3184,11.3184,-11.3184
30.3616,11.3300,11.3226,11.3226,-11.3226
30.6649,11.3300,11.3264,11.3264,-11.3264
30.9712,11.3300,11.3297,11.3297,-11.3297
31.2806,11.3394,11.3328,11.3328,-11.3328
31.5930,11.3400,11.3354,11.3354,-11.3354
31.9086,11.3400,11.3375,11.3375,-11.3375
32.2273,11.3400,11.3391,11.3391,-11.3391
32.5492,11.3400,11.3403,11.3403,-11.3403
32.8744,11.3400,11.3408,11.3408,-11.3408
33.2027,11.3495,11.3409,11.3409,-11.3409
33.5344,11.3500,11.3402,11.3402,-11.3402
33.8694,11.3500,11.3388,11.3388,-11.3388
34.2077,11.3500,11.3366,11.3366,-11.3366
34.5494,11.3500,11.3335,11.3335,-11.3335
34.8945,11.3500,11.3294,11.3294,-11.3294
35.2430,11.3408,11.3243,11.3243,-11.3243
35.5951,11.3307,11.3182,11.3182,-11.3182
35.9506,11.3206,11.3113,11.3113,-11.3113
36.3097,11.3106,11.3037,11.3037,-11.3037
36.6724,11.3007,11.2955,11.2955,-11.2955
37.0387,11.2906,11.2868,11.2868,-11.2868
37.4087,11.2806,11.2777,11.2777,-11.2777
37.7824,11.2707,11.2685,11.2685,-11.2685
38.1598,11.2608,11.2591,11.2591,-11.2591
38.5409,11.2415,11.2496,11.2496,-11.2496
38.9259,11.2306,11.2403,11.2403,-11.2403
39.3147,11.2206,11.2311,11.2311,-11.2311
39.7074,11.2108,11.2221,11.2221,-11.2221
40.1041,11.2100,11.2130,11.2130,-11.2130
40.5046,11.2009,11.2038,11.2038,-11.2038
40.9092,11.2000,11.1945,11.1945,-11.1945
41.3179,11.1908,11.1847,11.1847,-11.1847
41.7306,11.1900,11.1745,11.1745,-11.1745
42.1474,11.1808,11.1637,11.1637,-11.1637
42.5684,11.1708,11.1523,11.1523,-11.1523
42.9936,11.1608,11.1404,11.1404,-11.1404
43.4231,11.1417,11.1278,11.1278,-11.1278
43.8568,11.1220,11.1147,11.1147,-11.1147
44.2949,11.1016,11.1012,11.1012,-11.1012
44.7374,11.0819,11.0873,11.0873,-11.0873
