frequency,raw,smoothed,error,equalization
20.0000,13.3600,13.2605,13.2605,-13.2605
20.1998,13.3300,13.2483,13.2483,-13.2483
20.4015,13.3098,13.2344,13.2344,-13.2344
20.6053,13.2807,13.2190,13.2190,-13.2190
20.8112,13.2498,13.2023,13.2023,-13.2023
21.0190,13.2201,13.1845,13.1845,-13.1845
21.2290,13.1901,13.1654,13.1654,-13.1654
21.4410,13.1599,13.1451,13.1451,-13.1451
21.6552,13.1307,13.1234,13.1234,-13.1234
21.8715,13.0998,13.1003,13.1003,-13.1003
22.0900,13.0700,13.0754,13.0754,-13.0754
22.3106,13.0499,13.0484,13.0484,-13.0484
22.5335,13.0208,13.0199,13.0199,-13.0199
22.7586,12.9902,12.9912,12.9912,-12.9912
22.9859,12.9704,12.9622,12.9622,-12.9622
23.2155,12.9406,12.9330,12.9330,-12.9330
23.4474,12.9103,12.9035,12.9035,-12.9035
23.6816,12.8810,12.8736,12.8736,-12.8736
23.9182,12.8502,12.8434,12.8434,-12.8434
24.1571,12.8204,12.8128,12.8128,-12.8128
24.3984,12.7902,12.7818,12.7818,-12.7818
24.6421,12.7513,12.7503,12.7503,-12.7503
24.8882,12.7202,12.7185,12.7185,-12.7185
25.1368,12.6904,12.6864,12.6864,-12.6864
25.3879,12.6503,12.6540,12.6540,-12.6540
25.6415,12.6210,12.6213,12.6213,-12.6213
25.8976,12.5914,12.5884,12.5884,-12.5884
26.1563,12.5604,12.5552,12.5552,-12.5552
26.4176,12.5218,12.5217,12.5217,-12.5217
26.6815,12.4910,12.4880,12.4880,-12.4880
26.9480,12.4613,12.4541,12.4541,-12.4541
27.2172,12.4219,12.4198,12.4198,-12.4198
27.4890,12.3912,12.3853,12.3853,-12.3853
27.7636,12.3509,12.3504,12.3504,-12.3504
28.0409,12.3210,12.3154,12.3154,-12.3154
28.3210,12.2813,12.2800,12.2800,-12.2800
28.6039,12.2517,12.2444,12.2444,-12.2444
28.8896,12.2115,12.2085,12.2085,-12.2085
29.1782,12.1716,12.1723,12.1723,-12.1723
29.4697,12.1411,12.1359,12.1359,-12.1359
29.7640,12.1021,12.0992,12.0992,-12.0992
30.0613,12.0625,12.0623,12.0623,-12.0623
30.3616,12.0225,12.0251,12.0251,-12.0251
30.6649,11.9915,11.9878,11.9878,-11.9878
30.9712,11.9524,11.9502,11.9502,-11.9502
31.2806,11.9125,11.9124,11.9124,-11.9124
31.5930,11.8816,11.8744,11.8744,-11.8744
31.9086,11.8427,11.8360,11.8360,-11.8360
32.2273,11.8016,11.7972,11.7972,-11.7972
32.5492,11.7625,11.7582,11.7582,-11.7582
32.8744,11.7220,11.7188,11.7188,-11.7188
33.2027,11.6821,11.6792,11.6792,-11.6792
33.5344,11.6419,11.6393,11.6393,-11.6393
33.8694,11.6024,11.5992,11.5992,-11.5992
34.2077,11.5626,11.5587,11.5587,-11.5587
34.5494,11.5224,11.5180,11.5180,-11.5180
34.8945,11.4829,11.4770,11.4770,-11.4770
35.2430,11.4339,11.4358,11.4358,-11.4358
35.5951,11.3929,11.3944,11.3944,-11.3944
35.9506,11.3522,11.3529,11.3529,-11.3529
36.3097,11.3123,11.3113,11.3113,-11.3113
36.6724,11.2730,11.2696,11.2696,-11.2696
37.0387,11.2324,11.2277,11.2277,-11.2277
37.4087,11.1829,11.1856,11.1856,-11.1856
37.7824,11.1429,11.1434,11.1434,-11.1434
38.1598,11.1032,11.1011,11.1011,-11.1011
38.5409,11.0631,11.0588,11.0588,-11.0588
38.9259,11.0225,11.0162,11.0162,-11.0162
39.3147,10.9732,10.9736,10.9736,-10.9736
