frequency,raw,smoothed,error,equalization
20.0000,3.3500,3.4484,3.4484,-3.4484
20.1998,3.3999,3.4548,3.4548,-3.4548
20.4015,3.4303,3.4619,3.4619,-3.4619
20.6053,3.4691,3.4695,3.4695,-3.4695
20.8112,3.4901,3.4772,3.4772,-3.4772
21.0190,3.5000,3.4849,3.4849,-3.4849
21.2290,3.5000,3.4929,3.4929,-3.4929
21.4410,3.5000,3.5016,3.5016,-3.5016
21.6552,3.5000,3.5113,3.5113,-3.5113
21.8715,3.5001,3.5221,3.5221,-3.5221
22.0900,3.5100,3.5343,3.5343,-3.5343
22.3106,3.5200,3.5481,3.5481,-3.5481
22.5335,3.5297,3.5631,3.5631,-3.5631
22.7586,3.5598,3.5785,3.5785,-3.5785
22.9859,3.5796,3.5943,3.5943,-3.5943
23.2155,3.6094,3.6103,3.6103,-3.6103
23.4474,3.6298,3.6265,3.6265,-3.6265
23.6816,3.6590,3.6428,3.6428,-3.6428
23.9182,3.6798,3.6589,3.6589,-3.6589
24.1571,3.6998,3.6745,3.6745,-3.6745
24.3984,3.7099,3.6896,3.6896,-3.6896
24.6421,3.7197,3.7040,3.7040,-3.7040
24.8882,3.7299,3.7176,3.7176,-3.7176
25.1368,3.7399,3.7305,3.7305,-3.7305
25.3879,3.7499,3.7427,3.7427,-3.7427
25.6415,3.7500,3.7541,3.7541,-3.7541
25.8976,3.7595,3.7652,3.7652,-3.7652
26.1563,3.7699,3.7758,3.7758,-3.7758
26.4176,3.7795,3.7861,3.7861,-3.7861
26.6815,3.7993,3.7963,3.7963,-3.7963
26.9480,3.8096,3.8063,3.8063,-3.8063
27.2172,3.8195,3.8161,3.8161,-3.8161
27.4890,3.8296,3.8258,3.8258,-3.8258
27.7636,3.8398,3.8353,3.8353,-3.8353
28.0409,3.8497,3.8447,3.8447,-3.8447
28.3210,3.8597,3.8538,3.8538,-3.8538
28.6039,3.8694,3.8626,3.8626,-3.8626
28.8896,3.8700,3.8712,3.8712,-3.8712
29.1782,3.8796,3.8795,3.8795,-3.8795
29.4697,3.8896,3.8876,3.8876,-3.8876
29.7640,3.8995,3.8954,3.8954,-3.8954
30.0613,3.9094,3.9031,3.9031,-3.9031
30.3616,3.9100,3.9106,3.9106,-3.9106
30.6649,3.9195,3.9182,3.9182,-3.9182
30.9712,3.9294,3.9257,3.9257,-3.9257
31.2806,3.9300,3.9331,3.9331,-3.9331
31.5930,3.9395,3.9407,3.9407,-3.9407
31.9086,3.9400,3.9483,3.9483,-3.9483
32.2273,3.9496,3.9560,3.9560,-3.9560
32.5492,3.9594,3.9638,3.9638,-3.9638
32.8744,3.9695,3.9717,3.9717,-3.9717
33.2027,3.9795,3.9797,3.9797,-3.9797
33.5344,3.9895,3.9878,3.9878,-3.9878
33.8694,3.9994,3.9959,3.9959,-3.9959
34.2077,4.0093,4.0041,4.0041,-4.0041
34.5494,4.0194,4.0122,4.0122,-4.0122
34.8945,4.0200,4.0203,4.0203,-4.0203
35.2430,4.0292,4.0284,4.0284,-4.0284
35.5951,4.0300,4.0363,4.0363,-4.0363
35.9506,4.0394,4.0442,4.0442,-4.0442
36.3097,4.0494,4.0519,4.0519,-4.0519
36.6724,4.0593,4.0593,4.0593,-4.0593
37.0387,4.0694,4.0664,4.0664,-4.0664
37.4087,4.0794,4.0731,4.0731,-4.0731
37.7824,4.0893,4.0793,4.0793,-4.0793
38.1598,4.0992,4.0849,4.0849,-4.0849
38.5409,4.1000,4.0900,4.0900,-4.0900
38.9259,4.1094,4.0946,4.0946,-4.0946
39.3147,4.1100,4.0987,4.0987,-4.0987
39.7074,4.1100,4.1024,4.1024,-4.1024
40.1041,4.1100,4.1059,4.1059,-4.1059
40.5046,4.1100,4.1093,4.1093,-4.1093
40.9092,4.1100,4.1125,4.1125,-4.1125
41.3179,4.1100,4.1159,4.1159,-4.1159
41.7306,4.1100,4.1194,4.1194,-4.1194
42.1474,4.1100,4.1233,4.1233,-4.1233
42.5684,4.1100,4.1276,4.1276,-4.1276
42.9936,4.1192,4.1325,4.1325,-4.1325
43.4231,4.1291,4.1379,4.1379,-4.1379
43.8568,4.1390,4.1439,4.1439,-4.1439
44.2949,4.1492,4.1502,4.1502,-4.1502
44.7374,4.1591,4.1566,4.1566,-4.1566
45.1842,4.1690,4.1630,4.1630,-4.1630
45.6356,4.1700,4.1688,4.1688,-4.1688
46.0914,4.1791,4.1740,4.1740,-4.1740
46.5518,4.1890,4.1782,4.1782,-4.1782
47.0168,4.1900,4.1810,4.1810,-4.1810
47.4864,4.1991,4.1823,4.1823,-4.1823
47.9608,4.2090,4.1815,4.1815,-4.1815
48.4398,4.2190,4.1780,4.1780,-4.1780
48.9237,4.2200,4.1714,4.1714,-4.1714
49.4124,4.2200,4.1614,4.1614,-4.1614
49.9059,4.2022,4.1482,4.1482,-4.1482
50.4044,4.1822,4.1323,4.1323,-4.1323
50.9079,4.1531,4.1147,4.1147,-4.1147
51.4164,4.1321,4.0964,4.0964,-4.0964
51.9300,4.1035,4.0781,4.0781,-4.0781
52.4487,4.0735,4.0607,4.0607,-4.0607
52.9726,4.0433,4.0450,4.0450,-4.0450
53.5018,3.9866,4.0317,4.0317,-4.0317
54.0362,3.9271,4.0217,4.0217,-4.0217
54.5759,3.8671,4.0161,4.0161,-4.0161
55.1211,3.8333,4.0158,4.0158,-4.0158
