frequency,raw,smoothed,error,equalization
20.0000,-0.0100,0.1940,0.1940,-0.1940
20.1998,0.0499,0.2158,0.2158,-0.2158
20.4015,0.1104,0.2404,0.2404,-0.2404
20.6053,0.1687,0.2671,0.2671,-0.2671
20.8112,0.2303,0.2952,0.2952,-0.2952
21.0190,0.2897,0.3243,0.3243,-0.3243
21.2290,0.3398,0.3541,0.3541,-0.3541
21.4410,0.3902,0.3843,0.3843,-0.3843
21.6552,0.4291,0.4149,0.4149,-0.4149
21.8715,0.4702,0.4456,0.4456,-0.4456
22.0900,0.5000,0.4764,0.4764,-0.4764
22.3106,0.5401,0.5076,0.5076,-0.5076
22.5335,0.5789,0.5378,0.5378,-0.5378
22.7586,0.6098,0.5645,0.5645,-0.5645
22.9859,0.6493,0.5882,0.5882,-0.5882
23.2155,0.6696,0.6092,0.6092,-0.6092
23.4474,0.6898,0.6280,0.6280,-0.6280
23.6816,0.6997,0.6453,0.6453,-0.6453
23.9182,0.6901,0.6619,0.6619,-0.6619
24.1571,0.6702,0.6784,0.6784,-0.6784
24.3984,0.6501,0.6959,0.6959,-0.6959
24.6421,0.6403,0.7151,0.7151,-0.7151
24.8882,0.6400,0.7365,0.7365,-0.7365
25.1368,0.6597,0.7605,0.7605,-0.7605
25.3879,0.6898,0.7873,0.7873,-0.7873
25.6415,0.7577,0.8168,0.8168,-0.8168
25.8976,0.8171,0.8483,0.8483,-0.8483
26.1563,0.8890,0.8815,0.8815,-0.8815
26.4176,0.9472,0.9154,0.9154,-0.9154
26.6815,0.9984,0.9496,0.9496,-0.9496
26.9480,1.0478,0.9835,0.9835,-0.9835
27.2172,1.0690,1.0165,1.0165,-1.0165
27.4890,1.0892,1.0483,1.0483,-1.0483
27.7636,1.1095,1.0786,1.0786,-1.0786
28.0409,1.1294,1.1072,1.1072,-1.1072
28.3210,1.1397,1.1341,1.1341,-1.1341
28.6039,1.1589,1.1592,1.1592,-1.1592
28.8896,1.1793,1.1829,1.1829,-1.1829
29.1782,1.1992,1.2053,1.2053,-1.2053
29.4697,1.2193,1.2269,1.2269,-1.2269
29.7640,1.2484,1.2478,1.2478,-1.2478
30.0613,1.2688,1.2684,1.2684,-1.2684
30.3616,1.2982,1.2887,1.2887,-1.2887
30.6649,1.3190,1.3088,1.3088,-1.3088
30.9712,1.3388,1.3286,1.3286,-1.3286
31.2806,1.3587,1.3481,1.3481,-1.3481
31.5930,1.3789,1.3674,1.3674,-1.3674
31.9086,1.3893,1.3863,1.3863,-1.3863
32.2273,1.3996,1.4048,1.4048,-1.4048
32.5492,1.4187,1.4232,1.4232,-1.4232
32.8744,1.4390,1.4413,1.4413,-1.4413
33.2027,1.4590,1.4591,1.4591,-1.4591
33.5344,1.4791,1.4766,1.4766,-1.4766
33.8694,1.4988,1.4937,1.4937,-1.4937
34.2077,1.5187,1.5106,1.5106,-1.5106
34.5494,1.5294,1.5272,1.5272,-1.5272
34.8945,1.5485,1.5438,1.5438,-1.5438
35.2430,1.5685,1.5602,1.5602,-1.5602
35.5951,1.5793,1.5765,1.5765,-1.5765
35.9506,1.5989,1.5925,1.5925,-1.5925
36.3097,1.6094,1.6081,1.6081,-1.6081
36.6724,1.6193,1.6234,1.6234,-1.6234
37.0387,1.6294,1.6386,1.6386,-1.6386
37.4087,1.6488,1.6537,1.6537,-1.6537
37.7824,1.6685,1.6688,1.6688,-1.6688
38.1598,1.6884,1.6837,1.6837,-1.6837
38.5409,1.7085,1.6984,1.6984,-1.6984
38.9259,1.7287,1.7129,1.7129,-1.7129
39.3147,1.7394,1.7268,1.7268,-1.7268
39.7074,1.7400,1.7403,1.7403,-1.7403
40.1041,1.7491,1.7535,1.7535,-1.7535
40.5046,1.7591,1.7665,1.7665,-1.7665
40.9092,1.7785,1.7794,1.7794,-1.7794
41.3179,1.7984,1.7919,1.7919,-1.7919
41.7306,1.8093,1.8039,1.8039,-1.8039
42.1474,1.8284,1.8155,1.8155,-1.8155
42.5684,1.8392,1.8265,1.8265,-1.8265
42.9936,1.8492,1.8371,1.8371,-1.8371
43.4231,1.8500,1.8472,1.8472,-1.8472
43.8568,1.8590,1.8570,1.8570,-1.8570
44.2949,1.8600,1.8662,1.8662,-1.8662
44.7374,1.8781,1.8751,1.8751,-1.8751
45.1842,1.8890,1.8835,1.8835,-1.8835
45.6356,1.8990,1.8917,1.8917,-1.8917
46.0914,1.9000,1.8996,1.8996,-1.8996
46.5518,1.9090,1.9076,1.9076,-1.9076
47.0168,1.9191,1.9153,1.9153,-1.9153
47.4864,1.9381,1.9227,1.9227,-1.9227
47.9608,1.9490,1.9296,1.9296,-1.9296
48.4398,1.9410,1.9362,1.9362,-1.9362
48.9237,1.9219,1.9426,1.9426,-1.9426
49.4124,1.9110,1.9493,1.9493,-1.9493
49.9059,1.9368,1.9566,1.9566,-1.9566
50.4044,1.9667,1.9642,1.9642,-1.9642
50.9079,1.9969,1.9720,1.9720,-1.9720
51.4164,2.0179,1.9795,1.9795,-1.9795
51.9300,2.0023,1.9866,1.9866,-1.9866
52.4487,1.9824,1.9933,1.9933,-1.9933
52.9726,1.9711,1.9997,1.9997,-1.9997
53.5018,1.9878,2.0059,2.0059,-2.0059
54.0362,2.0076,2.0118,2.0118,-2.0118
54.5759,2.0188,2.0174,2.0174,-2.0174
55.1211,2.0378,2.0229,2.0229,-2.0229
55.6717,2.0488,2.0280,2.0280,-2.0280
56.2278,2.0589,2.0328,2.0328,-2.0328
56.7894,2.0688,2.0372,2.0372,-2.0372
57.3567,2.0700,2.0416,2.0416,-2.0416
57.9296,2.0700,2.0461,2.0461,-2.0461
58.5082,2.0437,2.0508,2.0508,-2.0508
59.0927,2.0046,2.0559,2.0559,-2.0559
59.6829,1.9739,2.0620,2.0620,-2.0620
60.2791,1.9964,2.0696,2.0696,-2.0696
