frequency,raw,smoothed,error,equalization
20.0000,11.7300,11.8124,11.8124,-11.8124
20.1998,11.7600,11.8182,11.8182,-11.8182
20.4015,11.7902,11.8244,11.8244,-11.8244
20.6053,11.8193,11.8307,11.8307,-11.8307
20.8112,11.8402,11.8366,11.8366,-11.8366
21.0190,11.8699,11.8420,11.8420,-11.8420
21.2290,11.8700,11.8467,11.8467,-11.8467
21.4410,11.8700,11.8508,11.8508,-11.8508
21.6552,11.8700,11.8544,11.8544,-11.8544
21.8715,11.8700,11.8574,11.8574,-11.8574
22.0900,11.8700,11.8598,11.8598,-11.8598
22.3106,11.8700,11.8616,11.8616,-11.8616
22.5335,11.8700,11.8621,11.8621,-11.8621
22.7586,11.8700,11.8610,11.8610,-11.8610
22.9859,11.8700,11.8584,11.8584,-11.8584
23.2155,11.8700,11.8546,11.8546,-11.8546
23.4474,11.8700,11.8497,11.8497,-11.8497
23.6816,11.8700,11.8439,11.8439,-11.8439
23.9182,11.8700,11.8374,11.8374,-11.8374
24.1571,11.8502,11.8302,11.8302,-11.8302
24.3984,11.8301,11.8225,11.8225,-11.8225
24.6421,11.8009,11.8146,11.8146,-11.8146
24.8882,11.7801,11.8071,11.8071,-11.8071
25.1368,11.7701,11.8001,11.8001,-11.8001
25.3879,11.7700,11.7939,11.7939,-11.7939
25.6415,11.7700,11.7884,11.7884,-11.7884
25.8976,11.7700,11.7836,11.7836,-11.7836
26.1563,11.7700,11.7795,11.7795,-11.7795
26.4176,11.7700,11.7759,11.7759,-11.7759
26.6815,11.7700,11.7724,11.7724,-11.7724
26.9480,11.7700,11.7691,11.7691,-11.7691
27.2172,11.7700,11.7657,11.7657,-11.7657
27.4890,11.7700,11.7621,11.7621,-11.7621
27.7636,11.7700,11.7582,11.7582,-11.7582
28.0409,11.7700,11.7536,11.7536,-11.7536
28.3210,11.7700,11.7484,11.7484,-11.7484
28.6039,11.7700,11.7424,11.7424,-11.7424
28.8896,11.7700,11.7355,11.7355,-11.7355
29.1782,11.7508,11.7274,11.7274,-11.7274
29.4697,11.7211,11.7178,11.7178,-11.7178
29.7640,11.6916,11.7070,11.7070,-11.7070
30.0613,11.6712,11.6952,11.6952,-11.6952
30.3616,11.6700,11.6827,11.6827,-11.6827
30.6649,11.6700,11.6695,11.6695,-11.6695
30.9712,11.6700,11.6555,11.6555,-11.6555
31.2806,11.6700,11.6408,11.6408,-11.6408
31.5930,11.6700,11.6252,11.6252,-11.6252
31.9086,11.6700,11.6085,11.6085,-11.6085
