frequency,raw,smoothed,error,equalization
20.0000,9.6100,9.6055,9.6055,-9.6055
20.1998,9.6100,9.6058,9.6058,-9.6058
20.4015,9.6000,9.6060,9.6060,-9.6060
20.6053,9.6000,9.6063,9.6063,-9.6063
20.8112,9.6000,9.6065,9.6065,-9.6065
21.0190,9.6000,9.6067,9.6067,-9.6067
21.2290,9.6000,9.6066,9.6066,-9.6066
21.4410,9.6100,9.6064,9.6064,-9.6064
21.6552,9.6100,9.6057,9.6057,-9.6057
21.8715,9.6200,9.6046,9.6046,-9.6046
22.0900,9.6200,9.6029,9.6029,-9.6029
22.3106,9.6200,9.6006,9.6006,-9.6006
22.5335,9.6103,9.5975,9.5975,-9.5975
22.7586,9.6100,9.5939,9.5939,-9.5939
22.9859,9.6002,9.5897,9.5897,-9.5897
23.2155,9.5902,9.5849,9.5849,-9.5849
23.4474,9.5801,9.5796,9.5796,-9.5796
23.6816,9.5703,9.5741,9.5741,-9.5741
23.9182,9.5601,9.5683,9.5683,-9.5683
24.1571,9.5600,9.5624,9.5624,-9.5624
24.3984,9.5501,9.5563,9.5563,-9.5563
24.6421,9.5500,9.5503,9.5503,-9.5503
24.8882,9.5401,9.5442,9.5442,-9.5442
25.1368,9.5400,9.5382,9.5382,-9.5382
25.3879,9.5301,9.5321,9.5321,-9.5321
25.6415,9.5300,9.5259,9.5259,-9.5259
25.8976,9.5205,9.5196,9.5196,-9.5196
26.1563,9.5200,9.5131,9.5131,-9.5131
26.4176,9.5105,9.5064,9.5064,-9.5064
26.6815,9.5100,9.4994,9.4994,-9.4994
26.9480,9.5004,9.4920,9.4920,-9.4920
27.2172,9.4905,9.4843,9.4843,-9.4843
27.4890,9.4804,9.4763,9.4763,-9.4763
27.7636,9.4702,9.4679,9.4679,-9.4679
28.0409,9.4603,9.4592,9.4592,-9.4592
28.3210,9.4503,9.4503,9.4503,-9.4503
28.6039,9.4406,9.4411,9.4411,-9.4411
28.8896,9.4304,9.4317,9.4317,-9.4317
29.1782,9.4204,9.4220,9.4220,-9.4220
29.4697,9.4104,9.4122,9.4122,-9.4122
29.7640,9.4100,9.4022,9.4022,-9.4022
30.0613,9.4006,9.3918,9.3918,-9.3918
30.3616,9.3906,9.3811,9.3811,-9.3811
30.6649,9.3710,9.3700,9.3700,-9.3700
30.9712,9.3606,9.3587,9.3587,-9.3587
31.2806,9.3506,9.3471,9.3471,-9.3471
31.5930,9.3405,9.3351,9.3351,-9.3351
31.9086,9.3307,9.3227,9.3227,-9.3227
32.2273,9.3108,9.3100,9.3100,-9.3100
32.5492,9.3006,9.2969,9.2969,-9.2969
32.8744,9.2905,9.2836,9.2836,-9.2836
33.2027,9.2710,9.2699,9.2699,-9.2699
33.5344,9.2605,9.2560,9.2560,-9.2560
33.8694,9.2412,9.2419,9.2419,-9.2419
34.2077,9.2307,9.2277,9.2277,-9.2277
34.5494,9.2112,9.2134,9.2134,-9.2134
34.8945,9.2007,9.1990,9.1990,-9.1990
35.2430,9.1815,9.1845,9.1845,-9.1845
35.5951,9.1707,9.1700,9.1700,-9.1700
35.9506,9.1511,9.1553,9.1553,-9.1553
36.3097,9.1406,9.1406,9.1406,-9.1406
36.6724,9.1307,9.1256,9.1256,-9.1256
37.0387,9.1112,9.1103,9.1103,-9.1103
37.4087,9.1006,9.0947,9.0947,-9.0947
37.7824,9.0815,9.0787,9.0787,-9.0787
38.1598,9.0708,9.0623,9.0623,-9.0623
38.5409,9.0515,9.0454,9.0454,-9.0454
38.9259,9.0406,9.0281,9.0281,-9.0281
39.3147,9.0213,9.0103,9.0103,-9.0103
39.7074,9.0016,8.9919,8.9919,-8.9919
40.1041,8.9818,8.9730,8.9730,-8.9730
40.5046,8.9618,8.9537,8.9537,-8.9537
40.9092,8.9323,8.9340,8.9340,-8.9340
41.3179,8.9116,8.9140,8.9140,-8.9140
41.7306,8.8914,8.8939,8.8939,-8.8939
42.1474,8.8716,8.8737,8.8737,-8.8737
42.5684,8.8515,8.8533,8.8533,-8.8533
42.9936,8.8317,8.8327,8.8327,-8.8327
43.4231,8.8117,8.8119,8.8119,-8.8119
43.8568,8.7920,8.7910,8.7910,-8.7910
44.2949,8.7716,8.7698,8.7698,-8.7698
44.7374,8.7519,8.7485,8.7485,-8.7485
45.1842,8.7320,8.7269,8.7269,-8.7269
45.6356,8.7120,8.7049,8.7049,-8.7049
46.0914,8.6917,8.6825,8.6825,-8.6825
46.5518,8.6721,8.6597,8.6597,-8.6597
47.0168,8.6428,8.6363,8.6363,-8.6363
47.4864,8.6219,8.6125,8.6125,-8.6125
47.9608,8.5931,8.5882,8.5882,-8.5882
48.4398,8.5631,8.5634,8.5634,-8.5634
48.9237,8.5419,8.5383,8.5383,-8.5383
49.4124,8.5129,8.5128,8.5128,-8.5128
49.9059,8.4922,8.4871,8.4871,-8.4871
50.4044,8.4633,8.4610,8.4610,-8.4610
50.9079,8.4331,8.4347,8.4347,-8.4347
51.4164,8.4121,8.4082,8.4082,-8.4082
51.9300,8.3835,8.3815,8.3815,-8.3815
52.4487,8.3535,8.3547,8.3547,-8.3547
52.9726,8.3322,8.3279,8.3279,-8.3279
53.5018,8.3033,8.3010,8.3010,-8.3010
54.0362,8.2735,8.2740,8.2740,-8.2740
54.5759,8.2436,8.2470,8.2470,-8.2470
55.1211,8.2222,8.2199,8.2199,-8.2199
55.6717,8.1937,8.1926,8.1926,-8.1926
56.2278,8.1634,8.1651,8.1651,-8.1651
56.7894,8.1337,8.1375,8.1375,-8.1375
57.3567,8.1123,8.1097,8.1097,-8.1097
57.9296,8.0836,8.0815,8.0815,-8.0815
58.5082,8.0625,8.0530,8.0530,-8.0530
59.0927,8.0335,8.0241,8.0241,-8.0241
59.6829,8.0039,7.9946,7.9946,-7.9946
60.2791,7.9736,7.9645,7.9645,-7.9645
60.8812,7.9439,7.9339,7.9339,-7.9339
61.4893,7.9140,7.9028,7.9028,-7.9028
62.1035,7.8750,7.8710,7.8710,-7.8710
62.7239,7.8437,7.8387,7.8387,-7.8387
63.3504,7.8138,7.8059,7.8059,-7.8059
63.9832,7.7754,7.7725,7.7725,-7.7725
64.6223,7.7441,7.7386,7.7386,-7.7386
65.2678,7.7051,7.7042,7.7042,-7.7042
65.9198,7.6741,7.6694,7.6694,-7.6694
66.5782,7.6356,7.6343,7.6343,-7.6343
67.2433,7.6039,7.5989,7.5989,-7.5989
67.9149,7.5656,7.5631,7.5631,-7.5631
68.5933,7.5343,7.5271,7.5271,-7.5271
69.2785,7.4954,7.4907,7.4907,-7.4907
69.9705,7.4557,7.4542,7.4542,-7.4542
70.6694,7.4157,7.4174,7.4174,-7.4174
71.3753,7.3844,7.3805,7.3805,-7.3805
72.0883,7.3457,7.3434,7.3434,-7.3434
72.8083,7.3056,7.3063,7.3063,-7.3063
73.5356,7.2657,7.2690,7.2690,-7.2690
74.2701,7.2345,7.2317,7.2317,-7.2317
75.0120,7.1958,7.1942,7.1942,-7.1942
75.7613,7.1558,7.1566,7.1566,-7.1566
76.5180,7.1159,7.1190,7.1190,-7.1190
77.2824,7.0846,7.0811,7.0811,-7.0811
78.0543,7.0460,7.0431,7.0431,-7.0431
78.8340,7.0059,7.0049,7.0049,-7.0049
79.6214,6.9660,6.9663,6.9663,-6.9663
80.4168,6.9346,6.9275,6.9275,-6.9275
81.2200,6.8964,6.8882,6.8882,-6.8882
82.0313,6.8564,6.8485,6.8485,-6.8485
82.8507,6.8163,6.8083,6.8083,-6.8083
83.6783,6.7763,6.7676,6.7676,-6.7676
84.5141,6.7365,6.7264,6.7264,-6.7264
85.3583,6.6883,6.6848,6.6848,-6.6848
86.2109,6.6465,6.6429,6.6429,-6.6429
87.0721,6.6068,6.6006,6.6006,-6.6006
87.9418,6.5585,6.5580,6.5580,-6.5580
88.8203,6.5168,6.5151,6.5151,-6.5151
89.7075,6.4686,6.4719,6.4719,-6.4719
90.6035,6.4270,6.4286,6.4286,-6.4286
91.5085,6.3867,6.3851,6.3851,-6.3851
92.4226,6.3386,6.3415,6.3415,-6.3415
93.3458,6.2971,6.2977,6.2977,-6.2977
94.2782,6.2570,6.2538,6.2538,-6.2538
95.2199,6.2172,6.2096,6.2096,-6.2096
96.1711,6.1689,6.1652,6.1652,-6.1652
