frequency,raw,smoothed,error,equalization
20.0000,2.4200,2.5395,2.5395,-2.5395
20.1998,2.4500,2.5541,2.5541,-2.5541
20.4015,2.4902,2.5709,2.5709,-2.5709
20.6053,2.5193,2.5894,2.5894,-2.5894
20.8112,2.5502,2.6095,2.6095,-2.6095
21.0190,2.5898,2.6312,2.6312,-2.6312
21.2290,2.6199,2.6543,2.6543,-2.6543
21.4410,2.6601,2.6791,2.6791,-2.6791
21.6552,2.6893,2.7054,2.7054,-2.7054
21.8715,2.7302,2.7337,2.7337,-2.7337
22.0900,2.7600,2.7640,2.7640,-2.7640
22.3106,2.8001,2.7966,2.7966,-2.7966
22.5335,2.8292,2.8309,2.8309,-2.8309
22.7586,2.8697,2.8650,2.8650,-2.8650
22.9859,2.8995,2.8987,2.8987,-2.8987
23.2155,2.9392,2.9321,2.9321,-2.9321
23.4474,2.9697,2.9650,2.9650,-2.9650
23.6816,3.0086,2.9975,2.9975,-2.9975
23.9182,3.0398,3.0293,3.0293,-3.0293
24.1571,3.0696,3.0605,3.0605,-3.0605
24.3984,3.0998,3.0910,3.0910,-3.0910
24.6421,3.1291,3.1209,3.1209,-3.1209
24.8882,3.1598,3.1502,3.1502,-3.1502
25.1368,3.1896,3.1787,3.1787,-3.1787
25.3879,3.2098,3.2066,3.2066,-3.2066
25.6415,3.2390,3.2340,3.2340,-3.2340
25.8976,3.2686,3.2608,3.2608,-3.2608
26.1563,3.2897,3.2870,3.2870,-3.2870
26.4176,3.3186,3.3127,3.3127,-3.3127
26.6815,3.3393,3.3379,3.3379,-3.3379
26.9480,3.3687,3.3627,3.3627,-3.3627
27.2172,3.3890,3.3871,3.3871,-3.3871
27.4890,3.4188,3.4112,3.4112,-3.4112
27.7636,3.4395,3.4348,3.4348,-3.4348
28.0409,3.4594,3.4580,3.4580,-3.4580
28.3210,3.4890,3.4808,3.4808,-3.4808
28.6039,3.5089,3.5033,3.5033,-3.5033
28.8896,3.5293,3.5252,3.5252,-3.5252
29.1782,3.5492,3.5469,3.5469,-3.5469
29.4697,3.5693,3.5682,3.5682,-3.5682
29.7640,3.5889,3.5892,3.5892,-3.5892
30.0613,3.6181,3.6098,3.6098,-3.6098
30.3616,3.6388,3.6301,3.6301,-3.6301
30.6649,3.6590,3.6499,3.6499,-3.6499
30.9712,3.6694,3.6694,3.6694,-3.6694
31.2806,3.6887,3.6886,3.6886,-3.6886
31.5930,3.7089,3.7076,3.7076,-3.7076
31.9086,3.7287,3.7263,3.7263,-3.7263
32.2273,3.7492,3.7449,3.7449,-3.7449
32.5492,3.7687,3.7632,3.7632,-3.7632
32.8744,3.7795,3.7813,3.7813,-3.7813
33.2027,3.7990,3.7992,3.7992,-3.7992
33.5344,3.8191,3.8170,3.8170,-3.8170
33.8694,3.8388,3.8346,3.8346,-3.8346
34.2077,3.8493,3.8520,3.8520,-3.8520
34.5494,3.8688,3.8692,3.8692,-3.8692
34.8945,3.8885,3.8863,3.8863,-3.8863
35.2430,3.9085,3.9030,3.9030,-3.9030
35.5951,3.9193,3.9193,3.9193,-3.9193
35.9506,3.9389,3.9352,3.9352,-3.9352
36.3097,3.9589,3.9508,3.9508,-3.9508
36.6724,3.9785,3.9658,3.9658,-3.9658
37.0387,3.9894,3.9803,3.9803,-3.9803
37.4087,3.9994,3.9942,3.9942,-3.9942
37.7824,4.0185,4.0076,4.0076,-4.0076
38.1598,4.0292,4.0206,4.0206,-4.0206
38.5409,4.0392,4.0330,4.0330,-4.0330
38.9259,4.0494,4.0451,4.0451,-4.0451
39.3147,4.0594,4.0567,4.0567,-4.0567
39.7074,4.0692,4.0682,4.0682,-4.0682
40.1041,4.0791,4.0794,4.0794,-4.0794
40.5046,4.0891,4.0903,4.0903,-4.0903
40.9092,4.0992,4.1011,4.1011,-4.1011
41.3179,4.1092,4.1117,4.1117,-4.1117
41.7306,4.1193,4.1223,4.1223,-4.1223
42.1474,4.1292,4.1327,4.1327,-4.1327
42.5684,4.1485,4.1432,4.1432,-4.1432
42.9936,4.1592,4.1535,4.1535,-4.1535
43.4231,4.1691,4.1636,4.1636,-4.1636
43.8568,4.1790,4.1736,4.1736,-4.1736
44.2949,4.1892,4.1833,4.1833,-4.1833
44.7374,4.1991,4.1928,4.1928,-4.1928
45.1842,4.2000,4.2020,4.2020,-4.2020
45.6356,4.2090,4.2110,4.2110,-4.2110
46.0914,4.2191,4.2197,4.2197,-4.2197
46.5518,4.2290,4.2281,4.2281,-4.2281
47.0168,4.2391,4.2362,4.2362,-4.2362
47.4864,4.2491,4.2439,4.2439,-4.2439
47.9608,4.2590,4.2513,4.2513,-4.2513
48.4398,4.2690,4.2582,4.2582,-4.2582
48.9237,4.2700,4.2648,4.2648,-4.2648
49.4124,4.2790,4.2710,4.2710,-4.2710
49.9059,4.2800,4.2769,4.2769,-4.2769
50.4044,4.2889,4.2824,4.2824,-4.2824
50.9079,4.2900,4.2876,4.2876,-4.2876
51.4164,4.2900,4.2925,4.2925,-4.2925
51.9300,4.2988,4.2971,4.2971,-4.2971
52.4487,4.3000,4.3015,4.3015,-4.3015
52.9726,4.3089,4.3057,4.3057,-4.3057
53.5018,4.3100,4.3096,4.3096,-4.3096
54.0362,4.3188,4.3133,4.3133,-4.3133
54.5759,4.3200,4.3169,4.3169,-4.3169
55.1211,4.3200,4.3203,4.3203,-4.3203
55.6717,4.3288,4.3236,4.3236,-4.3236
56.2278,4.3300,4.3267,4.3267,-4.3267
56.7894,4.3300,4.3296,4.3296,-4.3296
57.3567,4.3300,4.3323,4.3323,-4.3323
57.9296,4.3388,4.3349,4.3349,-4.3349
58.5082,4.3400,4.3372,4.3372,-4.3372
59.0927,4.3400,4.3393,4.3393,-4.3393
59.6829,4.3400,4.3412,4.3412,-4.3412
60.2791,4.3488,4.3430,4.3430,-4.3430
60.8812,4.3500,4.3445,4.3445,-4.3445
61.4893,4.3500,4.3458,4.3458,-4.3458
62.1035,4.3500,4.3468,4.3468,-4.3468
62.7239,4.3500,4.3476,4.3476,-4.3476
63.3504,4.3500,4.3482,4.3482,-4.3482
63.9832,4.3500,4.3486,4.3486,-4.3486
64.6223,4.3500,4.3487,4.3487,-4.3487
65.2678,4.3500,4.3487,4.3487,-4.3487
65.9198,4.3500,4.3485,4.3485,-4.3485
66.5782,4.3500,4.3481,4.3481,-4.3481
67.2433,4.3500,4.3475,4.3475,-4.3475
67.9149,4.3500,4.3467,4.3467,-4.3467
68.5933,4.3500,4.3457,4.3457,-4.3457
69.2785,4.3500,4.3445,4.3445,-4.3445
69.9705,4.3414,4.3430,4.3430,-4.3430
70.6694,4.3400,4.3415,4.3415,-4.3415
71.3753,4.3400,4.3398,4.3398,-4.3398
72.0883,4.3400,4.3379,4.3379,-4.3379
72.8083,4.3400,4.3357,4.3357,-4.3357
73.5356,4.3400,4.3334,4.3334,-4.3334
74.2701,4.3315,4.3307,4.3307,-4.3307
75.0120,4.3300,4.3279,4.3279,-4.3279
75.7613,4.3300,4.3248,4.3248,-4.3248
76.5180,4.3215,4.3215,4.3215,-4.3215
77.2824,4.3200,4.3181,4.3181,-4.3181
78.0543,4.3200,4.3145,4.3145,-4.3145
78.8340,4.3115,4.3106,4.3106,-4.3106
79.6214,4.3100,4.3064,4.3064,-4.3064
80.4168,4.3015,4.3020,4.3020,-4.3020
81.2200,4.3000,4.2974,4.2974,-4.2974
82.0313,4.2916,4.2925,4.2925,-4.2925
82.8507,4.2900,4.2875,4.2875,-4.2875
83.6783,4.2900,4.2823,4.2823,-4.2823
84.5141,4.2816,4.2767,4.2767,-4.2767
85.3583,4.2717,4.2709,4.2709,-4.2709
86.2109,4.2700,4.2648,4.2648,-4.2648
87.0721,4.2617,4.2586,4.2586,-4.2586
87.9418,4.2517,4.2521,4.2521,-4.2521
88.8203,4.2500,4.2454,4.2454,-4.2454
89.7075,4.2417,4.2385,4.2385,-4.2385
90.6035,4.2317,4.2314,4.2314,-4.2314
91.5085,4.2217,4.2240,4.2240,-4.2240
92.4226,4.2200,4.2163,4.2163,-4.2163
93.3458,4.2118,4.2084,4.2084,-4.2084
94.2782,4.2017,4.2002,4.2002,-4.2002
95.2199,4.1918,4.1919,4.1919,-4.1919
96.1711,4.1900,4.1835,4.1835,-4.1835
97.1317,4.1818,4.1748,4.1748,-4.1748
98.1019,4.1718,4.1658,4.1658,-4.1658
99.0818,4.1618,4.1567,4.1567,-4.1567
100.0715,4.1518,4.1473,4.1473,-4.1473
101.0711,4.1336,4.1378,4.1378,-4.1378
102.0807,4.1219,4.1282,4.1282,-4.1282
103.1004,4.1119,4.1185,4.1185,-4.1185
104.1302,4.1100,4.1087,4.1087,-4.1087
105.1703,4.1019,4.0987,4.0987,-4.0987
106.2209,4.0919,4.0885,4.0885,-4.0885
107.2819,4.0819,4.0780,4.0780,-4.0780
108.3535,4.0719,4.0674,4.0674,-4.0674
109.4358,4.0619,4.0566,4.0566,-4.0566
110.5289,4.0519,4.0455,4.0455,-4.0455
111.6330,4.0420,4.0341,4.0341,-4.0341
112.7481,4.0240,4.0223,4.0223,-4.0223
113.8743,4.0120,4.0101,4.0101,-4.0101
115.0118,4.0020,3.9976,3.9976,-3.9976
116.1606,3.9840,3.9846,3.9846,-3.9846
117.3209,3.9720,3.9713,3.9713,-3.9713
118.4928,3.9620,3.9577,3.9577,-3.9577
119.6764,3.9520,3.9437,3.9437,-3.9437
120.8718,3.9421,3.9294,3.9294,-3.9294
122.0792,3.9241,3.9145,3.9145,-3.9145
123.2986,3.9041,3.8993,3.8993,-3.8993
124.5302,3.8842,3.8837,3.8837,-3.8837
125.7741,3.8641,3.8678,3.8678,-3.8678
127.0304,3.8521,3.8518,3.8518,-3.8518
128.2993,3.8342,3.8355,3.8355,-3.8355
129.5808,3.8221,3.8191,3.8191,-3.8191
130.8752,3.8042,3.8024,3.8024,-3.8024
132.1825,3.7921,3.7854,3.7854,-3.7854
133.5028,3.7743,3.7682,3.7682,-3.7682
134.8363,3.7543,3.7508,3.7508,-3.7508
136.1832,3.7344,3.7331,3.7331,-3.7331
137.5435,3.7144,3.7152,3.7152,-3.7152
138.9174,3.6944,3.6973,3.6973,-3.6973
140.3050,3.6822,3.6791,3.6791,-3.6791
141.7065,3.6644,3.6607,3.6607,-3.6607
143.1220,3.6445,3.6420,3.6420,-3.6420
144.5516,3.6245,3.6231,3.6231,-3.6231
145.9955,3.6122,3.6040,3.6040,-3.6040
147.4538,3.5945,3.5845,3.5845,-3.5845
148.9267,3.5668,3.5647,3.5647,-3.5647
150.4143,3.5445,3.5447,3.5447,-3.5447
151.9167,3.5245,3.5245,3.5245,-3.5245
153.4342,3.5046,3.5041,3.5041,-3.5041
154.9668,3.4846,3.4835,3.4835,-3.4835
156.5147,3.4647,3.4626,3.4626,-3.4626
158.0781,3.4446,3.4414,3.4414,-3.4414
159.6571,3.4247,3.4198,3.4198,-3.4198
