frequency,raw,smoothed,error,equalization
20.0000,5.8000,5.8912,5.8912,-5.8912
20.1998,5.8300,5.9008,5.9008,-5.9008
20.4015,5.8602,5.9119,5.9119,-5.9119
20.6053,5.8893,5.9242,5.9242,-5.9242
20.8112,5.9101,5.9376,5.9376,-5.9376
21.0190,5.9299,5.9521,5.9521,-5.9521
21.2290,5.9499,5.9678,5.9678,-5.9678
21.4410,5.9700,5.9851,5.9851,-5.9851
21.6552,5.9798,6.0039,6.0039,-6.0039
21.8715,6.0002,6.0247,6.0247,-6.0247
22.0900,6.0300,6.0476,6.0476,-6.0476
22.3106,6.0501,6.0728,6.0728,-6.0728
22.5335,6.0792,6.0997,6.0997,-6.0997
22.7586,6.1098,6.1268,6.1268,-6.1268
22.9859,6.1493,6.1540,6.1540,-6.1540
23.2155,6.1794,6.1809,6.1809,-6.1809
23.4474,6.2195,6.2076,6.2076,-6.2076
23.6816,6.2586,6.2335,6.2335,-6.2335
23.9182,6.2898,6.2584,6.2584,-6.2584
24.1571,6.3196,6.2822,6.2822,-6.2822
24.3984,6.3399,6.3045,6.3045,-6.3045
24.6421,6.3594,6.3255,6.3255,-6.3255
24.8882,6.3699,6.3452,6.3452,-6.3452
25.1368,6.3799,6.3639,6.3639,-6.3639
25.3879,6.3800,6.3817,6.3817,-6.3817
25.6415,6.3897,6.3989,6.3989,-6.3989
25.8976,6.4090,6.4160,6.4160,-6.4160
26.1563,6.4199,6.4328,6.4328,-6.4328
26.4176,6.4295,6.4498,6.4498,-6.4498
26.6815,6.4493,6.4670,6.4670,-6.4670
26.9480,6.4691,6.4846,6.4846,-6.4846
27.2172,6.4890,6.5025,6.5025,-6.5025
27.4890,6.5188,6.5209,6.5209,-6.5209
27.7636,6.5395,6.5395,6.5395,-6.5395
28.0409,6.5690,6.5581,6.5581,-6.5581
28.3210,6.5894,6.5765,6.5765,-6.5765
28.6039,6.6089,6.5945,6.5945,-6.5945
28.8896,6.6293,6.6119,6.6119,-6.6119
29.1782,6.6396,6.6285,6.6285,-6.6285
29.4697,6.6593,6.6444,6.6444,-6.6444
29.7640,6.6695,6.6595,6.6595,-6.6595
30.0613,6.6794,6.6738,6.6738,-6.6738
30.3616,6.6988,6.6875,6.6875,-6.6875
30.6649,6.7095,6.7003,6.7003,-6.7003
30.9712,6.7194,6.7124,6.7124,-6.7124
31.2806,6.7294,6.7239,6.7239,-6.7239
31.5930,6.7395,6.7348,6.7348,-6.7348
31.9086,6.7400,6.7454,6.7454,-6.7454
32.2273,6.7496,6.7558,6.7558,-6.7558
32.5492,6.7687,6.7662,6.7662,-6.7662
32.8744,6.7795,6.7767,6.7767,-6.7767
33.2027,6.7895,6.7872,6.7872,-6.7872
33.5344,6.7995,6.7977,6.7977,-6.7977
33.8694,6.8094,6.8082,6.8082,-6.8082
34.2077,6.8193,6.8184,6.8184,-6.8184
34.5494,6.8200,6.8284,6.8284,-6.8284
34.8945,6.8293,6.8383,6.8383,-6.8383
35.2430,6.8392,6.8481,6.8481,-6.8481
35.5951,6.8493,6.8577,6.8577,-6.8577
35.9506,6.8783,6.8671,6.8671,-6.8671
36.3097,6.8989,6.8758,6.8758,-6.8758
36.6724,6.9093,6.8838,6.8838,-6.8838
37.0387,6.9194,6.8910,6.8910,-6.8910
37.4087,6.9200,6.8974,6.8974,-6.8974
37.7824,6.9107,6.9031,6.9031,-6.9031
38.1598,6.9008,6.9083,6.9083,-6.9083
38.5409,6.9092,6.9134,6.9134,-6.9134
38.9259,6.9100,6.9181,6.9181,-6.9181
39.3147,6.9194,6.9225,6.9225,-6.9225
39.7074,6.9292,6.9267,6.9267,-6.9267
40.1041,6.9300,6.9305,6.9305,-6.9305
40.5046,6.9300,6.9340,6.9340,-6.9340
40.9092,6.9392,6.9375,6.9375,-6.9375
41.3179,6.9400,6.9409,6.9409,-6.9409
41.7306,6.9493,6.9444,6.9444,-6.9444
42.1474,6.9500,6.9478,6.9478,-6.9478
42.5684,6.9592,6.9511,6.9511,-6.9511
42.9936,6.9600,6.9541,6.9541,-6.9541
43.4231,6.9600,6.9568,6.9568,-6.9568
43.8568,6.9600,6.9590,6.9590,-6.9590
44.2949,6.9692,6.9609,6.9609,-6.9609
44.7374,6.9609,6.9623,6.9623,-6.9623
45.1842,6.9690,6.9634,6.9634,-6.9634
45.6356,6.9700,6.9640,6.9640,-6.9640
46.0914,6.9700,6.9642,6.9642,-6.9642
46.5518,6.9700,6.9641,6.9641,-6.9641
47.0168,6.9700,6.9634,6.9634,-6.9634
47.4864,6.9700,6.9623,6.9623,-6.9623
